
GDP_1991_12_11     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5707.4
1991:4     5745.4
1992:1     5791.2
1992:2     5871.4
1992:3     5949.2
1992:4     6035.0
1993:1     6132.9
1993:2     6223.1
1993:3     6314.8
1993:4     6407.1


GDP_1992_01_30     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5736.6
1992:1     5797.0
1992:2     5866.2
1992:3     5944.8
1992:4     6027.3
1993:1     6125.8
1993:2     6214.8
1993:3     6302.0
1993:4     6388.0


GDP_1992_03_25     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5746.7
1992:1     5812.9
1992:2     5893.1
1992:3     5977.1
1992:4     6062.9
1993:1     6152.7
1993:2     6233.0
1993:3     6312.9
1993:4     6391.0


GDP_1992_05_14     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5739.7
1992:1     5809.3
1992:2     5879.7
1992:3     5966.2
1992:4     6052.3
1993:1     6141.4
1993:2     6223.6
1993:3     6304.0
1993:4     6384.3


GDP_1992_06_24     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5739.7
1992:1     5817.5
1992:2     5886.3
1992:3     5956.7
1992:4     6038.1
1993:1     6128.3
1993:2     6211.8
1993:3     6297.8
1993:4     6385.7


GDP_1992_08_13     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5893.6
1992:3     5942.5
1992:4     6022.0
1993:1     6107.0
1993:2     6187.8
1993:3     6270.9
1993:4     6354.0
1994:1     6445.8
1994:2     6526.8
1994:3     6605.5
1994:4     6685.1


GDP_1992_09_30     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5964.2
1992:4     6013.6
1993:1     6084.1
1993:2     6155.1
1993:3     6230.9
1993:4     6309.5
1994:1     6398.9
1994:2     6477.7
1994:3     6552.8
1994:4     6625.7


GDP_1992_11_12     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5967.1
1992:4     6032.4
1993:1     6104.4
1993:2     6167.8
1993:3     6236.0
1993:4     6307.3
1994:1     6388.0
1994:2     6462.3
1994:3     6535.3
1994:4     6608.9


GDP_1992_12_16     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5982.5
1992:4     6073.0
1993:1     6162.0
1993:2     6237.5
1993:3     6315.9
1993:4     6391.5
1994:1     6474.3
1994:2     6551.5
1994:3     6630.7
1994:4     6709.9


GDP_1993_01_29     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6061.9
1993:1     6153.7
1993:2     6231.0
1993:3     6309.4
1993:4     6387.6
1994:1     6469.4
1994:2     6548.6
1994:3     6627.1
1994:4     6706.0


GDP_1993_03_17     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6082.1
1993:1     6181.5
1993:2     6262.7
1993:3     6340.2
1993:4     6420.7
1994:1     6502.3
1994:2     6583.7
1994:3     6667.3
1994:4     6750.2


GDP_1993_05_14     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6081.8
1993:1     6158.8
1993:2     6223.0
1993:3     6295.2
1993:4     6373.0
1994:1     6453.1
1994:2     6533.6
1994:3     6616.7
1994:4     6696.7


GDP_1993_06_30     Nominal GDP

1992:3     5978.5
1992:4     6081.8
1993:1     6145.8
1993:2     6223.6
1993:3     6291.0
1993:4     6375.5
1994:1     6455.9
1994:2     6536.8
1994:3     6615.3
1994:4     6694.6


GDP_1993_08_11     Nominal GDP

1992:3     5978.5
1992:4     6081.8
1993:1     6145.8
1993:2     6206.9
1993:3     6280.8
1993:4     6364.2
1994:1     6448.0
1994:2     6525.9
1994:3     6602.6
1994:4     6678.4


GDP_1993_09_15     Nominal GDP

1992:3     6059.5
1992:4     6194.4
1993:1     6261.6
1993:2     6325.7
1993:3     6380.6
1993:4     6471.2
1994:1     6557.3
1994:2     6632.5
1994:3     6706.8
1994:4     6780.9


GDP_1993_11_10     Nominal GDP

1991:1     5631.7
1991:2     5697.7
1991:3     5758.6
1991:4     5803.7
1992:1     5908.7
1992:2     5991.4
1992:3     6059.5
1992:4     6194.4
1993:1     6261.6
1993:2     6327.6
1993:3     6396.3
1993:4     6499.5
1994:1     6584.5
1994:2     6662.6
1994:3     6737.7
1994:4     6811.6
1995:1     6893.2
1995:2     6970.1
1995:3     7046.3
1995:4     7122.9


GDP_1993_12_15     Nominal GDP

1991:1     5631.7
1991:2     5697.7
1991:3     5758.6
1991:4     5803.7
1992:1     5908.7
1992:2     5991.4
1992:3     6059.5
1992:4     6194.4
1993:1     6261.6
1993:2     6327.6
1993:3     6394.6
1993:4     6509.8
1994:1     6612.3
1994:2     6687.6
1994:3     6769.1
1994:4     6847.3
1995:1     6930.6
1995:2     7010.1
1995:3     7087.9
1995:4     7166.2


GDP_1994_01_31     Nominal GDP

1991:1     5631.7
1991:2     5697.7
1991:3     5758.6
1991:4     5803.7
1992:1     5908.7
1992:2     5991.4
1992:3     6059.5
1992:4     6194.4
1993:1     6261.6
1993:2     6327.6
1993:3     6395.9
1993:4     6510.8
1994:1     6624.5
1994:2     6710.8
1994:3     6788.5
1994:4     6863.4
1995:1     6948.6
1995:2     7026.8
1995:3     7104.2
1995:4     7181.4


GDP_1994_03_16     Nominal GDP

1991:1     5631.7
1991:2     5697.7
1991:3     5758.6
1991:4     5803.7
1992:1     5908.7
1992:2     5991.4
1992:3     6059.5
1992:4     6194.4
1993:1     6261.6
1993:2     6327.6
1993:3     6395.9
1993:4     6532.4
1994:1     6623.7
1994:2     6704.7
1994:3     6787.0
1994:4     6864.8
1995:1     6950.8
1995:2     7029.4
1995:3     7105.3
1995:4     7181.2


GDP_1994_05_13     Nominal GDP

1993:3     6395.9
1993:4     6526.5
1994:1     6609.4
1994:2     6709.8
1994:3     6793.3
1994:4     6866.0
1995:1     6946.4
1995:2     7020.3
1995:3     7094.3
1995:4     7170.0


GDP_1994_06_29     Nominal GDP

1993:3     6395.9
1993:4     6526.5
1994:1     6617.6
1994:2     6713.8
1994:3     6798.8
1994:4     6878.6
1995:1     6959.9
1995:2     7037.5
1995:3     7115.7
1995:4     7194.9


GDP_1994_06_30     Nominal GDP

1993:3     6395.9
1993:4     6526.5
1994:1     6623.1
1994:2     6720.0
1994:3     6805.1
1994:4     6885.0
1995:1     6966.2
1995:2     7043.9
1995:3     7122.1
1995:4     7201.4


GDP_1994_08_12     Nominal GDP

1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6683.6
1994:3     6756.4
1994:4     6837.1
1995:1     6914.0
1995:2     6986.8
1995:3     7061.2
1995:4     7138.1


GDP_1994_09_21     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6685.5
1994:3     6764.4
1994:4     6858.0
1995:1     6940.7
1995:2     7008.8
1995:3     7082.1
1995:4     7158.0
1996:1     7242.6
1996:2     7325.7
1996:3     7407.9
1996:4     7491.0


GDP_1994_11_09     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
