year,quarter,macro_variable,number
1977,Q3,  Nominal GNP [gnp],1915.9
1977,Q4,  Nominal GNP [gnp],1961.8
1978,Q1,  Nominal GNP [gnp],2003.3
1978,Q2,  Nominal GNP [gnp],2072.5
1978,Q3,  Nominal GNP [gnp],2129.0
1978,Q4,  Nominal GNP [gnp],2190.1
1979,Q1,  Nominal GNP [gnp],2252.3
1979,Q2,  Nominal GNP [gnp],2310.8
1977,Q3,  Final sales [sf],1892.2
1977,Q4,  Final sales [sf],1948.2
1978,Q1,  Final sales [sf],1983.3
1978,Q2,  Final sales [sf],2048.0
1978,Q3,  Final sales [sf],2103.5
1978,Q4,  Final sales [sf],2163.1
1979,Q1,  Final sales [sf],2222.0
1979,Q2,  Final sales [sf],2279.3
1977,Q3,    Private [sfp],1491.3
1977,Q4,    Private [sfp],1534.4
1978,Q1,    Private [sfp],1563.8
1978,Q2,    Private [sfp],1617.5
1978,Q3,    Private [sfp],1661.5
1978,Q4,    Private [sfp],1707.2
1979,Q1,    Private [sfp],1755.6
1979,Q2,    Private [sfp],1801.8
1977,Q3,      Domestic final purchases [sfpexm],1498.8
1977,Q4,      Domestic final purchases [sfpexm],1552.6
1978,Q1,      Domestic final purchases [sfpexm],1583.3
1978,Q2,      Domestic final purchases [sfpexm],1631.9
1978,Q3,      Domestic final purchases [sfpexm],1672.7
1978,Q4,      Domestic final purchases [sfpexm],1720.2
1979,Q1,      Domestic final purchases [sfpexm],1767.9
1979,Q2,      Domestic final purchases [sfpexm],1814.5
1977,Q3,  Personal consumption expenditures [c],1218.9
1977,Q4,  Personal consumption expenditures [c],1259.5
1978,Q1,  Personal consumption expenditures [c],1284.1
1978,Q2,  Personal consumption expenditures [c],1319.8
1978,Q3,  Personal consumption expenditures [c],1352.6
1978,Q4,  Personal consumption expenditures [c],1392.3
1979,Q1,  Personal consumption expenditures [c],1431.5
1979,Q2,  Personal consumption expenditures [c],1468.9
1977,Q3,    Goods [cg],659.4
1977,Q4,    Goods [cg],685.9
1978,Q1,    Goods [cg],691.4
1978,Q2,    Goods [cg],710.6
1978,Q3,    Goods [cg],728.7
1978,Q4,    Goods [cg],751.1
1979,Q1,    Goods [cg],771.3
1979,Q2,    Goods [cg],789.6
1977,Q3,    Services [cs],559.5
1977,Q4,    Services [cs],573.7
1978,Q1,    Services [cs],592.7
1978,Q2,    Services [cs],609.2
1978,Q3,    Services [cs],623.9
1978,Q4,    Services [cs],641.2
1979,Q1,    Services [cs],660.2
1979,Q2,    Services [cs],679.3
1977,Q3,  Gross private domestic investment [ii],303.6
1977,Q4,  Gross private domestic investment [ii],306.7
1978,Q1,  Gross private domestic investment [ii],319.2
1978,Q2,  Gross private domestic investment [ii],336.6
1978,Q3,  Gross private domestic investment [ii],345.6
1978,Q4,  Gross private domestic investment [ii],354.9
1979,Q1,  Gross private domestic investment [ii],366.7
1979,Q2,  Gross private domestic investment [ii],377.1
1977,Q3,    Residential structures [icr],92.5
1977,Q4,    Residential structures [icr],99.7
1978,Q1,    Residential structures [icr],100.7
1978,Q2,    Residential structures [icr],105.7
1978,Q3,    Residential structures [icr],106.7
1978,Q4,    Residential structures [icr],107.2
1979,Q1,    Residential structures [icr],108.2
1979,Q2,    Residential structures [icr],109.7
1977,Q3,    Business fixed investment [ifixer],187.5
1977,Q4,    Business fixed investment [ifixer],193.5
1978,Q1,    Business fixed investment [ifixer],198.5
1978,Q2,    Business fixed investment [ifixer],206.4
1978,Q3,    Business fixed investment [ifixer],213.4
1978,Q4,    Business fixed investment [ifixer],220.7
1979,Q1,    Business fixed investment [ifixer],228.2
1979,Q2,    Business fixed investment [ifixer],235.9
1977,Q3,    Change in business inventories [cinv],23.6
1977,Q4,    Change in business inventories [cinv],13.5
1978,Q1,    Change in business inventories [cinv],20.0
1978,Q2,    Change in business inventories [cinv],24.5
1978,Q3,    Change in business inventories [cinv],25.5
1978,Q4,    Change in business inventories [cinv],27.0
1979,Q1,    Change in business inventories [cinv],30.3
1979,Q2,    Change in business inventories [cinv],31.5
1977,Q3,      Nonfarm [cinvef],23.1
1977,Q4,      Nonfarm [cinvef],9.0
1978,Q1,      Nonfarm [cinvef],18.0
1978,Q2,      Nonfarm [cinvef],23.5
1978,Q3,      Nonfarm [cinvef],25.5
1978,Q4,      Nonfarm [cinvef],27.0
1979,Q1,      Nonfarm [cinvef],30.3
1979,Q2,      Nonfarm [cinvef],31.5
1977,Q3,  Net exports [exm],-7.5
1977,Q4,  Net exports [exm],-18.2
1978,Q1,  Net exports [exm],-19.5
1978,Q2,  Net exports [exm],-14.4
1978,Q3,  Net exports [exm],-11.2
1978,Q4,  Net exports [exm],-13.0
1979,Q1,  Net exports [exm],-12.3
1979,Q2,  Net exports [exm],-12.7
1977,Q3,    Export [ex],179.9
1977,Q4,    Export [ex],170.6
1978,Q1,    Export [ex],180.4
1978,Q2,    Export [ex],190.9
1978,Q3,    Export [ex],200.3
1978,Q4,    Export [ex],207.5
1979,Q1,    Export [ex],218.0
1979,Q2,    Export [ex],223.9
1977,Q3,    Imports [m],187.4
1977,Q4,    Imports [m],188.8
1978,Q1,    Imports [m],199.9
1978,Q2,    Imports [m],205.3
1978,Q3,    Imports [m],211.5
1978,Q4,    Imports [m],220.5
1979,Q1,    Imports [m],230.3
1979,Q2,    Imports [m],236.6
1977,Q3,  Government consumption and investment [gg],400.9
1977,Q4,  Government consumption and investment [gg],413.8
1978,Q1,  Government consumption and investment [gg],419.5
1978,Q2,  Government consumption and investment [gg],430.5
1978,Q3,  Government consumption and investment [gg],442.0
1978,Q4,  Government consumption and investment [gg],455.9
1979,Q1,  Government consumption and investment [gg],466.4
1979,Q2,  Government consumption and investment [gg],477.5
1977,Q3,    Federal [gf],148.1
1977,Q4,    Federal [gf],153.8
1978,Q1,    Federal [gf],154.6
1978,Q2,    Federal [gf],156.7
1978,Q3,    Federal [gf],160.9
1978,Q4,    Federal [gf],167.5
1979,Q1,    Federal [gf],170.9
1979,Q2,    Federal [gf],174.9
1977,Q3,    State and local [gsl],252.9
1977,Q4,    State and local [gsl],260.0
1978,Q1,    State and local [gsl],264.9
