year,event_type,multi_day,start_month,start_day,end_month,end_day,Beige Book,Tealbook A,Tealbook B,Agenda,Statement,2013 Memos,Minutes,Transcript,Presentation materials,Press Conference,SEP: Individual Projections,Greenbook,Bluebook,Record of Policy Actions,Minutes of Actions,multi-day,Redbook,Staff statements,,"Historical Minutes, 10:30 a.m.","Historical Minutes, 2:45 p.m.",Intermeeting Executive Committee Minutes,Historical Minutes,Supplement,Memoranda of Discussion,Supplement 2,Accessible version,2003 Memos,Accessible material,SEP: Participant Key,Greenbook and Bluebook accessible materials,2009 Memos,2010 Memos,Tealbook accessible materials,2011 Memos,2012 Memos,2008 Memos
2013,Meeting,1,January,29,January,30,"['/monetarypolicy/beigebook/files/Beigebook_20130116.pdf', '/monetarypolicy/beigebook/beigebook201301.htm']",/monetarypolicy/files/FOMC20130130tealbooka20130123.pdf,/monetarypolicy/files/FOMC20130130tealbookb20130124.pdf,/monetarypolicy/files/FOMC20130130Agenda.pdf,/newsevents/pressreleases/monetary20130130a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130130.htm', '/monetarypolicy/files/fomcminutes20130130.pdf']",/monetarypolicy/files/FOMC20130130meeting.pdf,/monetarypolicy/files/FOMC20130130material.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,March,19,March,20,"['/monetarypolicy/beigebook/files/Beigebook_20130306.pdf', '/monetarypolicy/beigebook/beigebook201303.htm']",/monetarypolicy/files/FOMC20130320tealbooka20130313.pdf,/monetarypolicy/files/FOMC20130320tealbookb20130314.pdf,/monetarypolicy/files/FOMC20130320Agenda.pdf,/newsevents/pressreleases/monetary20130320a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130320.htm', '/monetarypolicy/files/fomcminutes20130320.pdf']",/monetarypolicy/files/FOMC20130320meeting.pdf,/monetarypolicy/files/FOMC20130320material.pdf,/monetarypolicy/fomcpresconf20130320.htm,/monetarypolicy/files/FOMC20130320SEPcompilation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,April,30,May,1,"['/monetarypolicy/beigebook/files/Beigebook_20130417.pdf', '/monetarypolicy/beigebook/beigebook201304.htm']",/monetarypolicy/files/FOMC20130501tealbooka20130424.pdf,/monetarypolicy/files/FOMC20130501tealbookb20130425.pdf,/monetarypolicy/files/FOMC20130501Agenda.pdf,/newsevents/pressreleases/monetary20130501a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130501.htm', '/monetarypolicy/files/fomcminutes20130501.pdf']",/monetarypolicy/files/FOMC20130501meeting.pdf,/monetarypolicy/files/FOMC20130501material.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,June,18,June,19,"['/monetarypolicy/beigebook/files/Beigebook_20130605.pdf', '/monetarypolicy/beigebook/beigebook201306.htm']",/monetarypolicy/files/FOMC20130619tealbooka20130612.pdf,/monetarypolicy/files/FOMC20130619tealbookb20130613.pdf,/monetarypolicy/files/FOMC20130619Agenda.pdf,/newsevents/pressreleases/monetary20130619a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130619.htm', '/monetarypolicy/files/fomcminutes20130619.pdf']",/monetarypolicy/files/FOMC20130619meeting.pdf,/monetarypolicy/files/FOMC20130619material.pdf,/monetarypolicy/fomcpresconf20130619.htm,/monetarypolicy/files/FOMC20130619SEPcompilation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,July,30,July,31,"['/monetarypolicy/beigebook/files/Beigebook_20130717.pdf', '/monetarypolicy/beigebook/beigebook201307.htm']",/monetarypolicy/files/FOMC20130731tealbooka20130724.pdf,/monetarypolicy/files/FOMC20130731tealbookb20130725.pdf,/monetarypolicy/files/FOMC20130731Agenda.pdf,/newsevents/pressreleases/monetary20130731a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130731.htm', '/monetarypolicy/files/fomcminutes20130731.pdf']",/monetarypolicy/files/FOMC20130731meeting.pdf,/monetarypolicy/files/FOMC20130731material.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,September,17,September,18,"['/monetarypolicy/beigebook/files/Beigebook_20130904.pdf', '/monetarypolicy/beigebook/beigebook201309.htm']",/monetarypolicy/files/FOMC20130918tealbooka20130911.pdf,/monetarypolicy/files/FOMC20130918tealbookb20130912.pdf,/monetarypolicy/files/FOMC20130918Agenda.pdf,/newsevents/pressreleases/monetary20130918a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20130918.htm', '/monetarypolicy/files/fomcminutes20130918.pdf']",/monetarypolicy/files/FOMC20130918meeting.pdf,/monetarypolicy/files/FOMC20130918material.pdf,/monetarypolicy/fomcpresconf20130918.htm,/monetarypolicy/files/FOMC20130918SEPcompilation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,October,16,October, 2013,,,,,,,,/monetarypolicy/files/FOMC20131016confcall.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,October,29,October,30,"['/monetarypolicy/beigebook/files/BeigeBook_20131016.pdf', '/monetarypolicy/beigebook/beigebook201310.htm']",/monetarypolicy/files/FOMC20131030tealbooka20131023.pdf,/monetarypolicy/files/FOMC20131030tealbookb20131024.pdf,/monetarypolicy/files/FOMC20131030Agenda.pdf,/newsevents/pressreleases/monetary20131030a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20131030.htm', '/monetarypolicy/files/fomcminutes20131030.pdf']",/monetarypolicy/files/FOMC20131030meeting.pdf,/monetarypolicy/files/FOMC20131030material.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Meeting,1,December,17,December,18,"['/monetarypolicy/beigebook/files/Beigebook_20131204.pdf', '/monetarypolicy/beigebook/beigebook201312.htm']",/monetarypolicy/files/FOMC20131218tealbooka20131212.pdf,/monetarypolicy/files/FOMC20131218tealbookb20131212.pdf,/monetarypolicy/files/FOMC20131218Agenda.pdf,/newsevents/pressreleases/monetary20131218a.htm,/monetarypolicy/fomc-memos.htm#m2013,"['/monetarypolicy/fomcminutes20131218.htm', '/monetarypolicy/files/fomcminutes20131218.pdf']",/monetarypolicy/files/FOMC20131218meeting.pdf,/monetarypolicy/files/FOMC20131218material.pdf,/monetarypolicy/fomcpresconf20131218.htm,/monetarypolicy/files/FOMC20131218SEPcompilation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,1,February,6,February,7,"['/monetarypolicy/files/fomc19900207beige19900124.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19900207Agenda.pdf,,,,/monetarypolicy/files/FOMC19900207meeting.pdf,/monetarypolicy/files/FOMC19900207material.pdf,,,"['/monetarypolicy/files/fomc19900207gbpt119900131.pdf', '/monetarypolicy/files/fomc19900207gbpt219900131.pdf', '/monetarypolicy/files/fomc19900207gbsup19900202.pdf']",/monetarypolicy/files/fomc19900207bluebook19900202.pdf,/monetarypolicy/files/fomcropa19900207.pdf,/monetarypolicy/files/fomcmoa19900207.pdf,,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,,March,27,March,27,"['/monetarypolicy/files/fomc19900327beige19900314.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19900327Agenda.pdf,,,,/monetarypolicy/files/FOMC19900327meeting.pdf,/monetarypolicy/files/FOMC19900327material.pdf,,,"['/monetarypolicy/files/fomc19900327gbpt119900321.pdf', '/monetarypolicy/files/fomc19900327gbpt219900321.pdf', '/monetarypolicy/files/fomc19900327gbsup19900323.pdf']",/monetarypolicy/files/fomc19900327bluebook19900323.pdf,/monetarypolicy/files/fomcropa19900327.pdf,/monetarypolicy/files/fomcmoa19900327.pdf,0,,,,,,,,,,,,,,,,,,,,,
1990,Conference Call,,April,11,April,11,,,,,,,,/monetarypolicy/files/FOMC19900411confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,,May,15,May,15,"['/monetarypolicy/files/fomc19900515beige19900502.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19900515Agenda.pdf,,,,/monetarypolicy/files/FOMC19900515meeting.pdf,/monetarypolicy/files/FOMC19900515material.pdf,,,"['/monetarypolicy/files/fomc19900515gbpt119900509.pdf', '/monetarypolicy/files/fomc19900515gbpt219900509.pdf', '/monetarypolicy/files/fomc19900515gbsup19900511.pdf']",/monetarypolicy/files/fomc19900515bluebook19900511.pdf,/monetarypolicy/files/fomcropa19900515.pdf,/monetarypolicy/files/fomcmoa19900515.pdf,0,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,1,July,2,July,3,"['/monetarypolicy/files/fomc19900703beige19900620.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19900703Agenda.pdf,,,,/monetarypolicy/files/FOMC19900703meeting.pdf,/monetarypolicy/files/FOMC19900703material.pdf,,,"['/monetarypolicy/files/fomc19900703gbpt119900627.pdf', '/monetarypolicy/files/fomc19900703gbpt219900627.pdf', '/monetarypolicy/files/fomc19900703gbsup19900629.pdf']",/monetarypolicy/files/fomc19900703bluebook19900629.pdf,/monetarypolicy/files/fomcropa19900703.pdf,/monetarypolicy/files/fomcmoa19900703.pdf,,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,,August,21,August,21,"['/monetarypolicy/files/fomc19900821beige19900808.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19900821Agenda.pdf,,,,/monetarypolicy/files/FOMC19900821meeting.pdf,/monetarypolicy/files/FOMC19900821material.pdf,,,"['/monetarypolicy/files/fomc19900821gbpt119900815.pdf', '/monetarypolicy/files/fomc19900821gbpt219900815.pdf', '/monetarypolicy/files/fomc19900821gbsup19900817.pdf']",/monetarypolicy/files/fomc19900821bluebook19900817.pdf,/monetarypolicy/files/fomcropa19900821.pdf,/monetarypolicy/files/fomcmoa19900821.pdf,0,,,,,,,,,,,,,,,,,,,,,
1990,Conference Call,,September,7,September,7,,,,,,,,/monetarypolicy/files/FOMC19900907confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1990,Conference Call,,September,17,September,17,,,,,,,,/monetarypolicy/files/FOMC19900917confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1990,Meeting,,October,2,October,2,"['/monetarypolicy/files/fomc19901002beige19900919.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19901002Agenda.pdf,,,,/monetarypolicy/files/FOMC19901002meeting.pdf,/monetarypolicy/files/FOMC19901002material.pdf,,,"['/monetarypolicy/files/fomc19901002gbpt119900926.pdf', '/monetarypolicy/files/fomc19901002gbpt219900926.pdf', '/monetarypolicy/files/fomc19901002gbsup19900928.pdf']",/monetarypolicy/files/fomc19901002bluebook19900928.pdf,/monetarypolicy/files/fomcropa19901002.pdf,/monetarypolicy/files/fomcmoa19901002.pdf,0,,,,,,,,,,,,,,,,,,,,,
