start_date,end_date,RelevantParagraphs,alternatives_discussed,alternatives_parags
1968-08-13,1968-08-13,0,"No alternatives found","No alternatives found"
1968-09-10,1968-09-10,0,"No alternatives found","No alternatives found"
1968-10-08,1968-10-08,0,"No alternatives found","No alternatives found"
1968-10-29,1968-10-29,0,"No alternatives found","No alternatives found"
1968-11-26,1968-11-26,0,"No alternatives found","No alternatives found"
1968-12-17,1968-12-17,0,"No alternatives found","No alternatives found"
1969-01-14,1969-01-14,0,"No alternatives found","No alternatives found"
1969-02-04,1969-02-04,0,"No alternatives found","No alternatives found"
1969-03-04,1969-03-04,0,"No alternatives found","No alternatives found"
1969-04-01,1969-04-01,0,"No alternatives found","No alternatives found"
1969-04-29,1969-04-29,0,"No alternatives found","No alternatives found"
1969-05-27,1969-05-27,0,"No alternatives found","No alternatives found"
1969-06-24,1969-06-24,0,"No alternatives found","No alternatives found"
1969-07-15,1969-07-15,0,"No alternatives found","No alternatives found"
1969-08-12,1969-08-12,0,"No alternatives found","No alternatives found"
1969-09-09,1969-09-09,0,"No alternatives found","No alternatives found"
1969-10-07,1969-10-07,0,"No alternatives found","No alternatives found"
1969-10-28,1969-10-28,4,"Alternative A, Alternative B","(7), (15), (16), (17)"
1969-11-25,1969-11-25,2,"Alternative A","(6), (13)"
1969-12-16,1969-12-16,2,"Alternative A","(7), (16)"
1970-01-15,1970-01-15,3,"Alternative A, Alternative B","(8), (14), (17)"
1970-02-10,1970-02-10,3,"Alternative A, Alternative B","(8), (15), (17)"
1970-03-10,1970-03-10,5,"Alternative A, Alternative B","(3), (7), (15), (17), (18)"
1970-04-07,1970-04-07,2,"Alternative A","(7), (15)"
1970-05-05,1970-05-05,0,"No alternatives found","No alternatives found"
1970-05-26,1970-05-26,1,"Alternative A","(12)"
1970-06-23,1970-06-23,5,"Alternative A, Alternative B, Alternative C","(10), (16), (18), (20), (24)"
1970-07-21,1970-07-21,2,"Alternative A, Alternative B","(7), (8)"
1970-08-18,1970-08-18,2,"Alternative A","(8), (17)"
1970-09-15,1970-09-15,8,"Alternative A, Alternative B","(2), (8), (13), (14), (16), (17), (18), (19)"
1970-10-20,1970-10-20,0,"No alternatives found","No alternatives found"
1970-11-17,1970-11-17,3,"Alternative A, Alternative B","(11), (15), (20)"
1970-12-15,1970-12-15,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (15), (17), (19)"
1971-01-12,1971-01-12,8,"Alternative A, Alternative B, Alternative C, Alternative D","(6), (7), (9), (10), (12), (15), (19), (20)"
1971-02-09,1971-02-09,8,"Alternative A, Alternative B, Alternative C, Alternative D","(7), (9), (10), (12), (15), (18), (19), (20)"
