start_date,Paragraph_number,Paragraph,Alternatives
1971-07-27,1,"(1) Growth of the narrowly-defined money supply in July appears
to be somewhat faster than projected in the last blue book, as best can be
judged by information available through the week of the 21st, with data for
the latter week partly estimated. The broader money supply (M2) appears to
be increasing less rapidly than projected, however, as a substantial short-
fall below path in time deposits other than CD's more than offset the over-
shoot in private demand deposits. And with U.S. Government deposits much
weaker than expected and nondeposit sources of funds continuing to decline
on balance, the bank credit proxy appears to be falling very considerably
short of expectations in July.
Growth Rates in Key Monetary Aggregates 1/
(Per cent annual rates of change)
Bluebook Current
Bluebook Current
Path 2/ Estimate
Tables 7 and 7A in the back of
the various aggregates.
Alternative B path of the last
Bluebook
Path 2/
the bluebook
Adjusted Proxy
Current Bluebook Current
Estimate Path 2 / Estimate
show the reconciliation among
","Alternative B"
1973-09-18,1,"(1) RPD's now appear to be growing around the mid-point of the
Committee's August-September range of tolerance, but M1 appears to be well
below and M2 is near the bottom of their respective ranges, as the table
shows. In August the narrowly defined money supply experienced a small
contraction instead of expanding slightly as projected, and growth of M2
at a 6-1/2 per cent annual rate was also substantially short of expecta-
tions. The smaller shortfall from target for M2 as compared with M1
reflects the continuing expansion in consumer-type time deposits, particu-
Growth of Monetary Aggregates and RPD
in August-September Target Period
Ranges of Latest
Reserve and Monetary Aggregates Tolerance Estimates
(Growth at SAAR in per cent)
RPD 11--13 12.2
M1 -- 4 - 0.7
M2  6-3/4--9-3/4 6.7
Memo: Statement
week ave.
Fed funds rate
(per cent per annum) 10--11 9/12 10.74
larly the 4-year wild card accounts. The fact that RPD's are growing around
the mid-point of their range of tolerance, even though the money supply
aggregates are low, stems from the Committee's decision to reduce (by two
per centage points) the whole range of tolerance for RPD's relative to
that shown in the Bluebook for alternative B, while dropping (by just one
per centage point) only the low ends of the ranges for M1 and M2 .
","alternative B"
1970-09-15,2,"(2) The rapid August growth rate for the published money stock
also reflected a marked reduction in the importance of several types of
international transfers at major banks; these transfers had the effect on
the published figures of understating the growth rate of the money supply
earlier in 1970. Because the sources of bias became less important in
August than in earlier months, once the published data are roughly ad-
Justed to eliminate the effect of these biases (as explained in the
appendix), the August change in the money stock adjusts downward to an
annual rate of around 9 per cent. Since only one of the sources of bias
in the money supply data affects the bank credit proxy, adjustments to
eliminate bias produce only very minor changes in the proxy series.
Recent Paths of Key Monetary Aggregates
(Seasonally adjusted, billions of dollars)
Adjusted Credit Proxy Money Supply
Indicated at Actual Indicated at Actual
Last Meeting/ Results Last Meeting Results
Week ni ing
August 12
Sept. 2
% Annual
Rates of Change
% An-ual
Rates of Change
e/ partly estimated.
1/ Alternative A path of previous Blue Book consistent wich a 5 per cent
annual rate of growth in money stock for third quarter.
2/ Figures in parentheses reflect estimated money supply levels and per
cent annual rates of growth after correction for bias.
(210.6/
(210.6)-
","Alternative A"
1971-07-27,2,"(2) The actual course of the monetary aggregates in recent weeks is
compared with the alternative B paths of the previous bluebook in-the following
July 23, 1971.
Recent Paths of the Key Monetary Aggregates
(Seasonally adjusted, billions of dollars)
SM Adjusted
1 _M2 Credit Proxy
Bluebook Bluebook Bluebook
Path Actual Path Actual Path Actual
Week ending
","alternative B"
1972-07-18,2,"(2) With private demand deposits coming in below expectations
in the latter part of June, M 1 expanded at a 4-1/2 per cent annual rate
for the month, about one and a half percentage points below the rate built
into the alternative B path of the last Committee meeting. In the first
two statement weeks of July, however, there has apparently been a sharp
pick-up in the rate of expansion, and the level of M1 moved substantially
above the path levels specified earlier. It seems possible that the late
June weakness in narrowly defined money supply temporarily reflected in
some part either direct or indirect effects of large outflows of dollars
from the U. S.
","alternative B"
1970-03-10,3,"(3) While the staff had expected some gradual improvement
in time deposit performance under the less restrictive alternative a opted
by the Committee, the improvement developed more rapidly than projected
partly because of an earlier and larger decline in bill rates than
anticipated. Much of the improved performance of time deposits was
attributable to consumer-type deposits at banks outside major money
centers. In addition, the attrition of domestic large negotiable CD's
came to a halt in early February, and inflows of foreign official funds
into time deposits were larger than expected.
","alternative a"
1972-08-15,3,"(3) The early July bulge in private demand deposits evident at
the time of the last Committee meeting receded somewhat over the latter part
of the month, but this drop-off was significantly smaller than expected.
As a result, M1 rose at a 15 per cent annual rate during the month, even
faster than the 10.4 per cent rate estimated for the policy alternative
approved at the last meeting. 1/ Data for the first two weeks of August
indicated that M1 is continuing to exceed levels thought likely a month ago,
although the differences are not so sharp as in July. During the second
quarter, the demand for cash balances had seemed on the low side, given the
rapid expansion of nominal GNP and the marked earlier decline of interest
rates extending into early 1972. Thus, the stronger July and August perform-
ance may be signaling a catch-up to more normal relationships between changes
in M1, interest rates, and GNP.
","alternative
a"
1971-07-27,4,"(4) During the first three statement weeks of July member bank
borrowings averaged about $930 million, about $415 million above the June
average. Apparently in recent weeks many banks that had borrowed relatively
little at the discount window have become more willing borrowers, given the
spread of the Federal funds rate above the discount rate. Excess reserves
have been volatile over the past three weeks, and net borrowed reserves of
member banks have ranged from $350 to $950 million, with the average level
considerably deeper than in June.
Reserve Aggregates
(Daily averages in millions of dollars, seasonally adjusted)
Total Nonborrowed Required
Bluebook Bluebook Bluebook
Path 1/ Actual Path 1/ Actual Path 1/ Actual
June 31,307 31,257 30,932 30,801 31,087 31,046
July pe 31,794 31,339 31,416 30,443 31,585 31,127
Week ending
July 7 31,224 31,071 30,915 30,495 31,013 30,769
July 14 31,359 30,867 31,069 29,984 31,334 31,026
July 21 32,212 31,583 31,727 30,376 31,852 31,133
pe -- Partly estimated.
1/ Alternative B.
","Alternative B"
1971-07-27,5,"(5) Although M1 in July has turned out to be somewhat
stronger than previously projected, the need for reserves in the first three
weeks of the month was considerably less than expected (as shown by the
difference between ""path"" and ""actual"" required reserves in the table above).
The lower level of required reserves relative to path was mainly the result
of large downward adjustments in preliminary estimates of private demand
deposits during the last two weeks of June, and much lower than expected U.S.
Government deposits in early July. Thus, with the need for reserves reduced,
growth of member bank total reserves in July is falling substantially short
of what was implied by the alternative B path at the time of the last
Committee meeting, as shown in the table above, despite the sharp rise
in member bank borrowings. Nonborrowed reserves were even further below
path than total reserves--and showed an actual decline from June to July
--as the Desk provided fewer reserves given the increased demand for
borrowings by banks.
","alternative B"
1971-10-19,5,"(5) Three alternatives for Committee consideration are summarized
in the text table below, with the monetary aggregate paths laid out in
more detail in the table on the next page. (Two tables at the end of
text show weekly paths for the monetary aggregates and more detail on
aggregate reserves).
Alternative A Alternative B Alternative C
Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2
Member bank borrowings 300--450 150--300 50--150
Growth in M1 (SAAR)
","Alternative A, Alternative B, Alternative C"
