year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10
1968,1968-08-13,1968-08-13,0,6.13,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1968,1968-09-10,1968-09-10,0,6,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1968,1968-10-08,1968-10-08,0,6,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1968,1968-10-29,1968-10-29,0,5.88,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1968,1968-11-26,1968-11-26,0,5.88,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1968,1968-12-17,1968-12-17,0,6,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-01-14,1969-01-14,0,6.63,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-02-04,1969-02-04,0,6.38,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-03-04,1969-03-04,0,6.75,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-04-01,1969-04-01,0,6.25,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-04-29,1969-04-29,0,7.75,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-05-27,1969-05-27,0,8.75,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-06-24,1969-06-24,0,9.13,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-07-15,1969-07-15,0,9,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-08-12,1969-08-12,0,9.75,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-09-09,1969-09-09,0,9,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-10-07,1969-10-07,0,9.5,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1969,1969-10-28,1969-10-28,3,8,No target in FRED,"Prospective developments (7) For the second paragraph of the current economic policy directive, the Committee might wish to consider language along the following lines (alternative A): 'To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to main- taining the prevailing firm conditions in money and short-term credit -5- markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.","Assuming the bill rate remains within the range, however, we would not expect the November aggregatesto be more than a -9- percentage point or two stronger than projected under alternative A of the directive.","Thus, relative to the alternative A projections, bank credit and deposit expansion, might show a more noticeable strengthening in December than in November.","","","","","","",""
1969,1969-11-25,1969-11-25,1,8.5,No target in FRED,"Year 1968 7.8 6.0 9.0 9.8 n. a. 11.0 7.2 11.5 6.3 Jan. '69- June '69 0.7 -3.7 -3.5 -0.2 n.a. 3.0 4.3 -4.0 5.0 July '69- Sept. '69 - 9.3 - 4.8 -9.4 -6.2 -4.3 - 0.5 -13.3 2.1 Oct. '69 -10.9 -17.1 - 9.2 -10.0 - 7.5 0.3 0.6 -3.7 -0.5 Prospective developments (6) For the second paragraph of the current economic policy directive, the Committee might wish to continue the language currently in force which reads as follows (alternative A): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to main- taining the prevailing firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.""","","","","","","","","",""
1969,1969-12-16,1969-12-16,1,9,No target in FRED,"Prospective developments (7) For the second paragraph of the current economic policy directive, the Committee may wish to consider the following wording (Alternative A): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining the prevailing firm conditions in THE money [DEL: and-short term-credit markets; provided, however, that opera- tions shall be modified if bank credit appears to be deviating significantly from current projections or if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP.""","","","","","","","","",""
1970,1970-01-15,1970-01-15,1,8,No target in FRED,"- 9.3 - 4.8 0.0 -13.3 1.1 -0.4 1.2 0.2 - 9.4 - 6.2 - 4.3 0.0 2.1 - 0.8 0.8 2.0 Prospective developments (8) If the Committee decides to maintain unchanged conditions in the money market over the next four weeks, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, WHILE TAKING ACCOUNT OF THE FORTHCOMING TREASURY REFUNDING, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining the prevailing firm conditions in the money market; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections [DEL: or if unusual liquidity pressures should develop.] (9) The fluctuations in net borrowed reserves and the Federal funds rate over the past several weeks make it difficult to define prevailing money market conditions.","","","","","","","","",""
1970,1970-02-10,1970-02-10,2,9,No target in FRED,"Prospective developments (8) If the Committee wishes to maintain an unchanged stance with respect to its views as to monetary aggregates and money market conditions, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, while taking account of the CURRENT forthcoming Treasury refunding, possible bank regula- tory change, and the Committee's desire to see a modest growth in money and bank credit, System open market opera- tions until the next meeting of the Committee shall be con- ducted with a view to maintaining firm conditions in the money market; provided, however, that operations shall be modified if money and bank credit appear to be deviating significantly from current projections.","Such an easing in money market conditions would likely be accompanied by a sharp drop in short-term interest rates, partly on expectational grounds, with the 3-month Treasury bill rate, for example, moving to and probably somewhat below 7 per cent. (17) Under such conditions, banks might be in a position to regain a substantial amount of CD's, Instead of an attrition running at about the $100-$300 million per month rate likely under alternative A (depending on the degree of firmness achieved under the specifications of that alternative), we would expect banks at least to maintain outstanding CD's at around the current $10 billion level.","","","","","","","",""
1970,1970-03-10,1970-03-10,4,7.5,No target in FRED,"(3) While the staff had expected some gradual improvement in time deposit performance under the less restrictive alternative a opted by the Committee, the improvement developed more rapidly than projected partly because of an earlier and larger decline in bill rates than anticipated.","Prospective developments (7) If the Committee wishes to continue on the growth path of monetary aggregates (taken together),and associated money market conditions, that are implicit in the policy stance adopted at the last meeting, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, while taking account of [DEL: the current Treasury refundin possibble bank regulatory changes and] the Committee's desire to see moderate growth in money and bank credit over the months ahead, System open market operations until the next meeting of the Committee shall be conducted with a view to MAINTAINING THE SOMEWHAT LESS [DEL: moving gradually toward somewhat less] firm conditions THAT HAVE BEEN ATTAINED in the money market; provided, however, that operations shall be modified promptly to resist any tendency for money and bank credit to deviate significantly from a moderate growth pattern.","(17) The anticipated weakness of the economy through the second quarter suggests that it will be difficult to generate much more growth in the money supply than indicated in alternative A without a -11- substantially lower level of interest rates.","Mainly because of the rise in time deposits, the adjusted bank credit proxy would also be stronger than under alternative A, rising in an 8-11 per cent annual rate range in March and April together.","","","","","",""
1970,1970-04-07,1970-04-07,1,7.5,No target in FRED,"Prospective developments (7) If the Committee wishes to continue on the policy course adopted at the March meeting, it may want to renew the second paragraph of the directive issued then, with the addition of a reference to the Treasury financing, as follows (alternative A): To implement this policy, the Committee desires to see moderate growth in money and bank credit over the months ahead.","","","","","","","","",""
1970,1970-05-05,1970-05-05,0,8.5,No target in FRED,"No Sentences Alternative A","","","","","","","","",""
1970,1970-05-26,1970-05-26,1,7.88,No target in FRED,"10- Alternative (12) Should the Committee--for example, because it wishes to accommodate what appears to be increased liquidity demands in the economy--wish to move onto a path that allows for somewhat greater rates of growth in the monetary aggregates than Alternative A, the following language for the second paragraph might be considered: To implement this policy, the Committee desires to see [DEL: moderate] SOMEWHAT GREATER growth in money and bank credit over the months ahead THAN PREVIOUSLY SOUGHT.","","","","","","","","",""
1970,1970-06-23,1970-06-23,3,7.75,No target in FRED,"Alternative A (11) If the Committee desires to continue for the time being primary emphasis on financial market conditions over monetary aggregates, it may wish to consider renewal of the directive language adopted at the last meeting, with the following minor changes: ""To implement this policy, in view of PERSISTING [DEL: current] market uncertainties and liquidity strains, open market operations until the next meeting of the Committee shall CONTINUE TO be conducted with a view to moderating pressures on financial markets, while, to the extent compatible there- with, maintaining bank reserves and money market conditions consistent with the Committee's longer-run objective of moderate growth in money and bank credit.""","In these circumstances, the 3-month Treasury bill rate could also be expected to range somewhat higher than under Alternative A, perhaps between 6.60 and 7.10 per cent. Months June July August Septemb -13- (19) Growth in the adjusted credit proxy consistent with 4 per cent money growth and the money market conditions specified above is pro- jected at an annual rate averaging 5-1/2 per cent during the third quarter.","The table also shows the projected weekly path associated with Alternative A. Weekly Path for Monetary Aggregates (Daily average levels, seasonally adjusted in billions of dollars) Adjusted Credit Proxy Money Supply Tctal Reserves l/ 2/ Week ending Alt.","","","","","","",""
1970,1970-07-21,1970-07-21,4,7.13,No target in FRED,"(7) Of the two alternatives shown below for the second paragraph, alternative A calls for continuing the same degree of con- cern with financial markets as the previous two directives.","Alternative A ""To implement this policy, in view of persisting market uncertainties and [DEL: liquidity strains] TAKING ACCOUNT OF THE FORTHCOMING TREASURY FINANCING, open market operations until the next meeting of the Committee shall continue to be con- ducted with a view to moderating pressures on financial markets.","This set can be considered as consistent with either alternative A or B since, so far as the staff can judge now, money market conditions similar to those recently pre- vailing might be accompanied by a moderate growth in the money supply and no strong upward pressure on interest rates.","Under alternative B, the Desk would be freer to react--though equally subject to ""even-keel"" considerations as in alternative A--should the aggregates be deviating from the indicated path, or from whatever modification of it the Committee may wish to make.","","","","","",""
1970,1970-08-18,1970-08-18,2,6.63,No target in FRED,"Prospective developments (8) If the Committee wishes to continue with a policy that encompasses financial flows and credit conditions consistent with a 5 per cent trend rate of growth for the money supply, the following language for the second paragraph of the directive may be considered (alternative A): To implement this policy, [DEL: while taking account of persisting market uncertainties; liquidity strains; and the forthcoming Treasury financing;] the Committee seeks to promote moderate growth in money and bank credit over the months ahead, WHILE TAKING ACCOUNT OF PERSISTING LIQUIDITY PROBLEMS AND allowing [DEL: for a possible] BANK CREDIT GROWTH TO REFLECT A continued shift of credit flows from market to banking channels.","Nevertheless, with market rates reduced, total time deposits would be expected to grow somewhat more rapidly than under alternative A.","","","","","","","",""
