year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,Sentence_11,Sentence_12
1968,1968-08-13,1968-08-13,0,6.13,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1968,1968-09-10,1968-09-10,0,6,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1968,1968-10-08,1968-10-08,0,6,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1968,1968-10-29,1968-10-29,0,5.88,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1968,1968-11-26,1968-11-26,0,5.88,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1968,1968-12-17,1968-12-17,0,6,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-01-14,1969-01-14,0,6.63,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-02-04,1969-02-04,0,6.38,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-03-04,1969-03-04,0,6.75,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-04-01,1969-04-01,0,6.25,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-04-29,1969-04-29,0,7.75,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-05-27,1969-05-27,0,8.75,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-06-24,1969-06-24,0,9.13,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-07-15,1969-07-15,0,9,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-08-12,1969-08-12,0,9.75,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-09-09,1969-09-09,0,9,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-10-07,1969-10-07,0,9.5,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1969,1969-10-28,1969-10-28,3,8,No target in FRED,"Policy alternative (15) If the Committee should decide to move toward somewhat less firm money market conditions, it might wish to consider directive language along the following lines (alternative B): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to achieving slightly less firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.","","","","","","","","","","",""
1969,1969-11-25,1969-11-25,1,8.5,No target in FRED,"(13) If the Committee should decide to move toward slightly less firm money market conditions, it might wish to consider the following second paragraph for the directive (alternative B): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to achieving slightly less firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.""","","","","","","","","","","",""
1969,1969-12-16,1969-12-16,1,9,No target in FRED,"(15) If current projections for December are realized, the annual rates of increase for key aggregates in the fourth quarter would be as follows (using the midpoint of the December projections): Annual Rates (in percentage points) Total reserves 2.0 Nonborrowed reserves -2.0 Money supply 0.0 Time and savings deposits 0.0 Total member bank deposits 0.5 Total member bank deposits plus nondeposit sources 2.0 Policy alternative (16) If the Committee should decide to move toward slightly less firm money market conditions, it might wish to consider the follow- ing second paragraph for the directive (Alternative B): 'To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to [DEL: maintaining-the prevailing-ACHIEVING SLIGHTLY LESS firm conditions in THE money and-short-term-credit markets;] provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections or if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP [DEL: aruse in connection with-possible bank regulatory changes.] -10- (17) The slightly less firm money market conditions might involve Federal funds most frequently around 8-1/2 per cent, member bank borrowings around $1 billion or a little less, and net borrowed reserves fluctuating around $800 million.","","","","","","","","","","",""
1970,1970-01-15,1970-01-15,1,8,No target in FRED,"(14) Policy alternative B.","","","","","","","","","","",""
1970,1970-02-10,1970-02-10,2,9,No target in FRED,"(15) Should the Committee wish to move toward somewhat easier conditions in the money market, concomitant with somewhat stronger growth in the banking and deposit aggregates, it might con- sider the following second paragraph for the directive (alternative B): To implement this policy, while taking account of the CURRENT forthcoming Treasury refunding, possible bank regulatory changes and the Committee's desire to see MODERATE a-modest growth in money and bank credit, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining firm MOVING TOWARD SOMEWHAT EASIER conditions in the money market; provided, however, that operations shall be modified if money and bank credit appear to be deviating significantly from current projections.","","","","","","","","","","",""
1970,1970-03-10,1970-03-10,4,7.5,No target in FRED,"-10- Policy alternative (15) If it is the Committee's desire to encourage somewhat more growth in the monetary aggregates, and to move further toward less firm money market conditions, it may wish to consider the following second paragraph for the directive (alternative B): To implement this policy, while taking account of [DEL: the current Treasury refunding possible bank regulatory changes and] the Committee's desire to see moderate growth in money and bank credit over the months ahead, System open market operations until the next meeting of the Committee shall be conducted with a view to CONTINUING TO MOVE moving gradually toward somewhat less firm condi- tions in the money market; provided, however, that opera- tions shall be modified promptly to resist any tendency for money and bank credit to deviate significantly from THE ANTICIPATED [DEL: a moderate ] growth pattern.","(18) Staff guesses as to how the monetary aggregates might develop under alternative B are shown in the table below (with figures representing percentage annual rates of change): First Second Quarter Quarter Money supply 2% 4% Time deposits 1/2 18 Adjusted bank credit proxy 1/2 7 Total reserves -3 1 Table 1 MARGINAL RESERVE MEASURES (Dollar amounts in millions, based on period averages of daily figures) Member Banks Borrowings Period Free Excess R e s e r v e C i t reserves reserves Total Major banks O r Country 8 N.Y. Outside N.Y. ter Monthly (reserves weeks ending in): 1969--January - 477 359 836 131 302 149 253 February - 580 256 836 62 255 215 304 March - 635 202 837 58 233 254 293 April - 844 187 1,031 85 411 260 275 May -1,116 243 1,359 123 346 397 493 June -1,078 277 1,355 57 459 288 550 July -1,045 266 1,311 89 250 364 608 August - 997 214 1,211 81 253 256 621 September - 744 282 1,026 83 236 222 485 October - 995 195 1,190 106 327 293 464 November - 975 238 1,213 120 387 250 456 December - 849 278 1,127 268 310 220 329 1970--January p - 744 184 928 148 292 227 261 February p - 951 175 1,126 106 318 288 414 Weekly: 1969--Sept. 3 - 838 402 1,240 57 286 233 664 10 - 349 391 740 64 39 172 465 17 - 886 132 1,018 128 331 136 423 24 - 901 204 1,105 83 306 328 388 Oct. 1 -1,116 320 1,436 95 531 257 553 8 - 828 139 967 170 112 267 418 15 -1,129 218 1,347 210 396 302 439 22 - 857 158 1,015 -- 275 344 396 29 -1,099 80 1,179 53 322 293 511 Nov. 5 -1,032 296 1,328 121 422 295 490 12 - 873 371 1,244 350 296 189 409 19 - 925 146 1,071 -- 390 260 421 26 -1,072 138 1,210 8 438 260 504 Dec. 3 - 988 203 1,191 266 307 241 379 10 - 903 297 1,200 293 264 264 379 17 - 946 98 1,044 164 296 301 296 24 - 832 264 1,096 296 356 150 292 31 - 576 528 1,104 319 334 153 299 1970--Jan. 7 - 567 285 852 196 327 87 243 14 - 788 77 865 234 281 188 162 21 p - 752 214 966 75 340 297 254 28 p - 870 158 1,028 86 218 339 385 Feb. 4 p -1,078 180 1,258 75 388 311 484 11 p - 922 149 1,071 130 351 269 321 18 p - 888 223 1,111 218 258 249 386 25 p - 918 146 1,064 -- 275 323 466 Mar. 4 p - 694 139 833 32 46 418 337 p - Preliminary.","","","","","","","","","",""
1970,1970-04-07,1970-04-07,1,7.5,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1970,1970-05-05,1970-05-05,0,8.5,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1970,1970-05-26,1970-05-26,1,7.88,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1970,1970-06-23,1970-06-23,3,7.75,No target in FRED,"Alternative B (17) If the Committee wishes to return to its earlier emphasis on moderate growth in the monetary aggregates as the primary operating -11- target for open market policy, it may wish to adopt a directive with the following language: ""To implement this policy, [DEL: in view of current market uncertainties and liquidity strains,] THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD.","However, some possibility exists that the changes in short-term market interest rates required under Alternative B or C could be large enough to have appreciable effects on market expectations about the course of interest rates.","On the other hand, given the still sensitive state of securities markets, the adoption of Alternative B, involving a marginal firming in money markets, might lead to some stiffening of market interest rates and renewed apprehensions about financial conditions.","","","","","","","","",""
1970,1970-07-21,1970-07-21,4,7.13,No target in FRED,"Alternative B ""To implement this policy, [DEL: in view of persisting market uncertainties and liquidity strains;] THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD, ALLOWING FOR A POSSIBLE CONTINUED SHIFT OF CREDIT FLOWS FROM MARKET TO BANKING CHANNELS.","Under alternative B, the Desk would be freer to react--though equally subject to ""even-keel"" considerations as in alternative A--should the aggregates be deviating from the indicated path, or from whatever modification of it the Committee may wish to make.","","","","","","","","","",""
1970,1970-08-18,1970-08-18,2,6.63,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1970,1970-09-15,1970-09-15,5,6.38,No target in FRED,"-11- Alternative B (14) Should the Committee desire to seek a 6 per cent growth rate for the money supply over the fourth quarter and a significant easing in credit market conditions, it may wish to consider the following language for the second paragraph of the directive (alternative B): To implement this policy, the Committee seeks to promote some FURTHER easing of conditions in credit markets and somewhat greater growth in money over the months ahead than occurred in the first half of the year, while taking account of possible liquidity problems and allowing bank credit growth to reflect BANK EFFORTS TO REBUILD LIQUIDITY AND any continued shift of credit flows from market to banking channels.","","","","","","","","","","",""
1970,1970-10-20,1970-10-20,1,6.13,No target in FRED,"No Sentences Alternative B","","","","","","","","","","",""
1970,1970-11-17,1970-11-17,4,5.75,No target in FRED,"Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span.","Policy alternative B. (16) This alternative is presented in the event that the Committee may wish to consider a more aggressive easing in the money market than under alternative A in order to increase the likelihood of moving closer to a 5 per cent money growth rate (and around 6 per cent bank credit) in the fourth quarter, partly as a way station to moving on to a 6 - 7 per cent growth path for money for the fourth and first quarters taken together.","(20) The table below shows monthly patterns of monetary aggregates consistent with alternative B. -16- Selected Monetary Aggregates, Monthly ($ billion, seasonally adjusted--% annual rates of change in parentheses) Adjusted Money Supply Adjusted Bank Credit Proxy September, 1970 October November December, 1970 March, 1971 Fourth quarter (Dec. over Sept.) First quarter (March over Dec.) 210.","","","","","","","","",""
1970,1970-12-15,1970-12-15,6,5.25,No target in FRED,"Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent. (17) Alternative B.","","","","","","","","","","",""
1971,1971-01-12,1971-01-12,7,4.38,No target in FRED,"The latest estimates and the original target paths for the various monetary aggregates are compared in the following table: 1970 Month October November December Week ending Dec. 2 9 16 23 30 Jan. 6 Fourth Quarter Recent Paths of Key Monetary (Seasonally adjusted, billions Money Supply (M1) Indicated at Actual Last Meeting 1/ Results 213.0 213.8 215.5 214.5 214.9 215.5 215.4 216.4 215.6 % Annual 5.0 213.0 213.5 214.7 214.5 214.2 215.3 213.6 214.8 214.1 Rates of Change 2/ 3.6 Aggregates of dollars) Adjusted Credit Proxy Indicated at Actual Last Meeting 1/ Results 324.8 326.9 331.6 328.3 331.0 330.2 332.7 333.2 334.0 % Annual 9.0 324.8 326.7 331.0 328.3 330.7 330.1 331.4 331.7 331.6 Rates of Change 8.1 November over October 4.5 2.8 7.8 7.0 December over November 9.5 6.7 17.5 16.2 1/ Alternative B path of previous Blue Book.","(B) Alternative B shows a growth path for the first quarter which makes up for the shortfall in December and in the fourth quarter.","(10) Under alternative B, the money market may have to be eased from currently prevailing conditions; the funds rate was around 4-1/2 per cent on Friday and might have to be moved down into the lower half of the 4--4-3/4 per cent range specified.","(19) Alternative B. Whereas alternative B includes a statement to the effect that ""the Committee seeks to promote some easing of conditions in credit markets,"" the word ""some"" is omitted in the corresponding statement in this alter- native.","This difference reflects the expectation that interest rates would decline somewhat more under this alternative--which calls for ""more rapid growth in money""--than under alternative B. Table 1 PATHS OF KEY MONETARY AGGREGATES SEASONALLY ADJUSTED STRICTLYCONFIDENTIAL (FR) January 11, 1971 1970: Sept. Oct. Nov. Dec p 1971: Jan. (proj.) Feb. (proj.) Mar. (proj.) 1970: 1st Qtr. 2nd Qtr. 3rd Qtr. 4th Qtr. p 1971: 1st Qtr. (proj.) 1970: Sept. Oct. Nov. Dec. p 1971: Jan. (proj.) Feb. (proj.) Mar. (proj.) 1970: Nov. 4 11 18 25 Dec. 2 9 16 23 30 p 1971: Jan. 6 (proj.) 13 (proj.) Monthly Pattern in Billions of Dollars 324.5 324.8 326.9 331.6 334.6 337.3 341.5 324.5 324.8 326.7 131.) 334.","","","","","","",""
1971,1971-02-09,1971-02-09,10,3.5,No target in FRED,"2/ Alternative B path of previous Bluebook.","The second column, alternative B, shows a path which does not make up the shortfall by March; in other words, this alternative does not retain as a target the March average level of M 1 set at the previous two FOMC meetings.","Alternative A Alternative B End of Quarter Level (Mo. Ave.) (Billions of $) December 214.6 214.6 March 218.8 218.3 June 222.1 222.1 Quarterly Growth Rate (Per cent annual rate) 1st Qtr. (March over Dec.) 8 1/ 7 2nd Qtr. (June over March) 6 7 1/ This growth rate is 8 per cent, rather than the 7-1/2 per cent of the last FOMC meeting, because of a small downward revision in the December average level of the money supply.","(10) Since the alternative B pattern of growth in monetary aggregates involves a somewhat less rapid February--March annual growth rate for M1 of 9 per cent, attainment of this rate would seem to involve a smaller reduction in the Federal funds rate than under alterna- tive A--perhaps a funds rate in a 3--3-1/2 per cent range--and a net free reserve position of $50-$150 million.","Because of the more gradual approach to making up the shortfall in M1 under alternative B, a sizable later snapback in money market rates would not be expected.","Under alternative B, the rate of growth in M2 would be expected to be only slightly less rapid than under alternative A. (19) Alternative B.","As will be noted, the language of alternative B differs from that of alternative A only in the omission of the clause (following the reference to the narrowly defined money stock) reading ""making up the shortfall from the desired growth path that has developed.""","","","","",""
