year,start_date,end_date,numberofsentences_altC,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,Sentence_11,Sentence_12
1968,1968-08-13,1968-08-13,0,6.13,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1968,1968-09-10,1968-09-10,0,6,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1968,1968-10-08,1968-10-08,0,6,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1968,1968-10-29,1968-10-29,0,5.88,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1968,1968-11-26,1968-11-26,0,5.88,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1968,1968-12-17,1968-12-17,0,6,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-01-14,1969-01-14,0,6.63,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-02-04,1969-02-04,0,6.38,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-03-04,1969-03-04,0,6.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-04-01,1969-04-01,0,6.25,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-04-29,1969-04-29,0,7.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-05-27,1969-05-27,0,8.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-06-24,1969-06-24,0,9.13,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-07-15,1969-07-15,0,9,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-08-12,1969-08-12,0,9.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-09-09,1969-09-09,0,9,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-10-07,1969-10-07,0,9.5,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-10-28,1969-10-28,0,8,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-11-25,1969-11-25,0,8.5,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1969,1969-12-16,1969-12-16,0,9,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-01-15,1970-01-15,1,8,No target in FRED,"(17) Policy alternative C.","","","","","","","","","","",
1970,1970-02-10,1970-02-10,0,9,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-03-10,1970-03-10,0,7.5,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-04-07,1970-04-07,0,7.5,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-05-05,1970-05-05,0,8.5,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-05-26,1970-05-26,0,7.88,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-06-23,1970-06-23,2,7.75,No target in FRED,"-14- Alternative C (21) If the Committee believes that the somewhat weaker economic projection calls for a moderately more stimulative monetary policy, defined in terms of expansion rates for money, it may wish to consider the following alternative language: ""To implement this policy, [DEL: in view of current market uncertainties and liquidity strains,] THE COMMITTEE SEEKS TO PROMOTE SOMEWHAT GREATER GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD THAN IN THE FIRST HALF OF THIS YEAR, SYSTEM open market operations until the next meeting of the Committee shall be conducted with a view to [DEL: moderating pressures on financial markets; while; to the extent compatible therewith; maintaining bank reserves and money market conditions consistent with the committee's longer run] THAT objective of-moderate-growth [DEL: in money and bank credit;] PROVIDED, HOWEVER, THAT OPERATIONS SHALL BE MODIFIED AS NEEDED TO COUNTER EXCESSIVE PRESSURES IN FINANCIAL MARKETS, SHOULD THEY DEVELOP.""","Thus, the adoption of Alternative C might lead to a decline in short-term market rates sufficient to make large CD's marginally competitive again.","","","","","","","","","",
1970,1970-07-21,1970-07-21,0,7.13,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-08-18,1970-08-18,0,6.63,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-09-15,1970-09-15,0,6.38,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-10-20,1970-10-20,0,6.13,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-11-17,1970-11-17,0,5.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1970,1970-12-15,1970-12-15,3,5.25,No target in FRED,"Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent.","Under alternative C, declining market interest rates would very likely encourage some further shift away from Euro-dollar borrow- ings absent additional Board action.","(8) Alternative C.","","","","","","","","",
1971,1971-01-12,1971-01-12,3,4.38,No target in FRED,"(C) Alternative C, which has an 8-1/2 per cent annual rate of growth in the first quarter for M1, makes up for the shortfall and raises the growth rate in money supply for the September-to-March period back up to the 6 per cent rate of expansion experienced over the first three quarters of 1970.","Under alternative C, which would probably require a funds rate below 4 per cent, the bill rate might also decline below 4 per cent, although expectations that rates were bottoming out might tend to inhibit such a decline in the 3-month rate.","(20) Alternative C.","","","","","","","","",
1971,1971-02-09,1971-02-09,3,3.5,No target in FRED,"(15) With a policy of keeping to prevailing money market conditions, termed alternative C, M1 growth in the first quarter would be at a 6 per cent annual rate and no pick-up from this rate would be anticipated in the second quarter.","A relatively rapid M1 growth would, however, be expected in February and March as the effects of recent -13- Paths of Key Monetary Aggregates-- Monthly and Quarterly (Alternative C) (Seasonally adjusted, billions of dollars) Concepts of Money M1 M2 1970 December 1971 January February March June 214.6 215.1 216.7 217.9 221.1 419.0 423.4 430.4 435.2 450.3 Adj. Credit Proxy 331.2 334.2 336.6 340.1 349.1 Per Cent Annual Rates of Growth January February March 1st Q 1971 2nd Q 1971 2.8 9.0 6.5 6.0 6.0 12.6 20,0 13.5 15.5 14.0 Paths of Key Monetary Aggregates-- Weekly (Alternative C) 1971 January February March 27p 3e 10 17 24 3 10 214.6 216.1 216.4 217.1 216.8 216.9 217.8 424.1 427.4 428.9 43..6 431.3 432.5 434.0 p -- Preliminary e -- Estimated from partial data.","(20) Alternative C.","","","","","","","","",
