Year,Dates,Documents,Links,StartDate,EndDate,DummyMeeting,Name,Group,Class,Size,FileType,Comments
1936,March 18 Meeting - 1936,"Historical Minutes (400 KB PDF)",/monetarypolicy/files/FOMChistmin19360318.pdf,18-Mar-1936,18-Mar-1936,1,Historical Minutes,Minutes,Meeting Summary,400 KB ,PDF,""
1936,March 19 Meeting - 1936,"Record of Policy Actions (271 KB PDF)",/monetarypolicy/files/fomcropa19360319.pdf,19-Mar-1936,19-Mar-1936,1,Record of Policy Actions,Minutes,Meeting Summary,271 KB ,PDF,""
1936,March 19 Meeting - 1936,"Historical Minutes (694 KB PDF)",/monetarypolicy/files/FOMChistmin19360319.pdf,19-Mar-1936,19-Mar-1936,1,Historical Minutes,Minutes,Meeting Summary,694 KB ,PDF,""
1936,March 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:March 19, 1936 (85 KB PDF)",/monetarypolicy/files/FOMChminec119360319.pdf,19-Mar-1936,19-Mar-1936,1,IMECM,Minutes,Meeting Summary,85 KB ,PDF,""
1936,May 25 Meeting - 1936,"Record of Policy Actions (143 KB PDF)",/monetarypolicy/files/fomcropa19360525.pdf,25-May-1936,25-May-1936,1,Record of Policy Actions,Minutes,Meeting Summary,143 KB ,PDF,""
1936,May 25 Meeting - 1936,"Historical Minutes (734 KB PDF)",/monetarypolicy/files/FOMChistmin19360525.pdf,25-May-1936,25-May-1936,1,Historical Minutes,Minutes,Meeting Summary,734 KB ,PDF,""
1936,May 25 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 25, 1936, 11:30 a.m. (231 KB PDF)",/monetarypolicy/files/FOMChminec119360525.pdf,25-May-1936,25-May-1936,1,IMECM,Minutes,Meeting Summary,231 KB ,PDF,""
1936,May 25 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 25, 1936, 6:25 p.m. (87 KB PDF)",/monetarypolicy/files/FOMChminec219360525.pdf,25-May-1936,25-May-1936,1,IMECM,Minutes,Meeting Summary,87 KB ,PDF,""
1936,November 19 Meeting - 1936,"Historical Minutes (176 KB PDF)",/monetarypolicy/files/FOMChistmin19361119.pdf,19-Nov-1936,19-Nov-1936,1,Historical Minutes,Minutes,Meeting Summary,176 KB ,PDF,""
1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 27, 1936 (83 KB PDF)",/monetarypolicy/files/FOMChminec119360527.pdf,19-Nov-1936,19-Nov-1936,1,IMECM,Minutes,Meeting Summary,83 KB ,PDF,""
1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:June 24, 1936 (549 KB PDF)",/monetarypolicy/files/FOMChminec119360624.pdf,19-Nov-1936,19-Nov-1936,1,IMECM,Minutes,Meeting Summary,549 KB ,PDF,""
1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:September 2, 1936 (282 KB PDF)",/monetarypolicy/files/FOMChminec119360902.pdf,19-Nov-1936,19-Nov-1936,1,IMECM,Minutes,Meeting Summary,282 KB ,PDF,""
1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:November 19, 1936 (223 KB PDF)",/monetarypolicy/files/FOMChminec119361119.pdf,19-Nov-1936,19-Nov-1936,1,IMECM,Minutes,Meeting Summary,223 KB ,PDF,""
1936,November 20 Meeting - 1936,"Record of Policy Actions (198 KB PDF)",/monetarypolicy/files/fomcropa19361120.pdf,20-Nov-1936,20-Nov-1936,1,Record of Policy Actions,Minutes,Meeting Summary,198 KB ,PDF,""
1936,November 20 Meeting - 1936,"Historical Minutes (554 KB PDF)",/monetarypolicy/files/FOMChistmin19361120.pdf,20-Nov-1936,20-Nov-1936,1,Historical Minutes,Minutes,Meeting Summary,554 KB ,PDF,""
1936,November 20 Meeting - 1936,"Intermeeting Executive Committee Minutes:November 20, 1937 (125 KB PDF)",/monetarypolicy/files/FOMChminec119361120.pdf,20-Nov-1936,20-Nov-1936,1,IMECM,Minutes,Meeting Summary,125 KB ,PDF,""
1937,January 26 Meeting - 1937,"Record of Policy Actions (272 KB PDF)",/monetarypolicy/files/fomcropa19370126.pdf,26-Jan-1937,26-Jan-1937,1,Record of Policy Actions,Minutes,Meeting Summary,272 KB ,PDF,""
1937,January 26 Meeting - 1937,"Historical Minutes, 10:30 a.m. (131 KB PDF)",/monetarypolicy/files/FOMChminfc119370126.pdf,26-Jan-1937,26-Jan-1937,1,Historical Minutes,Minutes,Meeting Summary,131 KB ,PDF,""
1937,January 26 Meeting - 1937,"Historical Minutes, 2:45 p.m. (0.99 MB PDF)",/monetarypolicy/files/FOMChminfc219370126.pdf,26-Jan-1937,26-Jan-1937,1,Historical Minutes,Minutes,Meeting Summary,0.99 MB ,PDF,""
1937,January 26 Meeting - 1937,"Intermeeting Executive Committee Minutes:December 21, 1936 (284 KB PDF)",/monetarypolicy/files/FOMChminec119361221.pdf,26-Jan-1937,26-Jan-1937,1,IMECM,Minutes,Meeting Summary,284 KB ,PDF,""
