,start_date,end_date,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,C_TREATMENT_alt_a,C_TREATMENT_SIZE_alt_a,justify_alt_a,Sentences_alt_a,C_TREATMENT_alt_b,C_TREATMENT_SIZE_alt_b,justify_alt_b,Sentences_alt_b,C_TREATMENT_alt_c,C_TREATMENT_SIZE_alt_c,justify_alt_c,Sentences_alt_c,C_TREATMENT_alt_d,C_TREATMENT_SIZE_alt_d,justify_alt_d,Sentences_alt_d,C_TREATMENT_alt_e,C_TREATMENT_SIZE_alt_e,justify_alt_e,Sentences_alt_e,comments
0,1968-08-13,1968-08-13,6.13,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1,1968-09-10,1968-09-10,6.0,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
2,1968-10-08,1968-10-08,6.0,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
3,1968-10-29,1968-10-29,5.88,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
4,1968-11-26,1968-11-26,5.88,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
5,1968-12-17,1968-12-17,6.0,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
6,1969-01-14,1969-01-14,6.63,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
7,1969-02-04,1969-02-04,6.38,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
8,1969-03-04,1969-03-04,6.75,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
9,1969-04-01,1969-04-01,6.25,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
10,1969-04-29,1969-04-29,7.75,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
11,1969-05-27,1969-05-27,8.75,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
12,1969-06-24,1969-06-24,9.13,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
13,1969-07-15,1969-07-15,9.0,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
14,1969-08-12,1969-08-12,9.75,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
