,date,DFF_Before_meeting,romer_before,DFEDTR_before,romer_after,DFEDTR_end
0,1969-01-14,6.63,6.4375,No target in FRED,6.4375,No target in FRED
1,1969-02-04,6.38,6.4375,No target in FRED,6.4375,No target in FRED
2,1969-03-04,6.75,6.75,No target in FRED,6.625,No target in FRED
3,1969-04-01,6.25,6.75,No target in FRED,7.25,No target in FRED
4,1969-04-29,7.75,7.6875,No target in FRED,7.9375,No target in FRED
5,1969-05-27,8.75,8.5,No target in FRED,8.625,No target in FRED
6,1969-06-24,9.13,9.0,No target in FRED,9.0,No target in FRED
7,1969-07-15,9.0,9.0,No target in FRED,9.125,No target in FRED
8,1969-08-12,9.75,9.5,No target in FRED,9.75,No target in FRED
9,1969-09-09,9.0,9.0,No target in FRED,9.0,No target in FRED
10,1969-10-07,9.5,9.125,No target in FRED,9.125,No target in FRED
11,1969-10-28,8.0,9.125,No target in FRED,9.125,No target in FRED
12,1969-11-25,8.5,9.125,No target in FRED,9.125,No target in FRED
13,1969-12-16,9.0,9.0,No target in FRED,9.0,No target in FRED
14,1970-01-15,8.0,9.0,No target in FRED,8.75,No target in FRED
15,1970-02-10,9.0,9.125,No target in FRED,8.625,No target in FRED
16,1970-03-10,7.5,8.3125,No target in FRED,8.125,No target in FRED
17,1970-04-07,7.5,7.75,No target in FRED,7.75,No target in FRED
18,1970-05-05,8.5,8.25,No target in FRED,8.375,No target in FRED
19,1970-05-26,7.88,8.0,No target in FRED,8.0,No target in FRED
20,1970-06-23,7.75,7.875,No target in FRED,7.625,No target in FRED
21,1970-07-21,7.13,7.3125,No target in FRED,7.0625,No target in FRED
22,1970-08-18,6.63,6.75,No target in FRED,6.25,No target in FRED
23,1970-09-15,6.38,6.375,No target in FRED,6.1875,No target in FRED
24,1970-10-20,6.13,6.25,No target in FRED,6.125,No target in FRED
25,1970-11-17,5.75,5.75,No target in FRED,5.125,No target in FRED
26,1970-12-15,5.25,5.125,No target in FRED,4.75,No target in FRED
27,1971-01-12,4.38,4.5,No target in FRED,4.0,No target in FRED
28,1971-02-09,3.5,3.75,No target in FRED,3.625,No target in FRED
29,1971-03-09,3.13,3.5,No target in FRED,3.625,No target in FRED
30,1971-04-06,4.0,3.75,No target in FRED,4.125,No target in FRED
31,1971-05-11,4.5,4.25,No target in FRED,4.5,No target in FRED
32,1971-06-08,4.75,4.75,No target in FRED,5.125,No target in FRED
33,1971-06-29,5.13,5.125,No target in FRED,5.375,No target in FRED
34,1971-07-27,5.25,5.5,No target in FRED,5.625,No target in FRED
35,1971-08-24,5.5,5.625,No target in FRED,5.625,No target in FRED
36,1971-09-21,5.38,5.5,No target in FRED,5.25,No target in FRED
37,1971-10-19,5.13,5.1875,No target in FRED,5.0625,No target in FRED
38,1971-11-16,5.0,4.75,No target in FRED,4.375,No target in FRED
39,1971-12-14,4.25,4.375,No target in FRED,3.75,No target in FRED
40,1972-01-11,3.75,3.625,No target in FRED,3.3125,No target in FRED
41,1972-02-15,3.38,3.25,No target in FRED,3.25,No target in FRED
42,1972-03-21,3.88,3.9375,No target in FRED,4.25,No target in FRED
43,1972-04-18,4.06,4.25,No target in FRED,4.375,No target in FRED
44,1972-05-23,4.25,4.25,No target in FRED,4.5625,No target in FRED
45,1972-06-19,4.38,4.4375,No target in FRED,4.5625,No target in FRED
46,1972-07-18,4.56,4.625,No target in FRED,4.625,No target in FRED
47,1972-08-15,4.81,4.75,No target in FRED,4.875,No target in FRED
48,1972-09-19,4.94,5.0,No target in FRED,5.1875,No target in FRED
49,1972-10-17,5.06,5.0625,No target in FRED,5.1875,No target in FRED
50,1972-11-20,4.88,5.0625,No target in FRED,5.1875,No target in FRED
51,1972-12-19,5.56,5.375,No target in FRED,5.625,No target in FRED
52,1973-01-16,5.88,5.75,No target in FRED,6.25,No target in FRED
53,1973-02-13,6.44,6.375,No target in FRED,6.6875,No target in FRED
