,date,DFF_Before_meeting,target_before,DFEDTR,target_after
0,1994-02-03,3.31,,3.25,
1,1994-03-22,3.36,,3.5,
2,1994-05-17,4.29,,4.25,
3,1994-08-16,4.5,,4.75,
4,1994-11-15,5.48,,5.5,
5,1995-01-31,5.76,,6,
6,1995-07-05,5.89,6,5.75,5.75
7,1995-12-19,5.76,5.75,5.5,5.5
8,1996-01-30,5.53,5.5,5.25,5.25
9,1997-03-25,5.47,[],5.5,5.5
10,1998-09-29,5.55,[],5.25,5.25
11,1998-11-17,5.45,5,4.75,4.75
12,1999-05-18,5.01,,4.75,
13,1999-06-29,5.04,[],5,5
14,1999-08-24,5.06,[],5.25,5.25
15,1999-10-05,5.23,,5.25,
16,1999-11-16,5.64,[],5.5,5.5
17,1999-12-21,5.54,,5.5,
18,2000-02-01,5.87,[],5.75,5.75
19,2000-03-21,5.82,[],6,6
20,2000-05-16,6.34,[],6.5,6.5
21,2000-06-27,6.63,[],6.5,6.5
22,2000-08-22,6.48,[],6.5,6.5
23,2000-10-03,6.68,[],6.5,6.5
24,2000-11-15,6.52,[],6.5,6.5
25,2000-12-19,6.5,[],6.5,6.5
26,2001-01-30,5.98,[],5.5,5.5
27,2001-03-20,5.38,[],5,5
28,2001-05-15,4.43,[],4,4
29,2001-06-26,3.97,[],3.75,3.75
30,2001-08-21,3.64,[],3.5,3.5
31,2001-10-02,3.02,[],2.5,2.5
32,2001-11-06,2.45,[],2,2
33,2001-12-11,1.9,[],1.75,1.75
34,2002-01-29,1.79,[],1.75,1.75
35,2002-03-19,1.71,[],1.75,1.75
36,2002-05-07,1.75,[],1.75,1.75
37,2002-06-25,1.77,[],1.75,1.75
38,2002-08-13,1.76,[],1.75,1.75
39,2002-09-24,1.74,[],1.75,1.75
40,2002-11-06,1.64,[],1.25,1.25
41,2002-12-10,1.22,[],1.25,1.25
42,2003-01-28,1.3,[],1.25,1.25
43,2003-03-18,1.31,[],1.25,1.25
44,2003-05-06,1.27,[],1.25,1.25
45,2003-06-24,1.21,[],1,1
46,2003-08-12,1.02,[],1,1
47,2003-09-16,1.11,[],1,1
48,2003-10-28,1.03,[],1,1
49,2003-12-09,0.99,[],1,1
50,2004-01-27,1.08,[],1,1
51,2004-03-16,1.05,[],1,1
52,2004-05-04,1.03,[],1,1
53,2004-06-29,1.09,[],1.25,1.25
54,2004-08-10,1.35,[],1.5,1.5
55,2004-09-21,1.64,[],1.75,1.75
56,2004-11-10,1.79,[],2,2
57,2004-12-14,2.18,[],2.25,2.25
58,2005-02-01,2.5,[],2.5,2.5
59,2005-03-22,2.71,[],2.75,2.75
60,2005-05-03,2.98,[],3,3
61,2005-06-29,3.17,[],3.25,3.25
62,2005-08-09,3.5,[],3.5,3.5
63,2005-09-20,3.62,[],3.75,3.75
64,2005-11-01,4.02,[],4,4
65,2005-12-13,4.24,[],4.25,4.25
66,2006-01-31,4.48,[],4.5,4.5
67,2006-03-27,4.69,[],4.75,4.75
68,2006-05-10,4.78,[],5,5
69,2006-06-28,5.02,[],5.25,5.25
70,2006-08-08,5.24,[],5.25,5.25
71,2006-09-20,5.21,[],5.25,5.25
72,2006-10-24,5.24,[],5.25,5.25
73,2006-12-12,5.25,[],5.25,5.25
74,2007-01-30,5.26,[],5.25,5.25
75,2007-03-20,5.26,[],5.25,5.25
76,2007-05-09,5.21,[],5.25,5.25
77,2007-06-27,5.25,[],5.25,5.25
78,2007-08-07,5.26,[],5.25,5.25
79,2007-09-18,5.33,[],4.75,4.75
80,2007-10-30,4.84,[],4.5,4.5
81,2007-12-11,4.46,[],4.25,4.25
82,2008-01-29,3.5,[],3,3
83,2008-03-18,2.69,[],2.25,2.25
84,2008-04-29,2.29,[],2,2
85,2008-06-24,1.98,[],2,2
86,2008-08-05,1.97,[],2,2
87,2008-09-16,2.64,[],2,2
88,2008-10-28,0.92,[],1,1
89,2008-12-15,0.15,[],No target in FRED,0-0.25
90,2009-01-27,0.19,[],No target in FRED,0-0.25
91,2009-03-17,0.2,[],No target in FRED,0-0.25
