date,prev,new,description
1/14/69,6.4375,6.4375,The FOMC agrees that open-market operations should attempt to maintain current credit market conditions.
2/4/69,6.4375,6.4375,"The FOMC again agrees that open-market operations should attempt to maintain current credit market conditions.  There is a suggestion of a slight asymmetry toward easing, but not enough to point to a noticeable expected fall in the funds rate."
3/4/69,6.75 , 6.625,"The FOMC again agrees to attempt to maintain current monetary conditions.  But there is an explicit asymmetry toward easing:  conditions should be eased if bank credit appears to be contracting any more rapidly than projected, but tightened only if bank credit appears to be growing substantially faster than projected.  The asymmetry suggests an expected reduction of roughly 1/8 point (since a typical move is 1/4 point and the asymmetry does not guarantee a move)."
4/1/69,6.75 , 7.25,"The FOMC agrees that it wants the funds rate to rise by roughly the same amount as the pending increase in the discount rate, which is 1/2 point."
4/29/69,7.6875 , 7.9375,"The meeting summary states that open-market operations were modified in the direction of greater firmness during the intermeeting period, and that one consequence was a rise in the funds rate late in the month.  Thus there was a rise in the desired rate between the time of the forecast and the time of the meeting.  Although the magnitude is difficult to gauge, a rise of 1/8 point seems roughly correct.  At the meeting, the FOMC agrees to maintain at least the current degree of restraint, but with a clear asymmetry toward tightening.  Thus there is an additional expected increase in the funds rate of roughly 1/8 point."
5/27/69,8.5 , 8.625,"The FOMC agrees to attempt to maintain current conditions in money and credit markets, but with a clear asymmetry toward tightening."
6/24/69,9,9,"The FOMC again agrees to attempt to maintain current conditions in money and credit markets.  There is some discussion of continued asymmetry toward tightening, but the summary of the meeting states that the consensus is against asymmetry."
7/15/69,9 , 9.125,"The FOMC agrees to attempt to maintain current conditions in money and credit markets, but with a clear asymmetry toward tightening."
8/12/69,9.5 , 9.75,"The meeting summary states that the funds rate has risen by more than a point over the two weeks prior to the meeting.  At the meeting, the FOMC agrees to attempt to maintain current conditions in money and credit markets, with no clear asymmetry in either direction.  Thus policy is clearly aiming for a higher funds rate than prior to the forecast.  The exact magnitude is difficult to gauge.  Given how much the actual rate rose prior to the meeting, a rise of 1/8 point in the desired rate appears too small.  But there is nothing dramatic enough in the meeting summary to warrant an inference of a rise of 1/2 point or more."
9/9/69,9,9,The FOMC decides to make no change in policy.
10/7/69,9.125,9.125,The FOMC decides to attempt to maintain current conditions in money and credit markets.
10/28/69,9.125,9.125,"There is a marginal rise in the funds rate sought by policy between the time of the forecast and the time of the meeting.  But at this meeting, the FOMC agrees to no   change in policy with an asymmetry toward easing.  The net effect of these two decisions is no change."
11/25/69,9.125,9.125,"The FOMC agrees on no change in policy.  There is a suggestion of a slight asymmetry toward easing, but not enough to point to a noticeable expected fall in the funds rate."
12/16/69,9,9,Same as previous meeting.
1/15/70,9 , 8.75,"The FOMC agrees to aim for a funds rate of 8.75-9%, with a clear asymmetry toward additional easing."
2/10/70,9.125 , 8.625,"The FOMC agrees to ease somewhat immediately and ease further after that, with an objective of moving the funds rate down cautiously and gradually to somewhere in the range of 8-9%.  This suggests that a reasonable expectation of the funds rate is slightly over 8.5%."
3/10/70,8.3125 , 8.125,"The FOMC agrees to aim for a funds rate in the range of 8-8.5%, with a clear asymmetry toward ease."
4/7/70,7.75,7.75,The FOMC agrees to aim for growth rates of money and the bank credit proxy that correspond to the staff's projections under the assumption of no change in money market conditions.
5/5/70,8.25 , 8.375,"The FOMC agrees to aim for growth rates of money and the bank credit proxy that correspond to the staff's projections under the assumption of unchanged or slightly firmer money market conditions.  However, the FOMC's interest in raising the funds rate slightly is tempered by concern about Treasury financing and financial market disruptions.  Thus, the decision corresponds to a small expected tightening, or roughly 1/8 point."
5/26/70,8,8,The FOMC agrees to attempt to keep interest rates approximately unchanged in light of recent problems in financial markets.
