,date,policy_change,policy_change_unit,policy_treatment,sentence,target_after,target_before
0,1994-02-03,,bps,,"Release Date: February 4, 1994   For immediate release   Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. The action is expected to be associated with a small increase in short-term money market interest rates.    The decision was taken to move toward a less accommodative stance in monetary policy in order to sustain and enhance the economic expansion.    Chairman Greenspan decided to announce this action immediately so as to avoid any misunderstanding of the Committee's purposes, given the fact that this is the first firming of reserve market conditions by the Committee since early 1989.     Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007   ",,
1,1994-03-22,,bps,,"Release Date: March 22, 1994    For immediate release    Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.    Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007   ",,
2,1994-04-18,,bps,,"Release Date: April 18, 1994    For immediate release    Chairman Alan Greenspan announced today that the Federal Reserve will increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.    Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007   ",,
3,1994-05-17,,bps,,"Release Date: May 17, 1994    For immediate release   The Federal Reserve today announced two actions designed to maintain favorable trends in inflation and thereby sustain the economic expansion.    The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective immediately, and the Federal Open Market Committee agreed that this increase should be allowed to show through completely into interest rates in reserve markets.   These actions, combined with the three adjustments initiated earlier this year by the FOMC, substantially remove the degree of monetary accommodation which prevailed throughout 1993. As always, the Federal Reserve will continue to monitor economic and financial developments to judge the appropriate stance of monetary policy.    In taking the discount action, the Board approved requests submitted by the Boards of Directors of eleven Federal Reserve Banks -- Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Bank.    Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007    ",,
4,1994-08-16,,bps,,"Release Date: August 16, 1994   For immediate release   The Federal Reserve announced today the following monetary policy actions:    The Board of Governors approved an increase in the discount rate from 3 1/2 percent to 4 percent, effective immediately.   The Federal Open Market Committee agreed that this increase would be allowed to show through completely into interest rates in reserve markets.  These measures were taken against the background of evidence of continuing strength in the economic expansion and high levels of resource utilization. The actions are intended to keep inflationary pressures contained, and thereby foster sustainable economic growth.    The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy. But these actions are expected to be sufficient, at least for a time, to meet the objective of sustained, noninflationary growth.    In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.    Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007    ",,
5,1994-11-15,,bps,,"Release Date: November 15, 1994    For immediate release   The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately.    In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets.    These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.    In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks.   Home | Press releases  Accessibility | Contact Us   Last update: April 20, 2007   ",,
6,1995-01-31,,bps,,"Release Date: February 1, 1995   For immediate release  The Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately.    In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets.    Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.    In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.    ",,
7,1995-07-05,-25.0,bps,easing,"Release Date: July 6, 1995   For immediate release  Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on bank reserve positions.    As a result of the monetary tightening initiated in early 1994, inflationary pressures have receded enough to accommodate a modest adjustment in monetary conditions.    Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent.   ",5.75,6
8,1995-12-19,-25.0,bps,easing,"Release Date: December 19, 1995   For immediate release  Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on reserve positions.   Since the last easing of monetary policy in July, inflation has been somewhat more favorable than anticipated, and this result along with an associated moderation in inflation expectations warrants a modest easing in monetary conditions.    This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, from about 5 3/4 percent to about 5 1/2 percent.     ",25.5,13.25
9,1996-01-30,-25.0,bps,easing,"FRB: Press Release -- FOMC statement -- January 31, 1996     Release Date: January 31, 1996      For immediate release         The Federal Reserve today announced the following policy actions:    The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately.   In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates in the reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2 percent to about 5-1/4 percent.    Moderating economic expansion in recent months has reduced potential inflationary pressures going forward. With price and cost trends already subdued, a slight easing of monetary policy is consistent with contained inflation and sustainable growth.    In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.    1996 Monetary policy      Last update: March 16, 2001  ",5.25,5.5
