id,year,meeting_info,document_name,link
1,1936,March 18 Meeting - 1936,Historical Minutes (400 KB PDF),/monetarypolicy/files/FOMChistmin19360318.pdf
2,1936,March 19 Meeting - 1936,Record of Policy Actions (271 KB PDF),/monetarypolicy/files/fomcropa19360319.pdf
3,1936,March 19 Meeting - 1936,Historical Minutes (694 KB PDF),/monetarypolicy/files/FOMChistmin19360319.pdf
4,1936,March 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:March 19, 1936 (85 KB PDF)",/monetarypolicy/files/FOMChminec119360319.pdf
5,1936,May 25 Meeting - 1936,Record of Policy Actions (143 KB PDF),/monetarypolicy/files/fomcropa19360525.pdf
6,1936,May 25 Meeting - 1936,Historical Minutes (734 KB PDF),/monetarypolicy/files/FOMChistmin19360525.pdf
7,1936,May 25 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 25, 1936, 11:30 a.m. (231 KB PDF)",/monetarypolicy/files/FOMChminec119360525.pdf
8,1936,May 25 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 25, 1936, 6:25 p.m. (87 KB PDF)",/monetarypolicy/files/FOMChminec219360525.pdf
9,1936,November 19 Meeting - 1936,Historical Minutes (176 KB PDF),/monetarypolicy/files/FOMChistmin19361119.pdf
10,1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:May 27, 1936 (83 KB PDF)",/monetarypolicy/files/FOMChminec119360527.pdf
11,1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:June 24, 1936 (549 KB PDF)",/monetarypolicy/files/FOMChminec119360624.pdf
12,1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:September 2, 1936 (282 KB PDF)",/monetarypolicy/files/FOMChminec119360902.pdf
13,1936,November 19 Meeting - 1936,"Intermeeting Executive Committee Minutes:November 19, 1936 (223 KB PDF)",/monetarypolicy/files/FOMChminec119361119.pdf
14,1936,November 20 Meeting - 1936,Record of Policy Actions (198 KB PDF),/monetarypolicy/files/fomcropa19361120.pdf
15,1936,November 20 Meeting - 1936,Historical Minutes (554 KB PDF),/monetarypolicy/files/FOMChistmin19361120.pdf
16,1936,November 20 Meeting - 1936,"Intermeeting Executive Committee Minutes:November 20, 1937 (125 KB PDF)",/monetarypolicy/files/FOMChminec119361120.pdf
17,1937,January 26 Meeting - 1937,Record of Policy Actions (272 KB PDF),/monetarypolicy/files/fomcropa19370126.pdf
18,1937,January 26 Meeting - 1937,"Historical Minutes, 10:30 a.m. (131 KB PDF)",/monetarypolicy/files/FOMChminfc119370126.pdf
19,1937,January 26 Meeting - 1937,"Historical Minutes, 2:45 p.m. (0.99 MB PDF)",/monetarypolicy/files/FOMChminfc219370126.pdf
20,1937,January 26 Meeting - 1937,"Intermeeting Executive Committee Minutes:December 21, 1936 (284 KB PDF)",/monetarypolicy/files/FOMChminec119361221.pdf
21,1937,January 26 Meeting - 1937,"Intermeeting Executive Committee Minutes:January 26, 1937, 11:45 a.m. (130 KB PDF)",/monetarypolicy/files/FOMChminec119370126.pdf
22,1937,January 26 Meeting - 1937,"Intermeeting Executive Committee Minutes:January 26, 1937, 5:30 p.m. (121 KB PDF)",/monetarypolicy/files/FOMChminec219370126.pdf
23,1937,March 15 Meeting - 1937,Record of Policy Actions (301 KB PDF),/monetarypolicy/files/fomcropa19370315.pdf
24,1937,March 15 Meeting - 1937,Historical Minutes (991 KB PDF),/monetarypolicy/files/FOMChistmin19370315.pdf
25,1937,March 15 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 13, 1937 (391 KB PDF)",/monetarypolicy/files/FOMChminec119370313.pdf
26,1937,March 15 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 15, 1937 (96 KB PDF)",/monetarypolicy/files/FOMChminec119370315.pdf
27,1937,April 3-4 Meeting - 1937,Record of Policy Actions (284 KB PDF),/monetarypolicy/files/fomcropa19370404.pdf
28,1937,April 3-4 Meeting - 1937,Historical Minutes (383 KB PDF),/monetarypolicy/files/FOMChistmin19370504.pdf
29,1937,April 3-4 Meeting - 1937,Intermeeting Executive Committee Minutes:March 22. 1937 (439 KB PDF),/monetarypolicy/files/FOMChminec119370322.pdf
30,1937,April 3-4 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 23, 1937 (202 KB PDF)",/monetarypolicy/files/FOMChminec119370323.pdf
31,1937,May 4-5 Meeting - 1937,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19370505.pdf
32,1937,May 4-5 Meeting - 1937,Historical Minutes (879 KB PDF),/monetarypolicy/files/FOMChistmin19370505.pdf
33,1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 4-6, 1937 (461 KB PDF)",/monetarypolicy/files/FOMChminec119370406.pdf
34,1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 19-20, 1937 (284 KB PDF)",/monetarypolicy/files/FOMChminec119370420.pdf
35,1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 26, 1937 (113 KB PDF)",/monetarypolicy/files/FOMChminec119370426.pdf
36,1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:May 3-5, 1937 (185 KB PDF)",/monetarypolicy/files/FOMChminec119370505.pdf
37,1937,June 9 Meeting - 1937,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19370609.pdf
38,1937,June 9 Meeting - 1937,Historical Minutes (372 KB PDF),/monetarypolicy/files/FOMChistmin19370609.pdf
39,1937,June 9 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 2, 1937 (105 KB PDF)",/monetarypolicy/files/FOMChminec119370602.pdf
40,1937,June 9 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 9, 1937 (171 KB PDF)",/monetarypolicy/files/FOMChminec119370609.pdf
41,1937,September 11-12 Meeting - 1937,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19370912.pdf
42,1937,September 11-12 Meeting - 1937,Historical Minutes (814 KB PDF),/monetarypolicy/files/FOMChistmin19370912.pdf
43,1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 15, 1937 (130 KB PDF)",/monetarypolicy/files/FOMChminec119370615.pdf
44,1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:July 6, 1937 (189 KB PDF)",/monetarypolicy/files/FOMChminec119370706.pdf
45,1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:August 18, 1937 (132 KB PDF)",/monetarypolicy/files/FOMChminec119370818.pdf
46,1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:September 4, 1937 (166 KB PDF)",/monetarypolicy/files/FOMChminec119370904.pdf
47,1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:September 11-12, 1937 (183 KB PDF)",/monetarypolicy/files/FOMChminec119370912.pdf
48,1937,November 29 - December 1 Meeting - 1937,Record of Policy Actions (218 KB PDF),/monetarypolicy/files/fomcropa19371201.pdf
49,1937,November 29 - December 1 Meeting - 1937,Historical Minutes (1.1 MB PDF),/monetarypolicy/files/FOMChistmin19371201.pdf
50,1937,November 29 - December 1 Meeting - 1937,"Intermeeting Executive Committee Minutes:November 9, 1937 (125 KB PDF)",/monetarypolicy/files/FOMChminec119371109.pdf
51,1937,November 29 - December 1 Meeting - 1937,"Intermeeting Executive Committee Minutes:November 30-December 1, 1937 (189 KB PDF)",/monetarypolicy/files/FOMChminec119371201.pdf
52,1938,February 28 - March 1 Meeting - 1938,Record of Policy Actions (147 KB PDF),/monetarypolicy/files/fomcropa19380301.pdf
53,1938,February 28 - March 1 Meeting - 1938,Historical Minutes (617 KB PDF),/monetarypolicy/files/FOMChistmin19380301.pdf
54,1938,February 28 - March 1 Meeting - 1938,"Intermeeting Executive Committee Minutes:December 13, 1937 (184 KB PDF)",/monetarypolicy/files/FOMChminec119371213.pdf
55,1938,February 28 - March 1 Meeting - 1938,"Intermeeting Executive Committee Minutes:February 28-March 1, 1938 (171 KB PDF)",/monetarypolicy/files/FOMChminec119380301.pdf
56,1938,April 21-22 Meeting - 1938,Record of Policy Actions (283 KB PDF),/monetarypolicy/files/fomcropa19380422.pdf
57,1938,April 21-22 Meeting - 1938,Historical Minutes (926 KB PDF),/monetarypolicy/files/FOMChistmin19380422.pdf
58,1938,April 21-22 Meeting - 1938,"Intermeeting Executive Committee Minutes:April 19, 1938 (224 KB PDF)",/monetarypolicy/files/FOMChminec119380419.pdf
59,1938,April 21-22 Meeting - 1938,"Intermeeting Executive Committee Minutes:April 22, 1938 (101 KB PDF)",/monetarypolicy/files/FOMChminec119380422.pdf
60,1938,April 29 Meeting - 1938,Record of Policy Actions (297 KB PDF),/monetarypolicy/files/fomcropa19380429.pdf
61,1938,April 29 Meeting - 1938,Historical Minutes (370 KB PDF),/monetarypolicy/files/FOMChistmin19380429.pdf
62,1938,April 29 Meeting - 1938,"Intermeeting Executive Committee Minutes:April 29, 1938 (91 KB PDF)",/monetarypolicy/files/FOMChminec119380429.pdf
63,1938,August 2 Meeting - 1938,Record of Policy Actions (162 KB PDF),/monetarypolicy/files/fomcropa19380802.pdf
64,1938,August 2 Meeting - 1938,Historical Minutes (315 KB PDF),/monetarypolicy/files/FOMChistmin19380802.pdf
65,1938,August 2 Meeting - 1938,"Intermeeting Executive Committee Minutes:May 31, 1938 (236 KB PDF)",/monetarypolicy/files/FOMChminec119380531.pdf
66,1938,August 2 Meeting - 1938,"Intermeeting Executive Committee Minutes:August 2, 1938 (152 KB PDF)",/monetarypolicy/files/FOMChminec119380802.pdf
