Year,Month,Day,FFED,PCEH,IP,UNRATE
1989,8,31,8.99,64.863,61.5,5.2
1989,9,30,9.02,65.005,61.4,5.3
1989,10,31,8.84,65.26,61.3,5.3
1989,11,30,8.55,65.4,61.5,5.4
1989,12,31,8.45,65.588,61.9,5.4
1990,1,31,8.23,66.076,61.5,5.4
1990,2,28,8.24,66.364,62.1,5.3
1990,3,31,8.28,66.607,62.4,5.2
1990,4,30,8.26,66.751,62.3,5.4
1990,5,31,8.18,66.895,62.4,5.4
1990,6,30,8.29,67.19,62.6,5.2
1990,7,31,8.15,67.347,62.6,5.5
1990,8,31,8.13,67.796,62.7,5.7
1990,9,30,8.2,68.214,62.9,5.9
1990,10,31,8.11,68.601,62.4,5.9
1990,11,30,7.81,68.684,61.6,6.2
1990,12,31,7.31,68.74,61.2,6.3
1991,1,31,6.91,68.995,60.9,6.4
1991,2,28,6.25,69.02,60.5,6.6
1991,3,31,6.12,69.031,60.2,6.8
1991,4,30,5.91,69.153,60.3,6.7
1991,5,31,5.78,69.439,60.9,6.9
1991,6,30,5.9,69.556,61.5,6.9
1991,7,31,5.82,69.666,61.5,6.8
1991,8,31,5.66,69.826,61.6,6.9
1991,9,30,5.45,70.066,62.1,6.9
1991,10,31,5.21,70.196,62,7
1991,11,30,4.81,70.347,61.9,7
1991,12,31,4.43,70.519,61.7,7.3
1992,1,31,4.03,70.612,61.3,7.3
1992,2,29,4.06,70.788,61.8,7.4
1992,3,31,3.98,70.961,62.3,7.4
1992,4,30,3.73,71.152,62.7,7.4
1992,5,31,3.82,71.247,63,7.6
1992,6,30,3.76,71.373,63,7.8
1992,7,31,3.25,71.608,63.5,7.7
1992,8,31,3.3,71.703,63.2,7.6
1992,9,30,3.22,71.821,63.3,7.6
1992,10,31,3.1,72.077,63.8,7.3
1992,11,30,3.09,72.222,64.1,7.4
1992,12,31,2.92,72.349,64.1,7.4
1993,1,31,3.02,72.523,64.4,7.3
1993,2,28,3.03,72.632,64.6,7.1
1993,3,31,3.07,72.78,64.6,7
1993,4,30,2.96,72.976,64.8,7.1
1993,5,31,3,73.202,64.6,7.1
1993,6,30,3.04,73.228,64.7,7
1993,7,31,3.06,73.344,64.9,6.9
1993,8,31,3.03,73.47,64.9,6.8
1993,9,30,3.09,73.549,65.2,6.7
1993,10,31,2.99,73.779,65.7,6.8
1993,11,30,3.02,73.916,65.9,6.6
1993,12,31,2.96,73.932,66.3,6.5
1994,1,31,3.05,73.956,66.5,6.6
1994,2,28,3.25,74.126,66.6,6.6
1994,3,31,3.34,74.332,67.3,6.5
1994,4,30,3.56,74.419,67.6,6.4
1994,5,31,4.01,74.527,68,6.1
1994,6,30,4.25,74.706,68.4,6.1
1994,7,31,4.26,74.943,68.6,6.1
1994,8,31,4.47,75.11,68.9,6
1994,9,30,4.73,75.194,69.2,5.9
1994,10,31,4.76,75.321,69.8,5.8
1994,11,30,5.29,75.468,70.2,5.6
1994,12,31,5.45,75.518,70.9,5.5
1995,1,31,5.53,75.666,71.1,5.6
1995,2,28,5.92,75.794,71,5.4
1995,3,31,5.98,75.929,71.2,5.4
1995,4,30,6.05,76.127,71.1,5.8
1995,5,31,6.01,76.239,71.3,5.6
1995,6,30,6,76.308,71.6,5.6
1995,7,31,5.85,76.403,71.3,5.7
1995,8,31,5.74,76.567,72.2,5.7
1995,9,30,5.8,76.62,72.5,5.6
1995,10,31,5.76,76.816,72.4,5.5
1995,11,30,5.8,76.818,72.6,5.6
1995,12,31,5.6,76.967,72.8,5.6
1996,1,31,5.56,77.142,72.4,5.6
1996,2,29,5.22,77.261,73.5,5.5
1996,3,31,5.31,77.491,73.4,5.5
1996,4,30,5.22,77.72,74,5.6
1996,5,31,5.24,77.853,74.5,5.6
1996,6,30,5.27,77.853,75.2,5.3
1996,7,31,5.4,78.019,75.1,5.5
1996,8,31,5.22,78.095,75.6,5.1
1996,9,30,5.3,78.309,76,5.2
1996,10,31,5.24,78.543,76,5.2
1996,11,30,5.31,78.688,76.6,5.4
1996,12,31,5.29,78.779,77.1,5.4
1997,1,31,5.25,78.88,77.2,5.3
1997,2,28,5.19,79.044,78.1,5.2
1997,3,31,5.39,79.125,78.7,5.2
1997,4,30,5.51,79.199,78.8,5.1
1997,5,31,5.5,79.168,79.3,4.9
1997,6,30,5.56,79.267,79.7,5
1997,7,31,5.52,79.311,80.1,4.9
1997,8,31,5.54,79.375,81.2,4.8
1997,9,30,5.54,79.556,81.9,4.9
1997,10,31,5.5,79.658,82.5,4.7
1997,11,30,5.52,79.669,83.2,4.6
1997,12,31,5.5,79.656,83.5,4.7
1998,1,31,5.56,79.687,83.9,4.6
1998,2,28,5.51,79.637,84,4.6
1998,3,31,5.49,79.644,84.1,4.7
1998,4,30,5.45,79.745,84.4,4.3
1998,5,31,5.49,79.857,84.9,4.4
1998,6,30,5.56,79.792,84.4,4.5
1998,7,31,5.54,79.984,84.1,4.5
1998,8,31,5.55,80.093,85.9,4.5
1998,9,30,5.51,80.043,85.6,4.6
1998,10,31,5.07,80.214,86.3,4.5
1998,11,30,4.83,80.216,86.2,4.4
1998,12,31,4.68,80.301,86.5,4.4
1999,1,31,4.63,80.448,86.9,4.3
1999,2,28,4.76,80.428,87.3,4.4
1999,3,31,4.81,80.483,87.5,4.2
1999,4,30,4.74,80.855,87.7,4.3
1999,5,31,4.74,80.888,88.3,4.2
1999,6,30,4.76,80.905,88.1,4.3
1999,7,31,4.99,81.119,88.7,4.3
1999,8,31,5.07,81.262,89.1,4.2
1999,9,30,5.22,81.546,88.9,4.2
1999,10,31,5.2,81.676,90,4.1
1999,11,30,5.42,81.749,90.4,4.1
1999,12,31,5.3,81.951,91.2,4
2000,1,31,5.45,82.185,91.2,4
2000,2,29,5.73,82.444,91.6,4.1
2000,3,31,5.85,82.795,91.9,4
2000,4,30,6.02,82.717,92.5,3.8
2000,5,31,6.27,82.781,92.7,4
2000,6,30,6.53,83.053,92.7,4
2000,7,31,6.54,83.252,92.5,4
2000,8,31,6.5,83.239,92.3,4.1
2000,9,30,6.52,83.6,92.7,3.9
2000,10,31,6.51,83.713,92.3,3.9
2000,11,30,6.51,83.825,92.3,3.9
2000,12,31,6.4,83.932,92,3.9
2001,1,31,5.98,84.307,91.3,4.2
2001,2,28,5.49,84.419,90.8,4.2
2001,3,31,5.31,84.422,90.5,4.3
2001,4,30,4.8,84.578,90.3,4.4
2001,5,31,4.21,84.808,89.6,4.3
2001,6,30,3.97,84.968,89,4.5
2001,7,31,3.77,84.944,88.6,4.6
2001,8,31,3.65,84.941,88.4,4.9
2001,9,30,3.07,84.666,88.1,5
2001,10,31,2.49,84.975,87.7,5.3
2001,11,30,2.09,84.918,87.2,5.5
2001,12,31,1.82,84.83,87.2,5.7
2002,1,31,1.73,84.89,87.8,5.7
2002,2,28,1.74,85.032,87.7,5.7
2002,3,31,1.73,85.269,88.4,5.7
2002,4,30,1.75,85.638,88.7,5.9
2002,5,31,1.75,85.707,89.2,5.8
2002,6,30,1.75,85.817,90.1,5.8
2002,7,31,1.73,85.996,89.8,5.8
