Year	Month	Day	FFF0	FFF1	Dummy =1 if FOMC Last three days of month	m	t	Target Dummy	Target Rate	Change	FOMC Meetings	Indicates Changes Outside FOMC	Month when the target is changed	Select 50bp changes
1989	5	31	9.81	9.68	1	31	31	0	9.75	0	0	 	 	 
1989	6	1	9.68	9.45	0	30	1	0	9.75	0	0	 	 	 
1989	6	2	9.59	9.27	0	30	2	0	9.75	0	0	 	 	 
1989	6	5	9.56	9.3	0	30	5	0	9.75	0	0	 	 	 
1989	6	6	9.55	9.31	0	30	6	1	9.5	-0.25	0	1	6	 
1989	6	7	9.54	9.25	0	30	7	0	9.5	0	0	 	 	 
1989	6	8	9.54	9.25	0	30	8	0	9.5	0	0	 	 	 
1989	6	9	9.53	9.21	0	30	9	0	9.5	0	0	 	 	 
1989	6	12	9.52	9.25	0	30	12	0	9.5	0	0	 	 	 
1989	6	13	9.52	9.29	0	30	13	0	9.5	0	0	 	 	 
1989	6	14	9.53	9.29	0	30	14	0	9.5	0	0	 	 	 
1989	6	15	9.53	9.33	0	30	15	0	9.5	0	0	 	 	 
1989	6	16	9.54	9.37	0	30	16	0	9.5	0	0	 	 	 
1989	6	19	9.53	9.4	0	30	19	0	9.5	0	0	 	 	 
1989	6	20	9.52	9.41	0	30	20	0	9.5	0	0	 	 	 
1989	6	21	9.51	9.43	0	30	21	0	9.5	0	0	 	 	 
1989	6	22	9.53	9.47	0	30	22	0	9.5	0	0	 	 	 
1989	6	23	9.53	9.35	0	30	23	0	9.5	0	0	 	 	 
1989	6	26	9.53	9.34	0	30	26	0	9.5	0	0	 	 	 
1989	6	27	9.53	9.34	0	30	27	0	9.5	0	0	 	 	 
1989	6	28	9.54	9.35	1	30	28	0	9.5	0	0	 	 	 
1989	6	29	9.53	9.32	1	30	29	0	9.5	0	0	 	 	 
1989	6	30	9.53	9.29	1	30	30	0	9.5	0	0	 	 	 
1989	7	3	9.28	8.98	0	31	3	0	9.5	0	0	 	 	 
1989	7	4	  NaN 	  NaN 	0	31	4	0	9.5	0	0	 	 	 
1989	7	5	9.26	8.9	0	31	5	0	9.5	0	1	 	 	 
1989	7	6	9.28	8.93	0	31	6	0	9.5	0	1	 	 	 
1989	7	7	9.26	8.88	0	31	7	1	9.25	-0.25	0	1	7	 
1989	7	10	9.25	8.89	0	31	10	0	9.25	0	0	 	 	 
1989	7	11	9.27	8.89	0	31	11	0	9.25	0	0	 	 	 
1989	7	12	9.26	8.87	0	31	12	0	9.25	0	0	 	 	 
1989	7	13	9.27	8.89	0	31	13	0	9.25	0	0	 	 	 
1989	7	14	9.27	8.9	0	31	14	0	9.25	0	0	 	 	 
1989	7	17	9.27	8.92	0	31	17	0	9.25	0	0	 	 	 
1989	7	18	9.28	8.97	0	31	18	0	9.25	0	0	 	 	 
1989	7	19	9.27	8.92	0	31	19	0	9.25	0	0	 	 	 
1989	7	20	9.27	8.93	0	31	20	0	9.25	0	0	 	 	 
1989	7	21	9.27	8.97	0	31	21	0	9.25	0	0	 	 	 
1989	7	24	9.28	8.97	0	31	24	0	9.25	0	0	 	 	 
1989	7	25	9.27	8.93	0	31	25	0	9.25	0	0	 	 	 
1989	7	26	9.26	8.92	0	31	26	0	9.25	0	0	 	 	 
1989	7	27	9.26	8.86	0	31	27	1	9	-0.25	0	1	7	 
1989	7	28	9.25	8.81	0	31	28	0	9	0	0	 	 	 
1989	7	31	9.24	8.75	0	31	31	0	9	0	0	 	 	 
1989	8	1	8.72	8.35	0	31	1	0	9	0	0	 	 	 
1989	8	2	8.76	8.37	0	31	2	0	9	0	0	 	 	 
1989	8	3	8.8	8.41	0	31	3	0	9	0	0	 	 	 
1989	8	4	8.92	8.7	0	31	4	0	9	0	0	 	 	 
1989	8	7	8.93	8.72	0	31	7	0	9	0	0	 	 	 
1989	8	8	8.9	8.67	0	31	8	0	9	0	0	 	 	 
1989	8	9	8.93	8.71	0	31	9	0	9	0	0	 	 	 
1989	8	10	8.95	8.73	0	31	10	0	9	0	0	 	 	 
1989	8	11	8.97	8.8	0	31	11	0	9	0	0	 	 	 
1989	8	14	9.02	8.88	0	31	14	0	9	0	0	 	 	 
1989	8	15	9.04	8.92	0	31	15	0	9	0	0	 	 	 
1989	8	16	9.01	8.9	0	31	16	0	9	0	0	 	 	 
1989	8	17	9.02	8.91	0	31	17	0	9	0	0	 	 	 
1989	8	18	8.99	8.9	0	31	18	0	9	0	0	 	 	 
1989	8	21	8.99	8.91	0	31	21	0	9	0	0	 	 	 
1989	8	22	9	8.94	0	31	22	0	9	0	1	 	 	 
1989	8	23	9	8.9	0	31	23	0	9	0	0	 	 	 
1989	8	24	9	8.92	0	31	24	0	9	0	0	 	 	 
1989	8	25	9	8.92	0	31	25	0	9	0	0	 	 	 
1989	8	28	8.99	8.91	0	31	28	0	9	0	0	 	 	 
1989	8	29	9	8.92	1	31	29	0	9	0	0	 	 	 
1989	8	30	8.99	8.94	1	31	30	0	9	0	0	 	 	 
1989	8	31	8.99	8.93	1	31	31	0	9	0	0	 	 	 
1989	9	1	8.9	8.78	0	30	1	0	9	0	0	 	 	 
1989	9	4	  NaN 	  NaN 	0	30	4	0	9	0	0	 	 	 
1989	9	5	8.93	8.82	0	30	5	0	9	0	0	 	 	 
1989	9	6	8.94	8.82	0	30	6	0	9	0	0	 	 	 
1989	9	7	8.94	8.81	0	30	7	0	9	0	0	 	 	 
1989	9	8	8.94	8.8	0	30	8	0	9	0	0	 	 	 
1989	9	11	8.94	8.81	0	30	11	0	9	0	0	 	 	 
1989	9	12	8.94	8.81	0	30	12	0	9	0	0	 	 	 
1989	9	13	8.94	8.78	0	30	13	0	9	0	0	 	 	 
1989	9	14	8.93	8.76	0	30	14	0	9	0	0	 	 	 
1989	9	15	8.96	8.78	0	30	15	0	9	0	0	 	 	 
1989	9	18	8.96	8.8	0	30	18	0	9	0	0	 	 	 
1989	9	19	8.96	8.79	0	30	19	0	9	0	0	 	 	 
1989	9	20	8.97	8.82	0	30	20	0	9	0	0	 	 	 
1989	9	21	8.99	8.86	0	30	21	0	9	0	0	 	 	 
1989	9	22	8.99	8.9	0	30	22	0	9	0	0	 	 	 
1989	9	25	8.99	8.93	0	30	25	0	9	0	0	 	 	 
1989	9	26	9	8.9	0	30	26	0	9	0	0	 	 	 
1989	9	27	9	8.94	0	30	27	0	9	0	0	 	 	 
1989	9	28	9.01	8.95	1	30	28	0	9	0	0	 	 	 
1989	9	29	9.02	8.95	1	30	29	0	9	0	0	 	 	 
1989	10	2	8.95	8.9	0	31	2	0	9	0	0	 	 	 
1989	10	3	8.96	8.88	0	31	3	0	9	0	1	 	 	 
1989	10	4	8.99	8.88	0	31	4	0	9	0	0	 	 	 
1989	10	5	8.99	8.85	0	31	5	0	9	0	0	 	 	 
1989	10	6	8.92	8.72	0	31	6	0	9	0	0	 	 	 
1989	10	9	8.92	8.71	0	31	9	0	9	0	0	 	 	 
1989	10	10	8.89	8.73	0	31	10	0	9	0	0	 	 	 
1989	10	11	8.89	8.73	0	31	11	0	9	0	0	 	 	 
1989	10	12	8.87	8.7	0	31	12	0	9	0	0	 	 	 
1989	10	13	8.89	8.73	0	31	13	0	9	0	0	 	 	 
1989	10	16	8.79	8.57	0	31	16	0	9	0	0	 	 	 
1989	10	17	8.82	8.54	0	31	17	0	9	0	0	 	 	 
1989	10	18	8.82	8.58	0	31	18	1	8.75	-0.25	0	1	10	 
1989	10	19	8.83	8.58	0	31	19	0	8.75	0	0	 	 	 
1989	10	20	8.84	8.6	0	31	20	0	8.75	0	0	 	 	 
1989	10	23	8.83	8.59	0	31	23	0	8.75	0	0	 	 	 
1989	10	24	8.83	8.55	0	31	24	0	8.75	0	0	 	 	 
1989	10	25	8.83	8.56	0	31	25	0	8.75	0	0	 	 	 
1989	10	26	8.83	8.57	0	31	26	0	8.75	0	0	 	 	 
1989	10	27	8.83	8.59	0	31	27	0	8.75	0	0	 	 	 
1989	10	30	8.83	8.62	1	31	30	0	8.75	0	0	 	 	 
1989	10	31	8.84	8.65	1	31	31	0	8.75	0	0	 	 	 
1989	11	1	8.66	8.54	0	30	1	0	8.75	0	0	 	 	 
1989	11	2	8.64	8.53	0	30	2	0	8.75	0	0	 	 	 
1989	11	3	8.68	8.61	0	30	3	0	8.75	0	0	 	 	 
1989	11	6	8.71	8.64	0	30	6	1	8.5	-0.25	0	1	11	 
1989	11	7	8.63	8.53	0	30	7	0	8.5	0	0	 	 	 
1989	11	8	8.58	8.49	0	30	8	0	8.5	0	0	 	 	 
1989	11	9	8.58	8.5	0	30	9	0	8.5	0	0	 	 	 
1989	11	10	8.57	8.5	0	30	10	0	8.5	0	0	 	 	 
1989	11	13	8.55	8.49	0	30	13	0	8.5	0	0	 	 	 
1989	11	14	8.54	8.46	0	30	14	0	8.5	0	1	 	 	 
1989	11	15	8.53	8.46	0	30	15	0	8.5	0	0	 	 	 
1989	11	16	8.54	8.48	0	30	16	0	8.5	0	0	 	 	 
1989	11	17	8.54	8.49	0	30	17	0	8.5	0	0	 	 	 
1989	11	20	8.53	8.5	0	30	20	0	8.5	0	0	 	 	 
1989	11	21	8.53	8.52	0	30	21	0	8.5	0	0	 	 	 
1989	11	22	8.51	8.43	0	30	22	0	8.5	0	0	 	 	 
1989	11	23	  NaN 	  NaN 	0	30	23	0	8.5	0	0	 	 	 
1989	11	24	8.49	8.37	0	30	24	0	8.5	0	0	 	 	 
1989	11	27	8.52	8.49	0	30	27	0	8.5	0	0	 	 	 
1989	11	28	8.55	8.54	1	30	28	0	8.5	0	0	 	 	 
1989	11	29	8.54	8.56	1	30	29	0	8.5	0	0	 	 	 
1989	11	30	8.55	8.56	1	30	30	0	8.5	0	0	 	 	 
1989	12	1	8.55	8.24	0	31	1	0	8.5	0	0	 	 	 
1989	12	4	8.56	8.24	0	31	4	0	8.5	0	0	 	 	 
1989	12	5	8.56	8.24	0	31	5	0	8.5	0	0	 	 	 
1989	12	6	8.57	8.27	0	31	6	0	8.5	0	0	 	 	 
1989	12	7	8.58	8.32	0	31	7	0	8.5	0	0	 	 	 
1989	12	8	8.59	8.26	0	31	8	0	8.5	0	0	 	 	 
1989	12	11	8.58	8.3	0	31	11	0	8.5	0	0	 	 	 
1989	12	12	8.58	8.32	0	31	12	0	8.5	0	0	 	 	 
1989	12	13	8.59	8.33	0	31	13	0	8.5	0	0	 	 	 
1989	12	14	8.6	8.3	0	31	14	0	8.5	0	0	 	 	 
1989	12	15	8.62	8.33	0	31	15	0	8.5	0	0	 	 	 
1989	12	18	8.63	8.33	0	31	18	0	8.5	0	1	 	 	 
1989	12	19	8.63	8.33	0	31	19	0	8.5	0	1	 	 	 
1989	12	20	8.57	8.23	0	31	20	1	8.25	-0.25	0	1	12	 
1989	12	21	8.55	8.2	0	31	21	0	8.25	0	0	 	 	 
1989	12	22	8.55	8.22	0	31	22	0	8.25	0	0	 	 	 
1989	12	25	  NaN 	  NaN 	0	31	25	0	8.25	0	0	 	 	 
1989	12	26	8.54	8.24	0	31	26	0	8.25	0	0	 	 	 
1989	12	27	8.6	8.25	0	31	27	0	8.25	0	0	 	 	 
1989	12	28	8.64	8.26	1	31	28	0	8.25	0	0	 	 	 
1989	12	29	8.45	8.23	1	31	29	0	8.25	0	0	 	 	 
1990	1	1	  NaN 	  NaN 	0	31	1	0	8.25	0	0	 	 	 
1990	1	2	8.26	8.17	0	31	2	0	8.25	0	0	 	 	 
1990	1	3	8.24	8.16	0	31	3	0	8.25	0	0	 	 	 
1990	1	4	8.22	8.14	0	31	4	0	8.25	0	0	 	 	 
1990	1	5	8.22	8.1	0	31	5	0	8.25	0	0	 	 	 
1990	1	8	8.21	8.1	0	31	8	0	8.25	0	0	 	 	 
1990	1	9	8.23	8.09	0	31	9	0	8.25	0	0	 	 	 
1990	1	10	8.23	8.1	0	31	10	0	8.25	0	0	 	 	 
1990	1	11	8.22	8.09	0	31	11	0	8.25	0	0	 	 	 
1990	1	12	8.22	8.09	0	31	12	0	8.25	0	0	 	 	 
1990	1	15	8.22	8.12	0	31	15	0	8.25	0	0	 	 	 
1990	1	16	8.24	8.15	0	31	16	0	8.25	0	0	 	 	 
1990	1	17	8.23	8.16	0	31	17	0	8.25	0	0	 	 	 
1990	1	18	8.27	8.24	0	31	18	0	8.25	0	0	 	 	 
1990	1	19	8.25	8.21	0	31	19	0	8.25	0	0	 	 	 
1990	1	22	8.24	8.2	0	31	22	0	8.25	0	0	 	 	 
1990	1	23	8.24	8.2	0	31	23	0	8.25	0	0	 	 	 
1990	1	24	8.24	8.19	0	31	24	0	8.25	0	0	 	 	 
1990	1	25	8.23	8.2	0	31	25	0	8.25	0	0	 	 	 
1990	1	26	8.23	8.21	0	31	26	0	8.25	0	0	 	 	 
1990	1	29	8.24	8.21	0	31	29	0	8.25	0	0	 	 	 
1990	1	30	8.23	8.2	0	31	30	0	8.25	0	0	 	 	 
1990	1	31	8.23	8.21	0	31	31	0	8.25	0	0	 	 	 
1990	2	1	8.2	8.17	0	28	1	0	8.25	0	0	 	 	 
1990	2	2	8.22	8.19	0	28	2	0	8.25	0	0	 	 	 
1990	2	5	8.22	8.22	0	28	5	0	8.25	0	0	 	 	 
1990	2	6	8.22	8.21	0	28	6	0	8.25	0	1	 	 	 
1990	2	7	8.22	8.23	0	28	7	0	8.25	0	1	 	 	 
1990	2	8	8.21	8.21	0	28	8	0	8.25	0	0	 	 	 
1990	2	9	8.21	8.19	0	28	9	0	8.25	0	0	 	 	 
1990	2	12	8.21	8.18	0	28	12	0	8.25	0	0	 	 	 
1990	2	13	8.2	8.18	0	28	13	0	8.25	0	0	 	 	 
1990	2	14	8.19	8.17	0	28	14	0	8.25	0	0	 	 	 
1990	2	15	8.2	8.2	0	28	15	0	8.25	0	0	 	 	 
1990	2	16	8.2	8.2	0	28	16	0	8.25	0	0	 	 	 
1990	2	19	  NaN 	  NaN 	0	28	19	0	8.25	0	0	 	 	 
1990	2	20	8.21	8.24	0	28	20	0	8.25	0	0	 	 	 
1990	2	21	8.23	8.24	0	28	21	0	8.25	0	0	 	 	 
1990	2	22	8.23	8.24	0	28	22	0	8.25	0	0	 	 	 
1990	2	23	8.23	8.23	0	28	23	0	8.25	0	0	 	 	 
1990	2	26	8.23	8.23	0	28	26	0	8.25	0	0	 	 	 
1990	2	27	8.23	8.24	0	28	27	0	8.25	0	0	 	 	 
1990	2	28	8.24	8.23	0	28	28	0	8.25	0	0	 	 	 
1990	3	1	8.25	8.25	0	31	1	0	8.25	0	0	 	 	 
1990	3	2	8.27	8.25	0	31	2	0	8.25	0	0	 	 	 
