DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,-.12739554,,,,,.3437165,,,,,.32338393,,,,,-.15148188,,,,,.15148188,,,,,13.633368,,,,,-.75740939,,
,,-.26721725,,,,,.012437296,,,,,.45760348,,,,,0,,,,,-.20167387,,,,,18.150648,,,,,0,,
,-.031046743,,,,,.066623688,,,,,.0018788351,,,,,.030465782,,,,,0,,,,,2.7419202,,,,,0,,,
,-.031052064,,,,,.12157151,,,,,.067905538,,,,,0,,,,,.031051947,,,,,2.7170453,,,,,-.077629864,,,
,.10925848,,,,,.10319702,,,,,.18853612,,,,,.048156131,,,,,0,,,,,4.0932713,,,,,-.12039033,,,
,,-.038242605,,,,,.54886329,,,,,.40975389,,,,,0,,,,,.19120866,,,,,15.774714,,,,,-.47802162,,
,,-.041605581,,,,,.55438006,,,,,.21467401,,,,,0,,,,,0,,,,,6.1698809,,,,,0,,
,,.018061861,,,,,.33511674,,,,,.57118511,,,,,-.077053457,,,,,0,,,,,6.3569102,,,,,0,,
,,.031950049,,,,,.29193878,,,,,.34738892,,,,,-.079875201,,,,,-.079875201,,,,,6.589704,,,,,0,,
,,.031772207,,,,,.16119099,,,,,.27280164,,,,,.14927846,,,,,-.074639231,,,,,6.1577368,,,,,0,,
,,0,,,,,.17215703,,,,,.17252883,,,,,0,,,,,.1597784,,,,,6.5908594,,,,,0,,
,-.046193764,,,,,.2107573,,,,,.10321595,,,,,-.095794402,,,,,0,,,,,3.951519,,,,,0,,,
,,-.075787865,,,,,.23328543,,,,,.43981701,,,,,.29986155,,,,,-.19990769,,,,,7.9963078,,,,,-.24988462,,
,,-.16011028,,,,,1.1821166,,,,,.4152064,,,,,.3558,,,,,.53369999,,,,,14.232,,,,,0,,
,-.058648475,,,,,.19208924,,,,,.20765893,,,,,.062502332,,,,,.062502332,,,,,2.5000935,,,,,0,,,
,-.063267149,,,,,.17374326,,,,,.18877149,,,,,0,,,,,.061422795,,,,,2.3801334,,,,,-.076778494,,,
.72762281,,,,,.27494204,,,,,1.2863659,,,,,.68214607,,,,,0,,,,,17.053652,,,,,-.56845504,,,,
,.0031631228,,,,,.025778733,,,,,.038246453,,,,,.031630505,,,,,.094891511,,,,,2.2141352,,,,,-.15815252,,,
-.086639926,,,,,.26733977,,,,,.058842711,,,,,.0722,,,,,.0722,,,,,4.8735003,,,,,-.18050002,,,,
,.066899218,,,,,.022032896,,,,,.22519265,,,,,.1216348,,,,,.060817398,,,,,3.8010874,,,,,-.30408701,,,
,.021628235,,,,,.005744515,,,,,.013059122,,,,,.072094187,,,,,.072094187,,,,,2.1628256,,,,,-.09011773,,,
,,-.054307379,,,,,.14882475,,,,,.01343155,,,,,-.084283583,,,,,.16856717,,,,,4.8463063,,,,,-.21070896,,
,,.0074938866,,,,,.30928272,,,,,.13232118,,,,,.1498743,,,,,-.07493715,,,,,4.3088861,,,,,0,,
,,.015789872,,,,,.15016463,,,,,.36813691,,,,,0,,,,,.17839426,,,,,5.1288352,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.0067653875,,,,,.1551971,,,,,.1069049,,,,,.067652322,,,,,-.067652322,,,,,3.7208779,,,,,-.16913082,,,
,-.024265097,,,,,.11772423,,,,,.078707829,,,,,0,,,,,.034309711,,,,,1.8012599,,,,,-.08577428,,,
,-.038258582,,,,,.067833908,,,,,.12556313,,,,,.036594294,,,,,0,,,,,1.8297147,,,,,-.091485731,,,
-.0075431103,,,,,.054028641,,,,,.046607908,,,,,0,,,,,.025143525,,,,,1.1943175,,,,,-.062858813,,,,
,,-.041271858,,,,,.50393778,,,,,.44342721,,,,,.61907846,,,,,0,,,,,8.2543802,,,,,-1.5476962,,
,,-.06287057,,,,,.10257652,,,,,.19006836,,,,,0,,,,,.23349555,,,,,3.1132739,,,,,0,,
,,-.015058609,,,,,.18743417,,,,,.099230655,,,,,.075293116,,,,,0,,,,,3.0117247,,,,,0,,
,.034328829,,,,,.27931291,,,,,.28485784,,,,,0,,,,,.11442863,,,,,4.5771456,,,,,0,,,
,,-.14917779,,,,,.22553925,,,,,.2048088,,,,,0,,,,,0,,,,,3.1464698,,,,,-.20976466,,
,,.015030946,,,,,.10027748,,,,,.20201635,,,,,.15030959,,,,,0,,,,,2.818305,,,,,0,,
-.046542063,,,,,.058419965,,,,,.044115156,,,,,.066125825,,,,,.066125825,,,,,1.2398591,,,,,0,,,,
,,-.1131023,,,,,.31265333,,,,,.1680596,,,,,-.09511371,,,,,.19022742,,,,,3.0911956,,,,,-.47556856,,
,-.055530373,,,,,.36810791,,,,,.91268504,,,,,-.27765214,,,,,-.27765214,,,,,9.023694,,,,,0,,,
,,-.17650835,,,,,.20339629,,,,,.16399461,,,,,0,,,,,-.12369594,,,,,3.7108781,,,,,-.30923986,,
,,-.04178115,,,,,.27490574,,,,,.12704445,,,,,-.23178717,,,,,0,,,,,2.3178716,,,,,0,,
,,.24892528,,,,,.18274675,,,,,.32354191,,,,,.090931609,,,,,-.27279481,,,,,2.7279482,,,,,0,,
,,.1045578,,,,,.13121417,,,,,.15009385,,,,,0,,,,,.074684091,,,,,2.2405226,,,,,0,,
,,-.018844293,,,,,.19568698,,,,,.14312635,,,,,-.081464231,,,,,0,,,,,2.4439268,,,,,0,,
,,-.068535,,,,,.114425,,,,,.18301697,,,,,-.15237944,,,,,-.076189719,,,,,2.2856915,,,,,0,,
,,.030184781,,,,,.15361021,,,,,.11333213,,,,,-.075462028,,,,,-.15092406,,,,,2.2638607,,,,,0,,
,,-.06453687,,,,,.2062975,,,,,.15614414,,,,,.076706842,,,,,-.076706842,,,,,2.3012052,,,,,0,,
,,.084289744,,,,,.28959391,,,,,.25187933,,,,,0,,,,,.093655363,,,,,2.8096609,,,,,0,,
,,-.039202254,,,,,.027998308,,,,,.24378964,,,,,-.078842156,,,,,0,,,,,2.3652647,,,,,0,,
,,.0035668944,,,,,.14192533,,,,,.031841692,,,,,-.089664981,,,,,-.089664981,,,,,2.6899493,,,,,0,,
,,-.088207915,,,,,.13406493,,,,,.12362863,,,,,-.078105569,,,,,-.078105569,,,,,2.3431671,,,,,0,,
,,.02997792,,,,,.080542587,,,,,.12863971,,,,,-.074944869,,,,,-.074944869,,,,,2.2483461,,,,,0,,
,,-.014641192,,,,,.233153,,,,,.080251247,,,,,.074673772,,,,,-.074673772,,,,,2.2402132,,,,,0,,
,,.15564024,,,,,.14408463,,,,,.24249661,,,,,-.15533265,,,,,.077666327,,,,,2.3299899,,,,,0,,
,,.090743169,,,,,.016366944,,,,,.14028718,,,,,-.075619377,,,,,-.15123875,,,,,2.2685812,,,,,0,,
,,,.044388,,,,,.011167488,,,,,.0074470057,,,,,.034407031,,,,,-.034407031,,,,,1.0322108,,,,,0,
,,,.037156951,,,,,.044863459,,,,,.0063419705,,,,,0,,,,,.019539611,,,,,.63503736,,,,,.048849028,
,,,.08462818,,,,,.26095572,,,,,.21589856,,,,,-.094031401,,,,,0,,,,,3.2910991,,,,,.23507851,
