start_date,end_date,Header1,Header2,Header3,Header4,Header5,Header6,Header7,Header8,Header9,Header10,Header11
1968-08-13,1968-08-13,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Prospective developments",,,,,,,,,
1968-09-10,1968-09-10,"However, as the Treasury balance is restored
after the mid-month tax date and the System returns to the buy side of
the market in the latter part of September, upward yield pressures
in the bill market may be relaxed, even with day-to-day money rates
and marginal reserve measures returning closer to currently prevailing",,,,,,,,,,
1968-10-08,1968-10-08,"CONFIDENTIAL (FR)
MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments",,,,,,,,,,
1968-10-29,1968-10-29,"CONFIDENTIAL (FR)
MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments",,,,,,,,,,
1968-11-26,1968-11-26,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments",,,,,,,,,,
1968-12-17,1968-12-17,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent Developments","Individual banks would also increase demands
in the Federal funds market and at the discount window",,,,,,,,,
1969-01-14,1969-01-14,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent Developments",,,,,,,,,,
1969-02-04,1969-02-04,"Time
Deposits
* -
I
I t
M~nnv M~rt~+ Tn~ir~rnre",,,,,,,,,,
1969-03-04,1969-03-04,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments",,,,,,,,,,
1969-04-01,1969-04-01,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent Developments","Policy alternative","The dura-
tion and strength of rises in long-term interest rates will probably
depend on how successful the policy moves are in breaking inflationary",,,,,,,,
1969-04-29,1969-04-29,"CONFIDENTIAL (FR)
MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments",,,,,,,,,,
1969-05-27,1969-05-27,"CONFIDENTIAL (FR)
MCNEY MARKET AND RESERVE RELATIO SHIPS
Recent developments","The recent decline reflects a scarce
market supply of short-bills in part growing out of the heavy foreign
official purchases related to recent speculative flows into the German","Prospective developments",,,,,,,,
