start_date,Var1
1970-01-15,"(17) Policy alternative C."
1972-04-18,"The pattern of specifications
for this alternative could be the same as that for alternative A, but the phrase
""taking account of capital market developments"" could be construed as in-
structing the Manager to be more liberal in providing reserves and more
cautious in allowing the Federal funds rate to move upward if significant
increases in long-term interest rates appear to be in process..
(16) Alternative C."
1977-12-19,"In private short-term markets, banks are
likely to issue a sizable amount of new large, negotiable CD's in
coming weeks, though the amount issued will probably drop below
the exceptional volume of the fourth quarter, as other deposit
inflows pick-up somewhat and loan demands moderate..
(16) Alternative C contemplates an increase in the Federal
funds rate to the mid-point of a 6¾-7¼ per cent range between now
and mid-January."
1979-05-22,"In the mortgage market,
however, yields can be expected to continue rising as available supplies
of credit are constrained by the reduced deposit flows to thrift institutions..
(16) Alternative C contemplates a rise in the Federal funds
rate to the midpoint of a 10 to 11 per cent range."
1979-08-14,"(15) Alternative C calls for an increase in the Federal funds
rate to the midpoint of a 10-3/4 to 11-1/2 percent range."
1982-11-16,"The further decline in U.S. interest
rates would tend at least to blunt the strength of the dollar on foreign
exchange markets, and may well bring some depreciation..
(16) Alternative C involves M2 growth over the fourth quarter at
a 9 percent annual rate and constraint on reserve provision that would
probably lead to a federal funds rate of 10 percent or somewhat higher."
1982-12-20,"(17) Alternative C involves slower growth in the monetary
aggregates than alternatives A or B, with M2 growth specified at 10 percent
over the first quarter."
1983-02-08,"The
dollar likely would resume its decline on foreign exchange markets..
(24) Alternative C, which appears most consistent with the
tightest of the longer-run alternatives presented, involves a rise in the
federal funds rate to the 9 percent area."
1983-05-24,"Since
the contemplated interest rate declines are small,a substantial impact on
spending would seem to be contingent on whether the easing engendered a
significant improvement in business and consumer confidence..
(21) Alternative C, which contemplates an increase in the federal
funds rate to the 9 to 9½ percent area, would imply a level of adjustment
borrowing between $500 and $700 million at the current discount rate."
1983-07-12,"While thrift deposit flows might be
about the same as under alternative A, higher deposit costs would once
again begin to eliminate the earnings of a large number of S&Ls and MSBs,
exerting upward pressure on mortgage rates..
(26) Alternative C involves an approach that would exert
relatively strong restraint on the aggregates and credit markets over the
near-term."
1983-11-14,"The reaction of bond yields may be more muted, espe-
cially if incoming data indicated not only continued strength in economic
activity but also a very substantial pickup in money stock growth..
(19) Somewhat tighter reserve conditions are contemplated under
alternative C, with discount window borrowing in the neighborhood of $800
to $900 million and the federal funds rate rising to around 10 percent."
1983-12-19,"Total and nonborrowed
reserves would grow at 4-1/2 and 8-1/2 percent annual rates, respectively,
through March..
(25) Under alternative C, growth in M2 would be constrained to
the lower half of its longer-run range."
1984-03-26,"In such a case, this alternative increases the odds
that a substantial rise of interest rates later this year and into 1985
may be needed to keep money growth rates within their long-run target
bands and/or to forestall greater upward pressures than currently
projected on the average price level..
(17) Alternative C involves a more restrictive policy than
either A or B--slowing M1 growth, for example, over the March-to-June
period to about 5 percent at an annual rate, which would place it at
about the middle of its longer-run range by mid-year."
1984-07-16,"Borrowing in that area might involve
a federal funds rate of around 10-1/2 percent-unless the recent relative
reluctance of banks to borrow from the discount window abates, in which
case the funds rate could be lower for such a level of borrowing..
(25) Alternative C contemplates a very considerable decelera-
tion in M1 growth-as more consistent with growth around the midpoint
of its longer-run range over the year as a whole-and greater restraint
on growth of the broader money and credit aggregates."
1984-08-21,"Expansion of both M3 and debt is
more likely to be somewhat further above the upper ends of their respective
long-run ranges than under alternative B as private credit demands respond
to the stronger economy..
(15) Alternative C calls for sane tightening in money market
conditions over the period ahead, should it be desired to place even more
constraint on the growth of credit."
1984-12-17,"(16) Alternative C is designed to hold growth of M1 and M2 to
rates close to the midpoints of their tentative long-run ranges and is
expected to involve some tightening of reserve conditions."
1985-05-21,"Core deposits in the nontransactions
M2 are likely to expand more rapidly than the 6 percent pace of April,
and net inflows to MMMFs are likely to pick up, given the usual lagged
adjustments in changes in returns on these instruments relative to declines
in market rates..
(12) As compared with alternative B, alternative C involves
tighter reserve conditions thought more likely to be consistent with
constraining M1 growth to the 6 percent path for March to June chosen
by the Comittee at its last meeting."
1985-07-09,"Under those conditions, growth of M1, M2 and debt for
the QIV 1984 to QIV 1985 period could be around the upper ends of the
specifications of alternative II..
(27) Alternative C contemplates a more marked slowing of money
growth over the months ahead than alternative B, with M1 specified to
grow at a 4 percent annual rate."
1985-10-01,"In contrast, M3 would very likely stay well within its
annual range, moving only slightly more above its midpoint by December, as
reduced reliance by depository institutions on issuance of managed liabilities
partly offsets the greater influx of core deposits..
(17) Alternative C assumes some tightening of reserve conditions
consistent with a marked slowing of M1 growth over the next three months
to around a 5-1/2 percent annual rate and with enough moderation of M2 growth
possibly to move just within the target range for the year."
