start_date,end_date,TotalParagraphs,TotalRelevantParagraphs,alternatives_discussed,alternatives_parags
1968-08-13,1968-08-13,20,0,"No alternatives found","No alternatives found"
1968-09-10,1968-09-10,15,0,"No alternatives found","No alternatives found"
1968-10-08,1968-10-08,15,0,"No alternatives found","No alternatives found"
1968-10-29,1968-10-29,15,0,"No alternatives found","No alternatives found"
1968-11-26,1968-11-26,19,0,"No alternatives found","No alternatives found"
1968-12-17,1968-12-17,17,0,"No alternatives found","No alternatives found"
1969-01-14,1969-01-14,16,0,"No alternatives found","No alternatives found"
1969-02-04,1969-02-04,12,0,"No alternatives found","No alternatives found"
1969-03-04,1969-03-04,14,0,"No alternatives found","No alternatives found"
1969-04-01,1969-04-01,20,0,"No alternatives found","No alternatives found"
1969-04-29,1969-04-29,11,0,"No alternatives found","No alternatives found"
1969-05-27,1969-05-27,12,0,"No alternatives found","No alternatives found"
1969-06-24,1969-06-24,13,0,"No alternatives found","No alternatives found"
1969-07-15,1969-07-15,11,0,"No alternatives found","No alternatives found"
1969-08-12,1969-08-12,20,0,"No alternatives found","No alternatives found"
1969-09-09,1969-09-09,11,0,"No alternatives found","No alternatives found"
1969-10-07,1969-10-07,13,0,"No alternatives found","No alternatives found"
1969-10-28,1969-10-28,17,4,"Alternative A, Alternative B","(7), (15), (16), (17)"
1969-11-25,1969-11-25,14,2,"Alternative A, Alternative B","(6), (13)"
1969-12-16,1969-12-16,18,2,"Alternative A, Alternative B","(7), (16)"
1970-01-15,1970-01-15,21,3,"Alternative A, Alternative B, Alternative C","(8), (14), (17)"
1970-02-10,1970-02-10,20,3,"Alternative A, Alternative B","(8), (15), (17)"
1970-03-10,1970-03-10,18,5,"Alternative A, Alternative B","(3), (7), (15), (17), (18)"
1970-04-07,1970-04-07,18,2,"Alternative A, alternative E","(7), (15)"
1970-05-05,1970-05-05,15,0,"No alternatives found","No alternatives found"
1970-05-26,1970-05-26,13,1,"Alternative A","(12)"
1970-06-23,1970-06-23,24,5,"Alternative A, Alternative B, Alternative C, Alternative D","(10), (16), (18), (20), (24)"
1970-07-21,1970-07-21,15,2,"Alternative A, Alternative B","(7), (8)"
1970-08-18,1970-08-18,18,2,"Alternative A","(8), (17)"
1970-09-15,1970-09-15,19,8,"Alternative A, Alternative B","(2), (8), (13), (14), (16), (17), (18), (19)"
1970-10-20,1970-10-20,14,0,"No alternatives found","No alternatives found"
1970-11-17,1970-11-17,18,3,"Alternative A, Alternative B","(11), (15), (20)"
1970-12-15,1970-12-15,18,7,"Alternative A, Alternative B, Alternative C, Alternative D","(8), (9), (10), (11), (15), (17), (19)"
1971-01-12,1971-01-12,17,8,"Alternative A, Alternative B, Alternative C, Alternative D","(6), (7), (9), (10), (12), (15), (19), (20)"
1971-02-09,1971-02-09,20,8,"Alternative A, Alternative B, Alternative C, Alternative D","(7), (9), (10), (12), (15), (18), (19), (20)"
1971-03-09,1971-03-09,24,11,"Alternative A, Alternative B, Alternative C, Alternative D","(10), (11), (13), (16), (17), (18), (19), (21), (22), (23), (24)"
1971-04-06,1971-04-06,15,6,"Alternative A, Alternative B, Alternative C","(6), (7), (12), (13), (14), (15)"
1971-05-11,1971-05-11,24,10,"Alternative A, Alternative B, Alternative C","(9), (14), (15), (17), (18), (19), (20), (22), (23), (24)"
1971-06-08,1971-06-08,18,9,"Alternative A, Alternative B, Alternative C","(8), (9), (11), (12), (13), (14), (16), (17), (18)"
1971-06-29,1971-06-29,15,6,"Alternative A, Alternative B, Alternative C","(6), (8), (11), (13), (14), (15)"
1971-07-27,1971-07-27,20,12,"Alternative A, Alternative B","(1), (2), (4), (5), (9), (10), (12), (13), (15), (16), (19), (20)"
1971-08-24,1971-08-24,24,11,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (14), (16), (17), (18), (19), (20), (22), (23), (24)"
1971-09-21,1971-09-21,16,6,"Alternative A, Alternative B, Alternative C","(9), (12), (13), (14), (15), (16)"
1971-10-19,1971-10-19,16,10,"Alternative A, Alternative B, Alternative C","(5), (6), (7), (8), (10), (11), (12), (14), (15), (16)"
1971-11-16,1971-11-16,19,11,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (14), (15), (16), (17), (18), (19)"
1971-12-14,1971-12-14,20,7,"Alternative A, Alternative B, Alternative C","(12), (13), (15), (16), (18), (19), (20)"
1972-01-11,1972-01-11,11,5,"Alternative A, Alternative B","(6), (7), (8), (9), (11)"
1972-02-15,1972-02-15,17,5,"Alternative A, Alternative B","(12), (14), (15), (16), (17)"
1972-03-21,1972-03-21,14,1,"Alternative A","(14)"
1972-04-18,1972-04-18,16,3,"Alternative A, Alternative B, Alternative C","(14), (15), (16)"
1972-05-23,1972-05-23,16,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14), (15), (16)"
1972-06-19,1972-06-20,18,7,"Alternative A, Alternative B, Alternative C","(8), (10), (14), (15), (16), (17), (18)"
1972-07-18,1972-07-18,20,7,"Alternative A, Alternative B, Alternative C, Alternative D","(2), (10), (14), (17), (18), (19), (20)"
1972-08-15,1972-08-15,21,9,"Alternative A, Alternative B, Alternative C","(3), (11), (12), (14), (16), (18), (19), (20), (21)"
1972-09-19,1972-09-19,21,9,"Alternative A, Alternative B, Alternative C, Alternative D","(5), (7), (12), (13), (14), (17), (18), (19), (21)"
1972-10-17,1972-10-17,17,6,"Alternative A, Alternative B, Alternative C","(7), (8), (9)., (11), (15), (17)"
1972-11-20,1972-11-21,15,5,"Alternative A, Alternative B, Alternative C","(8), (11), (13), (14), (15)"
1972-12-19,1972-12-19,14,5,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (13), (14)"
1973-01-16,1973-01-16,21,8,"Alternative A, Alternative B, Alternative C","(10), (11), (13), (15), (16), (18), (19), (21)"
1973-02-13,1973-02-13,17,5,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (15), (17)"
1973-03-19,1973-03-20,13,4,"Alternative A, Alternative B, Alternative C","(7), (8), (12), (13)"
1973-04-17,1973-04-17,14,5,"Alternative A, Alternative B, Alternative C","(7), (8), (11), (13), (14)"
1973-05-15,1973-05-15,19,7,"Alternative A, Alternative B, Alternative C","(8), (10), (14), (15), (16), (18), (19)"
1973-06-18,1973-06-19,17,7,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (11), (13), (14), (15), (16)"
1973-07-17,1973-07-17,14,6,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (11), (12), (14)"
1973-08-21,1973-08-21,21,8,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (16), (17), (18), (21)"
1973-09-18,1973-09-18,14,6,"Alternative A, Alternative B, Alternative C","(1), (8), (9), (10), (13), (15)"
1973-10-16,1973-10-16,15,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14), (15)"
1973-11-19,1973-11-20,17,5,"Alternative A, Alternative B, Alternative C","(9), (13), (14), (16), (17)"
1973-12-17,1973-12-18,13,8,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (11), (12), (13)"
1974-01-21,1974-01-22,17,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (14), (16), (17)"
1974-02-20,1974-02-20,17,5,"Alternative A, Alternative B, Alternative C","(10), (12), (13), (16), (19)"
1974-03-18,1974-03-19,17,6,"Alternative A, Alternative B, Alternative C","(9), (11), (13), (14), (15), (17)"
