start_date,end_date,TotalParagraphs,TotalRelevantParagraphs,alternatives_discussed,alternatives_parags,alternativeA,numberofsentences_altA,alternativeB,numberofsentences_altB,alternativeC,numberofsentences_altC,alternativeD,numberofsentences_altD
1968-08-13,1968-08-13,20,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1968-09-10,1968-09-10,15,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1968-10-08,1968-10-08,15,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1968-10-29,1968-10-29,15,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1968-11-26,1968-11-26,19,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1968-12-17,1968-12-17,17,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-01-14,1969-01-14,16,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-02-04,1969-02-04,12,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-03-04,1969-03-04,14,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-04-01,1969-04-01,20,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-04-29,1969-04-29,11,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-05-27,1969-05-27,12,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-06-24,1969-06-24,13,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-07-15,1969-07-15,11,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-08-12,1969-08-12,20,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-09-09,1969-09-09,11,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-10-07,1969-10-07,13,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-10-28,1969-10-28,17,4,"Alternative A, Alternative B","(7), (15), (16), (17)","(7) For the second paragraph of the current economic policy
directive, the Committee might wish to consider language along the following
lines (alternative A):
'To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to main-
taining the prevailing firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections. Assuming the bill rate remains within the range,
however, we would not expect the November aggregatesto be more than a
percentage point or two stronger than projected under alternative A of
the directive..
(17) Even a slight easing of money market conditions would
probably lead over time to expectations of further easing and encourage
banks to add more to loans and investments than otherwise, financing
them at very short-term in the Federal funds, Euro-dollar, and commercial
paper markets. Thus, relative
to the alternative A projections, bank credit and deposit expansion,
might show a more noticeable strengthening in December than in November.",3,"(15) If the Committee should decide to move toward somewhat
less firm money market conditions, it might wish to consider directive
language along the following lines (alternative B):
""To implement this policy, System open market operations
until the next meeting of the Committee shall be conducted with a view
to achieving slightly less firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections..
(16) The slightly less firm money market conditions to
be sought might involve a Federal funds rate averaging around 8-1/4 to
less, and net borrowed reserves fluctuating around $800 million.",1,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-11-25,1969-11-25,14,2,"Alternative A, Alternative B","(6), (13)","(6) For the second paragraph of the current economic policy
directive, the Committee might wish to continue the language currently
in force which reads as follows (alternative A):
""To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to main-
taining the prevailing firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections."".
(13) If the Committee should decide to move toward slightly
less firm money market conditions, it might wish to consider the following
second paragraph for the directive (alternative B):
""To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to
achieving slightly less firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections.""",1,"(6) For the second paragraph of the current economic policy
directive, the Committee might wish to continue the language currently
in force which reads as follows (alternative A):
""To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to main-
taining the prevailing firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections."".
(13) If the Committee should decide to move toward slightly
less firm money market conditions, it might wish to consider the following
second paragraph for the directive (alternative B):
""To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to
achieving slightly less firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections.""",1,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1969-12-16,1969-12-16,18,2,"Alternative A, Alternative B","(7), (16)","(7) For the second paragraph of the current economic policy
directive, the Committee may wish to consider the following wording
(Alternative A):
""To implement this policy, System open market
operations until the next meeting of the Committee
shall be conducted with a view to maintaining the
prevailing firm conditions in THE money [DEL: and-short
term-credit markets; provided, however, that opera-
tions shall be modified if bank credit appears to be
deviating significantly from current projections or
if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP.""",1,"(16) If the Committee should decide to move toward slightly
less firm money market conditions, it might wish to consider the follow-
ing second paragraph for the directive (Alternative B):
'To implement this policy, System open market
operations until the next meeting of the Committee
shall be conducted with a view to [DEL: maintaining-the
prevailing-ACHIEVING SLIGHTLY LESS firm conditions
in THE money and-short-term-credit markets;] provided,
however, that operations shall be modified if bank
credit appears to be deviating significantly from
current projections or if UNUSUAL LIQUIDITY pressures
SHOULD DEVELOP [DEL: aruse in connection with-possible
bank regulatory changes.]",1,"No Sentences Alternative C",0,"No Sentences Alternative D",0
