year,start_date,end_date,numberofsentences_altD,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8
1968,1968-08-13,1968-08-13,0,6.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1968,1968-09-10,1968-09-10,0,6,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1968,1968-10-08,1968-10-08,0,6,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1968,1968-10-29,1968-10-29,0,5.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1968,1968-11-26,1968-11-26,0,5.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1968,1968-12-17,1968-12-17,0,6,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-01-14,1969-01-14,0,6.63,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-02-04,1969-02-04,0,6.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-03-04,1969-03-04,0,6.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-04-01,1969-04-01,0,6.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-04-29,1969-04-29,0,7.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-05-27,1969-05-27,0,8.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-06-24,1969-06-24,0,9.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-07-15,1969-07-15,0,9,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-08-12,1969-08-12,0,9.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-09-09,1969-09-09,0,9,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
