date_m,year,indpro,pcepi,pcepi_pca,inflation,unemp,lagged_unemp,market_exp,target_change,lag_dfedtar,dfedtar,d_meeting,scale,d_crisis,try_3m,try_2y,try_10y,ff_tar,d_menu_dec,d_menu_unc,d_menu_inc,d_menu_m075,d_menu_m050,d_menu_m025,d_menu_0,d_menu_025,d_menu_050,d_menu_075,ord_policy,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11,d_month_12,d_month_1_fomc,d_month_2_fomc,d_month_3_fomc,d_month_4_fomc,d_month_5_fomc,d_month_6_fomc,d_month_7_fomc,d_month_8_fomc,d_month_9_fomc,d_month_10_fomc,d_month_11_fomc,d_month_12_fomc,target_change_last,target_change_last_fomc,d_menu_adj_m050,d_menu_adj_m025,d_menu_adj_0,d_menu_adj_025,d_menu_adj_050,d_sample1,d_sample2,target_change_adj,target_change_simple,ord_adj_tchange,d_y2k,l1_inflation,l2_inflation,l1_diff_unemp,l2_diff_unemp,l1_inf,l2_inf,l1_target_change,l2_target_change,l3_target_change,l4_target_change,l5_target_change,Fl1_target_change,d_policy_m050,d_policy_m025,d_policy_0,d_policy_025,d_policy_050,d_policy_inc,d_policy_unc,d_policy_dec,indpro_g1,indpro_g2,indpro_g3,indpro_g4,indpro_g5,indpro_g6,indpro_g7,indpro_g8,indpro_g9,indpro_g10,indpro_g11,indpro_g12,indpro_g13,indpro_g14,indpro_g15,indpro_g16,indpro_g17,indpro_g18,indpro_g19,indpro_g20,indpro_g21,indpro_g22,indpro_g23,indpro_g24,pcepi_g1,pcepi_g2,pcepi_g3,pcepi_g4,pcepi_g5,pcepi_g6,pcepi_g7,pcepi_g8,pcepi_g9,pcepi_g10,pcepi_g11,pcepi_g12,pcepi_g13,pcepi_g14,pcepi_g15,pcepi_g16,pcepi_g17,pcepi_g18,pcepi_g19,pcepi_g20,pcepi_g21,pcepi_g22,pcepi_g23,pcepi_g24,unemp_g1,unemp_g2,unemp_g3,unemp_g4,unemp_g5,unemp_g6,unemp_g7,unemp_g8,unemp_g9,unemp_g10,unemp_g11,unemp_g12,unemp_g13,unemp_g14,unemp_g15,unemp_g16,unemp_g17,unemp_g18,unemp_g19,unemp_g20,unemp_g21,unemp_g22,unemp_g23,unemp_g24,try_3m_g1,try_3m_g2,try_3m_g3,try_3m_g4,try_3m_g5,try_3m_g6,try_3m_g7,try_3m_g8,try_3m_g9,try_3m_g10,try_3m_g11,try_3m_g12,try_3m_g13,try_3m_g14,try_3m_g15,try_3m_g16,try_3m_g17,try_3m_g18,try_3m_g19,try_3m_g20,try_3m_g21,try_3m_g22,try_3m_g23,try_3m_g24,try_2y_g1,try_2y_g2,try_2y_g3,try_2y_g4,try_2y_g5,try_2y_g6,try_2y_g7,try_2y_g8,try_2y_g9,try_2y_g10,try_2y_g11,try_2y_g12,try_2y_g13,try_2y_g14,try_2y_g15,try_2y_g16,try_2y_g17,try_2y_g18,try_2y_g19,try_2y_g20,try_2y_g21,try_2y_g22,try_2y_g23,try_2y_g24,try_10y_g1,try_10y_g2,try_10y_g3,try_10y_g4,try_10y_g5,try_10y_g6,try_10y_g7,try_10y_g8,try_10y_g9,try_10y_g10,try_10y_g11,try_10y_g12,try_10y_g13,try_10y_g14,try_10y_g15,try_10y_g16,try_10y_g17,try_10y_g18,try_10y_g19,try_10y_g20,try_10y_g21,try_10y_g22,try_10y_g23,try_10y_g24,ff_tar_g1,ff_tar_g2,ff_tar_g3,ff_tar_g4,ff_tar_g5,ff_tar_g6,ff_tar_g7,ff_tar_g8,ff_tar_g9,ff_tar_g10,ff_tar_g11,ff_tar_g12,ff_tar_g13,ff_tar_g14,ff_tar_g15,ff_tar_g16,ff_tar_g17,ff_tar_g18,ff_tar_g19,ff_tar_g20,ff_tar_g21,ff_tar_g22,ff_tar_g23,ff_tar_g24,d_sub_1,d_sub_2,d_sub_3,d_sub_4,d_sub_01,d_sub_00,d_sub_m1
1988m1,1988,62.1469,57.050999,4.7455401,.38710999,5.6999998,5.6999998,,-.1875,6.8125,6.625,0,0,0,6.0047369,7.6300001,8.6657896,6.7883062,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,-.1875,-1,3,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.43351421,.6334216,1.198005,1.0809165,1.3352791,1.3781399,1.7946706,1.5203966,2.0155346,2.1740494,2.6617377,2.9621129,2.5063474,2.7334716,2.8012445,2.1356263,2.1833405,1.2607833,2.1803496,1.8311696,1.7660588,2.0934079,2.6983938,2.0322449,.14712776,.49133632,.97679412,1.2662497,1.6911106,2.1759417,2.4722135,2.958384,3.2845843,3.5149953,3.8275797,4.3391171,4.6708837,5.0432296,5.707664,6.0712309,6.2903819,6.5287619,6.5402555,6.7632942,7.1524234,7.3708539,7.6602621,8.4156103,0,0,-.29999971,-.099999905,-.29999971,-.29999971,-.099999905,-.29999971,-.29999971,-.39999962,-.39999962,-.29999971,-.5,-.69999981,-.5,-.5,-.39999962,-.5,-.5,-.39999962,-.39999962,-.29999971,-.29999971,-.29999971,-.16223669,-.13473701,.078263283,.44954872,.65935421,.94326305,1.2948284,1.4733582,1.5922632,2.0237627,2.3438349,2.5537634,2.8321056,3.137536,2.9577627,2.7311726,2.4298086,2.1422634,2.1652632,2.0097628,1.8947868,1.9390726,1.874763,1.8933582,-.44950008,-.35956526,-.040500164,.36571407,.39590931,.64900017,.99869537,.83333302,.72399998,1.0360003,1.4585714,1.5454998,1.7415791,2.0495453,1.8214998,1.3877268,.77636337,.18949986,.51478291,.65450001,.34904766,.16571426,.14699984,.45523834,-.45378971,-.29231167,.052710533,.42325783,.25557423,.39021015,.5946455,.31135368,.1297102,.29671001,.43992424,.42571068,.50315762,.69193745,.50971031,.1933012,-.38851643,-.64728928,-.55318069,-.47528934,-.6581707,-.79150391,-.82978964,-.45912266,-.24520302,-.27217722,-.038306236,.20362902,.51794386,.79032278,1.2258062,1.3366938,1.3366938,1.4429436,1.7580643,2.1713715,2.4795513,2.9616938,2.9616938,2.9919357,2.8158607,2.532258,2.2741938,2.2741938,2.1431456,1.7533607,1.6149197,1.4616938,0,0,0,0,0,0,0
1988m2,1988,62.416901,57.134998,1.78122,.14724,5.6999998,5.6999998,,-.125,6.625,6.5,1,1.5263158,0,5.8425002,7.1805,8.2119999,6.5431032,1,1,1,0,1,0,1,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-.1875,-.1875,1,0,1,0,1,0,0,-.125,-1,4,0,.38710999,,,,,,-.1875,,,,,-.1875,0,0,0,0,0,0,0,0,.19990742,.76449078,.64740229,.90176493,.94462562,1.3611563,1.0868824,1.5820204,1.7405351,2.2282236,2.5285988,2.0728333,2.2999573,2.3677301,1.7021122,1.7498263,.82726914,1.7468355,1.3976554,1.3325446,1.6598936,2.2648797,1.5987307,2.5743656,.34420857,.82966638,1.1191219,1.5439829,2.0288141,2.3250859,2.8112562,3.1374567,3.3678677,3.6804521,4.1919894,4.523756,4.896102,5.5605364,5.9241033,6.1432543,6.3816342,6.3931274,6.6161661,7.0052958,7.2237263,7.5131345,8.2684822,8.7074127,0,-.29999971,-.099999905,-.29999971,-.29999971,-.099999905,-.29999971,-.29999971,-.39999962,-.39999962,-.29999971,-.5,-.69999981,-.5,-.5,-.39999962,-.5,-.5,-.39999962,-.39999962,-.29999971,-.29999971,-.29999971,-.39999962,.027499676,.24049997,.61178541,.8215909,1.1054997,1.4570651,1.6355948,1.7544999,2.1859994,2.5060716,2.7160001,2.9943423,3.2997727,3.1199994,2.8934093,2.5920453,2.3045001,2.3274999,2.1719995,2.0570235,2.1013093,2.0369997,2.0555949,2.1596055,.089934826,.40899992,.81521416,.84540939,1.0985003,1.4481955,1.2828331,1.1735001,1.4855003,1.9080715,1.9949999,2.1910791,2.4990454,2.2709999,1.8372269,1.2258635,.63899994,.96428299,1.1040001,.79854774,.61521435,.59649992,.90473843,1.1900263,.16147804,.50650024,.87704754,.70936394,.84399986,1.0484352,.76514339,.58349991,.75049973,.89371395,.87950039,.95694733,1.1457272,.96350002,.64709091,.065273285,-.19349957,-.099390984,-.021499634,-.20438099,-.3377142,-.37599993,-.0053329468,.26115799,-.026974201,.20689678,.44883204,.76314688,1.0355258,1.4710093,1.5818968,1.5818968,1.6881466,2.0032673,2.4165745,2.7247543,3.2068968,3.2068968,3.2371387,3.0610638,2.7774611,2.5193968,2.5193968,2.3883486,1.9985638,1.8601227,1.7068968,1.7068968,0,0,0,0,0,0,0
1988m3,1988,62.541801,57.332001,4.2169399,.3448,5.6999998,5.6999998,,.25,6.5,6.75,1,15.5,0,5.8699999,7.2704349,8.3734779,6.516129,0,1,1,0,0,0,1,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-.125,-.125,0,0,1,0,1,0,0,.25,1,8,0,.14724,.38710999,,,,,-.125,-.1875,,,,-.125,0,0,0,1,0,1,0,0,.56458336,.44749489,.70185751,.74471819,1.1612489,.88697499,1.382113,1.5406277,2.0283163,2.3286912,1.8729259,2.10005,2.1678228,1.5022048,1.5499189,.62736171,1.546928,1.1977479,1.1326371,1.4599862,2.0649722,1.3988233,2.3744581,2.8626118,.48545778,.77491337,1.1997743,1.6846055,1.9808772,2.4670477,2.7932479,3.023659,3.3362434,3.8477807,4.1795473,4.5518932,5.2163281,5.5798945,5.7990456,6.0374255,6.0489192,6.2719579,6.661087,6.8795176,7.1689258,7.9242735,8.363204,8.7395029,-.29999971,-.099999905,-.29999971,-.29999971,-.099999905,-.29999971,-.29999971,-.39999962,-.39999962,-.29999971,-.5,-.69999981,-.5,-.5,-.39999962,-.5,-.5,-.39999962,-.39999962,-.29999971,-.29999971,-.29999971,-.39999962,-.5,.2130003,.58428574,.79409122,1.0780001,1.4295654,1.6080952,1.7270002,2.1584997,2.4785719,2.6885004,2.9668427,3.2722731,3.0924997,2.8659096,2.5645456,2.2770004,2.3000002,2.1444998,2.0295238,2.0738096,2.0095,2.0280952,2.1321058,2.3000002,.31906509,.72527933,.75547457,1.0085654,1.3582606,1.1928983,1.0835652,1.3955655,1.8181367,1.9050651,2.1011443,2.4091105,2.1810651,1.747292,1.1359286,.54906511,.87434816,1.0140653,.70861292,.52527952,.50656509,.8148036,1.1000915,1.3563838,.3450222,.7155695,.54788589,.68252182,.88695717,.60366535,.42202187,.58902168,.73223591,.71802235,.79546928,.98424911,.80202198,.48561287,-.096204758,-.35497761,-.26086903,-.18297768,-.36585903,-.49919224,-.53747797,-.16681099,.099679947,.21515846,.23387098,.47580624,.79012108,1.0625,1.4979835,1.608871,1.608871,1.7151208,2.0302415,2.4435487,2.7517285,3.233871,3.233871,3.2641129,3.088038,2.8044353,2.546371,2.546371,2.4153228,2.025538,1.8870969,1.733871,1.733871,1.733871,0,0,0,0,0,0,0
1988m4,1988,62.895901,57.611,5.9985299,.48664001,5.4000001,5.6999998,,0,6.75,6.75,0,0,0,6.0830002,7.5895,8.7185001,6.75,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,0,5,0,.3448,.14724,0,,,,.25,-.125,-.1875,,,0,0,0,1,0,0,0,1,0,-.1170885,.13727412,.18013479,.59666556,.32239157,.81752962,.97604436,1.4637328,1.7641079,1.3083425,1.5354666,1.6032394,.93762141,.98533547,.062778302,.98234463,.63316458,.56805378,.89540279,1.5003887,.8342399,1.8098748,2.2980282,2.1459484,.28945556,.71431655,1.1991477,1.4954194,1.9815899,2.3077903,2.5382013,2.8507857,3.362323,3.6940894,4.0664353,4.7308702,5.0944366,5.3135877,5.5519676,5.5634613,5.7865,6.1756291,6.3940597,6.6834679,7.4388161,7.8777461,8.2540455,8.4631996,.19999981,0,0,.19999981,0,0,-.099999905,-.099999905,0,-.20000029,-.4000001,-.20000029,-.20000029,-.099999905,-.20000029,-.20000029,-.099999905,-.099999905,0,0,0,-.099999905,-.20000029,0,.37128544,.58109093,.86499977,1.2165651,1.3950949,1.5139999,1.9454994,2.2655716,2.4755001,2.7538424,3.0592728,2.8794994,2.6529093,2.3515453,2.0640001,2.0869999,1.9314995,1.8165236,1.8608093,1.7964997,1.8150949,1.9191055,2.0869999,1.9574995,.40621424,.43640947,.68950033,1.0391955,.87383318,.76450014,1.0765004,1.4990716,1.586,1.7820792,2.0900455,1.862,1.4282269,.81686354,.23000002,.55528307,.69500017,.38954782,.20621443,.1875,.49573851,.78102636,1.0373187,1.1345,.37054729,.20286369,.33749962,.54193497,.25864315,.076999664,.24399948,.38721371,.37300014,.45044708,.63922691,.45699978,.14059067,-.44122696,-.69999981,-.60589123,-.52799988,-.71088123,-.84421444,-.88250017,-.51183319,-.24534225,-.12986374,.066999435,.24193525,.5562501,.82862902,1.2641125,1.375,1.375,1.4812498,1.7963705,2.2096777,2.5178576,3,3,3.030242,2.854167,2.5705643,2.3125,2.3125,2.1814518,1.791667,1.6532259,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0
1988m5,1988,62.8223,57.778,3.5344999,.28988001,5.5999999,5.4000001,,.5,6.75,7.25,1,2.2142856,0,6.4542856,7.9957142,9.0890474,6.9919353,1,1,1,0,1,0,1,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,.5,1,11,0,.48664001,.3448,-.29999971,,.97679412,,0,.25,-.125,-.1875,,0,0,0,0,0,1,1,0,0,.25436261,.2972233,.71375406,.43948007,.93461812,1.0931329,1.5808213,1.8811964,1.425431,1.652555,1.720328,1.0547099,1.102424,.17986681,1.0994332,.75025308,.68514228,1.0124913,1.6174773,.9513284,1.9269633,2.4151168,2.263037,2.4761612,.42486098,.90969217,1.2059639,1.6921343,2.0183346,2.2487457,2.5613301,3.0728674,3.404634,3.7769799,4.4414144,4.8049812,5.0241323,5.2625122,5.2740059,5.4970446,5.8861737,6.1046042,6.3940125,7.1493602,7.5882907,7.9645901,8.1737442,8.3983736,-.19999981,-.19999981,0,-.19999981,-.19999981,-.29999971,-.29999971,-.19999981,-.4000001,-.5999999,-.4000001,-.4000001,-.29999971,-.4000001,-.4000001,-.29999971,-.29999971,-.19999981,-.19999981,-.19999981,-.29999971,-.4000001,-.19999981,-.19999981,.20980549,.49371433,.84527969,1.0238094,1.1427145,1.574214,1.8942862,2.1042147,2.3825569,2.6879873,2.508214,2.2816238,1.9802599,1.6927147,1.7157145,1.560214,1.4452381,1.4895239,1.4252143,1.4438095,1.5478201,1.7157145,1.5862141,1.5525322,.030195236,.28328609,.6329813,.46761894,.3582859,.67028618,1.0928574,1.1797857,1.375865,1.6838312,1.4557858,1.0220127,.4106493,-.17621422,.14906883,.28878593,-.016666412,-.19999981,-.21871424,.089524269,.37481213,.63110447,.72828579,.64655876,-.1676836,-.033047676,.17138767,-.11190414,-.29354763,-.12654781,.016666412,.0024528503,.079899788,.26867962,.086452484,-.22995663,-.81177425,-1.0705471,-.97643852,-.89854717,-1.0814285,-1.2147617,-1.2530475,-.88238049,-.61588955,-.50041103,-.30354786,-.33086586,.31431484,.58669376,1.0221772,1.1330647,1.1330647,1.2393146,1.5544353,1.9677424,2.2759223,2.7580647,2.7580647,2.7883067,2.6122317,2.328629,2.0705647,2.0705647,1.9395165,1.5497317,1.4112906,1.2580647,1.2580647,1.2580647,1.2580647,1.2580647,0,0,0,0,0,0,0
1988m6,1988,62.9823,58.023998,5.2305698,.42577001,5.4000001,5.5999999,,.1875,7.25,7.4375,0,0,0,6.6640911,8.0259094,8.9213638,7.3062501,1,1,1,0,0,1,1,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,1,1,0,1,0,0,.1875,1,7,0,.28988001,.48664001,-.099999905,,1.1191219,,.5,0,.25,-.125,-.1875,0,0,0,0,0,0,0,0,0,.042860679,.45939144,.18511747,.68025553,.83877021,1.3264587,1.6268338,1.1710683,1.3981924,1.4659653,.80034727,.84806138,-.074495807,.84507054,.4958905,.4307797,.7581287,1.3631147,.69696575,1.6726006,2.1607542,2.0086741,2.2217987,2.5424192,.48483118,.7811029,1.2672733,1.5934737,1.8238847,2.1364691,2.6480064,2.979773,3.352119,4.0165534,4.3801203,4.5992713,4.8376513,4.8491449,5.0721836,5.4613128,5.6797433,5.9691515,6.7244992,7.1634297,7.5397291,7.7488832,7.9735126,8.4149303,0,.19999981,0,0,-.099999905,-.099999905,0,-.20000029,-.4000001,-.20000029,-.20000029,-.099999905,-.20000029,-.20000029,-.099999905,-.099999905,0,0,0,-.099999905,-.20000029,0,0,-.20000029,.28390884,.63547421,.81400394,.93290901,1.3644085,1.6844807,1.8944092,2.1727514,2.4781818,2.2984085,2.0718184,1.7704544,1.4829092,1.505909,1.3504086,1.2354326,1.2797184,1.2154088,1.234004,1.3380146,1.505909,1.3764086,1.3427267,1.3225756,.25309086,.60278606,.43742371,.32809067,.64009094,1.0626621,1.1495905,1.3456697,1.653636,1.4255905,.99181747,.38045406,-.20640945,.1188736,.2585907,-.046861649,-.23019505,-.24890947,.059329033,.34461689,.60090923,.69809055,.61636353,.32504272,.13463593,.33907127,.055779457,-.12586403,.041135788,.18435001,.17013645,.24758339,.43636322,.25413609,-.062273026,-.64409065,-.9028635,-.80875492,-.73086357,-.91374493,-1.0470781,-1.0853639,-.71469688,-.44820595,-.33272743,-.13586426,-.16318226,-.44136429,.27237892,.70786238,.8187499,.8187499,.92499971,1.2401204,1.6534276,1.9616075,2.4437499,2.4437499,2.4739919,2.2979169,2.0143142,1.7562499,1.7562499,1.6252017,1.2354169,1.0969758,.9437499,.9437499,.9437499,.9437499,.9437499,.9437499,0,0,0,0,0,0,0
1988m7,1988,63.0093,58.306,5.99052,.48600999,5.4000001,5.4000001,,.25,7.4375,7.6875,1,1,0,6.948,8.2790003,9.0559998,7.578629,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.1875,.1875,0,0,0,0,0,0,0,.25,1,8,0,.42577001,.28988001,-.29999971,,1.1997743,,.1875,.5,0,.25,-.125,.1875,0,0,0,1,0,1,0,0,.41653079,.14225678,.63739485,.79590958,1.2835979,1.5839732,1.1282077,1.3553318,1.4231046,.75748658,.8052007,-.11735649,.80220985,.45302981,.38791901,.71526802,1.320254,.65410507,1.62974,2.1178935,1.9658135,2.1789379,2.4995587,2.3700666,.29627171,.78244215,1.1086425,1.3390535,1.651638,2.1631753,2.4949417,2.8672876,3.5317223,3.8952892,4.11444,4.3528199,4.3643136,4.5873523,4.9764814,5.194912,5.4843202,6.2396684,6.6785984,7.0548978,7.2640519,7.4886818,7.930099,8.1769476,.19999981,0,0,-.099999905,-.099999905,0,-.20000029,-.4000001,-.20000029,-.20000029,-.099999905,-.20000029,-.20000029,-.099999905,-.099999905,0,0,0,-.099999905,-.20000029,0,0,-.20000029,.099999905,.35156536,.5300951,.64900017,1.0804996,1.4005718,1.6105003,1.8888426,2.194273,2.0144997,1.7879095,1.4865456,1.1990004,1.2220001,1.0664997,.95152378,.99580956,.93149996,.95009518,1.0541058,1.2220001,1.0924997,1.0588179,1.0386667,.9267621,.34969521,.18433285,.074999809,.38700008,.80957127,.89649963,1.0925789,1.4005451,1.1724997,.73872662,.1273632,-.45950031,-.13421726,.0054998398,-.29995251,-.4832859,-.50200033,-.19376183,.091526031,.34781837,.44499969,.36327267,.071951866,-.12185764,.20443535,-.078856468,-.26049995,-.093500137,.049714088,.035500526,.11294746,.30172729,.11950016,-.19690895,-.77872658,-1.0374994,-.94339085,-.8654995,-1.0483809,-1.1817141,-1.2199998,-.84933281,-.58284187,-.46736336,-.27050018,-.29781818,-.57600021,-.58457088,.43548346,.54637098,.54637098,.65262079,.96774149,1.3810487,1.6892285,2.171371,2.171371,2.2016129,2.025538,1.7419353,1.483871,1.483871,1.3528228,.96303797,.82459688,.67137098,.67137098,.67137098,.67137098,.67137098,.67137098,.51814508,0,0,0,0,0,0,0
1988m8,1988,63.272301,58.479,3.61921,.29671001,5.5999999,5.4000001,,.4375,7.6875,8.125,1,2.0666666,0,7.2995653,8.6286955,9.2604351,8.0141125,0,1,1,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.25,.25,0,0,1,0,1,0,0,.4375,1,10,0,.48600999,.42577001,0,,1.1991477,.97679412,.25,.1875,.5,0,.25,.25,0,0,0,0,0,0,0,0,-.27427399,.22086406,.37937877,.86706722,1.1674423,.7116769,.93880093,1.0065739,.34095582,.38866991,-.53388727,.38567907,.036499031,-.028611775,.29873723,.90372318,.23757431,1.2132093,1.7013627,1.5492828,1.7624072,2.0830278,1.9535359,2.2817252,.48617044,.81237078,1.0427818,1.3553662,1.8669035,2.1986701,2.5710161,3.2354507,3.5990174,3.8181684,4.0565481,4.0680418,4.2910805,4.6802096,4.8986402,5.1880488,5.9433966,6.3823266,6.758626,6.9677801,7.19241,7.6338272,7.8806758,8.5438347,-.19999981,-.19999981,-.29999971,-.29999971,-.19999981,-.4000001,-.5999999,-.4000001,-.4000001,-.29999971,-.4000001,-.4000001,-.29999971,-.29999971,-.19999981,-.19999981,-.19999981,-.29999971,-.4000001,-.19999981,-.19999981,-.4000001,-.099999905,.099999905,.17852974,.29743481,.72893429,1.0490065,1.258935,1.5372772,1.8427076,1.6629343,1.4363441,1.1349802,.847435,.87043476,.71493435,.59995842,.64424419,.5799346,.59852982,.7025404,.87043476,.74093437,.7072525,.68710136,.57519674,.39478254,-.16536236,-.2746954,.037304878,.45987606,.54680443,.74288368,1.0508499,.82280445,.38903141,-.222332,-.80919552,-.48391247,-.34419537,-.64964771,-.83298111,-.85169554,-.54345703,-.25816917,-.0018768311,.095304489,.013577461,-.27774334,-.47155285,-.5673914,-.28329182,-.4649353,-.29793549,-.15472126,-.16893482,-.091487885,.097291946,-.084935188,-.4013443,-.98316193,-1.2419348,-1.1478262,-1.0699348,-1.2528162,-1.3861494,-1.4244351,-1.0537682,-.78727722,-.67179871,-.47493553,-.50225353,-.78043556,-.78900623,-.50782681,.11088753,.11088753,.21713734,.53225803,.94556522,1.2537451,1.7358875,1.7358875,1.7661295,1.5900545,1.3064518,1.0483875,1.0483875,.91733932,.52755451,.38911343,.23588753,.23588753,.23588753,.23588753,.23588753,.23588753,.082661629,-.014112473,0,0,0,0,0,0,0
1988m9,1988,63.098999,58.764,6.0075898,.48734999,5.4000001,5.5999999,,0,8.125,8.125,1,3,0,7.4780951,8.4633331,8.9771433,8.125,1,1,1,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.4375,.4375,1,0,1,0,1,0,0,0,0,5,0,.29671001,.48600999,0,,1.2059639,1.1191219,.4375,.25,.1875,.5,0,.4375,0,0,1,0,0,0,1,0,.49513805,.65365279,1.1413412,1.4417163,.98595089,1.2130749,1.2808479,.61522985,.6629439,-.25961328,.65995306,.31077302,.24566221,.57301122,1.1779972,.51184833,1.4874833,1.9756367,1.8235568,2.0366812,2.3573017,2.2278099,2.555999,2.6824422,.32620034,.55661142,.86919582,1.3807331,1.7124996,2.0848455,2.7492802,3.1128469,3.3319979,3.5703778,3.5818713,3.8049099,4.1940393,4.4124699,4.7018781,5.4572258,5.8961563,6.2724557,6.4816098,6.7062392,7.1476569,7.3945055,8.0576639,8.6696491,0,-.099999905,-.099999905,0,-.20000029,-.4000001,-.20000029,-.20000029,-.099999905,-.20000029,-.20000029,-.099999905,-.099999905,0,0,0,-.099999905,-.20000029,0,0,-.20000029,.099999905,.29999971,.5,.11890507,.55040455,.87047672,1.0804052,1.3587475,1.6641779,1.4844046,1.2578144,.95645046,.66890526,.69190502,.53640461,.42142868,.46571445,.40140486,.42000008,.52401066,.69190502,.56240463,.52872276,.50857162,.396667,.2162528,.11979961,-.10933304,.20266724,.62523842,.71216679,.90824604,1.2162123,.98816681,.55439377,-.056969643,-.64383316,-.31855011,-.17883301,-.48428535,-.66761875,-.68633318,-.37809467,-.092806816,.16348553,.26066685,.17893982,-.11238098,-.30619049,-.40202904,-.38385963,-.18164349,-.014643669,.12857056,.11435699,.19180393,.38058376,.19835663,-.11805248,-.69987011,-.95864296,-.86453438,-.78664303,-.96952438,-1.1028576,-1.1411433,-.77047634,-.5039854,-.38850689,-.19164371,-.21896172,-.49714375,-.50571442,-.22453499,-.083985329,0,.10624981,.42137051,.8346777,1.1428576,1.625,1.625,1.655242,1.479167,1.1955643,.9375,.9375,.8064518,.41666698,.2782259,.125,.125,.125,.125,.125,.125,-.028225899,-.125,-.125,0,0,0,0,0,0,0
1988m10,1988,63.412201,58.956001,3.9920001,.32673001,5.4000001,5.4000001,,0,8.125,8.125,0,0,0,7.5970001,8.3540001,8.7954998,8.125,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,.48734999,.29671001,0,-.29999971,1.2672733,1.1997743,0,.4375,.25,.1875,.5,0,0,0,1,0,0,0,1,0,.15851472,.64620316,.94657826,.49081284,.71793687,.7857098,.12009177,.16780585,-.75475132,.16481501,-.18436502,-.24947584,.077873178,.68285912,.016710261,.99234515,1.4804987,1.3284187,1.5415431,1.8621638,1.7326719,2.0608611,2.187304,1.4329385,.23041107,.54299551,1.0545328,1.3862993,1.7586452,2.42308,2.7866466,3.0057976,3.2441776,3.255671,3.4787097,3.8678391,4.0862694,4.3756781,5.1310258,5.5699558,5.9462552,6.1554093,6.3800392,6.8214564,7.068305,7.7314639,8.3434486,8.9144897,-.099999905,-.099999905,0,-.20000029,-.4000001,-.20000029,-.20000029,-.099999905,-.20000029,-.20000029,-.099999905,-.099999905,0,0,0,-.099999905,-.20000029,0,0,-.20000029,.099999905,.29999971,.5,.5,.43149948,.75157166,.96150017,1.2398424,1.5452728,1.3654995,1.1389093,.83754539,.55000019,.57299995,.41749954,.30252361,.34680939,.28249979,.30109501,.40510559,.57299995,.44349957,.4098177,.38966656,.27776194,.097347736,.00089454651,-.19700003,.31200027,.73457146,.82149982,1.0175791,1.3255453,1.0974998,.66372681,.052363396,-.53450012,-.20921707,-.069499969,-.37495232,-.55828571,-.57700014,-.26876163,.016526222,.27281857,.36999989,.28827286,-.0030479431,-.19685745,-.292696,-.2745266,-.47627258,.16699982,.31021404,.29600048,.37344742,.56222725,.38000011,.063591003,-.51822662,-.77699947,-.68289089,-.60499954,-.7878809,-.9212141,-.95949984,-.58883286,-.32234192,-.2068634,-.010000229,-.03731823,-.31550026,-.32407093,-.042891502,.097658157,-.075954437,.10624981,.42137051,.8346777,1.1428576,1.625,1.625,1.655242,1.479167,1.1955643,.9375,.9375,.8064518,.41666698,.2782259,.125,.125,.125,.125,.125,.125,-.028225899,-.125,-.125,-.14919376,0,0,0,0,0,0,0
