DATE,INDPRO_CH1
1982-09-01,-3.6254
1982-10-01,-3.7075
1982-11-01,-3.3020
1982-12-01,-3.0850
1983-01-01,-1.1281
1983-02-01,-2.4328
1983-03-01,-1.6450
1983-04-01,-0.5952
1983-05-01,0.0704
1983-06-01,0.5397
1983-07-01,1.4595
1983-08-01,2.4681
1983-09-01,3.4043
1983-10-01,4.2805
1983-11-01,4.6614
1983-12-01,5.2919
1984-01-01,5.4246
1984-02-01,5.9662
1984-03-01,5.8398
1984-04-01,5.5839
1984-05-01,5.5057
1984-06-01,5.3996
1984-07-01,4.8109
1984-08-01,4.2922
1984-09-01,3.4079
1984-10-01,2.8780
1984-11-01,2.9133
1984-12-01,2.6953
1985-01-01,1.5390
1985-02-01,1.4973
1985-03-01,1.3180
1985-04-01,0.8179
1985-05-01,0.6347
1985-06-01,0.4816
1985-07-01,-0.0608
1985-08-01,0.1179
1985-09-01,0.4601
1985-10-01,0.3189
1985-11-01,0.2882
1985-12-01,0.8162
1986-01-01,1.1706
1986-02-01,0.6021
1986-03-01,0.1188
1986-04-01,0.2906
1986-05-01,0.3335
1986-06-01,0.1075
1986-07-01,0.7906
1986-08-01,0.4826
1986-09-01,0.3549
1986-10-01,0.8543
1986-11-01,0.9243
1986-12-01,0.8165
1987-01-01,0.3746
1987-02-01,1.5055
1987-03-01,1.9740
1987-04-01,2.3252
1987-05-01,2.5830
1987-06-01,3.0433
1987-07-01,3.1396
1987-08-01,3.7136
1987-09-01,3.7537
1987-10-01,4.3719
1987-11-01,4.4345
1987-12-01,4.2567
1988-01-01,4.4619
1988-02-01,3.9770
1988-03-01,4.0258
1988-04-01,4.0108
1988-05-01,3.5570
1988-06-01,3.4414
1988-07-01,3.0557
1988-08-01,2.8206
1988-09-01,2.4921
1988-10-01,1.9212
1988-11-01,1.6991
1988-12-01,1.7043
1989-01-01,1.8684
1989-02-01,1.3073
1989-03-01,1.3273
1989-04-01,1.0165
1989-05-01,0.6661
1989-06-01,0.5364
1989-07-01,-0.0739
1989-08-01,0.2445
1989-09-01,0.1964
1989-10-01,-0.1580
1989-11-01,-0.0512
1989-12-01,0.0234
1990-01-01,-0.5925
1990-02-01,0.3204
1990-03-01,0.4889
1990-04-01,0.3478
1990-05-01,0.9089
1990-06-01,1.0854
1990-07-01,1.5851
1990-08-01,1.2158
1990-09-01,1.5191
1990-10-01,1.0732
1990-11-01,0.1137
1990-12-01,-0.6873
1991-01-01,-0.5376
1991-02-01,-1.5984
1991-03-01,-2.2390
1991-04-01,-2.0187
1991-05-01,-1.5327
1991-06-01,-1.1669
1991-07-01,-1.0077
1991-08-01,-1.1655
1991-09-01,-0.6815
1991-10-01,-0.3061
1991-11-01,0.3727
1991-12-01,0.5343
1992-01-01,0.4522
1992-02-01,1.3449
1992-03-01,2.2022
1992-04-01,2.5673
1992-05-01,2.1556
1992-06-01,1.5923
1992-07-01,2.1044
1992-08-01,1.7272
1992-09-01,1.3130
1992-10-01,1.9156
1992-11-01,2.2694
1992-12-01,2.5835
1993-01-01,3.2269
1993-02-01,3.0683
1993-03-01,2.4446
1993-04-01,2.1912
1993-05-01,1.7472
1993-06-01,1.8486
1993-07-01,1.4673
1993-08-01,1.7197
1993-09-01,1.8885
1993-10-01,1.9146
1993-11-01,1.9152
1993-12-01,2.2282
1994-01-01,2.2005
1994-02-01,1.9242
1994-03-01,2.7108
1994-04-01,2.8703
1994-05-01,3.4607
1994-06-01,3.7982
1994-07-01,3.7001
1994-08-01,4.1913
1994-09-01,4.1422
1994-10-01,4.2305
1994-11-01,4.3937
1994-12-01,4.7825
1995-01-01,4.6571
1995-02-01,4.5189
1995-03-01,3.9315
1995-04-01,3.4909
1995-05-01,3.3823
1995-06-01,3.1839
1995-07-01,2.7818
1995-08-01,3.2897
1995-09-01,3.3170
1995-10-01,2.6197
1995-11-01,2.3634
1995-12-01,1.8876
1996-01-01,1.2622
1996-02-01,2.5319
1996-03-01,2.3550
1996-04-01,3.0950
1996-05-01,3.4057
1996-06-01,3.8067
1996-07-01,3.9998
1996-08-01,3.5210
1996-09-01,3.7595
1996-10-01,3.8048
1996-11-01,4.3099
1996-12-01,4.5388
1997-01-01,5.1432
1997-02-01,4.9586
1997-03-01,5.5709
1997-04-01,4.8969
1997-05-01,4.8132
1997-06-01,4.5616
1997-07-01,5.2895
1997-08-01,5.7054
1997-09-01,5.9119
1997-10-01,6.6853
1997-11-01,6.7401
1997-12-01,6.4904
1998-01-01,6.8201
1998-02-01,5.9682
1998-03-01,5.4858
1998-04-01,5.7880
1998-05-01,5.8659
1998-06-01,4.9165
1998-07-01,3.9866
1998-08-01,4.9033
1998-09-01,3.9864
1998-10-01,3.9759
1998-11-01,3.1701
1998-12-01,3.2360
1999-01-01,3.2120
1999-02-01,3.5774
1999-03-01,3.6621
1999-04-01,3.5863
1999-05-01,3.6568
1999-06-01,4.0544
1999-07-01,4.9343
1999-08-01,3.5382
1999-09-01,3.3225
1999-10-01,3.8302
1999-11-01,4.3273
1999-12-01,4.7186
2000-01-01,4.3164
2000-02-01,4.1171
2000-03-01,4.3161
2000-04-01,4.7534
2000-05-01,4.2915
2000-06-01,4.5359
2000-07-01,3.8140
2000-08-01,3.1483
2000-09-01,3.9050
2000-10-01,2.3991
2000-11-01,1.9858
2000-12-01,0.9980
2001-01-01,0.3690
2001-02-01,-0.5159
2001-03-01,-1.0779
2001-04-01,-2.0339
2001-05-01,-2.7675
2001-06-01,-3.4145
2001-07-01,-3.7973
2001-08-01,-3.6317
2001-09-01,-4.3501
2001-10-01,-4.4655
2001-11-01,-4.9369
2001-12-01,-4.6500
2002-01-01,-3.4654
2002-02-01,-2.8845
2002-03-01,-1.9221
2002-04-01,-1.2698
2002-05-01,-0.3092
2002-06-01,1.1268
2002-07-01,1.4304
2002-08-01,1.5564
2002-09-01,2.0365
2002-10-01,2.1519
2002-11-01,3.0833
2002-12-01,2.6030
2003-01-01,2.7404
2003-02-01,2.8979
2003-03-01,1.9378
2003-04-01,0.8886
2003-05-01,0.5250
2003-06-01,-0.2000
2003-07-01,0.4345
2003-08-01,0.2887
2003-09-01,0.7097
2003-10-01,1.1245
2003-11-01,1.3645
2003-12-01,1.7559
2004-01-01,1.2887
2004-02-01,1.7315
2004-03-01,1.4730
2004-04-01,2.5728
2004-05-01,3.3048
2004-06-01,2.3543
2004-07-01,2.6803
2004-08-01,2.8849
2004-09-01,2.4156
2004-10-01,3.2015
2004-11-01,2.6799
2004-12-01,3.4656
2005-01-01,3.6760
2005-02-01,3.7792
2005-03-01,4.0973
2005-04-01,3.8349
2005-05-01,3.2067
2005-06-01,4.3834
2005-07-01,3.3307
2005-08-01,3.5340
2005-09-01,1.5872
2005-10-01,1.9055
2005-11-01,2.7079
2005-12-01,2.6119
2006-01-01,2.2782
2006-02-01,1.6030
2006-03-01,1.9690
2006-04-01,2.2079
2006-05-01,1.9757
2006-06-01,1.9840
2006-07-01,2.2627
2006-08-01,2.3892
2006-09-01,4.0473
2006-10-01,2.7519
2006-11-01,1.6472
2006-12-01,2.0855
2007-01-01,1.4306
2007-02-01,2.4595
2007-03-01,2.4770
2007-04-01,2.8001
2007-05-01,2.9532
2007-06-01,2.5924
2007-07-01,2.5908
2007-08-01,2.4229
2007-09-01,3.0359
2007-10-01,2.6503
2007-11-01,3.3650
2007-12-01,2.3165
2008-01-01,2.5686
2008-02-01,1.1830
2008-03-01,0.7095
2008-04-01,-0.8110
2008-05-01,-1.4459
2008-06-01,-1.7172
2008-07-01,-2.2225
2008-08-01,-4.0203
2008-09-01,-8.7945
2008-10-01,-7.4339
2008-11-01,-9.2733
2008-12-01,-12.0936
