Date,Voters,voters_expected,voters_observed
6/7/66,"['Mr. 'Martin', 'Mr. Brimmer', 'Mr. Clay', 'Mr. Daane', 'Mr. Irons', 'Mr. Maisel', 'Mr. Mitchell', 'Mr. Robertson', 'Mr. Shepardson', 'Mr. Scanlon', 'Mr. Treiber', 'Mr. Wayne’]",11,12
11/27/67,"['Mr. Martin', 'Mr. Brimmer', 'Mr. Francis', 'Mr. Maisel', 'Mr. Mitchell', 'Mr. Robertson', 'Mr. Scanlon', 'Mr. Sherrill', 'Mr. Swan', 'Mr. Wayne’]",9,10
4/19/68,"['Mr. Martin', 'Mr. Hayes', 'Mr. Brimmer', 'Mr. Daane', 'Mr. Ellis', 'Mr. Galusha', 'Mr. Hickman', 'Mr. Kimbrel', 'Mr. Maisel', 'Mr. Mitchell', 'Mr. Robertson’]",11,10
8/19/68,"['Mr. Hayes', 'Mr. Brimmer', 'Mr. Daane', 'Mr. Galusha', 'Mr. Hickman', 'Mr. Kimbrel', 'Mr. Maisel', 'Mr. Robertson', 'Mr. Sherill', 'Mr. Bopp’]",10,9
11/25/69,"['Mr. Martin', 'Mr. Hayes', 'Mr. Bopp', 'Mr. Brimmer', 'Mr. Clay', 'Mr. Coldwell', 'Mr. Daane', 'Mr. Mitchell', 'Mr. Robertson', 'Mr. Scanlon', 'Mr. Sherrill’]",11,10
6/23/70,"['Mr. Burns', 'Mr. Brimmer', 'Mr. Daane', 'Mr. Francis', 'Mr. Heflin', 'Mr. Hickman', 'Mr. Maisel 'Mr. Mitchell', 'Mr. Robertson', 'Mr. Sherrill', 'Mr. Swan', 'Mr. Treiber’]",12,11
2/9/71,"['Mr. Burns', 'Mr. Hayes', 'Mr. Brimmer', 'Mr. Daane', 'Mr. Francis', 'Mr. Heflin', 'Mr. Maisel', 'Mr. Mitchell', 'Mr. Robertson', 'Mr. Sherrill', 'Mr. Swan', 'Mr. Mayo']",11,12
2/19/75,"['Mr. Burns', 'Mr. Hayes', 'Mr. Black', 'Mr. Bucher', 'Mr. Clay', 'Mr. Coldwell', 'Mr. Holland', 'Mr. Kimbrel', 'Mr. 'Mitchel', 'Mr. Sheehan', 'Mr. Wallich', 'Mr. Winn']",11,12
8/19/75,"['Mr. Burns', 'Mr. Volcker', 'Mr. Baughman', 'Mr. Bucher', 'Mr. Coldwell', 'Mr. Eastburn', 'Mr. Holland', 'Mr. Jackson', 'Mr. MacLaury', 'Mr. Mayo', 'Mr. Mitchell', 'Mr. Wallich']",12,11
5/5/78,"['Mr. Miller', 'Mr. Baughman', 'Mr. Gardner', 'Mr. Jackson', 'Mr. Partee', 'Mr. Wallich', 'Mr. Willes', 'Mr. Winn', 'Mr. Volcker', 'Mr. Black', 'Mr. Eastburn']",10,4
