index,start_date,year,month,ffed,pceh,ip,unrate,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
0,1988-02-09,1988,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1988-03-29,1988,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1988-05-17,1988,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1988-06-29,1988,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1988-08-16,1988,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1988-09-20,1988,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1988-11-01,1988,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1988-12-13,1988,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1989-02-07,1989,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1989-03-28,1989,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1989-05-16,1989,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1989-07-05,1989,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1989-08-22,1989,8,8.989999800000001,64.862999,61.5,5.1999998,0.0,-0.08409952400000001,9.0,-0.5,-0.5,3.4444444444444446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2269027221660735,-0.0999999999999996,0.2134802722799236,0.0999999999999996,0.0,0.0
36,1989-10-03,1989,10,8.840000199999999,65.260002,61.299999,5.3000002,-0.25,-0.10190693,9.0,0.0,0.0,1.1071428571428568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2186836735608608,0.0999999999999996,0.0061670341210629,0.0,0.0,0.0
39,1989-11-14,1989,11,8.5500002,65.400002,61.5,5.4000001,-0.25,-0.10000038,8.75,-0.25,-0.25,1.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3915101151042677,0.0,0.2186836735608608,0.0999999999999996,0.0,0.0
