Date,Speaker,Unnamed: 0,interjections
1976-03-29,AXILROD,9048,45
1976-03-29,BALLES,1632,7
1976-03-29,BLACK,269,1
1976-03-29,BROIDA,3147,23
1976-03-29,BURNS,31255,146
1976-03-29,COLDWELL,4663,26
1976-03-29,EASTBURN,2142,8
1976-03-29,GRAMLEY,681,2
1976-03-29,HOLLAND,10393,50
1976-03-29,HOLMES,4254,16
1976-03-29,JACKSON,1932,6
1976-03-29,KALCHBRENNER,2885,21
1976-03-29,MAYO,40,1
1976-03-29,MORRIS,931,3
1976-03-29,O’CONNELL,320,12
1976-03-29,PARTEE,3121,15
1976-03-29,STERNLIGHT,323,1
1976-03-29,VOLCKER,3207,13
1976-03-29,VOLKER,327,1
1976-03-29,WALLICH,3710,14
1976-03-29,WINN,386,1
1976-04-20,AXILROD,8273,13
1976-04-20,BALLES,3304,5
1976-04-20,BAUGHMAN,10478,14
1976-04-20,BLACK,7017,12
1976-04-20,BROIDA,29028,34
1976-04-20,BURNS,146278,198
1976-04-20,COLDWELL,26337,37
1976-04-20,COYNE,1833,2
1976-04-20,EASTBURN,8891,12
1976-04-20,GARDNER,1344,2
1976-04-20,GRAMLEY,12861,26
1976-04-20,GUFFEY,715,1
1976-04-20,HOLLAND,18951,23
1976-04-20,HOLMES,7887,16
1976-04-20,JACKSON,7901,10
1976-04-20,KIMBREL,2552,4
1976-04-20,MACLAURY,9061,14
1976-04-20,MAYO,13796,19
1976-04-20,MORRIS,3273,5
1976-04-20,O’CONNELL,27401,33
1976-04-20,PARDEE,1705,4
1976-04-20,PARTEE,33292,50
1976-04-20,ROOS,1922,2
1976-04-20,STERNLIGHT,5512,10
1976-04-20,VOLCKER,25943,34
1976-04-20,WALLICH,5971,10
1976-04-20,WINN,7488,11
1976-04-20,ZEISEL,925,2
1976-05-18,AXILROD,33069,24
1976-05-18,BALLES,15353,13
1976-05-18,BAUGHMAN,5546,4
1976-05-18,BLACK,10691,8
1976-05-18,BROIDA,46320,38
1976-05-18,BURNS,230856,184
1976-05-18,"BURNS,  --our difficulty is that Mr",1059,1
1976-05-18,COLDWELL,26943,22
1976-05-18,GARDNER,1435,1
1976-05-18,GRAMLEY,45749,37
1976-05-18,GUFFEY,1449,1
1976-05-18,HOLMES,13841,11
1976-05-18,JACKSON,9509,8
1976-05-18,KIMBREL,2920,2
1976-05-18,MACLAURY,10088,8
1976-05-18,MAYO,11535,9
1976-05-18,MORRIS,25600,20
1976-05-18,MORRRIS,1392,1
1976-05-18,O’CONNELL,7502,7
1976-05-18,PARTEE,47318,37
1976-05-18,ROOS,5007,4
1976-05-18,STERNLIGHT,9342,7
1976-05-18,VOLCKER,44113,33
1976-05-18,WALLICH,11072,9
1976-05-18,WILLES,1082,1
1976-05-18,WINN,10432,8
1976-06-22,AXILROD,12030,7
1976-06-22,BALLES,6781,4
1976-06-22,BAUGHMAN,12096,7
1976-06-22,BLACK,6813,4
1976-06-22,BROIDA,5326,3
1976-06-22,BURNS,188199,113
1976-06-22,COLDWELL,14990,9
1976-06-22,EASTBURN,9998,6
1976-06-22,FOSSUM,5310,3
1976-06-22,GARDNER,4924,3
1976-06-22,GRAMLEY,21565,13
1976-06-22,GREENE,24259,15
1976-06-22,GUFFEY,11647,7
1976-06-22,JACKSON,18519,11
1976-06-22,LILLY,1514,1
1976-06-22,MACLAURY,11486,7
1976-06-22,MAYO,8074,5
1976-06-22,MORRIS,7132,4
1976-06-22,O’CONNELL,46663,30
1976-06-22,PARTEE,23678,14
1976-06-22,REYNOLDS,1662,1
