Date,Voters,voters_expected,voters_observed
1978-05-05,,10.0,4.0
1979-03-20,,10.0,9.0
1979-09-18,,12.0,6.0
1979-10-06,,12.0,10.0
1980-03-07,,11.0,5.0
1980-05-20,,11.0,7.0
1980-07-09,,12.0,7.0
1980-09-16,,12.0,6.0
1980-11-18,,12.0,7.0
1980-11-26,,11.0,5.0
1985-12-17,,10.0,9.0
1988-03-29,,11.0,5.0
1989-02-08,,12.0,5.0
1989-07-06,,11.0,7.0
1990-07-03,,11.0,7.0
1992-05-19,,12.0,7.0
1994-12-20,,12.0,8.0
1995-07-06,,11.0,7.0
1995-12-19,,11.0,9.0
2010-01-27,,10.0,0.0
2010-03-16,,10.0,0.0
2010-04-28,,10.0,0.0
2010-06-23,,10.0,0.0
2010-08-10,,10.0,0.0
2010-09-21,,9.0,0.0
2010-11-03,,11.0,0.0
2010-12-14,,11.0,0.0
2011-01-26,,11.0,0.0
2011-03-15,,10.0,0.0
2011-04-27,,10.0,1.0
2011-06-22,,10.0,0.0
2011-08-09,,10.0,0.0
2011-09-21,,10.0,1.0
2011-11-02,,10.0,0.0
2011-12-13,,10.0,0.0
