Date,Voters,voters_expected,voters_observed
1988-01-05,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Heller', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1988-02-10,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Heller', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1988-03-29,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black' , 'Mr. Forrestal' , 'Mr. Heller' , 'Mr. Hoskins', 'Mr. Johnson' , 'Mr. Kelley', 'Mr. Parry' , 'Mr. Seger']",,
1988-05-17,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. Parry', 'Ms. Seger']",11.0,11.0
1988-06-30,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. Parry', 'Ms. Seger']",11.0,11.0
1988-08-16,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. LaWare', 'Mr. Parry', 'Ms. Seger']",11.0,11.0
1988-09-20,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Parry', 'Ms. Seger']",12.0,12.0
1988-11-01,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Parry', 'Ms. Seger']",12.0,12.0
1988-12-14,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Heller', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Parry', 'Ms. Seger']",12.0,12.0
1989-02-08,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black' , 'Mr. Forrestal' , 'Mr. Heller' , 'Mr. Hoskins', 'Mr. Johnson' , 'Mr. Kelley', 'Mr. LaWare', 'Mr. Parry' , 'Mr. Seger']",,
1989-03-28,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Heller', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",12.0,12.0
1989-05-16,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Heller', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",12.0,12.0
1989-07-06,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Johnson' , 'Mr. Keehn',  'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Mr. Seger', 'Mr. Syron']",,
1989-08-22,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",11.0,11.0
1989-10-03,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",11.0,11.0
1989-11-14,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",11.0,11.0
1989-12-19,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Guffey', 'Mr. Johnson', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Melzer', 'Ms. Seger', 'Mr. Syron']",11.0,11.0
1990-02-07,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-03-27,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-05-15,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Johnson', 'Mr. Kelley', 'Mr. LaWare', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-07-03,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin' , 'Mr. Hoskins',  'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Seger', 'Mr. Stern']",,
1990-08-21,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-10-02,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-11-13,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1990-12-18,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Hoskins', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Ms. Seger', 'Mr. Stern']",11.0,11.0
1991-02-06,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry', 'Ms. Seger']",11.0,11.0
1991-03-26,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
1991-05-14,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
1991-07-03,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
1991-08-20,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
1991-10-01,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
1991-11-05,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Black', 'Mr. Forrestal', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Mullins', 'Mr. Parry']",10.0,10.0
