,Unnamed: 0,index,date,ffrtarget,target_before,target_after,alt_a_rate,alt_b_rate,alt_c_rate,alt_d_rate,alt_e_rate,tsa,tsb,tsc,tsd,tse,decision,d_dec,d_unc,d_inc,effect,options,E,U,T
12,12,12,1989-08-22,9.0625,9.0625,9.0625,8.5625,9.0625,9.5625,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
13,13,13,1989-10-03,9.0625,9.0625,9.0625,8.5625,9.0625,9.5625,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
14,14,14,1989-11-14,8.5,8.5,8.5,8.0,8.5,,,,-0.5,0.0,,,,0.0,-1.0,0.0,,0.0,EU,0,1,0
15,15,15,1989-12-19,8.5,8.5,8.25,8.0,8.5,9.0,,,-0.5,0.0,0.5,,,-0.25,-1.0,0.0,1.0,-1.0,EUT,1,0,0
16,16,16,1990-02-07,8.25,8.25,8.25,7.75,8.25,8.75,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
17,17,17,1990-03-27,8.25,8.25,8.25,7.75,8.25,8.75,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
18,18,18,1990-05-15,8.25,8.25,8.25,7.75,8.25,8.75,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
19,19,19,1990-07-03,8.25,8.25,8.25,7.75,8.25,8.75,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
20,20,20,1990-08-21,8.0,8.0,8.0,7.5,8.0,8.5,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
21,21,21,1990-10-02,8.0,8.0,8.0,7.5,8.0,8.5,,,-0.5,0.0,0.5,,,0.0,-1.0,0.0,1.0,0.0,EUT,0,1,0
22,22,22,1990-11-13,7.75,7.75,7.5,7.25,7.75,8.0,,,-0.5,0.0,0.25,,,-0.25,-1.0,0.0,1.0,-1.0,EUT,1,0,0
23,23,23,1990-12-18,7.25,7.25,7.0,6.75,7.25,,,,-0.5,0.0,,,,-0.25,-1.0,0.0,,-1.0,EU,1,0,0
24,24,24,1991-02-06,6.25,6.25,6.25,5.75,6.25,,,,-0.5,0.0,,,,0.0,-1.0,0.0,,0.0,EU,0,1,0
