,end_date,event_type,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_treatment_size_alt_d,bluebook_treatment_alt_d,bluebook_treatment_size_alt_e,bluebook_treatment_alt_e,statement_policy_change,statement_policy_action,alternative_treatment_chosen,alternative_treatment_size_chosen
618,1988-02-10,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
619,1988-03-29,Meeting,U,0,U,0,T,0.5,,,,,,,,
620,1988-05-17,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
621,1988-06-30,Meeting,E,-0.25,U,0,T,0.5,,,,,,,,
623,1988-08-16,Meeting,N,N,U,0,T,0.5,,,,,,,,
624,1988-09-20,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
626,1988-11-01,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
628,1988-12-14,Meeting,N,N,U,0,T,0.5,,,,,,,,
629,1989-02-08,Meeting,N,N,U,0,T,0.5,,,,,,,,
630,1989-03-28,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
631,1989-05-16,Meeting,E,-0.25,U,0,T,0.5,,,,,,,,
634,1989-07-06,Meeting,E,-0.5,U,0,T,0.25,,,,,,,,
636,1989-08-22,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
637,1989-10-03,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
641,1989-11-14,Meeting,E,-0.5,U,0,N,N,,,,,,,,
642,1989-12-19,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
643,1990-02-07,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
644,1990-03-27,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
646,1990-05-15,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
647,1990-07-03,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
648,1990-08-21,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
651,1990-10-02,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
652,1990-11-13,Meeting,E,-0.5,U,0,T,0.25,,,,,,,,
654,1990-12-18,Meeting,E,-0.5,U,0,N,N,,,,,,,,
657,1991-02-06,Meeting,E,-0.5,U,0,N,N,,,,,,,,
658,1991-03-26,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
662,1991-05-14,Meeting,E,-0.5,U,0,N,N,,,,,,,,
665,1991-07-03,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
667,1991-08-20,Meeting,E,-0.5,U,0,N,N,,,,,,,,
669,1991-10-01,Meeting,E,-0.5,U,0,N,N,,,,,,,,
671,1991-11-05,Meeting,E,-0.5,U,0,N,N,,,,,,,,
673,1991-12-17,Meeting,E,-0.5,U,0,N,N,,,,,,,,
675,1992-02-05,Meeting,E,-0.5,U,0,N,N,,,,,,,,
677,1992-03-31,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
678,1992-05-19,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
679,1992-07-01,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
681,1992-08-18,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
682,1992-10-06,Meeting,E,-0.5,U,0,T,N,,,,,,,,
683,1992-11-17,Meeting,E,-0.5,U,0,T,N,,,,,,,,
685,1992-12-22,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
687,1993-02-03,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
690,1993-03-23,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
691,1993-05-18,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
692,1993-07-07,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
693,1993-08-17,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
694,1993-09-21,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
700,1993-11-16,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
701,1993-12-21,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
702,1994-02-04,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
704,1994-03-22,Meeting,N,N,U,0,T,0.5,,,,,,,,
707,1994-05-17,Meeting,N,N,U,0,T,0.25,0.5,T,,,,,,
708,1994-07-06,Meeting,N,N,U,0,T,0.25,0.5,T,,,,,,
710,1994-08-16,Meeting,N,N,U,0,T,0.25,0.5,T,,,,,,
711,1994-09-27,Meeting,N,N,U,0,T,0.25,0.5,T,,,,,,
712,1994-11-15,Meeting,N,N,U,0,T,0.5,,,,,,,,
713,1994-12-20,Meeting,N,N,U,0,T,0.5,,,,,,,,
716,1995-02-01,Meeting,N,N,U,0,T,0.5,,,,,,,,
718,1995-03-28,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
720,1995-05-23,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
721,1995-07-06,Meeting,E,-0.5,U,0,N,,,,,,-25.0,E,alt_a,
722,1995-08-22,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
723,1995-09-26,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
724,1995-11-15,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
725,1995-12-19,Meeting,E,-0.5,U,0,T,0.5,,,,,-25.0,E,alt_a,
726,1996-01-31,Meeting,E,-0.25,U,0,T,0.25,,,,,-25.0,E,alt_a,alt_a
727,1996-03-26,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
728,1996-05-21,Meeting,N,N,U,0,T,0.5,,,,,,,,
729,1996-07-03,Meeting,N,N,U,0,T,0.25,,,,,,,,
730,1996-08-20,Meeting,N,N,U,0,T,0.25,,,,,,,,
731,1996-09-24,Meeting,N,N,U,0,T,0.5,,,,,,,,
732,1996-11-13,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
733,1996-12-17,Meeting,E,-0.5,U,0,T,0.5,,,,,,,,
734,1997-02-05,Meeting,N,N,U,0,T,0.5,,,,,,,,
735,1997-03-25,Meeting,N,N,U,0,T,0.5,,,,,25.0,T,alt_c,
736,1997-05-20,Meeting,N,N,U,0,T,0.5,,,,,,,,
737,1997-07-02,Meeting,N,N,U,0,T,0.25,,,,,,,,
