start_date,end_date,alternative,size,treatment,ffrtarget,target_before,target_change,decision,text
1988-02-09,1988-02-10,a,-0.5,E,6.625,6.625,-0.125,b,"Alternative A would be associated with a reduction in the federal funds rate of about 1/2 percentage point--achieved by a lowering of the borrowing objective to $100 million, a near-frictional level--or by a 1/2 percentage point cut in the discount rate. (19) Although some easing of reserve conditions is now thought by market participants to be in train or at least in prospect, the reserve specifications of alternative A embody a larger move by the Federal Reserve than has been anticipated in market rates. The easier conditions of alternative A are likely to put considerable downward pressure on the dollar, though the extent to which this would show through in dollar declines over the near-term would be affected by the incoming trade data. Under alternative A, growth of the aggregates would accelerate noticeably relative to the pace of the last two months, leaving both M2 and M3 at or a little above the midpoints of their tentative long-run ranges in March."
1988-02-09,1988-02-10,b,0,U,6.625,6.625,-0.125,b,"Current reserve and money market conditions would be maintained under alternative B while alternatives A and C would involve somewhat easier or somewhat tighter conditions, respectively. The level of adjustment plus seasonal borrowing associated with alternative B, $250 million, is expected to entail federal funds trading around recent 6-1/2 to 6-3/4 percent levels. C Growth from November to March M2 7 6-1/2 6 M3 6-1/4 6 5-3/4 Ml 6-3/4 6 5-1/4 Associated federal funds rate range 4 to 8 4 to 8 5 to 9 Implied growth from December to March M2 8-1/2 8 7-1/2 M3 7-1/2 7-1/4 7 M1 10 9 8 (16) Alternative B contemplates a continuation of reserve conditions now expected to prevail after the recent slight easing. (17) Under the specifications of alternative B, M2 would be expected to grow in February and March at nearly a 7 percent annual rate, a little above the average pace of December and January. (18) M3, under alternative B, would advance at a 6 percent annual rate from November to March as growth over February and March strengthens somewhat from the 5 percent average of December and January."
1988-02-09,1988-02-10,c,0.5,T,6.625,6.625,-0.125,b,"Alternative C would be associated with an increase in the borrowing objective to about $450 million and a rise in the federal funds rate of approximately 1/2 percentage point. (20) The tightening of conditions under alternative C would be entirely unexpected, and probably would result in substantial increases in both short- and, at least initially, long-term interest rates. Under the tighter reserve conditions of alternative C, the broad aggregates would remain within the lower halves of their tentative ranges through March. By reversing most of the interest rate declines since October, Alternative C would tend to keep money growth on a fairly slow path over coming months, dropping further below the midpoint of the tentative ranges, and might be most consistent with the growth rates in long-run alternative III."
1988-03-29,1988-03-29,a,0,U,6.5,6.5,0.25,c,"Under alternative A, federal funds would be expected to trade around the current 6 percent discount rate; this could be accomplished by reducing the discount rate by 1/2 point while keeping the $200 million borrowing objective, or by decreasing this objective. (16) Under alternative A, the easing of reserve market condi- tions would ripple through other financial markets."
1988-03-29,1988-03-29,b,0,U,6.5,6.5,0.25,c,"--II - II -r 0% -4 820 -- 800 -- 780 -- 760 740 I I I I I I I I I I O N D J F M A M J J A S O N D 720 1988 - Actual Level -- - Estimated Level ------ Growth From Fourth Quarter - Short Run Altematives 900 - 880 -1 860 I I I 1987 c Chart 4 DEBT Billions of dollars - Actual Level 9400 -1 9300 11% 9200 - 9100 - 9000 7% 8900 8800 8700 -8600 -8500 8400 - 8300 8200 -- 8100 I I I I I I I I I I I I I I O N D J F M A M J J A S O N D 8000 1987 1988 (10) With recent conditions in the reserves market maintained under alternative B, interest rates would tend to remain around current levels, at least for a time. (11) Given the financial conditions associated with alternative B, M2 and M3 are expected to grow at 7 and 6-1/2 percent annual rates, respectively, from March to June, leaving them well into the upper halves of their 4 to 8 percent annual ranges. On a March-to-June basis, M1 is expected to increase at a rate of about 4-1/2 percent under alternative B. Demand deposits are anticipated to strengthen only a little on balance over the next three months, after the somewhat inexplicable weakness through the first quarter."
1988-03-29,1988-03-29,c,0.5,T,6.5,6.5,0.25,c,"Under alternative C, the borrowing objective would be raised to $400 million and the funds rate would move up to the vicinity of 7 percent. (14) The more restrictive monetary posture of alternative C, at least at this time, would come as some surprise to financial markets. (15) The broader monetary aggregates under alternative C would post a more marked slowing over the course of the quarter than under the other alternatives, as the effects of the rebound in market interest rates increasingly took hold."
1988-05-17,1988-05-17,a,-0.5,E,7.0,7.0,0.0,b,"M3 could be supported somewhat by a further shifting of business credit demands to banks as higher bond yields curtail firms' offerings of longer-term debt, necessitating greater reliance on managed liabilities by banks than under alternative B. -12- (14) Alternative A would be implemented through restoring the assumption for adjustment plus seasonal borrowing to the level of $200 mil- lion that was in force from late January through late March, with federal funds probably returning to the 6-1/2 percent trading area; even lower rates could prevail if seasonal credit, which is now above $200 million, responded relatively little to the decline in reserve pressures."
1988-05-17,1988-05-17,b,0,U,7.0,7.0,0.0,b,"The assumption for adjustment plus seasonal borrowing would be kept at $400 million under alternative B and would be raised or lowered by $200 million under alternatives C and A, respectively. The federal funds rate would be expected to average around 7 percent under alternative B, and around 7-1/2 and 6-1/2 percent under 2 alternatives C and A. Under alternative B, the effects on money demand for the March-to-June period of somewhat higher interest rates than anticipated at the last FOMC meeting are offset by upward revisions to income, and the growth rates of M2 and M3, respectively, are projected to be 2. The intermeeting consultation range for the federal funds rate suggested for alternative B in the table below is 5 to 9 percent, up from 4 to 8 percent at present, in order to be better centered on expected federal funds rates. C Growth from March to June M2 7-3/4 7 6-1/4 M3 6-3/4 6-1/2 6-1/4 M1 6-1/2 5-1/2 4-1/2 Associated federal funds rate range 4 to 8 5 to 9 5 to 9 (9) Market interest rates now appear to incorporate the policy stance of alternative B. Thus, with federal funds continuing to trade around 7 percent, the three-month Treasury bill rate could remain in the 6-1/4 percent area in the near term. (10) Under alternative B, opportunity costs of holding liquid retail accounts would remain higher through midyear than in recent months, given the likely very gradual response of offering rates on such accounts to the recent rise in market rates. -10- (11) M3 growth should moderate to around a 6-1/4 percent rate over May and June under alternative B. Money market mutual funds in M3 probably will decline further for a while as returns lag behind recently elevated short-term market rates. M3 could be supported somewhat by a further shifting of business credit demands to banks as higher bond yields curtail firms' offerings of longer-term debt, necessitating greater reliance on managed liabilities by banks than under alternative B. -12- (14) Alternative A would be implemented through restoring the assumption for adjustment plus seasonal borrowing to the level of $200 mil- lion that was in force from late January through late March, with federal funds probably returning to the 6-1/2 percent trading area; even lower rates could prevail if seasonal credit, which is now above $200 million, responded relatively little to the decline in reserve pressures."
1988-05-17,1988-05-17,c,0.5,T,7.0,7.0,0.0,b,"(12) The increase in discount borrowing to $600 million under alternative C would raise the federal funds rate by 1/2 percentage point and carry Treasury bill rates up by similar amounts. While the course of economic activity and prices would not be much affected by small variations in the time path of interest rates, alternative C is closer to what was contemplated in the staff GNP forecast, which anticipates a fairly substantial rise in money market yields through early 1989. (13) The higher market interest rates associated with alternative C would further damp money growth."
1988-06-29,1988-06-30,a,-0.25,E,7.4375,7.4375,0.0625,c,"Under alternative A, borrowing is assumed to decline only $100 million, to $450 million, reversing the most recent increase and part of the tightening early in the period. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. (23) The reversal of part of the recent tightening, as envisioned under alternative A, would result in some edging down of short-term rates, espe- cially on private securities, perhaps heading off any increase in the prime rate."
