,name,full_name,year_of_birth,fed_position,d_regional_fed,regional_fed,d_publicsector,publicsector,time_publicsector,d_privatesector,privatesector,ind_privatesector,time_privatesector,education,degree,universityjob,time_universityjob,policycontribution,source
0,johnson,Manuel H. Johnson,1949,"Vice Chair, Board of Governors, 1986–1990",NO,,YES,Treasury Department,1981-1986,NO,,,,Florida State University,PhD in economics,George Mason University,1977-1994,Tax reform,"https://www.federalreservehistory.org/people/manuel_h_johnson?WT.si_n=Search&amp;WT.si_x=3, https://en.wikipedia.org/wiki/Manuel_H._Johnson"
1,parry,Robert T. Parry,1939,"President, FRB San Francisco, 1986–2004",YES,San Francisco,YES,Fed Research,1965-1970,YES,Security Pacific National Bank,Banking,,University of Pennsylvania,PhD in economics,,,Community development,"https://www.federalreservehistory.org/people/robert_t_parry
https://www.nndb.com/people/338/000126957/"
2,angell,Wayne D. Angell,1930,"Governor, Board of Governors, 1986–1994",YES,Kansas City,YES,Politics,1961-1972,YES,Officer and director to several banks,Banking,,University of Kansas,PhD in economics,University of Kansas,1956-1985,Payment system,"google, Wikipedia, www.minneapolisfed.org, https://www.federalreservehistory.org/people/wayne_d_angell?WT.si_n=Search&amp;WT.si_x=3"
3,heller,H. Robert Heller,1940,"Governor, Board of Governors, 1986–1989",NO,,YES,IMF,1974-1978,YES,Bank of America in San Francisco,Banking,1978-1986,"University of California, Berkeley",PhD in economics,"UCLA, University of Hawai",1965-1973,Bank supervision and regulation,"https://www.federalreservehistory.org/people/h_robert_heller?WT.si_n=Search&amp;WT.si_x=3, https://en.wikipedia.org/wiki/H._Robert_Heller"
4,corrigan,E. Gerald Corrigan,1941,"President, FRB New York, 1985–1993
President, FRB Minneapolis, 1980–1984",YES,Minneapolis and New York,YES,Fed Research,1968-1979,NO,,,,Fordham University,PhD in economics,,,Financial institutions,"https://www.federalreservehistory.org/people/e_gerald_corrigan?WT.si_n=Search&amp;WT.si_x=3, https://en.wikipedia.org/wiki/E._Gerald_Corrigan"
5,greenspan,Alan Greenspan,1926,"Chairman, Board of Governors, 1987–2006",NO,,YES,"Council of Economic Advisors (Ford), National Commission on Scoial Security Reform (1981-1983).",1974-1977,YES,"Townsend-Greenspan & Co., Inc",Consulting,1954-1987,New York University,PhD in economics,,,,"https://www.federalreservehistory.org/people/alan_greenspan?WT.si_n=Search&amp;WT.si_x=3, https://en.wikipedia.org/wiki/Alan_Greenspan"
6,kelley,Edward W. Kelley Jr.,1932,"Governor, Board of Governors, 1987–2001",YES,Minneapolis,NO,,,YES,Kelley Manufacturing Company,Manufacturing,1959-1981,Harvard Business School,MBA ,,,Operations and payment system,https://www.federalreservehistory.org/people/edward_w_kelley_jr?WT.si_n=Search&amp;WT.si_x=3
7,seger,Martha R. Seger,1932,"Governor, Board of Governors, 1984–1991",NO,,YES,Commissioner of Financial Institutions,1981-1982,YES,Detroit Bank and Trust,Banking,1967-1976,University of Michigan,PhD in finance,,,Financial deregulation,https://www.federalreservehistory.org/people/martha_r_seger
8,hoskins,W. Lee Hoskins,1941,"President, FRB Cleveland, 1987–1991",YES,"Philadelphia, Cleveland",YES,Director of research Fed Philadelphia,1969-1975,YES,PNC Financial Corp.,Banking,1980-1987,UCLA,PhD in economics,,,"Inflation control, communication",https://www.federalreservehistory.org/people/w_lee_hoskins?WT.si_n=Search&amp;WT.si_x=3
9,black,Robert P. Black,1927,"President, FRB Richmond, 1973–1992",YES,Richmond,YES,Economist Richmond Fed,1956-1972,NO,,,,University of Virginia,PhD in economics,,,Inflation control,https://www.federalreservehistory.org/people/robert_p_black?WT.si_n=Search&amp;WT.si_x=3
