,date,ffrtarget,target_before,target_after,decision,alt_a_rate,alt_b_rate,alt_c_rate,alt_d_rate,alt_e_rate,bluebook_treatment_size_alt_a,bluebook_treatment_size_alt_b,bluebook_treatment_size_alt_c,bluebook_treatment_size_alt_d,bluebook_treatment_size_alt_e
0,1988-02-10,6.625,6.625,6.5,-0.125,6.125,6.625,7.125,,,-0.5,0,0.5,,
1,1988-03-29,6.5,6.5,6.75,0.25,6.5,6.5,7.0,,,0,0,0.5,,
2,1988-05-17,7.0,7.0,7.0,0.0,6.5,7.0,7.5,,,-0.5,0,0.5,,
3,1988-06-30,7.4375,7.4375,7.5,0.0625,7.1875,7.4375,7.9375,,,-0.25,0,0.5,,
4,1988-08-16,8.125,8.125,8.125,0.0,,8.125,8.625,,,N,0,0.5,,
5,1988-09-20,8.125,8.125,8.125,0.0,7.625,8.125,8.625,,,-0.5,0,0.5,,
6,1988-11-01,8.125,8.125,8.125,0.0,7.625,8.125,8.625,,,-0.5,0,0.5,,
7,1988-12-14,8.375,8.375,8.6875,0.3125,,8.375,8.875,,,N,0,0.5,,
8,1989-02-08,9.0,9.0,9.125,0.125,,9.0,9.5,,,N,0,0.5,,
9,1989-03-28,9.75,9.75,9.75,0.0,9.25,9.75,10.25,,,-0.5,0,0.5,,
10,1989-05-16,9.75,9.75,9.8125,0.0625,9.5,9.75,10.25,,,-0.25,0,0.5,,
11,1989-07-06,9.5625,9.5625,9.3125,-0.25,9.0625,9.5625,9.8125,,,-0.5,0,0.25,,
12,1989-08-22,9.0625,9.0625,9.0625,0.0,8.5625,9.0625,9.5625,,,-0.5,0,0.5,,
13,1989-10-03,9.0625,9.0625,9.0625,0.0,8.5625,9.0625,9.5625,,,-0.5,0,0.5,,
14,1989-11-14,8.5,8.5,8.5,0.0,8.0,8.5,,,,-0.5,0,N,,
15,1989-12-19,8.5,8.5,8.25,-0.25,8.0,8.5,9.0,,,-0.5,0,0.5,,
16,1990-02-07,8.25,8.25,8.25,0.0,7.75,8.25,8.75,,,-0.5,0,0.5,,
17,1990-03-27,8.25,8.25,8.25,0.0,7.75,8.25,8.75,,,-0.5,0,0.5,,
18,1990-05-15,8.25,8.25,8.25,0.0,7.75,8.25,8.75,,,-0.5,0,0.5,,
19,1990-07-03,8.25,8.25,8.25,0.0,7.75,8.25,8.75,,,-0.5,0,0.5,,
20,1990-08-21,8.0,8.0,8.0,0.0,7.5,8.0,8.5,,,-0.5,0,0.5,,
21,1990-10-02,8.0,8.0,8.0,0.0,7.5,8.0,8.5,,,-0.5,0,0.5,,
22,1990-11-13,7.75,7.75,7.5,-0.25,7.25,7.75,8.0,,,-0.5,0,0.25,,
23,1990-12-18,7.25,7.25,7.0,-0.25,6.75,7.25,,,,-0.5,0,N,,
24,1991-02-06,6.25,6.25,6.25,0.0,5.75,6.25,,,,-0.5,0,N,,
25,1991-03-26,6.0,6.0,6.0,0.0,5.5,6.0,6.5,,,-0.5,0,0.5,,
26,1991-05-14,5.75,5.75,5.75,0.0,5.25,5.75,,,,-0.5,0,N,,
27,1991-07-03,5.75,5.75,5.75,0.0,5.25,5.75,6.25,,,-0.5,0,0.5,,
28,1991-08-20,5.5,5.5,5.5,0.0,5.0,5.5,,,,-0.5,0,N,,
29,1991-10-01,5.25,5.25,5.25,0.0,4.75,5.25,,,,-0.5,0,N,,
30,1991-11-05,5.0,5.0,4.75,-0.25,4.5,5.0,,,,-0.5,0,N,,
31,1991-12-17,4.5,4.5,4.5,0.0,4.0,4.5,,,,-0.5,0,N,,
32,1992-02-05,4.0,4.0,4.0,0.0,3.5,4.0,,,,-0.5,0,N,,
33,1992-03-31,4.0,4.0,4.0,0.0,3.5,4.0,4.5,,,-0.5,0,0.5,,
34,1992-05-19,3.75,3.75,3.75,0.0,3.25,3.75,4.25,,,-0.5,0,0.5,,
35,1992-07-01,3.75,3.75,3.25,-0.5,3.25,3.75,4.25,,,-0.5,0,0.5,,
36,1992-08-18,3.25,3.25,3.25,0.0,2.75,3.25,3.75,,,-0.5,0,0.5,,
37,1992-10-06,3.0,3.0,3.0,0.0,2.5,3.0,,,,-0.5,0,N,,
38,1992-11-17,3.0,3.0,3.0,0.0,2.5,3.0,,,,-0.5,0,N,,
39,1992-12-22,3.0,3.0,3.0,0.0,2.5,3.0,3.5,,,-0.5,0,0.5,,
40,1993-02-03,3.0,3.0,3.0,0.0,2.5,3.0,3.5,,,-0.5,0,0.5,,
