,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,newdate,-0.25,0.0,0.5,-0.5,0.25,0.75
0,11,1989-07-06,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7,1989,"-0.5,0,0.25",-0.25,1989-07-06,True,False,False,False,False,False
1,12,1989-08-22,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1989,"-0.5,0,0.50",0.0,1989-08-22,False,True,False,False,False,False
2,13,1989-10-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10,1989,"-0.5,0,0.50",0.0,1989-10-03,False,True,False,False,False,False
3,14,1989-11-14,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1989,"-0.5,0",0.0,1989-11-14,False,True,False,False,False,False
4,15,1989-12-19,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1989,"-0.5,0,0.50",-0.25,1989-12-19,True,False,False,False,False,False
5,16,1990-02-07,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1990,"-0.5,0,0.50",0.0,1990-02-07,False,True,False,False,False,False
6,17,1990-03-27,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1990,"-0.5,0,0.50",0.0,1990-03-27,False,True,False,False,False,False
7,18,1990-05-15,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1990,"-0.5,0,0.50",0.0,1990-05-15,False,True,False,False,False,False
8,19,1990-07-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1990,"-0.5,0,0.50",0.0,1990-07-03,False,True,False,False,False,False
9,20,1990-08-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1990,"-0.5,0,0.50",0.0,1990-08-21,False,True,False,False,False,False
10,21,1990-10-02,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10,1990,"-0.5,0,0.50",0.0,1990-10-02,False,True,False,False,False,False
11,22,1990-11-13,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11,1990,"-0.5,0,0.25",-0.25,1990-11-13,True,False,False,False,False,False
12,23,1990-12-18,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,1990,"-0.5,0",-0.25,1990-12-18,True,False,False,False,False,False
13,24,1991-02-06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1991,"-0.5,0",0.0,1991-02-06,False,True,False,False,False,False
14,25,1991-03-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1991,"-0.5,0,0.50",0.0,1991-03-26,False,True,False,False,False,False
15,26,1991-05-14,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1991,"-0.5,0",0.0,1991-05-14,False,True,False,False,False,False
16,27,1991-07-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1991,"-0.5,0,0.50",0.0,1991-07-03,False,True,False,False,False,False
17,28,1991-08-20,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,1991,"-0.5,0",0.0,1991-08-20,False,True,False,False,False,False
18,29,1991-10-01,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1991,"-0.5,0",0.0,1991-10-01,False,True,False,False,False,False
19,30,1991-11-05,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1991,"-0.5,0",-0.25,1991-11-05,True,False,False,False,False,False
