Date,interjection_count
1976-03-29,412
1976-04-20,603
1976-05-18,498
1976-06-22,299
1976-07-19,629
1976-08-17,205
1976-09-21,299
1976-10-19,380
1976-11-08,86
1976-11-16,318
1976-12-20,599
1977-01-17,602
1977-02-15,396
1977-03-15,311
1977-04-19,413
1977-05-17,291
1977-05-27,67
1977-06-21,563
1977-07-19,562
1977-08-16,653
1977-09-20,528
1977-10-17,573
1977-11-15,353
1977-12-19,716
1978-01-05,108
1978-01-17,386
1978-02-28,469
1978-03-10,110
1978-03-21,504
1978-04-18,435
1978-05-05,56
1978-05-16,427
1978-06-20,431
1978-07-18,545
1978-08-15,410
1978-09-19,269
1978-10-17,488
1978-11-21,394
1978-12-19,661
1979-02-06,482
1979-03-20,322
1979-04-17,408
1979-04-27,76
1979-05-22,452
1979-06-27,37
1979-07-11,500
1979-07-17,60
1979-07-19,128
1979-08-14,326
1979-09-18,335
1979-10-05,23
1979-10-06,395
1979-10-22,53
1979-11-20,417
1980-01-08,720
1980-02-04,805
1980-03-07,79
1980-03-18,430
1980-04-22,324
1980-04-29,80
1980-05-06,82
1980-05-20,437
1980-06-05,90
1980-07-09,826
1980-07-25,60
1980-08-12,431
1980-08-22,84
1980-09-16,531
1980-10-21,473
1980-11-18,510
1980-11-26,66
1980-12-05,133
1980-12-12,58
1980-12-18,717
1981-02-02,1677
1981-02-24,133
1981-03-31,664
1981-04-28,185
1981-05-06,119
1981-05-18,596
1981-06-17,56
1981-07-06,953
1981-07-17,77
1981-08-18,531
1981-10-05,534
1981-11-17,792
1981-12-21,831
1982-02-01,1095
1982-03-29,628
1982-05-18,328
1982-06-30,969
1982-07-15,113
1982-08-24,429
1982-09-24,70
1982-10-05,746
1982-11-16,628
1982-12-20,851
1983-01-14,117
1983-01-21,27
1983-02-08,1218
1983-03-28,870
1983-04-29,28
1983-05-24,706
1983-06-23,47
1983-07-12,1160
1983-08-23,300
1983-09-08,9
1983-10-04,447
1983-11-14,762
1983-12-19,510
1984-01-30,840
1984-03-26,1148
1984-05-21,391
1984-07-16,731
1984-08-21,479
1984-10-02,415
1984-11-07,498
1984-12-17,649
1985-01-18,40
1985-02-12,802
1985-03-26,364
1985-05-21,395
1985-07-09,898
1985-08-20,488
1985-10-01,332
1985-11-04,454
1985-12-16,676
1986-02-11,548
1986-04-01,336
1986-05-20,409
1986-07-08,668
1986-08-19,505
1986-09-23,437
1986-11-05,256
1986-12-15,648
1987-02-10,776
1987-03-31,551
1987-04-29,41
1987-05-19,452
1987-07-07,808
1987-08-18,273
1987-09-22,300
1987-10-20,17
1987-11-03,375
1987-12-15,870
1988-01-05,55
1988-02-09,571
1988-03-29,396
1988-05-17,341
1988-06-29,595
1988-07-19,48
1988-08-16,399
1988-09-20,225
1988-10-17,73
1988-11-01,426
1988-11-22,38
1988-12-13,523
1989-02-07,542
1989-03-28,371
1989-05-16,482
1989-05-31,27
1989-06-05,43
1989-07-05,535
1989-07-26,2
1989-08-22,429
1989-10-03,480
1989-10-16,38
1989-10-17,32
1989-10-18,35
1989-11-14,267
1989-12-18,864
1990-02-06,416
1990-03-27,726
1990-04-11,26
1990-05-15,206
1990-07-02,355
1990-08-21,271
1990-09-07,25
1990-09-17,42
1990-10-02,445
1990-11-13,376
1990-12-07,51
1990-12-18,294
1991-01-09,57
1991-02-01,29
1991-02-05,502
1991-03-26,302
1991-04-12,44
1991-04-30,25
1991-05-01,19
1991-05-14,149
1991-06-10,16
1991-06-24,28
1991-07-02,381
1991-08-05,51
1991-08-20,268
1991-09-13,32
1991-10-01,200
1991-10-30,30
1991-11-05,250
1991-12-02,31
1991-12-17,208
1992-01-09,60
1992-02-04,380
1992-03-11,97
1992-03-31,217
1992-05-19,272
1992-06-30,537
1992-07-02,14
1992-08-18,227
1992-10-06,307
1992-11-17,435
1992-12-14,29
1992-12-22,208
1993-01-06,75
1993-02-02,477
1993-02-18,175
1993-03-01,4
1993-03-23,214
1993-05-18,241
1993-07-06,703
1993-08-17,247
1993-09-21,184
1993-10-05,100
1993-10-15,214
1993-10-22,89
1993-11-09,183
1993-11-10,76
1993-11-16,860
1993-12-21,347
1994-02-03,543
1994-02-28,42
1994-03-22,292
1994-03-24,38
1994-04-18,48
1994-05-17,186
1994-07-05,500
1994-07-20,76
1994-08-16,198
1994-09-27,224
1994-11-15,310
1994-12-20,176
1994-12-30,98
1995-01-13,68
1995-01-31,1003
1995-03-10,90
1995-03-28,300
1995-04-28,31
1995-05-23,203
1995-07-05,382
1995-08-22,213
1995-09-26,274
1995-11-15,322
1995-12-19,217
1996-01-30,326
1996-03-26,125
1996-05-21,223
1996-07-02,540
1996-08-20,179
1996-09-24,233
1996-11-13,155
1996-12-17,171
1997-02-04,401
1997-03-25,131
1997-05-20,128
1997-07-01,333
1997-08-19,231
1997-09-30,157
1997-11-12,231
1997-12-16,139
1998-02-03,307
1998-03-31,208
1998-05-19,225
1998-06-30,399
1998-08-18,185
1998-09-21,43
1998-09-29,335
1998-10-15,108
1998-11-17,283
1998-12-22,262
1999-02-02,380
1999-03-30,120
1999-05-18,191
1999-06-29,261
1999-08-24,261
1999-10-05,179
1999-11-16,245
1999-12-21,215
2000-02-01,371
2000-03-21,226
2000-05-16,211
2000-06-27,220
2000-08-22,162
2000-10-03,238
2000-11-15,191
2000-12-19,175
2001-01-03,113
2001-01-30,491
2001-03-20,202
2001-04-11,36
2001-04-18,63
2001-05-15,205
2001-06-26,336
2001-08-21,111
2001-09-13,44
2001-09-17,61
2001-10-02,153
2001-11-06,264
2001-12-11,212
2002-01-29,372
2002-03-19,245
2002-05-07,194
2002-06-25,294
2002-08-13,168
2002-09-24,234
2002-11-06,222
2002-12-10,206
2003-01-28,395
2003-03-18,207
2003-03-25,21
2003-04-01,34
2003-04-08,34
2003-04-16,86
2003-05-06,219
2003-06-24,297
2003-08-12,278
2003-09-15,180
2003-09-16,233
2003-10-28,281
2003-12-09,243
2004-01-27,480
2004-03-16,191
2004-05-04,214
2004-06-29,382
2004-08-10,172
2004-09-21,218
2004-11-10,171
2004-12-14,228
2005-02-01,242
2005-03-22,256
2005-05-03,179
2005-06-29,433
2005-08-09,227
2005-09-20,150
2005-11-01,239
2005-12-13,145
2006-01-31,170
