date_x,year,INDPRO_PC1,PCEPI,PCEPI_PCA,inflation,unemp,lagged_unemp,market_exp,target_change,lag_DFEDTAR,DFEDTAR,d_meeting,scale,d_crisis,TRY_3M,TRY_2Y,TRY_10Y,FF_TAR,date_y,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,ord_policy,d_nineeleven,date,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11,d_month_12,d_month_1_fomc,d_month_2_fomc,d_month_3_fomc,d_month_4_fomc,d_month_5_fomc,d_month_6_fomc,d_month_7_fomc,d_month_8_fomc,d_month_9_fomc,d_month_10_fomc,d_month_11_fomc,d_month_12_fomc,target_change_last,target_change_last_fomc
1920-01-01,1920,15.46964,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,01/01/1920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-02-01,1920,20.81072,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,02/01/1920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-03-01,1920,22.02304,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,03/01/1920,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-04-01,1920,13.44948,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,04/01/1920,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-05-01,1920,15.69743,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,05/01/1920,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-06-01,1920,9.83662,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,06/01/1920,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-07-01,1920,1.0312,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,07/01/1920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-08-01,1920,0.0,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,08/01/1920,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-09-01,1920,-1.55481,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,09/01/1920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-10-01,1920,-4.7114,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,10/01/1920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-11-01,1920,-11.16937,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,11/01/1920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1920-12-01,1920,-17.80009,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,12/01/1920,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-01-01,1921,-29.18726,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,01/01/1921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-02-01,1921,-30.62131,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,02/01/1921,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-03-01,1921,-31.21895,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,03/01/1921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-04-01,1921,-27.31926,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,04/01/1921,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-05-01,1921,-27.13531,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,05/01/1921,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-06-01,1921,-28.35816,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,06/01/1921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-07-01,1921,-27.04042,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,07/01/1921,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-08-01,1921,-24.87398,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,08/01/1921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-09-01,1921,-21.57899,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,09/01/1921,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-10-01,1921,-13.18625,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,10/01/1921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1921-11-01,1921,-6.58637,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,21,0,11/01/1921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
