,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year
0,1988-02-10,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1988
1,1988-03-29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1988
2,1988-05-17,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1988
3,1988-06-30,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6,1988
4,1988-08-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,1988
5,1988-09-20,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1988
6,1988-11-01,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1988
7,1988-12-14,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12,1988
8,1989-02-08,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1989
9,1989-03-28,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1989
10,1989-05-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,1989
11,1989-07-06,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7,1989
12,1989-08-22,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1989
13,1989-10-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10,1989
14,1989-11-14,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1989
15,1989-12-19,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1989
16,1990-02-07,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1990
17,1990-03-27,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1990
18,1990-05-15,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1990
19,1990-07-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1990
20,1990-08-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1990
21,1990-10-02,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10,1990
22,1990-11-13,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11,1990
23,1990-12-18,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,1990
24,1991-02-06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1991
25,1991-03-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1991
26,1991-05-14,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1991
27,1991-07-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1991
28,1991-08-20,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,1991
29,1991-10-01,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1991
30,1991-11-05,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1991
31,1991-12-17,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,1991
