date,d_surprise,n_article,month,year,std_surprise
1988-11-01,0.0,1,11,1988,0.0
1989-02-08,0.0,1,2,1989,0.0
1989-05-16,0.0,1,5,1989,0.0
1989-07-06,1.0,3,7,1989,0.3333333333333333
1989-08-22,0.0,1,8,1989,0.0
1989-10-03,0.0,1,10,1989,0.0
1989-12-19,0.0,3,12,1989,0.0
1990-03-27,0.0,1,3,1990,0.0
1990-08-21,1.0,2,8,1990,0.5
1990-10-02,0.0,1,10,1990,0.0
1990-11-13,0.0,2,11,1990,0.0
1990-12-18,0.0,2,12,1990,0.0
1991-03-26,0.0,1,3,1991,0.0
1991-12-17,0.0,2,12,1991,0.0
1994-03-22,0.0,2,3,1994,0.0
1994-05-17,0.0,1,5,1994,0.0
1994-07-06,1.0,2,7,1994,0.5
1994-08-16,0.0,2,8,1994,0.0
1994-09-27,0.0,2,9,1994,0.0
1994-11-15,0.0,2,11,1994,0.0
1994-12-20,0.0,2,12,1994,0.0
1995-03-28,0.0,1,3,1995,0.0
1995-05-23,1.0,2,5,1995,0.5
1995-07-06,0.0,1,7,1995,0.0
1995-08-22,0.0,4,8,1995,0.0
1995-09-26,0.0,1,9,1995,0.0
1995-11-15,0.0,3,11,1995,0.0
1995-12-19,1.0,2,12,1995,0.5
1996-01-31,0.0,1,1,1996,0.0
1996-05-21,0.0,1,5,1996,0.0
1996-08-20,0.0,1,8,1996,0.0
1996-12-17,0.0,1,12,1996,0.0
1997-02-05,0.0,1,2,1997,0.0
1997-05-20,0.0,1,5,1997,0.0
1997-07-02,0.0,1,7,1997,0.0
1997-08-19,1.0,2,8,1997,0.5
1997-11-12,0.0,1,11,1997,0.0
1998-02-04,1.0,1,2,1998,1.0
1998-03-31,0.0,1,3,1998,0.0
1998-05-19,1.0,2,5,1998,0.5
1998-09-29,0.0,2,9,1998,0.0
1998-11-17,1.0,1,11,1998,1.0
1998-12-22,0.0,1,12,1998,0.0
1999-02-03,0.0,1,2,1999,0.0
1999-05-18,1.0,4,5,1999,0.25
1999-06-30,0.0,2,6,1999,0.0
1999-08-24,0.0,3,8,1999,0.0
1999-10-05,0.0,1,10,1999,0.0
1999-11-16,0.0,3,11,1999,0.0
2000-03-21,1.0,1,3,2000,1.0
2000-06-28,0.0,1,6,2000,0.0
2000-08-22,1.0,5,8,2000,0.2
2000-10-03,0.0,4,10,2000,0.0
2000-11-15,0.0,3,11,2000,0.0
2000-12-19,1.0,3,12,2000,0.3333333333333333
2001-01-31,1.0,2,1,2001,0.5
2001-03-20,0.0,1,3,2001,0.0
2001-05-15,1.0,2,5,2001,0.5
2001-08-21,0.0,6,8,2001,0.0
2001-10-02,0.0,3,10,2001,0.0
2001-11-06,1.0,2,11,2001,0.5
2001-12-11,0.0,3,12,2001,0.0
2002-01-30,1.0,3,1,2002,0.3333333333333333
2002-03-19,1.0,4,3,2002,0.25
2002-05-07,0.0,4,5,2002,0.0
2002-06-26,1.0,3,6,2002,0.3333333333333333
2002-08-13,0.0,4,8,2002,0.0
2002-09-24,2.0,4,9,2002,0.5
2002-11-06,1.0,3,11,2002,0.3333333333333333
2002-12-10,1.0,3,12,2002,0.3333333333333333
2003-01-29,1.0,3,1,2003,0.3333333333333333
2003-03-18,0.0,5,3,2003,0.0
2003-05-06,1.0,3,5,2003,0.3333333333333333
2003-06-25,0.0,2,6,2003,0.0
2003-08-12,3.0,4,8,2003,0.75
2003-09-16,1.0,4,9,2003,0.25
2003-10-28,1.0,4,10,2003,0.25
2003-12-09,1.0,4,12,2003,0.25
2004-01-28,3.0,6,1,2004,0.5
2004-03-16,0.0,4,3,2004,0.0
2004-05-04,0.0,4,5,2004,0.0
2004-06-30,1.0,3,6,2004,0.3333333333333333
2004-08-10,0.0,4,8,2004,0.0
2004-09-21,1.0,2,9,2004,0.5
2004-11-10,1.0,3,11,2004,0.3333333333333333
2004-12-14,3.0,4,12,2004,0.75
2005-02-02,2.0,6,2,2005,0.3333333333333333
2005-03-22,1.0,4,3,2005,0.25
2005-05-03,0.0,3,5,2005,0.0
2005-06-30,0.0,5,6,2005,0.0
2005-08-09,0.0,2,8,2005,0.0
2005-09-20,0.0,5,9,2005,0.0
2005-11-01,0.0,3,11,2005,0.0
2005-12-13,0.0,3,12,2005,0.0
2006-01-31,0.0,4,1,2006,0.0
2006-03-28,2.0,6,3,2006,0.3333333333333333
2006-05-10,0.0,5,5,2006,0.0
2006-06-29,0.0,3,6,2006,0.0
2006-08-08,1.0,3,8,2006,0.3333333333333333
2006-09-20,0.0,3,9,2006,0.0
2006-10-25,0.0,4,10,2006,0.0
2006-12-12,1.0,3,12,2006,0.3333333333333333
2007-01-31,0.0,3,1,2007,0.0
2007-03-21,0.0,2,3,2007,0.0
2007-05-09,0.0,3,5,2007,0.0
2007-06-28,0.0,4,6,2007,0.0
2007-08-07,0.0,3,8,2007,0.0
2007-09-18,2.0,3,9,2007,0.6666666666666666
2007-10-31,1.0,3,10,2007,0.3333333333333333
2007-12-11,0.0,3,12,2007,0.0
2008-01-30,1.0,5,1,2008,0.2
2008-03-18,1.0,5,3,2008,0.2
2008-04-30,1.0,4,4,2008,0.25
2008-06-25,0.0,2,6,2008,0.0
2008-08-05,0.0,2,8,2008,0.0
2008-09-16,0.0,2,9,2008,0.0
2008-10-29,0.0,4,10,2008,0.0
2008-12-16,0.0,3,12,2008,0.0
2009-01-28,0.0,5,1,2009,0.0
2009-03-18,2.0,2,3,2009,1.0
2009-04-29,0.0,3,4,2009,0.0
2009-06-24,0.0,2,6,2009,0.0
2009-08-12,0.0,3,8,2009,0.0
2009-09-23,0.0,4,9,2009,0.0
2009-11-04,0.0,4,11,2009,0.0
2009-12-16,1.0,2,12,2009,0.5
