,start_date,content
69,1987-08-18,way manley speech think hear say uncertainti comment might indic seem appropri assum inflationari_pressur need dealt appropri monetari_aggreg growth path percent path rather signific antidot inflationari_pressur exist though inflationari_pressur far turn corner abat price_increas might possibl will success will maintain monetari_aggreg growth path someth notic countri talk farmer peopl oil busi realtor sens uneas countri realli suggest si regard farm incom true record year net cash farm incom go record record notic conservat super conservat exist peopl survivor busi success one kept borrow notic rush borrow notic stori entrepreneur type make sens borrow money notic instead fast food busi quit own hous seem quit profit notic uneas scare moder behavior might growth path monetari_aggreg bring stop commod_price rise last_year begin last commod_price rise abat inflat_expect away possibl deflationari forc return think_need point open look variou possibl can trick get commod_price rise stop suffici time feed wage_price cycl can accomplish seem percent gnp deflat percent increas fix weight index total unaccept must let occur let readi overkil
92,1987-08-18,sometim hard influenc
116,1987-08-18,seem need remind minut will publish six_week around time next_meet seem somewhat care make asymmetr statement much uncertainti think real question question symmetr asymmetr prefer symmetr put far end speak far believ monetari_aggreg growth path quit differ period led price_pressur see think mistak react monetari_aggreg behav nice percent growth rang might right path run yet anticip mr chairman_agre chang veloc mistak million borrow million will certainli vote lower monetari growth path member committe know favor return monetari growth path within target rang year favor come rang year_ago undoubtedli somewhat careless recogn percent monetari growth path discount_rate_chang last think much mistak move need prepar adjust might need commod_price exchang valu_dollar move direct inflat worst fear realiz want move point will hard posit minut publish six_week base upon feel
145,1987-08-18,peopl vote respons
147,1987-08-18,quit certain vote regard dollar posit among leav dollar import indic somewhat promin vote sure
157,1987-08-18,realli favor make broader go percent seem circumst aggreg grow percent reason might want tighten
161,1987-08-18,guess want hear don kohn comment
163,1987-08-18,go percent seem percent narrow
172,1987-08-18,go leav percent
174,1987-08-18,chang top harm chang bottom
176,1987-08-18,percent fine
181,1987-08-18,percent
186,1987-08-18,feder_fund_rate_think wrong signal light experi
188,1987-08-18,thought seven vote hundr count
191,1987-08-18,think anybodi will know million tell anybodi
200,1987-08-18,alreadi tilt direct anyway can firmer base upon develop without call committe
207,1987-08-18,think appropri chang
327,1987-09-22,regard bond_rate_think see someth develop exchang_rate polici thought care ahead time unfortun cannot median ground recogn monetari_polici need adjust consider foreign_exchang develop tri pinpoint draw line sand regard foreign_exchang_rate will monetari_polici adjust drew line sand probabl avoid difficulti nevertheless line got drawn sand happen difficult unhitch period inflat_expect increas particularli think commod_price_pressur requir stabl exchang_rate order commod_price rise environ seem bond buyer mainli anticip monetari_polici futur short_term_rate go kind win win situat perspect think might rais_rate support dollar foreign_exchang_market might rais_rate resist inflat either work think bond price affect today strongli ten_year_ago kind specul cycl point time bond buyer realli intend keep bond develop environ investor fund manag whose success base upon perform time pay owner bond consequ go bond_rate_move littl far way bother term_interest_rate_think bother congress hope bother hope indic much opportun help control spend regard greenbook_forecast realli signific disagr forecast staff lower_inflat_rate half much disagr area differ regard forecast disagre guess other took posit regard real export take posit believ real export will maintain longer sustain_growth path assum forecast believ produc unit_state learn involv intern market unit_state becam huge import began chang whole natur opportun exist small medium size busi taken intern market serious learn compet intern marketplac home abroad think learn curv involv lot financi institut done regard recogn export lend think learn curv will occur therefor expect present exchang_rate will give wonder opportun period export increas disagr forecast know mike mayb ted mention gnp deflat strang behavior point staff number cpi staff_forecast basi_point_increas cpi third_quarter fourth_quarter project basi_point_increas cpi realli make thing wors rather rapidli think like busi found environ profit abl increas_price learn control cost think differ environ alreadi gone big oil_price_increas staff tell occur earlier half hit think kind pass third think foreign_exchang_rate like fall amount indic forecast presum major committe believ inflat_forecast accept will step necessari inflat_rate materi consequ dollar behav quit environ third disagr forecast regard tax receipt think everyon underestim effect tax reform act tax reform act time broaden base decreas rate evid show tax receipt come higher anticip go tax receipt go largest percent gnp peac time year histori away time capit gain move somewhat optimist regard certainli will whatev step necessari certain forecast correct absolut essenti polici lead tremend slowdown economi
354,1987-09-22,chairman
417,1987-09-22,around
420,1987-09-22,know don differ number
422,1987-09-22,realli around around
429,1987-09-22,actual anticip percent anticip percent
