,Date,content
4635,2002-08-13," Thank you, Mr Chairman  As we search for the signal of an   incipient recovery, we have heavy noise coming from two sides  The first source of noise is the   financial markets  Our financial markets usually exhibit controlled hysteria, but lately we   probably could drop the adjective “controlled”  The stock market in particular seems to be   searching for a consensus valuation without too much luck so far  The other source of noise is   the data Of course, revisions in the data show that the recession was worse than we thought    We were always pessimistic about forecasting, and now backcasting seems to be a problem as   well! I have a modest proposal, which is that if the BEA can restate GDP figures and firms can   restate their earnings, the Fed should have the option to go back and restate interest rates from   last time  [Laughter]            August 13, 2002 55 of 92  How should we respond to these noisy conditions?  First, regarding financial markets, I   think the best thing to do is to keep our heads while all about us are losing theirs  Monetary   policy should be directed at the underlying economy and should respond to financial markets   only insofar as they contain information about or affect the underlying economy  I think on net   the effects of financial markets on the current economy are not very large The direct effects of   the stock market are being partly offset by strong house prices, lower interest rates, and a falling   dollar  It’s true that the volatility that we’re currently observing at record levels is feeding   anxiety and caution, but volatility by its nature tends to be temporary  So on net the current   market volatility in my view is an argument for waiting to see where things settle down before   taking action   Second, regarding the other source of noise, the data revisions, we can no longer blame   the shallow recession for the weak recovery  [Laughter] The economy is not booming   obviously; but looking again beyond the financial markets, it seems to be reasonably sound  In   particular, the revision has largely left intact the growth in productivity, which I believe in some   sense is the most crucial element of the recovery and bodes well for both profits and economic   growth I note the comments that Governor Kohn made about financial conditions, but overall I   think the financial headwinds are not very strong  Banks are healthy, consumer and firm balance   sheets are reasonably strong for this stage of the cycle, and a lot of what is happening in the   markets with respect to risk spreads and the like has more to do with volatility and financial   market uncertainty than with fundamental conditions    Third, the policy stances, both monetary and fiscal, remain expansionary  It’s true that   there are some uncertainties as we look forward  Consumers and the government are doing their         August 13, 2002 56 of 92  part, but firms in particular seem relatively hesitant both on the investment side and on the hiring   side   I think it’s worth noting that there’s an awful lot of heterogeneity among industries in   terms of growth potential  Certain industries—telecommunications, aircraft, commercial real   estate, and others—are doing very poorly They are suffering from overhangs, and it’s   questionable whether small changes in interest rates, for example, would substantially affect their   activity On the other hand, residential housing, autos, and consumer goods look very strong,   and other areas like equipment and software seem to be improving   My bottom line here is that there’s a lot of uncertainty and that any of the three responses   suggested in the Bluebook would not be unreasonable  But given the uncertainty that we have   now, my inclination is to wait and see and to get more information  At the same time, I don’t   think we want to appear tone deaf to legitimate concerns among the public about the state of the   economy  And I think we ought to set the stage to respond in case conditions worsen  So I   would indicate my preference to communicate either in the statement or in the balance of risks   sentence that the Fed is vigilant and is willing and able to cut rates in the future if conditions   worsen Thank you  "
4636,2002-08-13," Mr Chairman, I concur with both parts of your recommendation  In   particular, the weakening of the economy is quite evident to the public, and I think it’s important   that we show that the Federal Reserve recognizes that and is prepared to respond to it  I’d like to   add that I also agree with you that if things take a turn for the worse, we should be prepared to   act very aggressively I’m not one who worries about zero bounds, for example  In fact, one   might interpret the expected decline in the future federal funds rate as being not a certainty of a   small decline but a small probability of a larger decline  So to summarize, I do concur with your   proposal  "
4689,2002-09-24,"  The last time we had a Middle Eastern conflict, in the Gulf War, I   think currency went way up Is that right?        September 24, 2002 8 of 115 "
4690,2002-09-24," Thank you, Mr Chairman  I agree with many speakers today that   the recovery remains disappointingly soft  The reluctance of firms to hire or invest is   particularly discouraging given continued strong spending by consumers and the remarkable   growth of productivity The consumer and business sectors can’t diverge indefinitely  That can   be resolved in one of two ways, and one of them is rather unpleasant     A particularly striking aspect of the Greenbook forecast to me is that it envisions   continuing declines in core inflation  As shown in the table on page 11 of Part 1, the rate of   increase in the core PCE deflator is projected to fall from 19 percent in 2001 to 13 percent in   2004 Over the same period the core CPI inflation is projected to fall from 27 percent to   19 percent and growth in the GDP deflator from 20 percent to 14 percent  Some alternative   Greenbook scenarios have the core PCE deflator falling to below 1 percent by 2004  I think   inflation as low as projected is potentially a serious risk for the economy  To the extent that we   believe the Greenbook projections for inflation as well as the unemployment rate, both of which                                                                September 24, 2002 74 of 115  suggest slack for the foreseeable future, this seems to me to be a prima facie case for easing   policy at this point   I understand, of course, that things are never that simple  There’s an enormous amount of   uncertainty to be reckoned with, and uncertainty suggests caution for central bankers as well as   for businesses One concern I do have about easing now is that it might exacerbate the   imbalances in the economy by further heating up sectors that are already strong, such as   residential construction and autos, while only indirectly benefiting investment and the labor   market  I also appreciate the dangers of excessive fine-tuning, oversteering, and overshooting    For these reasons, I understand that we may want to wait to see how events unfold before taking   further action  I hope, though, that we will not set the threshold for taking action too high  The   strategy of preemptive strikes should apply with at least as great a force to incipient deflation as   it does to incipient inflation  Thank you  "
4691,2002-09-24," Mr Chairman, I can support waiting for more information  I’m a   little uncertain and confused about the role of geopolitical concerns in the statement  We don’t   want to tie ourselves to saying that we would act only if certain geopolitical events occur  In   particular, if the sluggishness continues but the issue of Iraq is unresolved, would that preclude   action?      Mr Chairman, I appreciate your analysis  I’m just wondering how    you’re going to get all of that in the statement!  [Laughter]  "
4741,2002-11-06," Thank you, Mr Chairman  I’d like to focus on a simple arithmetic   implication of the unusual productivity growth that we’ve been observing, which is that it creates   a wedge between the rate of output growth and the rate of input growth  As a result, we have a   situation currently in which the recovery, measured in terms of output growth and spending   growth, seems if not robust at least acceptable  But if we look at the economy from the input   growth side or the factor utilization side, we see a very, very weak economy  Indicators of labor   utilization, for example, including payroll employment, the workweek, and production worker   hours, have been basically flat for the year  Indeed, I had a comparison done between these   series for the current period and the 1991-92 jobless recovery, and they seem to be identical   Capital is likewise not being used to its capacity  Capacity utilization has not only been   flat for the past year, but its absolute level is at near-record lows in the aggregate as well as in   many individual industries  In short, the evidence from the input side of the economy suggests   that the gap between output and potential output is, if anything, widening rather than   diminishing  Continued slowing in core inflation, both at the producer and consumer levels—   which I talked about at the last meeting—is consistent with the presumption of a significant   output gap in the current economy   I think there’s agreement around the table that in the language of macro textbooks the   economy is facing a series of IS shocks—various factors that have inhibited the desire of firms to   invest and consumers to buy  The right response to that normally is to stimulate and lower            November 6, 2002 74 of 122  interest rates still further The FOMC has been quite patient  We’ve kept the funds rate   unchanged now for almost a year  So I think it is time to consider taking some action  A   significant rate cut at this point would not be a panacea obviously, but I do think it would help   Also, I’d like to take issue a bit with the view that there’s a generalized capital overhang    One would think that the story would be that certain industries—like the telecom industry, for   example—have so much capital relative to their long-term needs that there is essentially no   interest rate at which they’d be willing to invest  If you thought that was the case and if you   looked at factory utilization or capacity utilization across industries, you would expect to see   most industries close to normal, but with a few sectors at extremely low utilization levels,   suggesting that they have tremendous overhangs of capital  In fact, what we have is a relatively   normal distribution of capacity utilization across industries—that is, slack is generalized rather   than concentrated in only a few sectors  Given the availability of complementary resources,   labor in particular, I’m not sure that there can be such a thing as a generalized capital overhang    In any case, I’m more optimistic than Governor Ferguson that interest rate reductions might   increase investment spending   Another positive factor I think worth mentioning is these very weak inventories, which   suggest that if spending does increase it will be translated more directly into production rather   than into inventory reduction And finally, in contrast to 1991, there do not appear to be   significant financial headwinds in this case, although Governors Kohn and Gramlich mentioned   a few issues, to impede the effects of a rate cut at this juncture     So in short, I don’t know about pumpkins, [laughter] but while the economy hasn’t fallen   down the stairs, I think it could use a push to make it up the next few steps  Thank you  "
4742,2002-11-06," Mr Chairman, I also support both parts of the recommendation  I   think 50 basis points is just right  I would be less concerned about retaining the bias toward   weakness on the grounds that the market survey data suggest that there’s essentially a universal   expectation that we will retain that bias even when people anticipate a 50 basis point decline  So   I don’t think that we would create a shock  Nevertheless, I defer to those who have been in   markets and understand their deep psychology So I do concur with the recommendation  "
4798,2002-12-10," Dino, on the mortgage-backed securities chart on page 2, I wondered   if the sharp declines might reflect a decline in refinancing risks Or do you think they reflect the   same consideration of all the risks that apply to other kinds of debt?    Thank you  "
4799,2002-12-10,"  May I follow up quickly?  The stochastic shocks you used are drawn   from the whole postwar period?     The volatility of these shocks has been much smaller in the last   decade or so    I guess I’m batting cleanup again  At this point there’s not a great   deal to add, but I’d like to reinforce some of the comments made by President Poole, Governor   Ferguson, and Governor Bies about the upside potential for the recovery     Although the news has not been entirely positive since our last meeting, I think the risk of   a double dip or worse has receded considerably  Consumers seem likely to continue to support   the recovery, and there are also some early signs of spring in investment and in the labor market    No doubt 2002 will go down as having been a very difficult year for the economy, but in every   cloud there’s always a bit of a silver lining  In that regard I think that there’s some evidence that   the US private sector has used the past six months or so very effectively to restructure itself and   to position itself for future growth   On the real side, the productivity numbers we’ve talked so much about indicate a great   deal of cost cutting, restructuring, and consolidation that will provide a basis for further   expansion The weakness in investment we’ve also discussed extensively; the one hypothesis is   that it’s the response to geopolitical uncertainty and other kinds of uncertainty  I think part of the   story may be that companies, particularly those in high-tech industries, are still digesting and   absorbing the investment they did in the late 1990s —learning how to use it better and looking               December 10, 2002 66 of 87  for new directions and new opportunities  There are in fact some  indications of recovery in the   high-tech sector, suggesting that perhaps that adjustment process is at least beginning to wind   down, laying the basis for a recovery in that area   On the financial side, one striking factor is that many firms have engaged in balance sheet   repair—improving liquidity, improving their debt structure, and so on  I think there’s also some   sense that the new corporate governance environment that fell upon us in the summer is   beginning to be absorbed to some extent by markets and firms  My evidence of this is only the   general calming of financial markets, the decline in spreads, and the fact that we are beginning to   see some new issuance in the market     I’ll just mention that, while still in its very early days, the new security environment is   causing both firms and government to begin to adapt, with some adjustments being made along   those lines So, while it has been a weak year, the upside is that a lot of restructuring has   occurred to prepare for the future, which may help to provide a basis for good growth in the next   year   As I mentioned, the consumer continues to hold up his end  If one looks at the details of   the consumer’s position, it is not as bad as those in the media make it out to be  Despite the up   and down movement in the stock market, wealth-to-income ratios appear to be stabilizing around   normal levels  Income continues to rise smartly  And the refinancing wave has supported not   only spending but also the consolidation of debt, with the extraction of equity from homes   helping to reduce and consolidate credit card and other debts, for example  The labor market is   still somewhat of a puzzle, but it doesn’t seem to be deteriorating, and I think there are some   grounds for optimism there                                                                   December 10, 2002 67 of 87  The main risks to the optimistic recovery scenario are largely external to the private   sector We’ve talked about war and terrorism, and there’s a lot of fiscal uncertainty as well as   fiscal possibility And conditions abroad are an issue   I think our easing last time was very well timed  It seemed clearly to have benefits on the   second moments of financial markets as well as the first moments  As we go forward, I   personally will keep a close eye on the risk premiums and other measures of stress in financial   markets that I think reflect a number of these concerns  Also, since our measures of output gaps   at this point are fairly problematic, given the uncertainty about productivity growth and so on, I   think it will be important to keep a close eye on core inflation, which may be our best indicator   of the output gap Overall, I’m quite happy about the outlook  Though the picture is mixed, on   balance I think the information that has become available over the last five weeks or so has been   positive  Thank you  "
4800,2002-12-10," I support your recommendation, Mr Chairman  If your brevity is   going to be a habit, though, I would like to get my tuition back  [Laughter]  "
