,Date,Speaker,content
1892,1981-05-06,BERNARD, It doesn't seem so  Chairman Volcker Yes Vice Chairman Solomon Yes President Boehne Yes President Boykin Yes Governor Gramley Yes Governor Rice Yes Governor Schultz Yes Governor Teeters Yes President Winn Yes  It's unanimous 
2234,1982-08-24,BERNARD, Chairman Volcker Yes Vice Chairman Solomon Yes President Balles Yes President Black Yes President Ford Yes President Horn Yes Governor Martin Yes Governor Partee Yes Governor Rice Yes Governor Teeters Yes Governor Wallich No  The vote is 10 to 1  The next meeting is October 5  END OF MEETING     
2381,1983-02-08,BERNARD," 900 am  [Meeting recessed]  -44-    2/8-9/83  February 9, 1983--Morning Session  Chairman Volcker Yes Vice Chairman Solomon Yes President Balles Yes President Black No President Ford No Governor Gramley Yes President Horn No Governor Martin Yes Governor Partee Yes Governor Rice Yes Governor Teeters Yes Governor Wallich No  Four against  The end of March--March 29th  Chairman Volcker Yes Vice Chairman Solomon Yes President Balles Yes President Black Yes President Ford No Governor Gramley Yes President Horn Yes Governor Martin Yes Governor Partee Yes Governor Rice Yes Governor Teeters Yes Governor Wallich Yes "
2409,1983-03-28,BERNARD," Yes There are so-called informal limits and the total is $4-1/4 billion  My list may be a little out of date When the informal limit was $4-1/4 billion, at any rate, [the breakdown] was $2-3/4 billion in German marks, $1 billion in Japanese yen, and $500 million in all other currencies I don't know if that $4-1/4 billion was increased or not  I have nothing really to add, Mr Chairman, beyond underscoring the fact that--  That's right And there are no prospects for renewal [of that authorization] that we know about  It's not a vote, no  Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes  Not on the FOMC agenda, no "
2449,1983-05-24,BERNARD, Chairman Volcker Yes Vice Chairman Solomon No Governor Gramley Yes President Guffey No President Keehn Yes Governor Martin Yes President Morris No Governor Partee Yes Governor Rice No President Roberts No Governor Teeters No Governor Wallich Yes  Six to six  Chairman Volcker Yes Vice Chairman Solomon No Governor Gramley Yes President Guffey No President Keehn Yes Governor Martin Yes President Morris No Governor Partee Yes Governor Rice No President Roberts Yes Governor Teeters No Governor Wallich Yes 
2486,1983-07-12,BERNARD," Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters No Governor Wallich No  SPEAKER(?) A bell shaped distribution!  Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris No, on the grounds that I  don't think we ought to have guidelines for Ml and M2 Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes "
2513,1983-08-23,BERNARD, The interest rate sentence  Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes 
2542,1983-10-04,BERNARD, Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes  November 14th 
2567,1983-11-14,BERNARD, Yes  Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin Yes President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes 
2601,1983-12-19,BERNARD, Chairman Volcker Yes Vice Chairman Solomon Yes Governor Gramley Yes President Guffey Yes President Keehn Yes Governor Martin No President Morris Yes Governor Partee Yes Governor Rice Yes President Roberts Yes Governor Teeters Yes Governor Wallich Yes  One dissent  -70-    12/19-20/83 
