,start_date,content
203,1987-08-18,oper paragraph problem mr cross mr truman point factual portion line dollar hour ago instead risen unchang know latest figur need chang factual correct
205,1987-08-18,unchang
209,1987-08-18,implement polici immedi_futur committe seek maintain exist degre pressur reserv posit somewhat greater reserv_restraint slightli lesser reserv_restraint might accept depend indic inflationari_pressur strength busi expans develop foreign_exchang_market behavior aggreg approach expect consist growth period annual_rate around percent growth pick recent level expect remain pace chairman call committe consult appear manag domest oper reserv condit period next_meet like associ feder_fund_rate consist outsid rang percent
602,1987-11-03,normal ye
612,1987-11-03,ye
995,1987-12-15,exist
1001,1987-12-15,vice_chairman corrigan
1003,1987-12-15,presid_boehn presid boykin governor heller governor johnson presid keehn governor kelley governor seger presid_stern
1369,1988-02-09,feder open_market committe seek monetari financi_condit will foster reason price_stabil time promot growth output sustain basi contribut improv pattern intern transact further object committe meet establish growth rang percent measur fourth_quarter fourth_quarter need someth debt monitor rang growth total domest nonfinanci debt set percent year
1375,1988-02-09,nonfinanci debt set percent year move gather rang languag respect committe decid establish specif target behavior aggreg relat econom_activ price becom sensit chang interest_rate among factor evidenc sharp swing veloc recent_year consequ appropri chang year will continu evalu light behavior veloc develop economi financi_market natur emerg price_pressur
1377,1988-02-09,chairman greenspan ye vice_chairman corrigan ye governor angel ye presid_boehn ye presid boykin ye governor heller ye governor johnson ye presid keehn ye governor kelley ye governor seger ye presid_stern ye
1451,1988-02-09,ye think implement polici immedi_futur committe seek maintain slightli reduc degre pressur reserv posit sought recent day sure next sentenc stay
1453,1988-02-09,committe agre current normal approach open_market oper remain appropri
1455,1988-02-09,current
1467,1988-02-09,committe agre current normal approach open_market oper remain appropri sensit condit financi_market uncertainti econom_outlook continu call flexibl oper
1469,1988-02-09,take account condit financi_market somewhat lesser reserv_restraint somewhat greater reserv_restraint accept depend strength busi expans indic inflationari_pressur develop foreign_exchang_market behavior monetari_aggreg contempl reserv condit expect consist growth period annual_rate percent period growth expect remain rel limit chairman call committe consult appear manag domest oper reserv condit period next_meet like associ feder_fund_rate persist outsid rang percent
1475,1988-02-09,rang percent
1655,1988-06-29,preliminari rang
1709,1988-06-29,chairman greenspan ye vice_chairman corrigan ye governor angel ye presid black ye presid forrest ye governor heller ye presid hoskin ye governor johnson ye governor kelley ye presid_parri ye governor seger ye
