,start_date,content
21335,2001-12-11,given tenur weekend day look inform will pretend date seri expert around_tabl want bring tabl observ note anecdot perspect busi commun bank commun main concern regard busi_cycl busi_invest side reason believ got recess drastic drop invest certain key technolog sector feel optimist inventori correct sector actual begin stabil sale consum realli kept economi go cycl can hous auto_sale though believ lot recent auto_sale repres time differ due attract financ program consum use refinanc home increas dispos incom month know pool mortgag can profit refinanc consum dwindl fact argu recent uptick refinanc mortgag normal term mortgag_rate begin astut refinanc jump lock rate believ hit low believ go much increas spendabl incom come consum obvious other threat terror damper consum will unemploy worri sector concern light recent person experi state_local govern due financi stress current place particularli area depend great_deal sale tax revenu revenu tie employ situat entiti spend substanti sum support respons potenti terror activ final corpor execut talk feel littl abil rais_price time fact feel pressur cut price alreadi discuss deal inventori_accumul excess capac find littl pressur inflat moment
21409,2001-12-11,support_recommend support comment peopl begin signal last eas action
21578,2002-01-29,mr chairman_support_recommend struck don kohn comment definit weak hope can signal talk growth economi significantli consid potenti want peopl infer risk_statement expect doubl dip recess come along can clear word statement comfort
21659,2002-03-19,thank mr chairman inform last_meet indic recoveri fact question word recoveri appropri event realli recess clearli shallow think shape bit saucer focus manufactur trade inventori inform surpris fast inventori liquid occur importantli coupl peopl alreadi mention inventori sale level earli month begin slowdown impli busi inventori posit good shape think industri_product alreadi pick respons common governor gramlich fiscal_stimulu packag make wonder exactli target recess uniqu caus excess busi_invest select area encourag spend area alreadi excess invest seem peculiar type recoveri medicin base anecdot_report busi_peopl_talk travel bank meet attend wonder lot excess capac appear excess capac perman shut will come case page will implic invest go forward perhap importantli product idl capac like involv product resourc consum_spend continu_grow adjust unusu wave creat fourth_quarter_quarter due automobil sale promot consum dispos incom look good incom tax refund run last_year reflect think tax_cut withhold consum incom fell product improv fourth_quarter way show busi surpris level final_demand quarter normal recoveri product increas pessim final_demand ceo shown throughout period reason product strong ceo believ control top line meet profit goal deal expens line fact policymak use word recoveri think will tend ceo busi_peopl pessimist obvious none around_tabl believ recoveri period slowdown will anyth recoveri typic recess ceo expect bounceback compar experienc past recess go sore disappoint final term employ unemploy peak suppos signal start chang direct peak find interest discuss unemploy_rate percent term nairu percent echo comment esteem colleagu presid feder_reserv bank boston suggest determin page appropri polici stanc move forward_look nairu percent term_inflat_forecast run percent
21708,2002-03-19,support_recommend particularli comment polici_accommod
21822,2002-05-07,meet continu believ consum mainstay economi dispos incom near pre level expect consum continu mainstay though earlier day consum_confid fragil given news polit front unemploy real_gdp_growth agre forecast much slower_growth quarter inventori reduct appear end recov economi widen trade deficit final_sale growth will slow somewhat quarter increas feder govern spend remain higher_level state_local govern continu restrain spend meet fall revenu last half_year gdp will advanc faster pace expect continu_growth final_sale requir busi meet demand product rather inventori liquid fact manufactur product risen month time late year expect product_growth ahead given level excess capac lack price_power busi expens control will driver profit recoveri will continu keep product employ_growth will lag busi_confid restor result wage cost advanc slowli inflat remain percent rest year time feel need chang_polici stanc past meet longer_term concern though becom increasingli worri lack busi_invest eighteen month much product_growth enjoy current due innov invest cycl associ extrem level invest late begin year lack current invest go slow innov invest cycl turn will harm sale growth relat product innov introduct will set stage slowdown product due busi process improv type invest cycl year becom effect plan invest implement enjoy full fruit invest pessimist believ caution ceo express profit will continu limit abil willing term invest turn mean sever_year go abil harvest product_gain will growth busi_invest extend period point recent level product_growth fear will drop substanti closer histor trend given accommod monetari_polici moment real_fund_rate zero worri point go rais interest_rate product will slow
21880,2002-05-07,support_recommend
21941,2002-06-25,discuss hear today consist beig book summari character econom_growth modest uneven schizophren earlier late last fomc_meet forecast revis growth estim upward last_meet see forecast remaind revis consum slow pace spend busi_fix_invest show_sign sustain recoveri employ averag weekli hour work stabil echo concern express time alreadi today issu integr corpor earn continu overhang market consum expect posit side look increas labor_forc particip continu inventori liquid sustain final_sale busi brought inventori_sale_ratio histor low_level product grown month pace necessari maintain low current_level inventori hous continu bright spot econom_activ fiscal_polici continu stimul inflat remain extrem low_level ceo continu lament limit abil increas_price slow pace employ activ pressur profit continu drive product strong level sustain lower valu_dollar will increas_inflat_pressur degre thu modest pace econom_activ low_level inflat warrant chang econom polici today
22005,2002-06-25,support
22092,2002-08-13,alreadi note economi_continu_expand slower pace earlier_year note prior meet revis downward forecast spring stage hard identifi major risk_inflat intermedi term thu focu strength econom_activ real_gdp_growth report slow percent quarter percent greenbook_forecast growth move_toward term potenti growth_rate unusu growth import quarter significantli reduc real_gdp_growth conclus inventori liquid provid basi continu expans industri_product final_sale advanc survey measur consum_confid fallen recent report corpor fraud fall equiti valu real consum activ survey continu resili cycl hous auto_sale remain near record high due partli thirti year low mortgag_rate incent auto manufactur car afford today thirti year consum usual major purchas outlook futur realli dim rather persist growth_real dispos incom slow claim unemploy insur serv provid foundat continu though perhap uneven increas consum_spend today retail_sale number support view real focu pessim corpor ceo drop busi_invest led recess lack convict futur revenu growth continu slow recoveri invest commit growth equip softwar sale last_quarter time six quarter industri_product grown month year drop ism index declin hour work rais_question strength recoveri concern pace busi_invest becom concern overal outlook pace econom_growth
