,start_date,content
55,1987-08-18,mr chairman_think staff done unusu good job describ outlook know mike done except job handl difficult question guess come pretti close morri think recent spate statist indic economi realli begin strengthen quit bit lot appar result improv export sort discount last figur got censu trade balanc ground lot price_increas import good price_increas oil probabl anticipatori buy oil problem protectionist legisl true think bigger figur staff_project approach end fifth year econom expans time expect bottleneck begin appear think industri kind environ wage cost pressur begin turn around fortun immedi past along heighten inflationari_pressur attend upward_pressur term_interest_rate_think situat increas care look situat differ era coupl_month_ago
122,1987-08-18,bob parri indic mr chairman number last_meet thought probabl go let interest_rate_rise next_month go prevent underli rate_inflat acceler seem expect like view inform time exactli sure will appropri action believ will probabl sooner thought time_last_meet awar histori system gener move fast enough inflat tend tri compens despit good_deal uncertainti believ best case stick altern asymmetr tighten side might think board_staff statement regard claus suggest help shift around deemphas borrow side weak dollar deserv thought think argument restraint busi expans list go chang list around sentenc undershoot aggreg sneak suspicion later road go look wish corrigan other
249,1987-09-22,mr chairman comment direct particular part forecast feel last_time economi somewhat stronger greenbook_project staff inde move forecast gener direct littl quarrel done think main drive forc go improv net_export good servic plant equip expenditur particularli equip area provid pretti_good push guess risk might forecast littl low realli bother guess feel might right forecast say focus inflat_rate project next_year percent think abl better next_year target someth percent inflat_rate easili becom percent percent realli reason price_stabil rather think overestim afraid might right come result littl strong price side
319,1987-09-22,mr chairman afraid owe apolog discuss thought state economi time want consign question let address last question pose best can think look neg correl exchang_rate term_interest_rate fall answer possibl explan result third factor rise_inflationari_expect mayb popular explan declin dollar rate_declin real_rate persist larger trade deficit fear will reflect higher import_price will spill price good industri compet import third explan rate market respond think like case tighten clearli inappropri mean think larg part real impress realli much respons end action taken exampl respons thought strong statement via discount_rate_increas rais borrow reserv level big short end realli much respons end suggest part probabl real guess end view along_line outlin other endors part real part inflationari_expect know mix guess nobodi els believ factor work afraid
321,1987-09-22,
392,1987-09-22,mr chairman might think view stress unaccept forecast next_year advoc bob parri realli think step taken alreadi pretti strong fact implement agre last_time favor anyth beyond particularli think rise real_rate pretti subdu behavior part aggreg want symmetr part likelihood want eas period gener rule rather symmetr think usual know think someth read elimin asymmetri time
453,1987-09-22,rephras chang_polici rather noth
486,1987-11-03,mike busi becom much leaner meaner recent_year increasingli will bring perman layoff temporari layoff contact tell downturn intensifi expect unemploy_rate jump pretti sharpli chang attitud part busi seem reason factor unemploy_rate project
488,1987-11-03,agre pretti_much forecast struck interest thought busi_peopl seem feel will hesit time sometim past
490,1987-11-03,interest got much leaner big rise particip rate labor_forc seem happen
