,start_date,content
12202,1994-07-05,question hand ted forecast central europ know notabl featur oecd forecast went yesterday question extent germani especi europ gener reli sell unit_state growth oecd forecast cannot rememb higher lower year_year forecast weaker economi oecd forecast lower dollar someth extent growth germani central europ export led staff_forecast
12204,1994-07-05,secondli pick question minehan address mike_prell quantifi differ basi_point fund_rate_basi_point someth wrong think effect fourth fourth_quarter growth_rate rang percentag_point
12206,1994-07-05,thank
12276,1994-07-05,thank mr chairman know tighten start tri imagin wish think wish almost exactli gotten term real nomin economi wish dollar obvious think expect certainli wish run rate term evolut real spend sign inflat_think today close wish better anyon reason hope wish usual come true judg risk pretti balanc current polici bob forrest add someth small hard much probabl scenario larg overshoot capac hard much weight scenario economi_growth_rate mind recess go growth percent percent seem quit unlik risk balanc think small look bear economi hot cold right seem committe lucki laughter skill lucki let record can right thing unlucki come terribl shape
12359,1994-07-05,think altern noth right prudent cours game fine tune forc close capac alway danger overst think mind risk think bob forrest ed boehn fairli balanc need know littl much slower gear economi go right last fomc_meet interest_rate tad money_growth_rate reserv fall month economi give feel slowdown case fiscal_polici mention move maximum contractionari phase half work lag although quit lag monetari_polici though think_risk quit balanc believ use asymmetr order cock gun speak asymmetri think view extrem unlik went far basi_point modestli like combin anyth wait mode inform economi quit sure leav open possibl basi_point enough express view consider likelihood will necessari think pick thread convers decis trigger liter number cpi employ anyth thing want mention market will know tomorrow went asymmetr true game lot next week roughli day today decis will public think asymmetr_direct adopt will feel right term broader strategi start will give impress fed gener run strategi pursu run strategi readi act necessari might fact act follow meet might think asymmetr_direct right messag give day rather regard announc certainli strongli join seem consensu realli choic kind announc agre think al broaddu tom melzer say someth gener speak good thing probabl want tri draft someth around_tabl want extrem ters announc chang pressur reserv someth oppos think littl longer_run oper procedur think releas sentenc pertain polici decis bad thing fomc_meet probabl good thing
12403,1994-08-16,mike simpl question news last greenbook mention payrol_employ came stronger expect happen recal built previou greenbook
12405,1994-08-16,
12407,1994-08-16,includ rise bia adjust mistaken bia adjust chang
12409,1994-08-16,job someth
12411,1994-08-16,okay thank
12420,1994-08-16,thank
12475,1994-08-16,pick nit greenbook small nit big nit guess laughter think nit sens basic outlook greenbook subject qualif will come seem right realli nit inventori especi retail inventori think hazard although somewhat reassur comment heard around_tabl especi cleveland retail part inventori buildup potenti danger perhap overst caus concern panic think go snap huge let read phrase captur mean greenbook page evid inventori overhang time dri report came day ago sharp inventori_accumul good quarter creat inventori overhang much illustr organ know lot although guess chip tabl bet mike_prell brinner meant illustr reason peopl can look data differ view decompos inventori buildup last_month percent retail level board adjust current cost basi happen handout reach day ago comput number billion annual_rate compar averag previou quarter billion billion biggest number time number big quit weak sale growth neg overal retail_sale period percent averag per month auto special case inventori_sale_ratio creep littl sanguin greenbook amount forward momentum near_term big deal talk qualit chang outlook quantit chang potenti neg direct much bigger nit pick came paragraph page greenbook labor capit resourc current appear quit fulli employ prefer quit fulli employ though close pick word care quit fulli employ sure close unfortun point time though know know thing precis cannot fine tune economi decis close capac littl doubt matter context close side close side though hard tell differ view greenbook quit fulli employ color lot come next reflect particular nairu estim greenbook_forecast implicitli measur percent someth subtract percent chang measur board_staff current estim elus number number keep shrink will rememb bl thought percent think_reason peopl rule zero point percent seem reason estim right base know percent convert basi think econometr evid speak translat basi nairu percent implicit greenbook_forecast end reason rang want unreason estim reason estim definit end read evid better estim nairu basi someth closer percent repeat kind discrep matter realli close nairu year_half ago much matter number thought accur think percent unemploy fomc aspir level strong feel shoot lower unemploy_rate_lower unemploy_rate last_month incident color greenbook commensur averag growth_rate next_quarter last_quarter_year percent greenbook_forecast thought slower realli produc slow think actual small overshoot need nudg economi percent nice small amount lower percent nudg economi littl feel quit appropri polici given think nairu sens fundament differ character big nit greenbook_forecast unreason given staff assumpt monetari_polici basi_point fund_rate built forecast look econometr model board other basi_point good given normal histor reaction rate short rate_think mike mention basi_point much normal reaction rate short rate_think hope believ good chanc next ratchet short rate normal reaction take normal histor reaction basi_point tighten fed_fund year knock percent gdp year percent growth_rate someth rang per year_next_year taken amount tighten add play number look percent current polici seem quit reason think staff_forecast consist polici built alreadi indic think produc growth_slow go slow tast slow economi best interest think take greenbook six_week_ago rememb quit explicit implicit greenbook come liter tast liter interpret want let inflat acceler want let inflat acceler necessarili mean stand basi_point_increas_inflat especi given unwind varieti factor includ speed effect mike mention look core_cpi number greenbook percent fourth fourth percent percent quit liter hold line exactli staff estim basi_point fed_fund_rate_think interpret quit liter reason think aspir bit higher growth greenbook thank mr chairman
12496,1994-08-16,support packag outlin want minut emphas realli packag go kind polici credibl symmetr_direct statement indic clearli can state within limit fedspeak oar water mean thrown oar overboard oar laughter pull water think implicit chairman_think_import want emphas think choic come zero basi_point reason everybodi indic crucial thing reason elimin basi_point like engend belief start staircas shoe drop mayb imelda marco closet laughter token move_basi_point crucial come statement engend belief start shorter staircas riser basi_point chairman_think fight chanc basi_point enough strong statement support support enthusiast suggest chairman without
12550,1994-09-27,coupl
12552,1994-09-27,coupl question mike ask yesterday board brief forgot question meant joke employ_report come begin next_month basebal strike expect basebal strike number project number
12554,1994-09-27,work strike
12559,1994-09-27,player
12561,1994-09-27,rais lot talk summer world cup ad employ basebal got bigger world cup america anyway
12563,1994-09-27,okay question okun law year project end end greenbook_forecast roughli percent real_gdp_growth potenti grow percent suggest gap percentag_point suggest rise unemploy_rate condit forecast percentag_point seem percentag_point rise wonder
12565,1994-09-27,
12567,1994-09-27,okay thank
12569,1994-09-27,almost enough squar circl right
12571,1994-09-27,thank
12611,1994-09-27,let transcript amend
12644,1994-09-27,point probabl half peopl around_tabl hungri will quickli plan anyth trade negoti brought lest silenc constru assent let disagre percent colleagu governor lindsey assess like
