,start_date,content
9,1987-08-18,explor coupl area point percent unemploy get kind full employ zone start inflat_pressur seem look across countri within region variabl unemploy_rate averag can aw mislead district exampl number area unemploy_rate around percent area unemploy_rate percent guess across countri find unemploy rang percent mayb percent lot depend addit growth come exampl go growth come manufactur percent mean think mean averag seem kind analysi appeal greatli oversimplifi given variabl area might talk
11,1987-08-18,area explor trade number point forecast count improv foreign demand offset weaker domest_demand yet move sideway term real export context weak activ germani real doubt japan fit togeth boost foreign side real net_export move sideway weak
13,1987-08-18,expect improv real net_export continu
17,1987-08-18,beyond
89,1987-08-18,none
99,1987-08-18,mr chairman_think case tighten reason state risk_inflat economi histori probabl wait readi move point enough doubt think enough uncertainti outlook inflat aspect economi sentiment around_tabl fluctuat good bit recent_month think head period tighten appropri think prematur point favor direct maintain million borrow someth along_line altern give direct asymmetr tilt indic polici need chang intermeet_period like lean direct snug eas chang altern asymmetr word tilt direct tighten chang necessari
104,1987-08-18,sorri mr chairman guess understand point make
150,1987-08-18,agre mr chairman_think downplay feel comfort dollar much find uncomfort posit six_week will attent get chang emphasi leav alon
154,1987-08-18,make lot sens
231,1987-09-22,follow bob forrest question basic strategi turn trade deficit around shrink valu_dollar trade partner grow faster grow done fairli dollar done growth abroad appeal strategi strike somewhat novel look histori kind adjust happen often countri deficit end recess word reduc domest_demand happen abroad downward adjust currenc think longer take turnaround trade deficit month month disappoint trade figur addit downward_pressur dollar might begin rais expect nice sound tri rather novel strategi end go kind wringer countri real question much novel experi realli run light happen countri happen histori hard time_think countri turn around kind trade deficit without fair amount suppress domest_demand question aim critic approach strike somewhat novel broader stage histori right lot compani experi
233,1987-09-22,sizabl countri
260,1987-09-22,question comment outlook
291,1987-09-22,let comment philadelphia region continu perform nation experi jersey delawar eastern pennsylvania continu low unemploy_rate matter fact think drag growth area labor shortag busi firm simpli cannot keep product need tradit manufactur area district show improv unemploy come area residenti nonresidenti_construct strong retail_sale healthi except auto loan growth run twice nation_averag real_estat lend grow time nation_averag rather bullish region constrain mostli think lack aggreg_demand labor concern pick last_coupl_month mostli busi commun concern inflat_think trigger labor shortag peopl report particularli entri level look help want ad newspap help want sign gener pretti level wage_increas reason moder think lot peopl busi commun concern kind situat trigger wage_price kind spiral nation scene think greenbook number look reason good term risk influenc sit peopl_talk seem whatev risk weak economi recess shrunk consider risk_side trigger kind wage_price_increas point outlook think bear mention fundament trade situat indic continu downward movement valu_dollar inde reflect greenbook_forecast_inflat dollar box aptli moment ago think fundament win central_bank polici deal bout fall dollar fall bond price bear mind realli expect expect dollar think care deal episod lose track fundament lead question pose good question answer suspicion increas rate real inflat look realist fact go import lot capit next sever_year last_sever_year_think call certain premium foreign interest_rate see adjust take attract kind fund need
356,1987-09-22,support proposit
384,1987-09-22,begun might
513,1987-11-03,actual chang can district worri level risen sens psycholog import wealth_effect shock market_think real tumbl psycholog continu mend without shock think effect minim psycholog appar convers region retail merchandis christma season alreadi hand stuck talk observ declin sale yet can attribut financi_market view christma sale run plan go run inventori much lower ordinarili affect spring order think know think beyond christma season turn poorli attitud appar manufactur think manufactur feel order book go fill concern six_month overal sens risk chang economi chang lot littl remain chang direct real_growth will lower thought wrong will probabl wrong sens will lower growth think_risk shift inflat_side extent concern inflat six_week_ago allevi admir braveri mike_prell staff_forecast precis number think number reason necessarili right cannot improv seem broadli reason point keep hear favor news export side last full board director meet meet around district peopl spoke almost choru news come salespeopl abl compet export market sell abroad compet import come
