,start_date,content
63,1987-08-18,mr chairman forecast pretti_much agreement staff_forecast strengthen outlook nation_economi rest year go next_year_think rate expans sustain subject littl hard realli believ given go particular part countri see littl improv certainli lag rest countri anecdot statist can kind show work trough recoveri extent fragil much continu downturn last_coupl_year refer energi littl improv certainli term percept littl improv construct build road public construct sort thing manufactur look pretti_good agricultur continu cropland valu declin yet cours came year midwest particular cours everybodi read condit financi institut concern hear primarili peopl mid size small_busi concern go credit without credit go abl grow expand creat job someth hear bank will abl lend cutoff credit occur much end
65,1987-08-18,lot banker loan_demand small mid size businessmen demand bank will risk think_probabl somewher bank see kind demand loan will
118,1987-08-18,mr chairman favor altern favor basic chang current polici guess total convinc economi go quit_strong perhap other believ question inflat problem point grant determin realiz problem pretti far road certain amount anticip desir given fact interv meet meet pretti short compar interv need polici shift convinc stick altern million borrow assumpt rather symmetr though sentenc allow littl tighten desk becom necessari
317,1987-09-22,mr chairman guess somebodi turn someth quit posit hear guess fall lot eleventh_district character economi eleventh_district somewhat sluggish littl fragil although tent sign improv busi around district serv nation intern market seem say see improv primarili electron livestock chemic defens littl optim busi serv local area region though busi remain flat realli sign improv obvious correl attitud sentiment relat oil_price oil import region improv increas oil rig count addit activ go optim littl activ relat busi construct relat manufactur grow agricultur stabil cotton livestock farm fairli retail_sale remain fairli flat continu worri somewhat condit financi institut pick newspap will find report foreclosur bankruptci continu last_week austin realli bright spot last_sever_year texa post foreclosur fairli major hotel offic complex pretti foreclosur post houston fairli known good project mean foreclosur will actual occur post part renegoti nevertheless upset saw report last_week dalla lost job last_year seem aw kind report hear though hope comeback trail oil_price hold think will think bottom commerci_real_estat problem think_probabl go worri year possibl can work nation pictur possibl somewhat influenc eleventh_district come look rest year littl greenbook time although move forecast slightli come far board_staff greenbook term_rate know particularli use insight except evid concern inflat seem quit deep among peopl_talk certainli district realli problem
352,1987-09-22,polici prescript squar
507,1987-11-03,mr chairman uncertainti certainli prevail look might appropri forecast realli much basi argument staff_forecast forecast come full point judgment obvious far effect district_economi initi reaction probabl whatev effect like littl eleventh_district rest countri simpli much farther behind rest countri sign sluggish growth district think situat continu extrem fragil real_estat problem keep come pervas cloud psycholog earn report gone financi institut ad provis loan loss trigger real_estat damper cautiou optim tri express coupl meet seem abat somewhat sure can cautious optimist right
595,1987-11-03,mr chairman right along everyon els favor percent fund_rate guess describ go discuss descript put problem borrow number think million guess becom whatev becom given fund_rate look languag favor variant think say can go import cours will releas six_week road misinterpret seem go market mayb statement releas earlier call thought appropri thing side rule symmetr_languag alway appeal
793,1987-12-15,mr chairman far nation_economi certainli agre mike_prell present district see slight improv think cours littl improv grow slower pace part countri consider improv manufactur employ fact keep pace nation statist regard possibl drop price oil great amount damag district term oil explor primarili plan done assum oil_price implic explor term revenu state subsidiari effect along peso reevalu probabl somewhat neutral event diversif along border much relianc retail side affect retail_sale neg improv myceladora twin plant concept turn somewhat wash feel pretti_good agricultur consider better year energi far held construct think level grant energi bottom noth go deterior indic manufactur plu servic remain fairli although improv servic forecast realli bright pictur think hope asid situat financi institut bottom improv come along
940,1987-12-15,option begin movement seem appropri altern probabl million borrow assumpt assum adjust adjust interim meet symmetr_languag
942,1987-12-15,
1187,1988-02-09,mr chairman_think eleventh_district way mirror nation_economi although plane lower plane nation_economi littl improv although think uncertainti remain anyth increas littl employ gain continu slightli nation rate construct sector remain weakest sector realli surpris exampl whole state texa permit issu apart unit pretti_much next noth
1189,1988-02-09,manufactur continu show_sign improv mostli relat lower dollar cours construct relat energi relat manufactur except think princip vulner nation recess possibl lower energi_price anecdot regard percept attitud think_import certainli margin term go concern condit financi institut remain somewhat drag busi_peopl visit small_busi advisori group concern feel financi institut posit meet credit need drag term credit need move along think way busi_peopl optimist timid financi peopl loan real concern question talk banker cours will tell good loan loan_demand southwest plan read feder home loan bank tri someth save loan troubl larg portion texa think greet mix view guess come point_think plan someth happen oppos talk talk save loan peopl investor propos pend tri becom involv extrem difficult anyth happen fact think seem pretti heavi overlay polit get washington level respect get restructur done think sooner much better later mix view restructur plan work will reduc effect premium cost fund hurt save loan certainli bank think hope will help certainli will hurt real_estat report read visit chairman save loan associ judgment billion realli troubl real_estat texa realli face person view
1191,1988-02-09,texa lot bigger use speaker book valu right
1193,1988-02-09,lot know ago forgiv individu told institut own apart reassess loan portfolio get readi know speaker build permit
1257,1988-02-09,don read write altern accommod discount_rate reduct question technic altern accommod discount_rate reduct
1333,1988-02-09,mr chairman short_term favor altern million borrow assumpt understand interpret don explain longer_term prefer remain altern ii specifi percent accept percent major seem maintain percent top side repres downward move half point rang indic continu concern inflat throw half point top effect knock full point might judgment littl overkil show determin
1526,1988-03-29,mr chairman nation_economi line pretti greenbook_forecast felt last_sever_month nation_level fairli good perform look district level guess particularli texa bright spot can find manufactur see improv employ manufactur area great greater part countri cours servic industri relat good can overal unemploy_rate texa exampl percent consider nation rate agricultur good year hope will think drought condit might develop caus wonder slightli obvious major thing go bank financi_condit understand will later detail heavi overhang term attitud willing ventur certainli concern abil obtain financ financi institut local area real_estat situat obvious contribut significantli problem short_term solut go term oppos immedi far go happen texa think go close race abil local financi institut busi improv balanc_sheet littl sounder foot onset downturn_nation_economi point encount downturn abl posit littl_better go bigger problem alreadi
