,Date,content
5,1976-03-29,"  One question, Tom  Do you gather any sense or feeling from the  judge as to the degree of push that is likely to be made towards release or attempted force of  release of the Memorandum of Discussion item beyond the segregable facts?     The plaintiff has made no comment publicly on the amount of  material or any material of these proceedings?     [Unintelligible]     Are we left in a position where we could appeal the entire thing on  even segregable facts?     3/29/76 - 6 -      May I inquire, Mr Chairman, about the relevance of the Government  in the Sunshine question to the Memorandum of Discussion?     Just a “splash windshield” opinion, Mr O’Connell  What do you  think that we would have to yield in our Memorandum of Discussion if we had at this time the  Government in the Sunshine law?     If I could, Mr Chairman, I’d like us to return to this question of the  Memorandum of Discussion for just a moment  I think it will be well for members of the  Committee with [unintelligible] think about the problems of deleting the Memorandum of  Discussion entirely, or maintaining it in an abbreviated or edited form It would seem to me that  the problems which have to be addressed in making this decision center on two or three points   First, how much trouble is it going to be to delete segregable facts?  Second, how much staff  time and member debate would have to go into a discussion of an enlarged Record of Policy  Actions? And third, is the Committee overreacting to a potential mischief which might be down  the road, and should it move in anticipation of that mischief or wait until the mischief shows up?     Well, I would challenge that only to the extent that if we’re attempting  to double the size of the Record of Policy Actions to obtain the flavor of each member’s position,  it is going to [unintelligible] discussion     I don’t mean identify     Will you improve your predictabilities against M1?     What about the prediction capabilities on M1 itself?  We’re  attempting to make judgments about M1 and seem to be missing quite often  Now, are you  going to be able to predict with nonborrowed reserves with any greater certainty?     But he keeps coming back to federal funds as opposed to the other  prediction     I was asking if you could forecast in the coming months a  nonborrowed reserve figure any better than you’ve been able to forecast for the M1 figure, if you  had one     I believe the subcommittee report says that the market factors are at  least equal to our input into this nonborrowed figure  If that’s the case, then over a month’s  period, the least we have is wide [unintelligible]     I hear you     Your element of controllability, Steve, that you mentioned before with  regard to prediction of nonborrowed reserves versus money supply, is [higher than]  controllability in federal funds  Right?     I agree, but you also--what, you’ve taken a fast look at is the question  of federal funds as this proxy target as opposed to nonborrowed [reserves], and I guess you just  tentatively, anyway, said that’s not so good     Why do anything, Mr Chairman?  Why not just commit ourselves to  looking at this question four months from now, or three months from now, and say, “All right, at  that time we will substitute it”     I agree they are not useful  My question is, does another three months  of publication hurt you at a time when you could make the substitution three months from now?     Mr Chairman, nonborrowed reserves has a lot of attractions for me if  we use it as a substitute for attention to M1 in a short time frame  But if we’re merely adding the  nonborrowed reserves as another element for inconsistency purposes, I have a lot of trouble with  that     Well, we just add another item that the Desk is going to have fight  between M1 and M2, the federal funds rate, and now nonborrowed reserves     I understand that, but I’m a little resistant to the idea of giving them  more elements of inconsistency to work with in a short-range period  Over a longer range, if we  use nonborrowed reserves in a monthly context and look at the Ms in a quarterly context, I can  see this as being a valuable addition     Is this workable?     May I make a comment first     A question, I guess  Why do you want to bury it today rather than  wait till we have a substitute?  What does the difference of another few months carrying on a  nonexistent or a noneffective [unintelligible] after you’ve done it for a year?     3/29/76 - 37 -      Well then what you have to say is--  "
27,1976-04-20,"  In the past, Mr Chairman, in situations like this--we’ve had them  recurring, I guess, about every four to six years--the orders that Ernie refers to of 50s and 100s, I  think you will find them coming back to him very promptly  And they come back in the form of  people moving their money out of Mexico  Usually with the use of the 100 dollar bill down  there       So move   SPEAKER(?)  Second     May I ask a question, Mr Chairman?  We’ve talked about these two  debts for a long time  Are we still making some efforts to get Treasury to bail us out of this?     We aren’t even attempting to ask the Treasury to take us out of this?     Second     Are we still using about 50 percent man-hour data?     Did you say that the automobile makers can survive a 90- to 120-day  rubber strike with no [unintelligible]?     Well, I recognized that there was some flexibility in that, but I didn’t  think the flexibility was very large in the [potential] size of pickup by the [unintelligible]      Peter, has the market reacted, or does it know of a change in our  acceptance [unintelligible]?     Second question  Do you see any signs of a longer range--I don’t  mean in the immediate weeks ahead, but longer than that--decline in corporate bond offerings?     Mr Chairman, I am in agreement with the thrust of your reduction  I  find a couple of points which I’d like to raise as to the position of leaving one end or other  unchanged  Recognizing that there is some sensitivity to the question of the margin [the range  for the growth of the aggregates], I think that, over the past year, we’ve had more and more  questions raised here at the table [as to] the variability of this aggregate data in the short run     I’m a little bothered about narrowing [the margin] down  You’ve pulled M1 from [a range  of 4-1/2 to 7-1/2 percent to a range of] 4-1/2 to 7, reducing the upper end by 1/2 [percentage  point] and narrowing the spread to a 2-1/2 [percentage point] margin, while leaving M3 at a  3 [percentage point] margin     I find myself wondering if we couldn’t just do a 1/2 [percentage point] cut on both ends of  the spectrum, to go to 4 to 7 on M1 and 7 to 10 on M2, leaving M3 unchanged  It seems to me  that the margin question here perhaps goes against the experience we’ve had  Also, it seems to  me that, with the changes in the savings deposits, we’ve had severe questions about the ability to  control M1  I’m not sure whether that’s worked itself out, or will over the coming months, but to  narrow this margin at a time when you’re raising even further questions about the meaning of the  aggregate data seems to me somewhat questionable     4/20/76 - 22 -             Just one question Mr Chairman, if this is a formal action of the  Committee to set longer-range targets, then I would think that the vote is desirable  I don’t  understand why you don’t have a vote on a target     The only part that Bob’s talking about that makes it compatible is that  I think we’ve served the Committee well by having you announce these at your hearings within  the Congress, and if a formal vote has a chance of [being] pre-released, I would not--      I think it would be, too     Could I raise one question with counsel?  Is the long-range target a  segregable fact?     Is the long-range target a segregable fact?     Did I hear you right, Steve?  They hold their auctions the first week of  May for a May 28 refunding?     Mid-May     Mr Chairman, I think the recovery is moving along well, and I’m  really not awfully unhappy about what I’ve been hearing  I think I would buy in on Bruce’s  comment that if we’re going up, I’d like to have the market and the aggregates lead us there  rather than have us lead them to a higher level at the present time     I don’t have much confidence in these Ms and the figures that we’re projecting here  We  might have as high as a 10 or a 12 percent blip show up suddenly, and I would hate very much to  have us have to react sharply to bring the federal funds rate upward to 5 percent  I think it’s  going to be moving there someday, but we’ve been told repeatedly around this table for months  on end that the short-term rates are going to move up  I think I agree that someday we’re going  to get there, but I don’t see any reason to force it if things are moving along well     So, I guess in part on the basis of the fact that we’ve just dropped to a 4-1/2 percent lower  limit on the long range, it would seem to me that we shouldn’t be accepting much less than that  in the short range  So I’d put my lower figure at 4-1/2, and the upper figure of 8-1/2 is fine with  me  I would not widen that federal funds range to as high as 4-1/2 to 5-1/2  It’s the one thing  we’re able to do in the intermeeting periods here--be very close to whatever the target and the  middle point are  I noticed the averages for the weeks where I don’t think they varied more than  12 basis points or some such over the past four weeks     So if we’re going to look at letting the market lead us out of this, and they think they’re  getting strong credit demands, why, I’m willing to let the things tighten up a little bit in a modest  and very orderly and slow fashion  But I’m not prepared to jump  So we’re talking of a 4-3/4  center point on federal funds now, 4-7/8 to 5 would be fine with me  I certainly would not carry  that up without reconsidering it up to the 5-1/4 range  So 4-1/2 to 5-1/4 centered on 4-3/4, I  guess it is, or on 4-7/8, that’s all right with me       4/20/76 - 44 -           Your zone of indifference--take that 2 point slice out of the middle, from 4-1/2 to 8-1/2--I  guess means 5-1/2 to 7-1/2 as a zone  I might even take that zone a little farther  You say 4 is  equal to 8, then 4-1/2 must equal 8-1/2, so in this case I’d almost treat the whole doggone zone  as a zone of indifference and stay at 4-7/8  That’s all, Mr Chairman     But I don’t think it’s fine tuning, Mr Chairman, when you change the  midpoint of the range of the federal funds rate, because that means a very prompt move--      Even though it’s only an eighth, it’s still a move     Just, well, our zone of indifference in the middle?     One question, Tom  Having gone through this process, what’s your  judgment about long-run efficacy of an appeal?     That’s what I’m talking about     This is just the first court we’re talking about?     In terms of the Memorandum of Discussion, the way it’s drafted now,  you do have an appeals court you can go to?     And any further beyond that I assume?     May I ask a question, Mr Chairman?  Is it possible, Art, to prepare a  Memorandum of Discussion without segregable facts?     It seems to me, Mr Chairman, that the real question is whether this  proposal of yours that we eliminate the Memorandum is perhaps at the moment premature with  regard to the court’s position, since we have not obviously taken appeal or gone further in our  appeals on the matter  I suspect that the Memorandum could be written slightly differently     I guess I have a certain amount of feeling for the Memorandum, and I also have a certain  amount of resistance to the idea of being forced into cutting out something that we have done  which has been helpful, no matter how marginally it has been helpful, as a track record of the  Committee  And I give that up with great reluctance, and consequently, I see a question of  whether this is something we have to do today or whether the Government in the Sunshine bill  and court appeals might provide a different set of circumstances to work on two or three months  from now     It could be made rather strongly, though, if we follow the staff’s  recommendations, that the other elements of this be placed in memorandum form, which I  assume are going to be held under one of the exemptions under FOIA  In which case, you don’t  even release that at all, period     What about the decision on engaging in finance bills by our  [Domestic Trading] Desk?  Where [unintelligible] is almost in the same [unintelligible] as our  decision that they do this     I was thinking of the finance bills     Which is a decision of the Committee     I’m merely pointing out that things of that nature will get buried into a  memorandum          I’m not going to agree on that  Well, this is going to be action of the  Committee for a vote     I have the opposite idea  That it would be worse to bring it out after  the next meeting     We’re having a sidebar--   "
56,1976-05-18,"  May I raise a question, Mr Chairman?  I’m not going to reiterate all  my reasons for objecting to this [unintelligible] last time, so I’m not going to reiterate  I would--    SPEAKER(?)  Phil, we can’t hear you down here     I would like to know whether the informal understanding memo was  planned to be released at any time?     Unless you can [unintelligible] upward the level of the policy record     How about the zone of indifference, is that another point which you  put as an informal understanding?      I may have missed it, but is it in this one?     I would certainly hope we would, Mr Chairman, because I think that  what we are doing is actually reducing the amount of information to venture into the public’s  domain  If we do this informal--     Well, they’ve been in the Memorandum of Discussion     But by your lights, no decision may actually be a decision, would be  an action     My point is, [when] you decide to take no action, that, in effect, is a  decision  Suppose we had a situation in which we were discussing New York, and they had  applied to us for a loan, and we took no action, we neither approve nor disapprove  Will that  be--     Why are we reducing from 45 to 30?      I have a question, Mr Chairman  I wonder if any progress has been  made with the Treasury on our Swiss debt       As the Desk was proceeding through this gradual tightening, were you  giving weight, in [your] evaluation of the [monetary] aggregates’ change, to the impact that  might have developed from the Treasury balance, currency, and shifts in corporate savings?     As you look back over the period, with the large rise in April, what  proportion of that would you assess would be a fundamental shift in demand for balances?      I’ll withdraw the question and wait for your discussion      I have just one other question, Mr Chairman  If you had looked  across this valley from, I guess, late December through mid-May and had, first, washed out one  change in the Treasury balance, then the other change, do we then come out with something  that’s reasonably balanced to the growth targets of the Committee?     Suppose you just washed out the government deposits as part of the  package     About $200 million to $300 million     But you annualize it and it gets to be quite a bit of money going out  over a short period of time  I think Steve’s got a good point, that they had to pay for it some  way  If they pay for it by writing some checks for some $2 bills, that’s one thing, but if they paid  for it by drawing down their savings account, that’s another  But, I suspect from just the people  I’ve heard talk about it, [they] got one and put it away  How did they get it?  Well, they traded a  $5 for two $2s and a $1     In fact, Frank, don’t you have a number of different nonbanking  groups who are buying and selling federal funds?   MR PARTEE Selling     I was thinking of some international banking groups, agencies, etc,  that are also in this market     Mr Chairman, I think our economic recovery is proceeding generally  satisfactorily except for the continuing high unemployment and the threatened price advance   And our policy move this past intermeeting period to counter a rising aggregate trend seemed  appropriate to me     I am concerned about overreacting to what I saw as some extraneous [factors  temporarily  increasing] the growth rates of the aggregates, and if the aggregates are now going to subside to  their fundamentals, and we don’t get some more of these extraneous things on the downside,  why then I’m perfectly willing to continue resisting the higher rates of growth  On the other  side, though, we have moved the rate 50 basis points in an intermeeting period, and I’m hesitant  to continue that pace of movement, which I presume was in some of your comment also     I would prefer that we be a little more constrictive in this sense and aim at a federal funds  rate lower limit in the range of 4-3/4 to 5, and I don’t care whether you put it at 4-3/4 or 5  I’d  rather not go down into the 4 range, having reached the 5 level, but I’m somewhat nervous about  going up to the 5-3/4 range  I really would not like to see another 50 point rise in the     5/18/76 - 43 -         intermeeting period  This could build expectations to a point where the market could take it  away from us and move much further than perhaps we intend     So I really prefer that we put a ceiling on [the federal funds rate] at 5-1/2 with the  expectation that these aggregate numbers come out somewhere in this general ballpark we are  talking about  I don’t hear much around the table except that your 7-1/2 deviates from  somebody’s, someone else wants 10, that’s a fairly wide number--you move more rapidly if you  get a much lower figure, but somewhere in this 6 to 10 range doesn’t bother me  I don’t pay that  much attention to that wider range, and if we continue to have a fairly broad zone of  indifference, then it doesn’t matter that much     It can cumulate if the extraneous factors were as insignificant as Steve  seems to be portraying them--then perhaps the fundamental is a 7 to 8 figure  If they’re a little  more important, as I thought they were, then perhaps we get away from some of that  We might  even get some downward pressure on this  And if that were to develop, and we drop below a 6  or 7 percent range, then we would be forced into a question of whether we move the funds rate  down again  I would really rather keep this moving in a very slow fashion  If we see the  fundamentals continuing on in a 7 to 8 percent [range], then I’d like to move up another one- fourth, but I would hate to move up to a full 1/2 percentage range again in this intermeeting  period   "
81,1976-06-22,"  Tom, is there any possibility that the Justice Department runs into a  conflict of interest in defending the Federal Open Market Committee against a congressman?     I presume this drawing you are talking about will be pro rata among  all the members of the group?   SPEAKER(?)  As the request went out in the cable we received on Friday, it would be pro  rata against all central banks and governmental agencies  That includes all participants except  the BIS  There currently are negotiations under way as to whether or not that pro rata situation  should [include] or can exclude the BIS  The Treasury was under the assumption that the BIS  would be included in a manner similar to other participants; however, the BIS was under a  different impression, apparently, and the Bank of England will be going to the BIS to finance  outstanding short-dated swaps, which would be outstanding over the month-end     So the total participation of the BIS, if [unintelligible] to conclude the financing of short- term swaps, would be far greater than the $15 million that would [unintelligible] to a 10 percent  draw  There are a variety of issues outstanding, and it is for those reasons that we have not been  able to confirm the drawing or actually [unintelligible] on the takedown of this particular  drawing       This is a first renewal?     Mr Chairman, let me go back to the question of retail sales  Lyle, if  you take as an assumption that we have had a run-up in retail sales that was at least partly  attributable to price increases, do we have anything in our data which would indicate that price  increases [are easing], particularly for GAF [general merchandise, apparel, and furniture] stores,  which I gather are showing further weakness in the last month or two  Any evidence indicating a  slowdown in the price changes with that type of commodity?       6/22/76 - 21 -             In other words, there’s an element here, too, Lyle, in the question of  the kinds of commodities or goods which the public is buying  If there has been a shift in that  toward upgrading or something like that, which might be reflective of a kind of commodity that  is not growing at a price rate [unintelligible], you might be having an effect here on your total  retail sales     I would suggest, Mr Chairman, it might be helpful, though, for either  the next meeting or the one following, to have a recap of the past four months that we have been  tracking this and where the Desk thinks it might have to come out with these     Mr Axilrod, what is there in the situation now that [supports] the  staff’s estimate of strengthening business demand?  We haven’t seen this for some time  The  latest figures that I see coming out of the economy [suggest], perhaps, even some slowing in rate  of progress  If we get some continued slowing in retail sales, you have a dampening influence  on inventory accumulation  What is it that brings you to the idea of a stronger business demand  over [unintelligible]?     If you keep your level of internal cash generation without any increase  but keep the current level of long-term issues, isn’t that going to supply most of what you’re  going to need to meet this inventory and capital expenditure requirement?     Mr Chairman, I’m delighted to join you in your prescription  I would  also prefer a narrower fed funds rate, mainly because, with those wide margins [unintelligible]   I’d prefer that the money market conditions stay stable and that we take time to pause while we  decide whether this economic lull is going to continue  I don’t see any real evidence yet of a  business loan expansion  I value Steve’s judgment when he tells me that he’s at least partially  convinced that it will occur sometime, and I would agree with that judgment  Someday I think  we will see it, but I don’t see it yet, and I don’t really think it’s necessary that the policy must  take an advance look at it that far down the line  "
106,1976-07-19,"  Because we don’t know yet the outcome of the suit     Well, Mr Chairman, as the only one who voted against this decision, I  must say that I would prefer that we continue on with the Memorandum of Discussion  But the  Committee clearly voted it down, and I am not interested in fighting [unintelligible]  So I’m not  going to suggest we consider it     I can’t resist, Mr Chairman, commenting that if that new document is  enlarged far enough, we’ll have a Memorandum of Discussion without [unintelligible]  And  promptly released     Mr Partee asked my questions     Are you suggesting, Henry, that we have a zone of indifference in the  federal funds rate as we do in monetary aggregates?     Mr Chairman, I came prepared for a further notch at the bottom of  this, bringing [M1] down to 4 to 7 and [M2 down to] 7 to 10  I have listened to the discussion,  and I have looked over the alternatives that the staff has prepared  If I could really believe  alternatives A, B, and C, I have to say that the trade-off with the rate of inflation is not materially  different, and the trade-off in the unemployment rate seems to be somewhat better  I don’t feel  the high 6 rate on unemployment is an acceptable rate for the long-range package we’re  [considering] through 1977     However, I don’t think the forecast takes into account the possibilities of new  congressional stimulus, so I suspect we’re going to get some there anyway  And consequently,  I’m not quite so disturbed about that  I can accept the rates that you suggested with lowering the  upper end  Actually I would prefer to lower the bottom end of the targets and leave the upper  end where it was and provide a little greater flexibility     But I do think Henry has put his finger on something [on which] we need to do careful  analysis, and that is the stickiness of the federal funds rate  And I’m not being facetious when I  suggest we might consider a zone of indifference in the federal funds rate as we do on the     7/19-20/76 - 56 -   monetary aggregates  Perhaps reduce our sensitivity to some of the overshoots and undershoots  on monetary aggregates and the sensitivity of the market to a particular rate     We have enough upset with the changes in the market in reaction to  what we’ve been doing over the past 90 days     I don’t have any problem with that Mr Chairman  I do think that it  seems strange that we don’t have a formal vote on long-range targets  We’re having it  announced as being future policy     Mr Chairman, I’d be perfectly willing to stay with alternative B the  way it’s written     With a 5 to 5-3/4 range your midpoint range is 5-3/8, and presumably  the Desk would move to that     Then you change the ground rules upon which the Desk operates     We’ve done it in the past, but I thought I just heard you [say] you  didn’t want to change     7/19-20/76 - 70 -     Between the first and second quarter Mr Chairman?  I thought we had  some evidence of rather sizable change in the inventory accumulation rate  "
133,1976-08-17,"  Alan, are we making any move at all on Swiss franc repayment?     Or any Treasury bailout?     First or second rollover?     Second rollover?     Well, I’m basically opposed to the idea, Mr Chairman, but we could  be in the same boat ourselves with Swiss francs  I know no other way but to speak out of both  sides of my mouth     Are we still supplying currency?     Mr Chairman, I don’t find great difficulty with what you or Governor  Gardner has said  Perhaps a nuance  I’m not ready to write off this recovery  I think we are  involved in the pause, at least with some dimension, probably for another month and perhaps  longer  [If] we recognize this pause in the policy prescription, I would think it would be a matter  of minimal response     At least, however, [it] ought to call for some caution on our part  Perhaps a shading of our  judgments in Desk operations might be sufficient  It doesn’t mean an overt move, but I suspect  not perfectly steady in the boat either  I’m a little bothered by the continued Desk mechanization  with policy and response  I’d prefer to shade just a little bit as the Desk sees opportunities,  capitalizing on those opportunities as the market believes it ought to move     I would like to raise, though, with the Committee the possibility of again taking the  opportunity of the fall and the seasonal demand period to look at--what is essentially a [Federal  Reserve] Board action, of course--a change in reserve requirements  I know that it is difficult to  do this in a period of recovery, but we have a seasonal demand which, in the past, we have met  with this device  I continue to believe that our reserve requirements are larger than necessary for  policy action, and it would be helpful to our [Federal Reserve System] membership problem if  we could get them further reduced  "
156,1976-09-21,"  So moved     Mr Chairman, I assume this special agreement means that the  Treasury is not going to develop that commitment or semicommitment that we thought we had     But my question is not that so much as it is in [regard to] the future   Are we now without any backup from the Treasury on future swap drawings?     In which case the net result of all this questioning is that we ought to  plan our swap arrangements with the idea of no takeout     Jerry, does your forecast of only 1/10 percent of CPI just look at the  direct impact of the price changes in gasoline or is that filtering back to the prices elsewhere in  the economy?     I have a hard time believing--      I hope you’re right     Mr Chairman, I didn’t put my rose-colored glasses on, but I don’t  have a whole lot of problem with some of your comment about the future  I guess my principal  problem is timing more than perspective on the direction of the economy  I’ve been doing a little  bit of traveling around in the past couple of weeks, and I don’t find a tone of expectation [in]  which businessmen and others are looking for the kind of movement that you’re talking about  I  recognize the lag which most businessmen have  [Unintelligible] statistical items that you  mentioned with the exception of unemployment  It certainly seems to portray a stronger  economy in the future  And I guess the question is, How long do we have to wait for this happy  future to come about?     Mr Chairman, I don’t have a whole lot of problems in the   [unintelligible] question  I guess my principal question is one of flexibility  I like to cover my  bets, frankly, and that to me means we permit more flexibility in our approach to this matter  rather than the kind of rigidity in funds rate approach that we have had  I don’t have problems  with the range you suggested on the monetary aggregates, I think [unintelligible] range of 4-1/2  to 5-1/2--     Well, it was a 1/2 point [unintelligible] I didn’t read you that closely   What I’m really aiming toward is letting the market have a little more freedom to move [within]  the interest rate picture  If the market believed, in its wisdom, that a slightly lower funds rate  could be accommodated, then I’m perfectly willing to accommodate it, provided our aggregates  are moving within the bands set  If the bands were 4 to 8 for M1; 8 to 12,I don’t care,  somewhere in that neighborhood, for M2--I’ve given you a suggested alternative which tries to  portray this flexibility that I’m trying to allow here     And I think the flexibility could go either way if [the aggregates] show any kind of marked  movement  But I think it would require that we look with a little more grace upon the idea of the  market leading us somewhere, permitting the market to lead up or down within the range of the  federal funds rate we establish  It means utilizing the full range for the aggregates before the  Desk seeks to guide this federal funds rate, providing the rate’s moving at orderly pace  I would  not like to see anything over a 5-1/2 to 5-3/4 [upper bound] for the funds rate before the end of  the next period unless we got some pretty violent moves in the aggregates  On the other hand, I  wouldn’t much want to see it below 4-1/4 to 4-1/2, certainly if the thing is going violently in the  other direction  I really would rather keep about where we are, with perhaps a little shading  toward the soft side if the market thinks that desirable     I guess my underlying rationale for all of this is that I’m just not all that certain, and I’m a  little bit perturbed about the idea that fiscal policy may come along [with] more stimulant  injections at a time when I think we’re fading out [of the] time in the cycle when such things are  appropriate  So I guess I’m pleading for a little flexibility here but basically staying [in] the  same general frame we’re in     May I have just a bit of clarification, Mr Chairman, on this  asymmetric principle?  If I understand, what the Desk would do is stay at 5-1/4 unless things  start moving toward the upper or lower parts of their bands  And all this asymmetrical principle  does is hold the wider range on the bottom side within which the Desk may operate  "
177,1976-10-19,"  Mr Chairman, I find myself in a kind of an in-between position  [relative to] those who have already spoken  I sense a feeling of unhappiness in Lyle’s report,  but not nearly so deep as Governor Lilly’s position  I don’t think, from my viewpoint, the  economy is going to roar [during] the rest of ’76  I’m just optimistic that what will happen in ’77  will be an improvement for us  I don’t think that we face a recession in the real growth rate, and  yet I’m not terribly happy with the prospects that the staff gives us and certainly not that which  Governor Lilly portrays  The unemployment rate is much higher than I care to have it, and yet  the inflation rate continues also     It seems to me that if you look down the road, we’ve got a pause  The pause is disturbing   It’s been disturbing in the past, and perhaps we may be saddled with this for the rest of 1976   But I’m basically optimistic about what happens in ’77, and I didn’t want to be associated with  quite as strong a position as the staff portrayed last time or this time, but neither do I want to take  on the recession scenario that Governor Lilly seems to be showing     Not short of a recession  Well, in my view, that’s almost a recession,  from the pointing out of a problem     I thank you for it, but I don’t believe I want that either  No, I think the  economy is not doing as well as I’d hoped it would, but that’s been my story for several months   I’ve been hoping that we would find a little more room to expand  But we’ll talk about policy  later on     Mr Chairman, your formulation of the figures is precisely what I had  written down before I came in this room this afternoon, so I am merely supporting what you  said--5 to 9, 9 to 13, and 4-1/2 to 5-1/4  And on the Ms, I really don’t care anymore  These  things are violent--fluctuating so violently it’s almost impossible to play with them  I’d rather  focus on the interest rate itself, and I’d like to keep that between 4-3/4 and 5       I came out differently on that, Mr Chairman  I came out with a  money market proposal using the words “seeks to ease bank reserve and money market  conditions”  I keep hearing around this table people wanting to lower the funds rate       Mr Chairman, I’m not with you on the long term, like I was in the  short-term  I’m afraid the long-term targets you suggested are a bit low for me  I’m not ready to  take another notch off of this, partly because I have some of Dave’s feelings that we have not  met what we set out to do  I have sought somewhat more stimulative policy a little bit around  this table for months, but I think you really have not lived up to the level we set in front of  ourselves as they’ve actually come in  That’s partly the problem with forecasting and other  things characteristic of these Ms     I think that [unintelligible] for the long range I would be willing to keep the bottom figure  of 4-1/2 [for M1], but I would raise the top figure from 7 to 7-1/2 or even 8, partly because I  think we’re reaching a point where we just cannot do a forecasting job on these figures, and  we’re coming in so differently month-to-month and even quarter-to-quarter, and yet we always  seem to be at the bottom end of this package  The M2 range of 7-1/2 to 9-1/2, I’d actually prefer  a 10 to 12; and on the M3, instead of the 9 to 11 we now have, well, it actually would be  acceptable to me, but I really prefer a 9 to 12       Except that everybody looks at Ml instead of the other two    "
200,1976-11-08,"  Good morning, Mr Chairman     Thank you  I’ve been doing some thinking about this because of  some of the [unintelligible] you raised  I could accept a reduction in the M1 upper level from 7  to 6-1/2 percent, but I accept it more because of the impact that I read from the staff’s  memorandum on regulatory changes and the things that [those changes have] done to our M1  figures     Contrary to that, however, if we’re going to reduce that level, I would prefer to have a third  alternative of raising M2 and M3 levels from where they are now to an 8 to 10 percent for M2,  and 10 to 12 percent on M3, giving cognizance to the fact that we are still expecting to have  more shifts out of the M1 level into the M2 and M3  I admit that it complicates our discussion,  Mr Chairman, but I do think that if you look out over this year or for the past two years, you’ve  seen our past records being a very low level of M1 but [at] the upper level of the M2 and M3  ranges, particularly M3  And I guess if you ask for my preference, my preference is for the  lowering of that M1 so that we don’t get caught with a partly presumptuous feeling of change for  other reasons rather than the basic economy and yet leaving us some leeway on the upper end   That’s all I have  "
216,1976-11-16,"  Henry, who are the banks besides Bank of America, Citicorp--I don’t  mean by name, not many, not at all     11/16/76 - 6 -             You don’t know how many other banks are involved?     I understood there’s a number of regional banks waiting in the wings  to participate     Was there a consideration that our participation as an official body  might have encouraged other people to lend?     Are there elements in our present swap network which you believe are  either unnecessary or undesirable?     We have no further requests for drawings of swap arrangements?     I don’t think this is a matter which I’d want to go into that kind of  fight on, Mr Chairman, but there may be some down the road which I hope we would not accede  to his request just as a chairman or a congressman     His staff--     What about audit committee minutes?     Mr Chairman, I’m not [unintelligible] pessimistic about our  economy, and I agree with you that declaring a recession now is way too premature  I am very  concerned, however, about the state of confidence, and I’m afraid we may get a couple of  additional shocks  One which I keep saying--and I haven’t found anybody that agrees with me  yet, but I will continue to say--is that I am wandering around this country and believe that we are  getting Christmas sales very early this year  We may get a severe shock in terms of the rate of  sales when Christmas gets here     Perhaps so, but I keep wandering around, going into stores to see if I  can buy Christmas presents for myself, and I find Christmas sales going on at a pretty good clip,  and yet I don’t see a major movement in the sales  And if we are really borrowing from the  Christmas sales level, we may find ourselves greatly disappointed     Well, for whatever reason, I still think we have a problem with that  I  think the uncertainty that I feel in talking to people around the country not only relates to this but  also to no real incentive to expand purchasing  On the capital spending side, in talking to  businessmen, I find they are still quite hesitant about it and [have] no real push behind it and they  are still looking at an interest rate level which they consider to be quite high for commitments in  the long run     On the employment side of it, I also feel [that] is an area of potential shock  Just a very  random piece of information--even some of the banking openings are not very plentiful right  now  I’m talking about the lower level, not [about] the people sitting around this table  I find  some people out in the streets, which surprises me a little bit in the banking field  And I wonder  if, not only this, but the potential of our foreign banking problems, might constitute some  difficulty for us in the next few months  All in all, this is a kind of psychological problem I think  we face and one which needs some [unintelligible]     Mr Chairman, I’ve been accused of being a harbinger of gloom today  already, a couple of times, but I really think that our economic prospects have dimmed over the  last couple of months  And whether we accept the staff projection or not, the unemployment  levels predicted in those projections are unacceptable, gentlemen  I think the only question that I  face here is a question of stimulus  Do we stimulate this economy in fiscal or monetary [ways]  or both?  I have a great reservation about leaving all stimulus to the fiscal side of life  If we’re  going to hold monetary policy and leave it to Congress to stimulate this economy, I think we’ll     11/16/76 - 40 -           come out much worse than if we attempt to do some ourselves  I think the policy can provide a  little bit of help in easing rates     As a consequence, that’s where I come out  I would prefer to see the federal funds rate of  4-1/4 to 5, and I would stop at 5, because I think we are at 5, and I would prefer that we not go  down to the midpoint of that range--that it be asymmetrical, as we’ve done before--go down to  4-3/4 and then look and see  But I would not prefer to have an upper [limit] over the 5 unless we  reconsidered the matter  On the monetary growth rates, there’s been a suggestion of 3 to 7 [for  M1]; I would hope that we would not go down as low as 3  I would prefer to put a bottom of 4  on it, but I suspect I’m going to be in the minority here  But nevertheless, I would prefer a 4 to 8  range  As far as the other matters of policy on discount and reserve requirements, I will not  comment at the moment  "
