,Date,content
11,1987-08-18, So move   So move   I move on that   I think I can make it $12 billion [Laughter] 
12,1987-08-18," Is it because banks and thrifts are getting super conservative? Is that the idea?   Well, Mr Chairman, I think we'll probably get a little better sense of things when we get back to work in earnest in September and businesses start doing their planning for 1988 But, as I look at things right now, first, I think that the outlook for the economy is better--not that I thought that it was all that bad to begin with And second, I have to conclude that the inflation risks have risen In terms of the ""body english"" that can  -19-    8/18/87  be put on that, some can say--as I think Mike Prell did a long time ago--that one way to look at it is simply with a higher degree of confidence that something approaching 3 percent real growth could be realized I would simply add that, in the current circumstances, I do think we have to keep in mind that something like the staff forecast for real growth isn't far from what is optimal, considering the need to effect the external adjustments that we have all been talking about and to maintain some hope that the inflationary process does not get away from us, as a number of people have suggested  On this all-important question of the external adjustment, for what it's worth, the New York staff forecast is a little stronger overall in real GNP Interestingly enough, it is also one in which there is no assumption of further dollar depreciation in 1988, but despite that, we get a better showing in the trade account and the current account in nominal terms and end up at about the same place in real terms Now, the reasons for those differences, I think, are important One is that we do have slightly stronger growth--not a gangbuster pace by any means--but marginally stronger growth in the non-US industrialized world than is in the staff forecast A second factor, of course, is that without the second or third J-curve effect, the nominal effects work in the right direction And finally, we do have US export prices going up more rapidly than the staff forecast does Each one of those, obviously, is a big ""if"" and, taken together, they are a lot of ""ifs"" But the key point is that they do suggest at least the possibility that you could get an outcome that is better in nominal terms and about the same in real terms, without having to rely on a further depreciation of the dollar, with its inflationary implications and the risk, of course, that further depreciation of the dollar could get away from us I think that is important for another reason I tend to look a lot at what I call ""a domestic savings gap"" in trying to figure out where we are in terms of capital and savings requirements As things stand right now, and assuming a Federal budget deficit in 1988 somewhere in the $150 to $160 billion range, the fact of the matter is that we have made precious little progress in reducing the so-called domestic savings gap If the budget deficit next year is in that $150-$160 billion range, and if total net private investment is only about 5 percent of the GNP, which is darn small, the savings gap relative to GNP is still going to be 2-1/2 percent or more of GNP It is still going to be $145 or $150 billion in absolute terms--not down at all from its peak in 1985 or 1986 So, that fundamental disequilibrium is still there In fact, it has not improved much at all, despite the reductions that we have seen in the budget deficit, because the saving rate for the economy as a whole has slipped off its peaks of 1985 and 1986--not decisively, but enough so that the problem, both in relative and absolute terms, is still very much with us throughout the forecast period That in itself says to me that we have to be especially cautious, because one way or another that residual is going to have to be filled from abroad, if interest rates and exchange rates are going to remain consistent with the kind of economic profile that the forecasts are talking about  On the inflation question, I can be very brief and simply say that a number of us, including myself, have fretted in the past about crossing that threshold of 4 percent in the deflator and 5 percent in the consumer price index; and it seems to me that the consensus view, though not the universal view, among private economists and others is  -20-    8/18/87  that we are there That, I think, is the reality As things stand right now, I can postulate conditions that would produce a result better than that, but I certainly don't think that those are the likely outcome Indeed, I guess I'd be on the side that says that I could also postulate conditions in which, heaven forbid, we could find ourselves looking at 5 percent on the deflator and 6 percent in the consumer price index If we get to that point, then we are looking at a situation that inevitably carries with it the risks of highly destabilizing consequences for the real economy here and around the world Indeed, I think the lessons of the past are clear if you wait to see that kind of problem staring you in the face, the costs of unwinding it are going to be exponentially greater than the costs of checking it in the first place "
13,1987-08-18," Thank you, Mr Chairman I can be rather brief As I said earlier, in the totality of circumstances that we face, I view something like the staff forecast as about as close to optimal as we can get right now But I also regard the risks in that forecast as being strongly asymmetrical on the side of the economy being stronger and the inflation rate being higher Because I have that view as to the asymmetries of the situation, and because I regard the risks of that type of an outcome to be potentially so severe, I would favor, at this point, a modest move in policy that would take the borrowing level to $600 million--in other words, something between ""B"" and ""C"" It's not that I think that kind of a move in and of itself is going to be decisive; but I do think that it will be enough of a move to show through in the marketplace, and to convey a sense of concern on the part of this Committee as to the potential for things working in an adverse way I see that kind of an approach as relatively risk-free in that the initial change that it would carry, whether in terms of interest rates or things like that, is inconsequential as far as the forecast for the economy is concerned I do not regard signal value as being inconsequential So, on the theory that a stitch in time may indeed be worth nine, I would proceed along those lines   I wouldn't object I would just offer a historical caution, for what it's worth I think we have to be a little bit careful about jiggling around these quarterly objectives at mid-quarterly meetings, especially when we are so near the end of the quarter It can convey something more than I think we had in mind   I think it's better to leave them close to where they were at mid-quarter  -34-    8/18/87    The convention, I think, Mr Chairman, is that you do not average that   The majority is--   I think it is hard to average it One other thing that is done, in terms of trying to sense where the critical mass is, if I could put it that way, or where the Committee might stand, is that the Chairman has been known from time to time to ask people what their preferences are as opposed to what they could live with In this particular case, you may have some shadings of opinion around those borrowing numbers, for example, based on the question of symmetry or tilt that would go with them--in other words, the ""woulds"" and the ""mights"" I, myself, certainly would not dissent, at this meeting, over the difference between $600 million and $500 million in the context in which there was some tilt along the lines that Governor Johnson has suggested So, you do have some play; but I don't think that most members of the Committee would be comfortable with averaging the borrowings I think that can get to be quite awkward when there are larger differences, as there may be, than the difference between $500 million and $600 million "
64,1987-09-22," Second   In general, based on a number of these periodic surveys that have been done, the thinking is that the percentage of transactions that will in some sense be related to the underlying exchange of goods is very, very small   So move it "
65,1987-09-22," In terms of the forecast, it has been true for some time, and it's still true, that our staff work in New York has the same overall result as the Greenbook forecast but with an unchanged dollar and a slightly smaller adjustment in real net exports because we have a scattering of stronger elements of domestic demand, including inventories So, while the aggregate numbers look very'much the same, what lies beneath them is quite different insofar as the dollar and real net exports Our inflation outlook, despite the fact that we have the dollar stable, is about the same, or maybe a shade worse than the Greenbook  Mr Boehne raised a question earlier in the discussion about this overall adjustment process that I'd like to comment on just briefly, and then turn back I think, Ed, your question was can it work? Or is the scale of the problem so big that you can't get from here to there? When you look at the big three countries--the United States, Germany, and Japan--the fact of the matter is that by conventional standards the adjustment is well underway in the sense that for both 1986 and 1987, and in our forecast for 1988, the growth in domestic demand in both Germany and Japan is stronger to significantly stronger than is the growth in their own GNP In the case of the United States, we still had domestic demand stronger than GNP in 1986; but in 1987, and in our forecast and yours as well-- although there are some differences there--you get a widening out such that GNP growth in the United States is something like a percentage point greater than growth in domestic demand It is true that overall growth in Germany and Japan is perhaps lower than one would like to see But, the dynamics of the adjustment have set in, in what I think is not an inconsequential way Again, the evidence in all three of the major countries is basically working the way the textbook says it should The problem, to some extent, is what Ed touched on earlier, and that is the scale of the adjustment that we are talking about and the scale of adjustment that is needed When you look at it in terms of the behavior of exports--and this is all relevant to the outlook, I'm just getting there in a roundabout way--we all know these numbers are lousy, but the numbers for July 1987 versus July 1986 indicate that US export growth really has been, I think we can say, almost spectacular And it's not confined any more to a handful of products or a handful of countries; it's pretty much across the board, including very sharp increases in exports even to Japan The strength of those export numbers in the context of the overall dynamics of the adjustment raises a couple of questions in my mind What's offsetting it in part, of course, is imports Our own imports are still very, very strong, across the board, with few exceptions--perhaps lumber But, by and large, those imports are still humming and a lot of that is price Then again, how many J curves do we have to see in terms of import prices? That's one of the reasons why I like our forecast--at least right now--better than I like the Board staff's forecast But, when you put it together, it leads me to one or two possible conclusions One is that there really is something systematically wrong with the trade numbers, at least as we see them month to month The second is that the domestic economy is, in fact, stronger than we think it is, or at least than the conventional measures are telling us My hunch is that probably both of those things are true that the trade numbers are messed up and that the domestic economy, if anything, is actually a bit stronger than we think it is  -17-    9/22/87  Partly for the reasons I've just noted, I would certainly join those who have already said that, in looking at the outlook at this point in time, the risks are decidedly on the upside I find it hard at this point to ignore the galaxy of numbers in the business fixed investment areas, industrial production, orders, and labor markets They all seem to be to pointing in that direction, in a context in which I really do believe that the margin of upside error, if you will, is really quite slim I think you can now make a pretty good case that actual GNP is brushing up against potential GNP; labor markets, no matter how you look at them, have to be at least near the danger zone; and I think it's not hard to visualize at least some selective bottlenecks beginning to develop, for example, in nondurable goods areas where we already see that raw and intermediate material prices are rising Now, we could get a little help There is a faint chance, at least in the near term, that the oil price pressures could be downward rather than upward That would be temporary, but that's possibly a favorable straw in the wind But when I put it all together, it seems to me that both the global picture as well as what we can derive from our own situation statistically lead me to view that the risks are on the upside  Now, on your question about the long-term Treasury rate, Mr Chairman, I thought we were framing the question a little differently than maybe you were I was prepared to answer this question what do I think is driving the rate up? Is that what you are asking? I'm not sure it is the same   Well, the breakdown of the components to the increment and the breakdown of the components to the level may not be the same, though But, let me try to answer   If it were the increment in the nominal rate, which is the question I thought you were asking, I would put virtually none of that on volatility, which was the middle factor you raised I would put the greater weight on inflation-related considerations, including the exchange rate of the dollar But, I do think there is something real there too; I can't be very precise as to what But I'd give zero weight on volatility, certainly   Yes   Yes, but I would say that while I think the bulk of the increment has been driven by these inflation- related things, I also would say that the level of the real interest rate does come out higher Maybe, just maybe, that's because there is something happening in terms of the marginal productivity of capital It's possible  -18-    9/22/87   No, I agree   These are both [unintelligible] integrated plants? "
66,1987-09-22," I'd be completely satisfied with that formulation--that is, staying with $600 million borrowing and using symmetric language In a nutshell, I think that is where policy should be   In a nutshell, I genuinely think that is precisely where policy should be   Yes "
123,1987-11-03," I don't think it's just the money supply question I think that President Poehl, in particular, believes that if push comes to shove, the Germans and the German economy can handle a somewhat stronger mark and weaker dollar And he quite firmly believes, whether anyone happens to agree or not, that the risks are squarely on the side of the United States--that the risks of a weaker dollar are greater risks to the United States than they are for Germany and--   I think it is correct I was just going to say that I find it hard to violently disagree with that The question that I think Ed Boehne is raising goes beyond the technical mechanism of the Louvre or anything else and that is What are the risks? At least that's how I think of it What are the risks of one set of policies, however broadly defined, versus another set of policies? I ask myself this question What event of a foreseeable nature could really get us in the soup again? And I'm thinking, in part, of the events of the past couple of weeks I must say that I think the dollar is still high on that list If the dollar were to fall out of bed--however one might choose to define that--first of all, whether we like to admit it or not, I think the dollar/domestic interest rate linkage is still there I'm not quite sure it is--or ever was--as precise as some people thought, but I certainly think that linkage is still there I think the danger is clear; I can't assign probabilities to it but the danger is clear that you can end up with the worst of both worlds a lower dollar and higher interest rates The collapse of the exchange markets could easily trigger a renewed outburst of chaos in the financial markets There is one particular thing that we have to keep in mind, and that is that a decidedly weaker dollar could be the straw that breaks the camel's back, especially for the Japanese stock market I think that is a very real danger   What could they do? What they should have done was do something several years ago But what should they do right now?   Well, that may be; but we can't be indifferent to it   I don't think it's quite that black and white I think there is something of a workable middle ground and we have to try to find it   Manley, when you're talking about a brave new world, the thing that is most new and most brave about this world right now is that we have no policies We have no fiscal policies; we have no exchange rate policies,   [Unintelligible] around 6 to 7 percent "
124,1987-11-03," I don't know about the demand for BMWs and Mercedes, but that shouldn't affect the productivity numbers too much Actually, they should go up   In the very near term, Mr Chairman, I don't think there's much doubt that the stock market and related developments do work in the direction of weaker spending and lower inflation But I am not at all sure as to amounts and I am not at all sure what one should infer for the longer term There are probably several dozen scenarios that anybody could think of Unlike Mr Prell, I don't have to put one on paper but, in my thinking, there are two more likely scenarios in the near term One is that the financial markets, and by that I mean all of them--exchange markets, bond markets, stock markets--kind of settle in more or less where they have been in the last couple of days I don't know where they are right now, so I have to qualify that But suppose the Dow settles in at the 1900-2000 range, the long bond settles in at 9 percent or a little more or a little less, and the exchange markets are roughly in line with [the levels of] recent days Now, in that scenario, my hunch is that economic performance will be respectable but not spectacular over the intermediate term--probably something like what I heard Mr Parry describe, which I don't consider to be all bad, by the way The other scenario, which I think has to be thought about along with that one, isn't so pretty And that's a scenario in which for whatever reason-- because the exchange markets go south or the budget negotiations rupture--there's a sudden hit to the system Who knows what the exact trigger might be, but we could find ourselves confronted with another very, very difficult and turbulent set of conditions in the financial markets Obviously, I can't put a probability on that But if I were to just think of the two broad scenarios that would warrant the closest attention from a policy point of view, I guess those are the two that stick out in my mind Interestingly enough, at least from my perspective, they both seem to me to have the same immediate policy implications in that they both imply the need for a great deal of caution in policy, and a very measured and disciplined approach to policy in which we maintain maximum flexibility for the future    11/3/87  I would also, if I may Mr Chairman, like to make a comment or two about the longer-term situation as I see it, because I think it's extremely germane both to where we are and to policy options for the future There is, of course, a great deal of discussion in all circles about imbalances in the US and the world economy, whether in terms of trade or payments or whatever But, we should not lose sight of a couple of powerful forces on the domestic side that I think are germane One is the dramatic increase in debt, in leveraging, that we have had in recent years the ratio of overall nonfinancial debt to GNP--and I understand all the limits in the data--has risen from something like 141 in the early 1980s to almost 181 early this year It may be coincidence--it probably is--but the fact of the matter is that the last time we saw that ratio in a range that high was in the late 1920s And it's not all government debt, although government debt has a lot to do with it Since the first quarter of 1984, the net issuance of equity is down $270 billion and corporate debt is up $600 billion Again, if you look at this problem of government deficits and savings, it's really quite dramatic In the late 1970s, the general US government budget deficit as a percent of net private savings averaged about 10 percent It has risen sharply throughout the 1980s, peaking at 66 percent in 1986 Indeed, in 1986 the federal budget deficit itself absorbed more than 90 percent of net private savings And even in 1987, that absorption rate relative to domestic savings will fall only to the mid-50 percent range I stress that because in the context of all this discussion about budget packages and all the rest, I think we have to keep in mind that, even under the best of circumstances, the kinds of things that are talked about in the area of budget reform are really quite small Indeed, there is a great likelihood that the budget deficit in 1988 in absolute terms will be larger than in 1987 It is in that context, I think, that a lot of these acute dilemmas and very, very sharp risks have to be evaluated and considered "
125,1987-11-03," Let me just make a couple of comments about policy generally, and then I may have some language here that can encompass a lot of what is being said First of all, to return briefly to this exchange rate question, I don't approach the exchange rate as a matter of theology; I approach it as a matter of trying to balance the risks And my principal point on the exchange rate is that I do see very real risks of a further substantial depreciation in the value of the dollar I know certain things that it will do it will add to inflationary pressures at home; it will work in the direction of putting greater pressure rather than lesser pressure on interest rates at home I don't know how it works; but I know the algebraic signs And I also know that, at least in the short run, it raises more questions about growth prospects abroad, in part, because of another elongation in the J curve Now, I have to balance those risks against the hope that it will somehow accelerate the turnaround in the US trade deficit, in a context in which there are a host of uncertainties--such as growth prospects abroad--that I think are more important than the exact level of the exchange rate So again, it's not a matter of theology for me; it's a matter of where are the risks and what are the greater risks Then, there is this question of debt deficits and debtor nations The point that I was trying to get at in bringing that up before is that whether we like it or not, history tells us in rather unmistakable terms that a country that finds itself in the position that we find ourselves in right now is going to have higher interest rates than would otherwise be the case There may be an example someplace, somewhere in history that's contrary to that, but I don't know of it   I don't think it exists The only other point I'd make is on this question of a measured approach to what we are trying to do here I favor alternative ""B"" as Governor Johnson defined it a moment ago But let me, if it's agreeable to you, Mr Chairman, suggest some language here   This is built on Variant I, and I think it gets at a lot of the things that you have been saying The first sentence, without prejudging decreasing or maintain or whatever would read ""In the implementation of policy for the immediate future, the Committee seeks to [decrease somewhat/maintain/increase slightly] the degree of pressures on reserve positions sought in recent days"" Tom, I think that gets at your point And I would remove the next sentence after the semicolon completely Go down to the next sentence ""The Committee ""   Take out all that stuff after the semicolon I'm at Variant I The first sentence reads ""In the  -38-    11/3/87  implementation of policy for the immediate future, the Committee seeks to [decrease somewhat/maintain/increase slightly] the degree of pressures on reserve positions"" and I would insert ""sought in recent days""   Yes, I think they do   Well, either way; we can come back to that   Well, let me come to that in a minute because what I was going to suggest in the next sentence, Si, deals with that, I think ""The Committee recognizes that the volatile conditions in financial markets and uncertainties in the economic outlook may call for a special degree of flexibility in open market operations"" and then insert ""depending, in particular, on demands for liquidity growing out of recent or prospective developments in the financial markets""   But the idea, Si, is to get that all into one sentence so it's not too overburdening Then the next sentence--and in my mind this is crucial--would start ""Apart from such considerations"", in other words apart from the providing liquidity, etc Then you would have your regular sentence with the somewhat or slightly lesser or greater reserve restraint In other words, that next sentence would stay as it is Others may not agree with this, but contrary to what somebody said, I personally would take out the sentence on the next page about relatively frequent consultations We certainly can do that and may do that, but I think we ought to be trying to project not business as usual but not that we are ready to jump out the window ourselves So, as I see it, Mr Chairman, a directive couched more or less in those terms would allow us to do what you certainly want to do and I gather what a lot of other people want to do But it would stop short of a directive that becomes a federal funds rate directive And at least in my judgment, it provides a bridge to go from these extraordinary conditions right now to a more ""normal"" environment, if circumstances permit   I'm agnostic on that; I would have a broad range there--5 to 9 percent or 4 to 8 percent; I wouldn't worry too much about that  -39-    11/3/87   I'm not sure what it says right now because it was sent out to be typed about 10 minutes ago; it hasn't come back yet   Let me see it   Let me just take a look at it   Right; that's right   I guess so   The sentence I think should read ""Apart from such considerations slightly lesser reserve restraint would or slightly greater might""   Somewhat lesser reserve restraint--   Okay   And the economy, strength of the business expansion, etc "
180,1987-12-15," So moved  SPEAKER(?) Second   On the question that Governor Johnson raised before, it does follow that if you use borrowings as the operational target, you will see more variability in the funds rate than you would see, obviously, if you target the funds rate But from my perspective, that's a desirable result for two reasons One reason is that the short-run variability in the funds rate often has very valuable informational content It may be telling you something that you don't know or can't find out if you literally have the funds rate pegged The second reason I think it's desirable is something of an extension of Ed Boehne's point not only does pegging the federal funds rate tend to result in people being more inhibited about moving it than they perhaps otherwise would be, but neither borrowings nor the funds rate is what we are ultimately concerned with What we are ultimately concerned with is the economy The experience of the 1970s--a period that was much more tranquil in many respects than the 1980s--leaves me at least with a very bitter taste in my mouth, because the implication of an approach to policy that seeks to peg interest rates is that, in fact, we can do that with great precision But we end up with an economic result that is far, far removed from what we are after   Well, I think it's more than being politicized First of all, as I said, I think there is an inhibition to changing the federal funds rate, quite apart from the political side of it, but there shouldn't be And Peter touched on this once the market knows that that's what you are doing that's what the federal funds rate is going to be It simply loses--    12/15-16/87   Well--   It can be off for a lot of reasons   I don't think so   Higher interest rates   It seems to me that nobody in the marketplace would expect the Federal Reserve literally to seek to  -13-    12/15-16/87  target the federal funds rate on an hour-by-hour basis over this year- end period I think that would be a terrible mistake I felt that we did too much even last year, in terms of the situation So I would associate myself very strongly with Tom Melzer's suggestion that, given that people expect some movement in this period, we should take advantage of it As I've mentioned to you before, it seems to me that one way or another we are probably going to have to remind people, no matter what we do with policy, that we are coming into a period in which we could see rather extraordinary amounts of churning and volatility in the money market I don't think we should ever get ourselves to the point where we literally are going to run policy so as to avoid that kind of working of the marketplace, which I consider healthy   Well, if you say you're going to continue literally day-in and day-out to target the federal funds rate over the next three weeks that's what you're saying   Well, my point is--   It doesn't seem to me that we would want to overreact in those circumstances either There is at least a 50/50 chance that at some point over this interval, one way or the other, a very large aberration will set in I don't know which side it will be on, but regardless, I don't think that the operating policy of the Federal Reserve should be to try to offset it literally dollar- for-dollar But if we say that the funds rate is going to be at 6-3/4 percent, period, that's what we are saying, in effect   I'd like to speak to Mr Melzer's suggestion I would have great difficulty with anything even remotely resembling a monetary base operating procedure in the immediate time frame   I'm saying, Roger, that in the immediate time frame I would have great difficulty with anything even approaching a monetary base operating target I say that for several reasons First of all, I have never understood the base to begin with I have read all the great work that has been done in St Louis and every place else But, to me, the thing itself is kind of a pig- in-a-poke And since I don't really know what it is, I'm not about to put too much reliance on it as a steering mechanism for monetary policy More importantly, in the current circumstances, I'm very skeptical that the market reaction would be the one that you are suggesting Having said that, I certainly share the frustrations associated with the current approaches to policy But, given all that has happened in the last few years, especially with any formulation of monetarism that I'm familiar with, including a base formulation, I think the reaction of the marketplace to a policy approach like that would be, ""Oh no! This ensures a renewed and high degree of instability in interest rates"" And I suspect that people would take to the hills rather than raise the flag, because of fears of a great deal of instability and volatility in interest rates that we haven't seen in many years  Finally--I keep coming back to this--I, too, am frustrated by the lack of a nice firm handle for monetary policy But let's not lose sight of the fact that despite all the limitations, the performance of the economy over the past several years has hardly been something we need to apologize for I think economic performance, all things considered, has probably been as good as it reasonably could have been Again, that does not mean that I am insensitive to the frustration that you're speaking from, Tom; I share that completely But I'm very dubious that the base is a way out   But that's, in part, because you have an identification problem One of the reasons you see that commonality in inflection points, of course, is that when you look at the base, or at least part of the base, you are looking at the same things that people were looking at anyway--reservable deposits, as they have changed over time I could almost argue that what you  -30-    12/15-16/87  really should do is go to the opposite extreme I don't really believe this, but to overstate it a bit, I could make a respectable argument that something like debt--to go the Frank Morris or Ben Friedman route--actually has been more useful in many respects than any of the other money or credit aggregates in recent years I don't really believe that, but certainly I could make a point of argument out of that In other words, if anything--forget about debt--it should be going in the direction of something broader rather than something narrower As I said, the big worry I have is the market reaction I really do think that if we went out and told the markets tomorrow, ""Guys, come hell or high water, we're going to make the base grow by 5 to 7 percent, or 3 to 5 percent, or 4 to 6 percent"" the marketplace would batten down the hatches   First of all, in the notable case of Germany, it's different; it's not the same thing Second, if you take Germany as a case in point, right now of course, they are missing the target in a very systematic way That is part of their problem   That's what we're doing right now with the monetary aggregate targets   If you could rationalize--and this is a big if--the whole structure of reserve requirements and all the rest of it, that would make a base measure at least more understandable In other words,--   Well, it's partly the currency, but it's also the crazy quilt pattern of the relationship between reserves and other things because of a crazy tiering of reserve requirements, and the reserves on nonpersonal deposits and certain Euro-liabilities, and all the rest If you had a clean, plain-vanilla kind of structure of reserve requirements that would help a bit, because one problem you get into here that complicates it further--beyond the currency  -33-    12/15-16/87  problem--is the so-called multiplier between the reserve component of the base and ""money""   That's what I mean by the crazy quilt structure of reserve requirements   That wasn't my point, though, in the first place   That's only one part of my point My point simply is that the relationship between the reserve component of the monetary base and anything else, whether it's an M, or GNP, or whatever, is itself subject to a lot of distortion because of what I call the overall crazy quilt--not necessarily irrational--pattern of the structure of reserve requirements   It sounds like M1   Of course, a lot of those manufacturing and export companies, up until recently, were making up for their income losses in exports by their activities in the financial sector There's no question that--   There's no question about that That works in the same direction, of course--and land  -39-    12/15-16/87   That's the crucial point   So moved   I will move it   I move it   Well, as I see it, we're on a tightrope and I'm at the point where I think that a real effort should be made to try to stabilize the exchange market By that I mean that the dollar has gone down enough What policy tools are available to do that? The problem is damn few We're not going to get anything more on the fiscal side or elsewhere We could tighten monetary  -87-    12/15-16/87  policy, including raising the discount rate, but that entails all these risks in terms of both the real and the financial sides of the economy Or we could try to paste together some kind of a Louvre II agreement backed up perhaps by using swaps or some foreign currency borrowings But I'm dubious that that by itself, without some kind of policy initiative, would be convincing On the other side of the coin, if the skepticism about policy continues and if we have a renewed run on the dollar, it seems to me that that's going to produce precisely the kinds of things that we're all so afraid of, including a further break in the stock market And that's the dilemma But in order to solve that dilemma, there has to be some movement someplace And I ask where? And this is the thrust of my argument that at this point some of that movement has to come from the United States As I said, there are several ways to do it; but with the vulnerabilities that I see right now, it is a very high-risk approach and I don't like it I think it's very dangerous "
