,Date,Speaker,content
1995,1981-08-18,CROSS," Thank you, Mr Chairman [Statement--see Appendix]  Not that I'm aware of As I understand it, and of course we don't really have a great deal of information about it, it was more in the nature of urging all the participants to act and to act promptly  Well, it involved the EMS and the Swiss In addition, the Germans did talk to the Japanese I didn't mention the Japanese The Japanese did undertake some intervention but it wasn't entirely clear whether they would have done so anyhow or whether it was part of the German's attempt to mobilize a general effort  If we [encountered] another one of these situations, it would be perfectly reasonable to expect them to do the same thing Some of the Germans, as you know, have not been very keen on a coordinated dollar policy; they've changed their views on that subject So it is significant in that respect  That fits my definition  I was really thinking in terms of a sudden decline of a very major amount For one thing, it does develop among the participants of the market [a recognition of] the fact that this kind of thing can happen It would make the participants, I would think, quite chary about the extent to which they would get in there and make a market, if it's going to be subject to that kind of movement Even pork bellies have a limit on how much the price can decline It might in a sense undermine the strength of the market  I would think so, yes  Spreads widened and there was a kind of discontinuous market It moved down to a point and then the next transaction would move down the next step, all in the space of a very few minutes There have been newspaper articles on it People in the market described it as ""madness"" and various other lurid words, but apparently it was, at least to participants in the market, something that did shake them up considerably  Yes  It moved up once after the German effort; it went up from about 252 to 254 and then I think it went up a little higher But it's now 247, so it has declined substantially since they first made the effort, and they regard it as a very successful move  Yes, it seems to have the same problem of not having anything it can really hold on to There are no verities on which to operate  [Unintelligible]  [Recommendation--see Appendix]  SPEAKER(?) So, the proposal is to give us enough room to accommodate the interest receipts for about the next six months?  We're way below  The figure of $425 billion is made up of $1 billion in yen, $275 billion in DM, and $500 million in other currencies I assume it would be legal, I'm not sure, to modify the makeup of that in some way  Right  That's correct  I assume this is not anything that gets announced; it's just an informal [understanding] "
2022,1981-10-05,CROSS," [Statement--see Appendix]  The impact on the rate movement?  There was a large withdrawal--well, not a withdrawal, but a--  There was a run-off of securities--Treasury bills and notes that the Libyans held here--of a fairly substantial amount But I don't think and have not heard that it was an important factor in the exchange rate situation But as Treasury bills and notes matured, the Libyans have drawn down their holdings  Well, we're certainly doing everything we can to maintain it It's always a little easier if we're more involved in the operations, I think But we're trying to do what we can, of course, to keep in close contact and to get all the information we can There had been some talk by one or two of the lower level people in some of the European central banks that if the United States isn't going to be in the game, so to speak, perhaps we should not participate to the extent we have in the exchange of information At this point, it has not been anything other than a statement by one or two officials, and I don't see any reason at this point that they would not continue [to exchange information] "
2051,1981-11-17,CROSS," I've had to suffer a lot of comments on that! [Statement--see Appendix]  It was an occasion when the dollar was moving up very rapidly toward the 230 to 232 level It occurred at a time when questions were being raised about the German situation after the Chancellor's health problems and after some money figures here had suggested that interest rates might be required to go up again at that point The dollar spurted up from about 228 to 232 and that caused a considerable amount of consternation But [the advance] lasted only a matter of hours and the dollar then began to retreat  I don't think the rise could be associated with a single event at that point; it was certainly not comparable to the assassination of President Sadat  Yes I do, Mr Chairman All of our swap arrangements will be coming up for renewal before the end of the year, and I would request the Committee's approval to roll them over for another year in the normal way Since last year [there have been changes] in three cases The central banks of England, Canada, and Mexico have specified the investments against which the interest rates should be calculated in the event that the Federal Reserve were to draw on those swaps For good order we would propose that the change in the arrangements with these three central banks be incorporated in the language at the time we renew them  Yes  Well, symmetrical--    11/17/81  And these three do not correct all of them There are still some in that unspecified category  Some of them are not specified  Thank you "
2079,1981-12-21,CROSS,"  [Statement--see Appendix]       The question was  From where did the authority  come to intervene?  The New York Federal Reserve Bank was instructed  by the Chairman on the basis of discussions between the Treasury and  the Federal Reserve       The mark hit a peak in the Far Eastern trading  of about 236-1/2 and the rates in terms of the other [currencies]  were similar  But in terms of DM it went down to about 233 when  Europe began its operations  Also, the Japanese intervened in their  market Then as the European markets opened there was intervention by  the German authorities and also some profit-taking and the rate  continued to come down to 230  And then in the middle of the  morning here it was down to about 228  So, during the entire period  when our markets were open, the rates were coming back into balance  and the pressures were subsiding  But we had the authority to step  in had the movement gone the other way and had it looked as though  the rates were beginning to spurt back up with the dollar getting  stronger and the mark and yen and other currencies weakening  But we  did not use the authority       228       The market has been quite unsettled all week   On Friday the rate in terms of DM again--I hate to keep talking about  that one, but it is convenient--hit 230 in the European markets  It  started at 227-1/2 on the previous trading day, went up to 230, and  came back down to 227-1/2 during our trading day  Then after the  money supply figures were announced, it went up to 228-1/4 roughly  So there was an awful lot of movement during many of these days       That's correct  It has been a very thin market,  particularly coming as it does near the end of the year when we are  told that not only the banks but the corporations are interested in  getting their books cleaned up and don't want to take new positions  and so forth  There are not many operators out there making markets,  so if anybody has something that he has to do in terms of business,  it seems to move the rate by quite a substantial amount with a  relatively small amount of activity  I would agree with you that the  markets have been quite unsettled      Both the Germans and the Japanese intervened during this latest spate of activities  Well, I don't know when it is going to come to a head The banks were supposed to enter into an agreement, a prior condition of which was that they should receive the arrears But they didn't receive the interest in arrears They received a telegram asking if they could make $350 million of loans available The last we heard is that the banks were talking to each other about what to do But there does not seem to be, at least among the people we talk to, any great disposition to provide more money to the Poles  They requested what they called a bridge loan Some of [the banks] thought it looked more like a pier than a bridge  This covers three-fourths of the year The banks and the Poles were supposed to meet on December 28, I think, to sign the agreement; and they wanted the payment cleaned up two weeks early, which was December 14, so they wouldn't sit down at a table and not be able to sign But that day passed and the payments weren't made "
2109,1982-02-01,CROSS," Well, Mr Chairman, that comes close to the conclusion of what I was going to say [Statement--see Appendix]  It seems to have followed pretty closely, at least during these recent weeks, the changes in the interest rate differentials I haven't looked back to compare that very thoroughly with earlier periods, but it does seem to have happened in this period Mr Chairman, I also do have a recommendation  [Secretary's note Text of Mr Cross's recommendation not extant Staff notes indicate that he recommended a $1/4 billion increase to $3-1/4 billion in the informal limit on holdings of German marks and an increase of the same amount to $4-3/4 billion on the limit of holdings of all foreign currencies to allow for the accrual of interest on mark balances]  If we intervene, then we will need to modify that further  It's an informal agreement, I believe  We're very close to the [current] limit at the moment  Yes, $12 million  If you raise it now, then we have that much scope and we will be receiving those interest receipts over the next five months  The present overall limit is $4-1/2 billion The Committee could raise it to $5 billion, which would give us a little scope just in case  I would recommend [raising the overall informal limit to] $5 billion and raising [the informal mark limit] by $1/2 billion [to $3-1/2 billion] "
2136,1982-03-29,CROSS," [Statement--see Appendix]  I must confess I've been away for a few days, but I believe the Polish financing was to be signed as it affected the 1981 maturities And I assume that it has been signed  Oh, is it next week?  As of about a week ago they still were not current as far as we could tell from the banks They had paid off large amounts of it, but most of the banks indicated that they hadn't quite settled everything The assumption seems to be that they will meet those payments and be ready for the April 6 payment to cover 1981  Well, they seem to feel that if there is a coordinated effort, it will have considerably more effect in modifying the market psychology and in indicating that there will be a sustained effort to keep the rates from moving too strongly in the direction they're now moving One certainly gets the impression that among the major European countries, Germany does not seem to be intervening very much at present and Switzerland has intervened relatively modestly Japan, as I say, has done dollars of intervention; still, that's not massive And they do indicate to us in their discussions a feeling that if there is to be any sustained and successful effort to affect these rates, it does require US participation as well  The yen is weak I'm not sure I have an extremely compelling explanation One factor has been that, while we're all expecting the Japanese to have a very large current account surplus this year, the recent figures have not been that rosy They have not shown a very strong current account position in the past couple of months Another factor, I think, is that people are concerned that the rest of the world is going to take steps to reduce access to Japanese goods The EC has talked about bringing this matter up under GATT and they have brought it up under GATT There is, of course, legislation in our Congress which would apply a bilateral reciprocity rule to it Now, whether these are the factors that have resulted in this effect, I can't say The yen has been very, very weak and I'm not sure those explanations would be completely convincing But they are factors in it  Well, the devaluation by Mexico was certainly regarded initially as very useful--a successful move in that there were reflows of capital back into Mexico and a reversal of the dollarization that Mexico experienced So, during the first few weeks there was a very rosy and successful view about it But there has been a notable lack of a supporting program and increasing concern about the lack of such a program At the present time there has been a decree to increase wages by really very, very large amounts-- amounts which almost nobody thinks can be justified by the devaluation Mexico had a very large increase in the minimum wage in January of 33 percent Another 30 percent has been proposed; the employers haven't yet agreed to all of this So, that adds up to a [cumulative] 73 percent wage increase in the first 2 or 3 months of the year And everybody is beginning to wonder how long the peso can remain at the level it now is with these kinds of wage increases and the expectation that inflation will run at 50 percent or so this year at a time when US inflation is 7-1/2 percent or so So, it appears that the initial reaction, which was so favorable, is now giving way to second thoughts The reflows are perhaps tailing off and there is some concern about what is going to happen in the months ahead  In Mexico? The numbers that I received were 5 percent for the month of January, 4 percent for the month of February, and an expectation of 8 percent for the month of March That's [over] 17 percent in the first 3 months, so most of the people who are making estimates have estimates for the year of between 45 and 65 percent  Yes The 8 percent reflected the devaluation Last year it was about 30 percent    3/29-30/82 "
2238,1982-08-24,CROSS," [Statement--see Appendix]  We defer to you on the assumption that you would want to make a proposal, Mr Chairman  That's right  It matured today but it may be extended a day or two if they don't work out that problem "
2277,1982-10-05,CROSS," [Statement--see Appendix]  Well, there certainly have been some other problem situations  The Argentines have been mentioned a great deal, and currently they have an IMF [team] down there looking toward the possibility of a Fund program for Argentina They also are seeking some assistance from the BIS and from commercial banks The Brazilians feel that they are being [adversely] affected largely by the spillover effects of the Mexican and the Argentine problems For a period they found it very, very difficult to roll over their maturing debt, but more recently they sounded a bit more encouraged [so] that situation looks a little better But you're quite right that there are a number of these very difficult situations, with monetary troubles in the period [ahead] for a lot of countries down there "
2304,1982-11-16,CROSS, [Statement--see Appendix] 
2331,1982-12-20,CROSS," [Statement--see Appendix]  Very likely  Gold tranche  Well, before six months  By the end of June  That's the scheme    I think so  It's already  We  I think their balance sheet is about $6 billion but a lot of it is tied up at this point  Also with the Brazilian deal the BIS provides the cash and there's nothing to be--  Right  I have a $19 billion estimate  -71-    12/20-21/82  Well, the Fund got burned in a couple of cases where they financed some programs and it looked as though some of their money was being used to pay off the banks and that made it much worse So, they've gone further and further along this line of insisting on getting the money there up front "
