,start_date,content
25250,2004-11-10,page bluebook direct feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent risk paragraph press releas assess risk committe perceiv upsid downsid_risk attain sustain_growth price_stabil next_quarter roughli equal underli inflat_expect rel low committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
25347,2004-12-14,read bluebook page direct word feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent risk assess languag tabl hand unchang read committe perceiv upsid downsid_risk attain sustain_growth price_stabil next_quarter roughli equal underli inflat_expect rel low committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
25485,2005-02-01,will read direct risk assess languag page bluebook feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent committe perceiv upsid downsid_risk attain sustain_growth price_stabil next_quarter roughli equal underli inflat_expect rel low committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
25842,2005-05-03,will read page bluebook languag altern feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent committe perceiv appropri monetari_polici_action upsid downsid_risk attain sustain_growth price_stabil kept roughli equal underli inflat_expect contain committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
26021,2005-06-29,will read direct page bluebook balanc_risk assess draft statement feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent statement committe perceiv appropri monetari_polici_action upsid downsid_risk attain sustain_growth price_stabil kept roughli equal underli inflat_expect contain committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
26186,2005-08-09,will read direct risk assess page bluebook feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent risk assess portion read committe perceiv appropri monetari_polici_action upsid downsid_risk attain sustain_growth price_stabil kept roughli equal underli inflat_expect contain committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
26313,2005-09-20,will read direct word page bluebook assess risk exhibit materi pass direct feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent assess risk committe perceiv appropri monetari_polici_action upsid downsid_risk attain sustain_growth price_stabil kept roughli equal underli inflat_expect contain committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
26473,2005-11-01,read direct word page bluebook feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent assess risk unchang statement committe perceiv appropri monetari_polici_action upsid downsid_risk attain sustain_growth price_stabil kept roughli equal underli inflat_expect contain committe believ polici_accommod can remov pace like measur nonetheless committe will respond chang econom prospect need fulfil oblig maintain price_stabil
26475,2005-11-01,chairman greenspan ye vice_chairman geithner ye governor bie ye governor ferguson ye presid fisher ye governor kohn ye presid_moskow ye governor olson ye presid santomero ye presid_stern ye
26477,2005-11-01,read tabl unchang
26595,2005-12-13,will read direct word bluebook assess risk altern exhibit brian present feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist increas feder_fund_rate averag around percent word assess risk committe judg measur polici firm like need keep risk attain sustain_econom_growth price_stabil roughli balanc event committe will respond chang econom prospect need foster object
