,Date,content
6,1976-03-29,"  Could I raise a point [about] that?  Steve, we’ve done some fairly  simple kinds of relationships covering some of those earlier periods, and there is apparently a  favorable performance in relationship [before] lagged reserves are put into effective force     Yes, a better relationship between nonborrowed reserves [and money]  before the [institution of] lagged reserves than after  This raises, I think, a significant policy  question, that if we institute a policy whereby the Desk operates on the basis of nonborrowed  reserves, with lagged reserves accounting, we may not get very reliable results  It raises a  question as to whether we should ask the subcommittee to proceed with its phase III on the  lagged reserve question before we start to operate on the basis of nonborrowed reserves     3/29/76 - 17 -      May I ask Alan to clarify something he said before?  Is RPD positively  misleading the [unintelligible] market?     3/29/76 - 27 -      So, as far as--     I see     Mr Chairman, would that be in the same context, the same paragraph  related to the--     Would the public interpret that as if they were in that close  relationship, that you were actually substituting when indeed we have not so agreed?     Okay  "
29,1976-04-20,"  Loan demand has been very sluggish in the reports  Numerous  discussions that I have had recently with small to medium-sized country banks suggest to me that     4/20/76 - 13 -           demand is much more vigorous than figures would suggest, and this may be reflecting itself in  the numbers as they are coming out of the next--      The question has to do with productivity  Our assumption has been  fairly bullish on the rate of increase in productivity, which tends to lead to a fairly optimistic  view as to the impact on wage push and so on  What kind of a figure do you have?     Mr Chairman, there is a problem defining what is better and what is  worse, it seems to me, without criteria as to what you are trying to do     Well, I like this proposal, Mr Chairman  I’ve come prepared to  suggest that [myself], as a matter of fact  I think it moves in a desirable direction for two  reasons  One is that it is the direction in which policy should be moving over time as the cycle  proceeds  I think if we’ve made mistakes, it’s been in moving too precipitously toward the end  of the cycle, and I think this would help to remedy that    The other reason is that it does move toward a narrower range, and as we gain experience  with our long-term targets, I think we should be trying to move toward narrower ranges  As for  M3, I’ve always some difficulty with the idea of having this included in our exercise at all, and I  think that maybe one solution to this would be to drop M3 if we could find a convenient way to  do that     Could I ask a question on the other appeal?  The appeal on the Record  of Policy Actions, is that under consideration now?  Is that where that stands?     If we were to move to 30 days, it would have no effect on that?     Could we be informed about the status of the Government in the  Sunshine [bill], because it may be that if we give up [preparing] this Memorandum [of  Discussion], we may find ourselves giving the equivalent anyhow [under] the Government in the  Sunshine Act     Is there any [indication] what the timing of that bill might be?  And the  timing as it might relate to this Committee?     May I, Mr Chairman, raise a question as to whether it’s feasible for us  to delay action with respect to the Memorandum of Discussion until we get clear indication of  that?  Would the timing be such as to make that a feasible course of action, or do you see it  dragging out for so long that it wouldn’t be feasible?     4/20/76 - 56 -             The reason I asked that question was it seemed to me we incur certain  costs in cutting out the Memorandum of Discussion--in terms of implications to others on the  outside, that we’re being more secretive, if you want to put it that way, that this is a devious way  to get around the law       Well, I’ll finish with--there may be others who interpret it otherwise,  and the reason I was asking the point was that, if we’re going to be disclosing through tape what  our procedures are, then we needn’t incur any cost on [unintelligible]     I think the Memorandum is vastly to be preferred if we had a choice of  one or the other, there’s no question in--  "
82,1976-06-22,"  Do you have any idea where the British expect the pound to be?     Mr Chairman, I might follow up on Ernie’s point with the comment  that Bicentennial tourism has not proved to be as large as expected  Our hotels are running only  80 to 85 percent of capacity, which is lower than they expected  I understand that this is not  confined to Philadelphia but it also applies to Washington      Could be, and I think people are waiting to see [whether] their  expectations have been fulfilled     Peter, I was [unintelligible] pleased to see the analysis in the Bluebook  about the nonborrowed reserves and how they work  Do you have any feeling at this point as to  how realistic the [nonborrowed reserves] simulation is now that you’ve seen this?     May I comment also on that, Mr Chairman?  [Unintelligible,] the  recommendations of the Subcommittee on the Directive, we did, after all, have in there a federal  funds constraint [unintelligible] so that it is a little difficult--in fact, it’s impossible, I guess--in a  simulation, to really tell what would have happened, because if we had a fed funds constraint to  live with [unintelligible] reserve operating target, the outcome that we were talking about  wouldn’t necessarily have to come about  That is, it is not completely clear to me if we would  have greater funds rate variability [with] that nonborrowed reserves target than we do now  Is  that wrong, Peter?     Mr Chairman, I would go along with your prescription  I think  alternative B as prescribed would be appropriate  I would like to take a second, however, to  revert to the earlier discussion about where we find ourselves with respect to the pattern of  money growth and so on and interest rates    We have done some exploring with other forecasts, particularly work on DRI and a little  bit with Michigan  And, comparing them with the Greenbook and as far as the real economy is  concerned, the results are pretty much the same for all of those  The interesting thing, however,  is that these private forecasts come to this conclusion with the expectation that M1 will grow  considerably more rapidly in the next three quarters than the Greenbook has projected  It’s  something like 3 to 4 percentage points     Similarly, these outside forecasters are more optimistic on interest rates  They see a  Treasury bill rate about 1-1/2 to 2 percentage points lower at the year-end than does the  Greenbook  They see interest rates more along the line of what Steve was coming to, interest  rates rising less than the Greenbook would have it     In other words, what this suggests is that the Greenbook forecast, given those assumptions  with respect to money supply and interest rates, is optimistic  And what this also suggests is that  we may see some long-run implications--particularly next month, when we come to look at the  long-run target--for whether we should reexamine those targets in the light of this, or at least to  forgive the overshoot that we have had in the second quarter       6/22/76 - 30 -           This is, I think, a problem in the making which we are going to have to consider  For the  moment, however, I think that things are uncertain, but I would be content to hold where we are  with alternative  B  "
107,1976-07-19,"  I would like to come back briefly to fixed capital investment  The  readings we got on a qualitative basis is that things are slow and cost less  We don’t see any  evidence that businessmen are really anxious to step up their investment, and this leads to a  question, Lyle, as to what the basis is for that quite optimistic longer-run projection that you had   Is it simply based on the normal cycles of spending in this phase or--     Could I follow that with one other question?  Suppose, Lyle, that this  optimistic projection for fixed investment is too optimistic  Does this encourage you in the  sustained expansion or does it mean that we might abort?     I think this is very relevant to the long-run target, because if you have  uncertainty in this vital area, it certainly has [unintelligible] implication for which way you go     Mr Chairman, can I ask a small question here?      Lyle, would you say that, on velocity, your forecasts are in line with  forecasts that other people are making?     I would like to subscribe to the views that Governor Wallich has  expressed, and essentially I agree with the specifications under alternative B     Mr Chairman, I certainly think this discussion reinforces your  comment this morning that we need to have a session where we discuss this at more length--  "
134,1976-08-17,"  Alan, what prospects do you see that we are going to be out of the  Belgian franc situation?     Lyle, you touched on the elusive question of confidence, and as I heard  you, I get the impression that you think confidence will continue and perhaps build  We do a  survey of business opinion and so on in the area once a month  And one of the questions we ask  is the outlook for the next two quarters ahead  The latest month shows that only two out of three     8/17/76 - 9 -    executives see better business conditions over the next two quarters  Previously, that was about  four out of five  So there has been by this qualitative measure some deterioration in confidence  about the outlook  Of course, nobody knows what’s going to happen to that, but I think that this  does suggest some question as to whether confidence is going to hold and what this might mean  for capital expenditures     Well, I would share the views expressed earlier that there is some  concern about this so-called pause that we seem to be having, that it may well be that we’ll come  out of it satisfactorily  But it seems to me that the risks, as Chuck Partee has pointed out, have  changed somewhat  So my feeling would be that we should be moving a little toward A from B   I could accept B, but I think, given these increased risks, that we could afford to move a little  toward A  One way to do this would be to change the range under B to raise the lower end of  that range somewhat, say, to 5 to 8, and perhaps drop the lower end of the range of the federal  funds rate by a quarter of a percentage point  I would like to see the range on the aggregates     8/17/76 - 21 -    narrower anyhow, and the range on the federal funds rate wider, so this would be a move in that  direction  I wouldn’t consider this a major move of any kind, but simply leaning, as Chuck has  indicated, to a little bit more ease than we have under B  "
157,1976-09-21,"  Just one comment  As I’ve compared the quantitative information,  such as that in the Greenbook, with qualitative comments being made by businessmen and  others, I think there’s a considerable difference  The qualitative information is more pessimistic  than the other  I just wonder whether this is your experience too  Second, whether you see this  as some kind of a forecast [with] less bullishness--     One of our directors in chemicals, for example, was discouraged about  the current [unintelligible]     Mr Chairman, I would be happy with prescriptions appropriate in the  current situation of the [unintelligible] be able to see the funds rate maintained about right where  it is  I do think that we are confronting an issue in the future where we are going to have to have  more flexibility  I think in a longer-run proposition we should be using the aggregates directive  rather than the money market directive, and I would hope that we could come to address this  issue in a special session as soon as it could be worked out     May I follow up that point briefly?  I think it would be helpful to have  a little bit more on costs and benefits of publishing daily what the Desk did     All right, or whatever the period is  If you go on the assumption that  services of this kind continue, I think maybe rather than trying to stop the tide, say that we don’t  want to add to concentration on short-term developments in the present--the market would do it  anyhow  Then, it seems to me, the thrust turns into a question that you raised, Mr Chairman,  that is, what is our public posture with respect to information we have   MR, GARDNER  Alan, the way this is written, it says the Desk “has”--upon inquiry  I  hope you don’t respond to one inquiry and not to another  "
178,1976-10-19,"  Peter, I would have inferred from your action that the Desk gave more  weight to what happened to M1 than to M2  Is that a correct inference?     I’d like to follow up on the comments you just made, Mr Chairman,  and also refer to Lyle’s very intriguing comments about the efficacy of monetary policy in this  current situation  I think this includes Ernie and Henry as well  I guess I’m less prepared to give  up the faith in monetary policy in the situation we seem to be confronting, as Lyle indicated--that  there are two disadvantages, one is that you may stimulate inflation if you ease further and that in  any case you wouldn’t have any effect in the short run  And I think those same arguments would  apply at any time and may raise the question, even if the economy were to worsen, whether those  two objections still wouldn’t exist  Second comment is, if, in the present situation, monetary  policy cannot be very effective, the question might be whether fiscal policy might be used to step  in here  Would you care to comment on that Lyle?       May I respond to the first part?  Seems to me, Lyle, the question  is--and I don’t disagree with you, what you’ve [said] about the immediate impact of monetary  policy--seems to me it’s a matter of tradeoff  If the economy were to worsen--if your forecast  were to get progressively more pessimistic--this does not foreclose the use of monetary policy,  even given some of those weaknesses       Mr Chairman, I would agree with your specifications  I have some  preference on the funds rate to having a range of 4-1/4 to 5-1/4, but I think your specifications  are acceptable       Mr Chairman, we prepared a memorandum which we distributed to  the members of the Committee, making some suggestions about--      Yes, I was going to suggest that very thing  I might just say one thing  with respect to that memorandum  That it obviously owes a great debt both to Governor Wallich  and Bill Poole, who advanced these kind of suggestions before and I think I should make sure  that that is understood     With respect to that memorandum, the thrust of it is that, for current decisions as far as  long-run targets are concerned, to hold policy where it is, where we mean to make no change,  would require an increase in the specified percentage growth rate  That is, we have had a  shortfall, and if we intend to hold policy where we meant it to be, then we would have to have  some increase in specified percentages       Well, I think that would bear studying to see what the magnitude of  that should amount to  My guess is that, over this time period that we examine, we’ve had more  drift than would be accounted for by those kinds of factors       Well, I should think that when the time comes to analyze the proposal,  that that should be an important thing  My offhand feeling is that at least our announcement  would suggest that we’re some 6 billion below the fixed-based target, and I would suggest that  that would be greater than would be allowed for in this philosophy  The point I want to make,  however, is that so far as the immediate determination of long-term targets is concerned, I would  come out different from your specification  Rather than lowering the specifications for Ml, I  would raise them  I would have 5 to 7-1/2 percent, midway between alternative A and  alternative B  5 to 7-1/2 percent for Ml; 9 to 11 for M2; and 11 to 13 for M3    "
217,1976-11-16,"  I have heard some talk that the peso may now be undervalued  Is this  optimistic?     Mr Chairman, my comments are similar to this type  The question is,  what does this mean in operational terms--to make less automatic?     I’d like to mention, Mr Chairman, some of us have board meetings  this coming Thursday  Did you say you intended to send this today?     Peter, what would be the market reaction to a 1/4 percentage point cut  in the discount rate?     Third from last     Well, Governor Partee has expressed my views  I think the economy  needs some stimulation and that monetary policy ought to play a role in that  I find it difficult to  accept the idea that there isn’t [anything] that monetary policy can do  We don’t have a liquidity  trap operating in the economy at the present time, and I think some modest easing is in order  I  would prefer alternative A as far as the aggregates are concerned, and I would prefer a funds rate  of 4-1/4 to 5-1/4 administered on the asymmetrical downside  And I would like to see the  discount rate cut [unintelligible]  "
243,1976-12-20,"  A matter of clarification in the first paragraph, the word “behavior”  Is  there special significance to that, Henry, as opposed to “action”?     Will there be any kind of a record as to what “actions” and “behavior”  mean?     12/20-21/76 - 15 -           Will that be always an underlying document?     I can understand the desire for flexibility here, but I wonder whether  this does resolve the questions as to how much you are going to intervene in the market or how  much you are not going to intervene     Could I ask one other question now?  The reason for removing that  earlier section referring to sustaining artificial values of currency, or something like that  What  is the consistency of removing that and leaving this so open ended here     Mr Chairman, could I ask a question first?  I think most of us got this  document very late last week, and some of our staff’s have been doing some work on this  Am I  right in assuming that we are not reaching any decisions on this today?     I have no problem with discussing it, but I think that in view of the  short time period and the lack of ability to circulate studies that various people have been doing,  it might be wise to do that     I think related to this is the cost of interest rate fluctuations  This is  something that we’ve been doing some work on and I think it’s--     Yes      Could I ask a question, Mr Chairman, to Governor Henry Wallich and  John Balles  Do you see any possibilities of adoption of the subcommittee recommendations that  it’d make [it] more difficult to move in the direction that Henry presented in this comments?  Do  you see these [as] quite independent?  Do you see the adoption of the report’s recommendations  as being independent of your--     And you don’t see adoption of these recommendations hindering the  direction that you want to move in      Two points, Lyle  First on your changes from [your projections] last  time  I wonder why there isn’t more effect on unemployment, with the increase that you have in  real GNP from the last time  Second, did you do anything with alternative kinds of fiscal action,  a rebate or anything of that kind?     Peter, I would take it that a cut in the discount rate would be hoped for  but not expected  Is that correct?     Well, I guess I come out closer to Governor Coldwell that any of those  that have spoken so far  I am encouraged by the fact that the weakness in the economy doesn’t  seem to be feeding on itself  On the other hand, I am concerned about the very high projections  for unemployment that we have for 1977  I do think that fiscal stimulation is necessary, and I do  think that monetary policy should cooperate and go along with that stimulation  My preference  would be for alternative A, so far as aggregates are concerned, and with a funds rate that would  range from 4 to 5 percent  I specify that funds rate because I think, although the Desk may not  find it necessary to move, it does provide some more room on the lower side in case that’s  necessary  "
270,1977-01-17,"  Mr Chairman, my forecast agreed, for the most part, with the  projection of the Board staff  One possible difference has to do with inventory  Once a month  we survey manufacturers in our area, asking them their intentions [unintelligible]  And although  they’re not doing much right now with respect to either reducing or adding to inventories, our  survey indicates a considerable accumulation for the months ahead, and I just wondered whether  your increase in inventory is enough  In your projections, do you think the risk on inventories is  on the downside?     Yes, but my figures would be for the shorter run       Mr Chairman, I’d like to spend a little bit more time on the question  of the degree to which monetary policy should work with fiscal policy in this coming quarter  I  think this is a very difficult task     Well, in setting a long-term target, of course, we’re setting a year’s  target, but since we do this quarterly, I think we do have another shot at it in a few months, and I  think it would be in the near-term when the fiscal package would be going into effect  I find it  helpful to go back and look at what happened in 1975, when we had a similar situation--had the  tax rebate in the spring and, as you say, the Fed has been criticized since then for frustrating the  fiscal action     1/17-18/77 - 43 -             Well, it has given rise to some speculation that the Fed will try to  avoid that kind of criticism by doing something different  Anyhow, I found it helpful to go back  and look at ’75, and I’d like to review that briefly  What happened was that the funds rate  moved up somewhat to help keep the aggregates under control in the spring of that year  The  aggregates, as you may remember, considerably exceeded the targets for a time  M1, for  example, grew at an annual rate of 11 percent in one month, and 18 percent in another  month--two successive months  The Committee did not change the long-term targets to  accommodate those overshoots  And so, in effect, the Committee permitted some increase in  rates, it permitted some overshoots in the aggregates temporarily, and it held the long-term  target    I think this is a good model to follow because it does have the advantage of supporting the  fiscal action, of being careful to hold any increase in interest rates to moderate amounts--to only  those amounts it would be necessary to prevent the aggregates from getting completely out of  hand  It would permit the Committee to explain that its main concern is with the longer-term  growth of the aggregates, and I would prefer, I think, to see us hold to the long-term target in that  kind of a model     It is a question as to what we mean by targets     Steve there has been some talk in the market about the uncertainties of  seasonals, particularly at this time of the year  Do you have any feelings to whether they are  more uncertain now than--     If I understand what is referred to by “the bulge,” then I guess I have  some difficulties with it because it seems to me that, if it comes from a rebate, it’s just a  temporary cessation in the flow of funds [to which] we shouldn’t pay all that much attention  So  far as rates are concerned, it seems to me that rates are going to be moving up, and we should  permit them to do so moderately  So I would have no objection to 4-1/4 to 5-1/4 percent  But I  would stick with alternative B [for the] aggregates     That effectively would be sort of stopping the downward drift and  imperceptibly tightening up  "
