,start_date,content
16410,1997-11-12,thank mr chairman alreadi room report suggest economi strong third_quarter report indic inflat remain_quit quiescent go forward think_reason concern good_news price soon come end awar labor_market_tight latest bl report report reserv bank presid today note number indic suggest upcreep wage benefit admit indic anecdot point recogn anecdot_evid sometim lead indic develop eventu show aggreg statist capit readili avail borrow reason term governor meyer indic term_interest_rate real nomin retain much recent declin countervail forc exist time talk great_deal instabl asia result fluctuat stock_market regard associ concern perhap greenbook_forecast bit optimist term rapid recoveri asian market limit spillov will admit obviou evid brazilian auster packag fundament quarter product_growth rang percent measur increas_product will obvious slow econom_growth moder run capit deepen possibl improv qualiti labor_forc provid reason hope continu good_news product front sum other challeng complex period sever factor indic risk upsid inflat recent instabl financi_market result slowdown economi slight decreas risk gener price_increas inde instabl creat likelihood heighten reaction polici_move today longer_term recogn clearli limit capac close mind see evid payoff capit deepen thank
16456,1997-11-12,concur recommend
16502,1997-12-16,thank mr chairman meet today intern domest develop give obviou food thought believ other watchword point perhap cautiou mayb nervou wait stanc trend domest economi other clearli quit_strong latest figur indic continu tight sector labor_market particularli area inform technolog impress indic declin labor underutil suggest fewer peopl domest can pull labor_market creativ solut other mention expert employ can pull worker intern need attract worker increas obviou strength industri_product recent number indic quit clearli widespread increas_product activ larg backlog unfil order suggest continu strength manufactur output evid point moder look real adjust order measur indic possibl slow_growth admittedli level activ observ tight_labor_market continu believ evid indic increas_product anem percent trend thu far quit clear capit deepen occur continu watch obvious chang capac_util measur indic room continu output_growth without tax product resourc other alreadi talk recent indic slow_inflationari_pressur stem lower oil_price think will continu import respect financi_market clear credit condit overli tight addit evid presid_minehan refer respect invest boston discuss banker morn american banker continu indic loosen lend standard mind forward final respect intern situat commend analysi heard earlier respect intern market major issu deal recoveri period countri potenti impact price export demand unclear time previou greenbook_forecast believ actual outcom might end closer call wors case scenario greenbook_forecast time convinc anecdot_evid suggest greenbook_forecast stand right secondli consid financi_market number differ forc evid drive clear declin inflat_expect continu keep mind financi_market appar perceiv monetari_polici behind_curv term foster price_stabil goal think dichotomi good inflat servic inflat will start come play go forward point neither press anyth dramat differ summari clear stress particularli part labor_market sign pickup wage induc inflat room believ product_gain will preclud signific wage_pressur will admit clear sign moder econom_growth price_pressur final think staff like impact asia economi right greenbook commend conclud period wait view postur risk upset fairli complex econom financi system look equilibrium thank
16550,1997-12-16,concur symmetr propos agre particularli presid_stern era signific uncertainti think_import signal market respons central_bank prepar flexibl effort address whatev challeng emerg recogn intermeet approach will chanc rethink near futur
16652,1998-02-03,thank mr chairman understand role central_banker fact risk rather surpris learn come consult took risk get use job economi other clearli enter signific momentum last met number indic notabl strength go forward exampl includ consum_confid low term_interest_rate_low cost capit hous permit someth yet mention rise real adjust durabl_good order number factor point strong forward momentum will concur governor gramlich number factor suggest inflat_pressur diminish forward includ oil_price commod_price_inflat_expect capac_util addit obvious think understood risk turbul asia get broad rang signal anecdot_evid suggest develop asia start produc slowdown industri surpris hear presid came forward kind stori addit cours indic market asia seem point view perhap irrat situat start turn year littl later confront tougher polici choic notic alreadi bit split committe outlook short economi strong impact asia unclear risk greater happen think greater upsid downsid_risk environ believ go togeth risk taker encourag maintain vigil mayb quit uncomfort wait attitud exactli emerg go forward
16717,1998-02-03,agre altern think governor rivlin best nice sens clear preced previou interpret eas commun pragmat none anyth monetari_polici suppos laughter suggest altern
16784,1998-02-03,mr chairman_support_recommend yesterday spoke bit risk fact risk taker think take reason risk wait exactli happen need time observ strength factor will exert impact side economi comment explain support_recommend relat topic come much meet name commun seem gotten posit implicit contract commun financi_market commun thu far great_deal balanc given commun implicit contract think appropri retain balanc approach adopt last_meet intend implicit contract believ live
16900,1998-03-31,thank mr chairman coffe_break presid_boehn suggest rel littl time around short distanc travel offic nearest room short chairman will time let observ other quarter spillov asian crisi inde overshadow strength domest_demand labor_market_remain tight indic thing add discuss much short_term_interest_rate_risen rel level histor standard de facto polici_tighten associ similar tight longer end yield spectrum risk spread privat debt instrument quit narrow extens credit privat nonfinanci borrow numer sourc commerci paper bank lend run pace last_coupl_year_think stimul environ monetari financi standpoint thing add relat asia alreadi talk littl impact develop asia return trip japan met central_banker financ minist affect countri thing emerg meet bring attent korean thai certainli feel economi road recoveri describ recoveri shape expect economi bounc along bottom extend period final uptick secondli major economi region japan face signific challeng visit found univers agreement economi stagnant probabl recess fiscal_stimulu packag introduc date latest total trillion yen thought far stimul might appear newspap indic recent packag big vagu unconvinc therefor think unit_state like import last resort impact yet felt asia summar brief comment risk believ number other increas_inflat_risk eman labor_market_tight potenti end special factor restrain inflat recent stimulu emerg financi_market possibl greater desir drag asia think_risk time_last_meet overal believ vigil postur recogn risk seem tilt toward upsid danger prematur chang_polici stanc might great market surpris unlik colleagu right think predict sometim bad thing
16946,1998-03-31,mr chairman_agre recommend asymmetr think_import signal vigil want maintain gain alreadi remov asymmetri direct ask board member announc chang told announc differ polici time sure understood explan sure understand think
16948,1998-03-31,explan believ issu deserv consider rush announc think discuss issu next_meet recogn will explan move tighten_polici inflat_pressur build low_inflat number low_inflat_expect view consider point direct polici speech oppos simpli quick announc meet associ presid_boehn respect make sure peopl recogn context polici_action undertaken remind peopl econom benefit achiev date come low_inflat believ import keep thing mind guess concern relat tri think polici strategi go forward might appropri meet perhap next look though polici trend quit clear exactli strategi think governor gramlich refer earlier
