,start_date,content
12910,1994-12-20,re enter meet actual peso trade percent yesterday approach outer band screen york quot mexican stock_market talk peopl mexico decis seem taken mexican market though adr mexican stock trade york report indic mexican stock trade mexico market seem take mexico far peso trade limit
13825,1995-09-26,claim offici daiwa york branch trade bill bond straight bill bond_market manag lose billion last_year amount unaccount rather extraordinari tale relev author york look matter
13852,1995-09-26,primari dealer excus bank secur firm entir separ legal entiti
13854,1995-09-26,secur firm primari dealer branch bank trust depart
13878,1995-09-26,will insert number european countri continu prefer hold rel larg portion reserv dollar invest purpos crisi want convert mark abl defend currenc effect market short_run can creat sort disturb expect can creat disturb
13880,1995-09-26,
13882,1995-09-26,ye refer short_run effect countri tendenc hold larg quantiti dollar convert mark defend currenc prefer acquir reserv ultim goal acquir mark will tri move dollar currenc mark event crisi short_run phenomenon certainli hurt last_week occur situat ted refer becom acut europ close busi_investor look defend realli dollar simpli cannot liquid pari peseta york trade day europ gone home tend acceler movement dollar mark short_run short_run pronounc
13885,1995-09-26,think support chancellor process realli thing stand delug public opposit
13887,1995-09-26,
14739,1996-07-02,cannot improv agre mike
16573,1998-02-03,present point possibl bullish sentiment alreadi build market anxieti look market
16826,1998-03-31,absolut last_year actual show rang miss percent huge impact dollar term offer experi provid scale forecast error involv big number desk oper miss percent hour horizon awesom
18391,1999-06-29,clarifi comment short_run worri rapid yen appreci kind episod current bottl forecast will come wash japanes economi settl oscil portfolio effect japanes financi sector rush rush give burst resist think volatil short_run run stake bet weak euro strong yen short_run scenario
18471,1999-06-29,think great_deal market attent last_coupl week basi_point fed will move meet word announc will will symmetri trader respond foreign central_bank want know rule committe follow decid someth symmetri whole world realli interest part announc
18525,1999-08-24,thank
25743,2005-05-03,ask_question import_price growth particularli retail sector term import good sold retail chain time increas_price_pressur weight heavili toward recent activ expand littl bit
25758,2005-05-03,realiz enter ongo convers midstream sometim use fresh set eye ear give interpret see went read minut last_sever meet glad confirm mr stockton sens humor laughter detect someth notic disson last_sever meet current term bluebook greenbook tenor discuss go use basebal analog describ situat perspect fomc batter plate seem cours last_meet committe saw fairli consist deliveri pitcher mound fast ball came right across middl strike zone knee percent inflat letter percent inflat predict pitch come pipe basebal cannot meet assum batter stanc accordingli manag continu round base without creat imbal data anecdot_evid indic economi chang pitcher get curv ball mayb knuckl ball mayb split finger fast ball occasion chang pace inevit question adjust batter stanc keep work fast ball pitcher mound last seven inning unlik go save discuss part want address kind pitch come across plate eleventh_district nation global sit sit look map wall cours district probabl drawn rel scale ego fellow countri peopl largest manufactur state largest term employ tech sector major transship point signific retail activ think proxi valu district perform want report wherea lag economi seem caught pace think econom_activ region grew around percent quarter manufactur_activ gener eleventh_district tech manufactur particular pick pace notabl improv energi relat activ stereotyp district oil best summar contact summar can pass drug test can speak spanish can job oil sector lot price_pressur standpoint employ petrochem sector report pass activ term price_power think unimport hear report increas_price_power gener retail other account sarban oxley know good proxi open economi know output_gap texa exampl porou economi confirm contact larger global oper background spent last_year strateg advisor up exxon ed wal_mart etc particularli railroad taken advantag reach tri feel correspond see local coupl confirm impress domest economi seem expect percent growth_rate peopl adjust expect contact ceo compani remind went period earli economist lower expect_growth percent happi percent set expect went everybodi call eeyor chop growth percent view percent quot darn good growth energi sector cannot better view compani oper state larg transnat compani will forgiv dinner last sunday night ceo crown princ saudi arabia small group met discuss thought go energi_price worth fairli good sourc think term current price discuss tabl focus fact percentag price due financi specul activ summar ceo will remain unnam run largest oil compani world market seem price suppli disrupt time winter quot life cannot figur go come degre price insignific compani estim amount price financi specul potenti disrupt activ somewher around barrel key point chemic guy find easi pass cost_increas nation_level intern level either addit suffici refin capac current product level great expect will signific addit refin capac abl pass increas neither retail retail note abrupt halt sale household good took place firm think driven slowdown hous start nation largest retail continu build capac sourc china report price_pressur construct store signific higher_price materi go steel aggreg sell quot price risen stop fall cannot discount aggress without hurt margin leeway rais_price last input ceo nation largest railroad cfo largest air shipper shipment gear significantli transocean trade nation largest railroad report percent growth last_quarter intern busi particularli gear toward tran pacif trade len appear manufactur retail expect continu significantli boost invest sourc china ramp spend china continu arbitrag labor china intern contact mine end abruptli happili join organ grate infer effect global assumpt resourc slack constraint economi tradeoff inflat unemploy yet run cours thank
25814,2005-05-03,mr chairman want appropri humbl respect listen care say interpret part want signal market know someth market anticip know market oper sensit front agre think argument paus argu basi_point_increas fund_rate littl worri later statement signal market_particip interpret someth know know suggest might consid chang measur_pace languag background idea maintain measur_pace impli will continu along path deviat path might come unpleas surpris marketplac procedur opinion sort rubik cube move part place suggest background possibl elimin section entir altern give shorter statement reflect concern asymmetri detect think might job
25943,2005-06-29,quick question go oil issu outstand futur contract nymex look cftc commod futur trade commiss data percent noncommerci player call wall street citi refin extent staff measur influenc curiou percentag spot price futur price consid weight nonfinanci player drive forc inconsequenti
25946,2005-06-29,curiou know feel can exacerb trend direct
25948,2005-06-29,thank mr chairman
25961,2005-06-29,let will eschew sport analog present give straight odditi district almost bank enorm produc economi exampl prefac remark purpos togeth maquiladora mexico million manufactur worker largest airlin compani largest railroad dell texa instrument ed assidu call around talk ceo compani order feel develop district nation_economi report mr chairman district lag nation recoveri realli come recess grow pace nation_economi rate around percent plu good_news price front obvious increas_price oil major oil compani oil produc oil oil field worker wage_price ranch land miner right health_care evid price_pressur price_power talk taken liberti colleagu permiss talk neighbor north offic nation largest retail wal_mart coo use advis previou capac convers day ago struck statement surpris lack inflat across store rather larg store might add indic dynam world economi exert downward price_pressur day deflat price electron cloth almost retail sector except percent price_increas diaper contact note troubl make price move flat direct confirm ceo penney differ price point percent overlap wal_mart household furnish apparel concern driven chines product level tri volum continu downward_pressur price despit exist quota certain area fact contact point forecast pressur will continu sever_year come term residenti_construct mention yesterday talk someon nation largest homebuild builder home billion year revenu interestingli construct cost cost materi plumb furnish fixtur continu price deflat base import come unit_state area constant price cement lumber mr chairman larg due trade restrict lumber sale canada cement sale mexico restrict trade arrang largest paper product compani kimberli clark district interestingli ceo report product line feel abil pass cost base energi_price diaper market subject quit lot discuss district laughter stori differ price paper base hospit product constitut grow market linen unsanitari labor compon labor compon china philippin estonia elsewher continu price deflat contact chemic industri substanti district report cannot pass price_increas_price_power inform technolog sector sourc dell ti ed hardwar telecom cost continu downward india begun exert effect keep price ceil softwar cost shipper spoke ceo shipper former client district report growth tad bit slower constrain competit dhl postal servic inabl pass cost_increas standard fuel surcharg ceo largest railroad area report soft patch economi note particularli growth shipment tran pacif trade slow singl digit signific doubl digit notabl occur steel price come dramat interest discuss shipper previous serv norwegian ship board got right time use contact better understand ship industri think interest data categori lng tanker cover financi time adequ morn baltic dri index exampl drop dramat fact cost ship point rememb exceed cost good ship last_year cost day charter ship carri iron ore manufactur steel saw chart either brazil india china cost clincher china enter shipbuild busi dramat current_account percent shipbuild market percent produc korea percent japan china will doubl shipbuild capac next_year data show addit percent exist contain fleet percent exist tanker fleet will come stream next_year needless price_power ship summari mr chairman eleventh_district caught nation sound district nation indic price_power detect slight notic shift among peopl speak toward concern slower_growth away concern inflat thank
25991,2005-06-29,support basi_point_increas fund_rate concern statement word elev refer pressur inflat presid_minehan think_time argu
26038,2005-08-09,discuss anecdot_evid last_meet lack price_power corpor sector anticip margin squeez unless substanti top line revenu expans wonder see evid situat chang evid data compani meet increas_price_pressur cost cut begin pass higher cost question give number trend line rate dollar depreci includ yuan anticip
26103,2005-08-09,mr chairman report beig book activ district pick substanti tremend amount activ manufactur_sector enorm surg confid particularli texa though seem redund talk confid texan will refer coupl point quickli part broader discuss tabl huge surg hous start houston rank countri year date term hous unit permit dalla rank third atlanta moreov permit run rate roughli time york citi roughli twice miami orlando illustr point discuss last_meet term price_pressur dalla rank msa metropolitan statist area show geograph differenti event substanti pickup hous_activ point regard energi texa louisiana mexico account third rig count unit_state rather schizophren sector might schizophrenia beat dine alon side argument laughter excit group peopl rig oper run tightest capac rate term rig util case texa case louisiana evid kind pressur occur happi side testimoni global case compani small compani abl find rig import rig worker china oper certain basin colorado percent rig content construct china percent unit_state case awar opposit side depress side constant fear price collaps oil sector might describ wild surmis except articul outspoken champion view oil_price fall dramat happen raymond chairman exxon chairman nation petroleum council like remind listen lectur constantli forget exactli price collaps took oil_price week constantli warn colleagu note minor view within oil patch warm winter expect kind price behavior oil market certainli noteworthi propon view tech side note coupl point base convers texa instrument dell issu capac capit expenditur ti announc go build huge factori billion invest dalla area expect last full bore product facil wafer larg dollar invest factori will employ peopl find can buy call commod wafer percent content need chines produc lower price dell repeat kind defianc law econom behavior term abl sourc china claim largest oper compani china moreov report pass day heard retail somebodi appear doorstep abl outbid exist supplier cheaper price far retail sector concern colleagu permiss talk contact wal_mart occasion coo presid wal_mart intern hear kind report substanti question chines account reason ask_question assumpt regard chines yuan appreci gener depreci dollar yuan though obvious volatil ceo wal_mart intern make absolut differ china revalu renminbi junctur constantli find peopl will come underbid exist supplier supposit mr chairman chines pay princip pay tax pay tax pay tax collector rather govern cours give substanti advantag alway case assum will carri forward time term competit seem voraci appetit continu suppli variat communist model produc product sake produc sale sake privat sector retail tech sector other energi sector take advantag situat want indic mr moskow strong econom_activ though risk borrow futur concern inflationari_pressur favor tighten degre former colleagu deputi trade repres mention will talk word statement later thank much
26171,2005-08-09,support_recommend mr chairman indiffer word gradual presid_pool rephras fourth box think make grammat sens go fight
26227,2005-09-20,mr chairman question regard energi futur_market chang dynam market trade activ higher number contract size chang saw pre katrina
26229,2005-09-20,reason curiou think struggl tri determin specul element market clearli specul whatev reason event mention reward sometim complexion peopl enter market chang smart one reward replac use call mullet swim smaller contract curiou chang dynam inde chang take place question excus
26231,2005-09-20,ye
26233,2005-09-20,talk coupl week_ago point volatil much direct yesterday reinforc concern tri sens dynam
26235,2005-09-20,question billion fiscal_stimulu assumpt base ration expect women men sit around_tabl base sound politician capitol hill sourc billion figur
26237,2005-09-20,thank mr chairman
26253,2005-09-20,mr chairman texa economi fare better nation_economi pre katrina saw strong evid nine call super sector economi includ inform telecom sector suffer seriou setback burst dot com bubbl revers come recess post katrina data like stronger despit perhap uniqu posit geograph peopl area affect katrina evacu state texa expect stay beyond employe tri hard help economi will improv aftermath hurrican increas convent busi exampl displac dalla port houston will increas activ will happen storm brew present offic busi reloc effort run full bore throughout state get commit alreadi peopl displac along gulf coast data show greater busi optim nationwid banker friski laughter ceo largest bank district day loan_demand stronger horseradish continu onward concern note econom_condit mexico wors expect point greenbook optimist board_staff half_year seem implos domest_demand mexico concern develop build materi sector cement wood steel see signific evid hoard lumber exampl might affect construct_activ state northern texa atlanta term hous start although fortun subject signific upward price_pressur nation anecdot side aggress period talk ceo firm headquart district busi_contact spoke total ceo round coo retail everybodi know sever cfo director bank board differ size dimens convent compani summar quickli heard retail conveni store oper headquart district largest retail emphas point per gallon gasolin seem tip point term impact consumpt katrina directli relat point get retail evid fall demand importantli bifurc demand latter mean higher end retail nieman marcu continu lower middl end retail suffer chang product choic move brand product unbrand product favorit exampl provid call around substitut gold coast cigarett marlboro per pack differ retail particularli eleven see significantli higher sale lower price brand price_pressur come retail area expect plastic packag transport evid price_pressur begin build understand wal_mart execut call ceo supplier told wal_mart will accept cost put compani indic will work togeth supplier achiev effici experi will succeed question energi call swot team replac oil includ largest integr compani smaller ga produc send around note co presid learn sourc whatev worth bottom line realli come natur ga gasolin price ship sea present bring product mean gasolin expect much direct price movement base katrina increas volatil talk earlier depend winter turn cold produc look term real side busi oppos specul side busi effect work chemic effect come mind readili can natur ga molecul divid way chemic peopl tell exampl yet leeway pass price thing nitrogen hydrogen chemic ordinarili think_import chemic product process go look can pass price regard ship rail largest barg compani countri gave statist barg affect develop mississippi relat katrina big deal except impact margin receiv similar report ceo larger railroad compani thing everybodi transport busi talk applaud polit waiv jone act estim will cut intercoast transport cost ship half obvious insignific far express deliveri concern key factor term ground transport mail will move price expect percent increas auto side presid_moskow report ford probabl feel friski use term gm interest look use auto auction manheim adessa largest wholesal use car auction big spike price post katrina math car lost hurrican damag assist auto compani far technolog concern ti report abil pass price_increas broad semiconductor busi tech folk dell ed report continu pressur lower price outsourc sourc employe base hous report hoard lumber interest develop disappear contractor subcontractor state appar florida rush orlean cash money go spent summari comment busi_contact katrina acknowledg human tragedi tremend displac peopl properti rang impact short_term shiver sporad impact cold heart seem come issu today thought believ will incom statement impact balanc_sheet impact someth worri mean perhap will temporari setback term growth shift complexion growth sure addit volatil potenti price_increas worri mr chairman come refer fiscal incontin govern worri money thrown problem will undermin confid depend financ econom_growth remind stori georg shultz told time work presid reagan frustrat spend georg pick phone call think sam cohen tell sam realli differ republican democrat come spend cohen want think research give seriou answer call next morn ye georg democrat enjoy laughter otherwis appear differ want vote basi_point_increas fund_rate agre presid santomero point confid worri price_pressur build think_import regardless amount addit fiscal_stimulu billion view tempt shape form monet fiscal spend incontin profligaci suggest mr chairman seem odd possibl look languag statement think mention obliqu want continu term measur_pace run cours becom synonym basi_point_increas might use katrina opportun decoupl link order provid greater flexibl go forward summari favor continu remov polici_accommod thank much
26307,2005-09-20,support_recommend tighten wish consid elimin word measur_pace last sentenc altern vincent forward substitut prefer ad altern without guidanc push come shove support entir right thing give buffer
26346,2005-11-01,bristl ear prick mention mexico major point hurrican notic disconnect standard presum correl percent mexican gdp industri_product someth weaken mexico analyz onset sexenni event presidenti elect exampl el paso folk report delphi announc mexican maquiladora worker affect comment mexican econom_growth assumpt seem somewhat differ hear anecdot find research dalla want point offer input can assist glad
26357,2005-11-01,lost
