,Date,content
1495,1980-08-12," With regard to the comment of what to peg it to Should we go to a floating discount rate, my feeling--[given my prior experience at a commercial] bank--would be in line with what Lyle said We should consider an alternative that no one here has mentioned [yet], and that is tying it to something like the bank issue rate on CDs From the point of view of the money desk manager of a major bank--and those are the people we are dealing with--whether or not the bank goes to the discount window obviously depends on its alternative sources of funds And in terms of maturity matchings, since borrowings through the discount window are not normally overnight but rather are done on a more than overnight basis, I would suggest that the staff in its analysis of this question look at the possibility of applying it to the reserve adjusted CD rate for major banks on large quantities of money That would make the movements in the discount rate less volatile since a longer maturity [is involved]  -13-    8/12/80  and would tie it to the alternative source of funds that money desk managers tend to consider Also, we might consider having the discount rate normally set close to that reserve adjusted cost-- perhaps a little below it to give us some leverage--because then [money managers] would want to come in if we set our rate just a little below, but the reluctance factor would sort of balance that out It would give us some leverage over them  Well, as one of the novices here, I must say I am very relieved by the narrow range and the bias of the two alternatives before us in that I see no danger that the markets--  I may choose at some future date to suggest a third But I like the way the alternatives have been structured here because whichever way we go with this decision there seems to me no danger that we'll be reading in the newspaper--even without a leak but after due time when we release the [record]--that we biased ourselves toward getting off the path that we set last October We will probably not be accused of loosening monetary policy based on limited information of a recovery, and so on So either way we go, I think this decision can be viewed in the marketplace as a reasonable one With regard to the arguments on whether we should make this minor adjustment toward tightness, [as in] ""B,"" I am persuaded by [several] things First of all, I've seen virtually no evidence of price softening, which is what the name of the game is supposed to be as I understand it [Our goal is] to promote a view in the world which says that we're determined to wring inflation out of the economy And  -37-    8/12/80  the facts as I have heard them and see them are that we're not seeing that price relief yet The second argument that persuades me is the one that Mr Wallich made, assuming he is correct about the course of the aggregates and that we will have to crank down the numbers later For smoothing reasons, I find it rather persuasive to think ahead and to try to avoid the need to bring the aggregates down later at a time that may inopportune Also, with the limited evidence we have that the aggregates may be expanding in the next few days, I would lean, along with the rest of the splitters, toward ""B"" "
1533,1980-09-16," Did you offer them interest rate controls!  You asked about where we stand on tax policy, and that's one of the things my staff has been looking at We're very concerned about the explosive growth on the spending side that we've seen in the last year or so It now appears that on a year-over-year basis federal spending both for defense and nondefense purposes is well up into the double digit range, well beyond earlier forecasts I'm curious to know, Jim In your projection and in your model of the federal deficit on an NIA basis, I take it that $67 to $68 billion shown is without the tax cut  You're saying that without the tax cut there would be a $40 billion deficit next year?  Well, I remember the President saying just a few weeks ago that there was going to be a zero deficit next year So I [proceed] based on the trend in their forecast rather than the absolute level Looking at off-budget spending trends that are coming on stream and adding them on to a realistic estimate of the deficit, I would come to the conclusion that we definitely have to resist a countercyclical tax cut at this time It would lay the groundwork, as a couple of the previous commentators have noted, for a very tough situation for us early next year in that we would be looking at a lot of pressure in the financial markets with a possible crowding out scenario We'll be caught in the trap of either having to create and be given [the blame] for a credit crunch or for letting the aggregates get away from us in the first, second, and third quarters of next year And when we have already committed ourselves in public to reducing the rate of growth of the money supply I don't see how we can hope to do that if we have to do it in the context of a huge deficit developing early next year So, I think we have to fight this  -17-    9/16/80  countercyclical tax cut But if we wanted to add something to what we say, I'd say it should be directed toward the need for a longer-term change in the tax structure that would emphasize taxing consumption more and investment and saving less, together with some indexed reduction over a longer period of time of the inflation premium in the tax structure on incomes of all kinds I'd be inclined to continue to fight the tax cut as a countercyclical [measure] and start to fight for tax reform as a longer-term measure  May I ask On this anticipated fluctuation in the funds rate for alternative B, let's say that in the model it would average 12 percent Do you also estimate what the peak pressures are likely to be? In other words, are you anticipating that at times it is likely to hit the 14 percent ceiling [of our current range] and that we'll have to react accordingly?  My feeling is in line with what John Balles said I'm worried that the forecast may once again underestimate the pressures on monetary expansion And given the fact that we are rapidly approaching the first anniversary of our new policy and are going to be scrutinized very carefully on the fourth quarter-to-fourth quarter performance, I would think we definitely have to get focused on taking a conservative course of action, which would be moving to something like alternative B, possibly even widening the band of allowable interest rates rather than narrowing it  Let's pray for New York [to be right]! "
1556,1980-10-21," On the business outlook we don't have much to add My staff is exuberant about the fact that they have done better for the last two or three quarters forecasting the aggregate economic variables, and they are saying that the quarter we are in now may be a little stronger than the Board staff's forecast In the Southeast we  -37-    10/21/80  are finding a very mixed economic picture and some of the same concerns that others around the table have expressed about what we might do to housing and whether or not new car sales will really go up and all that But the new things that I would like to add to the discussion that has occurred around the table so far involve not just how our policy would be viewed by the public but how the public and the financial community will perceive the government's overall policy actions And what is happening on the fiscal front concerns me as much as what we are doing Irrespective of the outcome of the election, if I read it right, we are going to continue to see above range spending in the federal government; every revision of the level of the federal deficit has been sharply up in recent months We are now looking at estimates for the deficit during this fiscal year of perhaps $50 to $80 billion, after closing out last year somewhere in the $60 to $70 billion range, without considering off-budget spending So on the fiscal side, if we ask what we will be looking at six months from now, regardless of the outcome of the election, it appears to me that both sides are coming out with tax cuts [So] that applies to the outlook of the Board [staff] for the fiscal deficit irrespective of the outcome of the forthcoming election That has to be considered  Everyone has mentioned that the outlook for shocks is particularly scary right now, with a major war going on in the Middle East So we are vulnerable there to inflationary pressures hitting us again And that brings us down to what we should do against this background of vulnerability to shocks and the fiscal outlook My feeling is that we have to be very concerned not to go through these wild gyrations of monetary aggregate growth I wouldn't want to advocate that we sharply contract [such growth] in an effort to get it way down in the middle of the range because that will just encourage another round of [unintelligible] that we will settle up with monetary policy Rather I do think we have to temper our approach at this time to try to hit--your commitment Paul, you were the one who said it last October--these targets We can't ignore the fact that regardless of what we say and how we interpret the different variables to the public, they are going to make their own reading on it What they are going to say is that either we did it or we didn't In that connection, I feel somewhat like Mr Mayo Whether or not we are happy about these things, the fact is that we are going to be measured by them So we may as well try to play to win, whether or not we like the rules of the game The only element that I would add [relates to] the letter you sent to us concerning how the public would interpret hearing that we are reconsidering our operating procedures If you throw that into the pot, I think you are very right to be worried about how it would be interpreted, especially if we miss the aggregates So with all of that taken together, I come out on the ""A"" side, with a lot of concern that we are not going to win either way we go on this But ""A"" seems to be the one that gives us a chance at least to maintain some element of our credibility on the October 6, 1979 plan you announced  There are two other dimensions to what you're discussing on borrowed reserves One is that on Friday, if the rates don't break this week, I suspect you're going to get a number of Reserve Banks recommending an increase in the discount rate, which would obviously affect the borrowings The other thing is that we put out a revision in Regulation A  We have a revision of Reg A which, if I've read it right--and depending on how the different discount officers interpret it--calls for a tighter policy in regulating borrowing by the big banks, the issue that Steve just talked about So we have to [factor]  -53-    10/21/80  into our thinking at least whether we're going to raise the discount rate  So you don't think the Board is likely to move [the discount rate] on Friday? "
1583,1980-11-18," Paul, if we do that, which I strongly [favor]--I support the notion that we should look at the pros and cons of all of the issues that have been raised--we ought to consider one other basic question, which we are assuming can't be raised And that is just not generating the numbers so often I heard you say that we couldn't operate for a month or even two weeks without going through this exercise But [I wonder about that] when I look at the commitment of resources that we are making to this--the overtime, the blood, sweat, and tears of the staff One can discount that very heavily in terms of a need for information But there are other countries in the world, it seems to me, that operate their monetary policy without going through this tremendous expenditure of resources and all the problems of revising and re-revising and interpreting and re- interpreting the data  I'm disheartened, as everyone is, about the alternatives in front of us On the inflation front, Paul, everything we have discussed and everything we see is disheartening except the possible outside chance of house prices weakening due to a disaster in the housing market That's clearly shaping up in front of us I feel strongly that it's too late to try to salvage the year-to-year growth rates in the monetary aggregates because it would require a very sharp adjustment that would be extremely difficult to achieve So I would come out, for essentially the same reasons Mr Balles mentioned, in favor of alternative B with the proviso that the aggregate growth targets be viewed as a maximum I would not be inclined to narrow the range on the fed funds rate With regard to what Governor Partee said--he threw in something about how we communicate this to the other regulators--I do think we are headed into a period of very difficult times for the thrift institutions In talking to Jerry Corrigan and other people in different parts of the country, we are now starting to see some really sharp deterioration in the balance sheets of thrifts all around the country I am afraid that in the next few months we are going to see [the need for] some fast mergers in that area that are going to be rather difficult, and I don't know what this Committee can do about that That's just another inevitable side effect of this period we are entering Should we get a crisis in the Middle East, based on the OPEC meetings and consultations around this time, I think we would have to consider reconvening this Committee to restudy our entire program in light of the experience back in '74 when we went through [an oil crisis] the last time Overall I come out in favor of ""B"" as it stands  Tony Solomon addressed that What's wrong with Solomon's approach?  Yes, but if we put a 17 percent cap on the fed funds rate, that almost guarantees--I mean it could be happening before we get out of this room  It's not whacky; it's semi-whacky "
1606,1980-11-26," Paul, this is Bill Ford I just have one question I would like to [ask] Are you thinking about the tolerance [unintelligible] level of the discount rate might have other [unintelligible]?  The [unintelligible] also happens fairly quickly on the discount [unintelligible]  Paul, this is Bill Ford In Atlanta five of the largest banks in our District are right on the edge of being subject to the frequency rules So we anticipate that it's likely to be [unintelligible] We have not been putting undue pressure of any kind before-- "
1644,1980-12-12, Atlanta is with you 
1662,1980-12-18," To pick up on the criteria questions, I did feel that Steve's talk highlighted the problems and the complexity of explaining this multiple set of targets and, therefore, I strongly share Frank's criterion number one, which is that we should narrow the number of targets we aim for, preferably to one target With regard to the volatility of the transfers of funds between the different categories, we also have been making some serious efforts to try to determine in our District how much shifting of funds there will be And on the subject of the number of institutions offering NOWs, we have done some stratified samples of thrifts to see how many institutions are offering them, compared to the New England experience We found in one survey that out of a stratified sample of 60 S&Ls, at a minimum 56 are going to offer the account immediately from day one, out of the box at the turn of the year  NOWs, or share drafts  Yes, I'm talking about savings and loans We didn't do the credit unions, although in talking to Jerry last night I  -41-    12/18-19/80  was very interested in what he had to say because we are both coming up with similar feelings in our Districts That is, given what we see from surveys of the thrifts and the amount of pre-emptive advertising of NOWs, share drafts, and so on, I'm afraid we are going to be overwhelmed and that the New England experience is likely to be less relevant than some of us had thought earlier We expect to see an accelerated learning curve on the part of the consumer, which therefore highlights everything you have been saying all year long, Paul, about the problem of M-1A versus M-1B It says to me that we have to come up with some sort of measure that averages them So I tend to lean, again on the choice among evils theory, toward some measure that averages the two, [perhaps on a] total reserve basis, which Chuck said might be [a blend of the two], recognizing that it, too, has many inadequacies So, I'd go for the one target approach I don't think you or anybody else on the face of the earth can possibly explain all those adjustments, which I agree are relevant, that the staff came up with We just can't explain all of those adjustments for four different targets We have to pick one thing and try to explain it and simplify it with regard to how hard to come down on policy  I think by the time we meet in February we may find ourselves again worrying about missing all the targets on the down side If my guess is right about where the markets are going, as John Balles and others said, we're leaning on so much stringency now that even though the immediate figures still show the economy surging, except on housing and autos, we are going to pay for this stringency and we're going to pay before the next meeting of this Committee I think it's more likely that we will see something similar to what we had early last year--though I wouldn't say it will be an exact replay--than that we will have to worry about the aggregates running away So for the immediate future, my feeling is that we can have a reasonable set of growth targets like one of the [alternatives suggested], but I'd hone in on one [variable] rather than all of them  And we are likely to find that our problem is that the economy will cool off I don't think there is much we can do about it between now and early next year Whatever is going to happen is already built into the policy we've been making Then the question will arise next February, if we do get some relief due to a cooling of the economy, what we should make of it in terms of setting the year- over-year target I end up, bottom line, being a little optimistic in that if the stringency we've put on bites within the next 90 to 120 days, bringing many of the numbers down so that we are starting to worry about the numbers being too weak rather than too strong, we may then have an opportunity to set targets for the whole year to catch up a little on this base drift That would make us more credible, [particularly if] backed up, hopefully, by a Reagan strategy that deals with the other things we have to worry about, like the deficit and so forth, which you have been giving speeches about So I come out wanting to pursue a very moderate growth policy for the next 90 to 120 days, but narrowing down to one target I have a slight preference, amidst all the anxiety about which one to use, for a total reserve target That's about where I would leave it at this point  Excuse me, Paul May I ask one clarification question? Did you say that you would or would not allow the base drift? It sounded to me as if you said on M-1A and M-1B you would allow base drift and on M2 you wouldn't  Compared to the fed funds ranges in the three alternatives the staff developed, this is narrower than any of them Why narrow it? I'd be inclined to give more leeway rather than less  Yes, but we're setting this presumably for three months, right?  Oh, just the one month  Yes, but still we're talking about a target that goes for at least a quarter or so  I'd hate to think that within the next quarter we'd be upset to see the fed funds rate come down to something close to what any of these--  The lower part of the range I mean  So make it a little wider as these alternatives suggest and--  And we'll be calling each other up during the Christmas holidays To me, Mr Chairman, your proposal to soften the  -81-    12/18-19/80  language so as to signal the money market watcher that we're not watching every day for every little glitch of fed funds rate--the averaging idea or however you want to express it--is a good one Between that and Governor Partee's idea of making the range 15 to 20 percent it may provide enough [flexibility] so that we won't have to be on the phone with each other all over the country  You would explain it in any event in your testimony, right?  Why argue about it?  Mr Chairman, on the point you just made about how it would be read if we made it 16 percent, am I not right that our current range, [which went into effect after we consulted] on the telephone, has a bottom of 13 percent?  So if we raise the bottom by 300 basis points, we're going to be read as tightening now  But that is a big jump, going from a bottom of 13 percent to 16 percent, when we're really anticipating moving the other way "
1689,1981-02-02," I also want a clarification of what you did with regard to your discount rate sensitivity studies A priori one would expect to see the amount of borrowing out of line with your plan the greater the differential between the effective rate at the window and the effective comparable rate in the market But the amount of borrowing is obviously conditioned by the administration of the window Did you find as we hit periods of time when the spread widened between the effective rate at the window and market rates-- say, for CDs adjusted for reserves--more problems with the borrowing at the window or not?  Which discount rate, with or without the differential?  Yes In other words, you did it against the nominal discount rate rather than the one that affects the larger banks  In other words, we don't know for sure that we would have had less problems with the borrowing track if, for  -15-    2/2-3/81  instance, we had [operated] the window with a penalty rate lover] the funds rate or something like that?  We observed that the amount of borrowing we predict is--  I guess, Paul, I have the bias of someone who has been involved in it on the other side That is, as I understand my micro-economics, it says that the inducement to a profit-making bank to come to the window is higher the greater the spread All I'm asking is--  -16-    2/2-3/81  The bottom line of what I'm trying to get at is this On the basis of your research, if we did two things that have already been discussed--one is to get to contemporaneous reserve  -17-    2/2-3/81  accounting and second is to make the window more directly related to market rates--rather than the lags that we now have, would the procedure otherwise be improved overall or not? Do we gain nothing by doing that?  Paul, I'm not sure You've made this point a number of times about the mechanical connection between the way the [window] works and the rest of the procedure, but given the complexities of the dynamics that Chuck was hinting at, I'm not sure it's that simple It could blow up in our face; I'm not saying I swear I know that it wouldn't--  Well, whether or not you do, that's why I'm interested in what Mr Balles was suggesting That more and more people are saying that this is not so automatically volatile; that there is some kind of damping mechanism that may come into play to save us Granted, it's a policy risk to test it, given the uncertainty of the theoretical dynamics of it On the side of arguing for trying it, a couple of things have popped up that really bother me about the way we operate the discount window One is the subsidy It has been mentioned that it's perceived that we are giving away money to the banks Another thing about it is the difference between the way we operate our window and the [way the Home Loan Banks lend to the] thrifts We're all aware that Congressman St Germain is conducting a hearing the thrust of which, as I read it, is to say ""Hey, let's allow the thrifts to come in and borrow and forget about this [problem of] exhausting their other [sources of funds]"" In that connection, we've been looking at how they operate at the NCUA and how  -39-    2/2-3/81  the Home Loan Banks operate their windows I'm sure you know that they operate their windows basically by offering their members a variety of loan options based on maturity, more or less keyed to the yield curve that they have to deal with when they go out to raise money to fund the loans I'm not saying that that's ideal for us, but the fact is that as we interact, if we allow the difference between what it costs to borrow at the Fed window to be vastly different than, say, at the Home Loan Bank window, sooner or later we're going to have to face the political realities and the heat that Congressman St Germain is generating  Well, the obvious thrust is to move toward their system of going more toward--  No, it has to be accompanied by modifications of this technique that we use here; you're right  Isn't it the truth--as opposed to the perception in the market that the subsidy goes to big banks--that the subsidy goes to the little banks? It seems to me [true] by definition, with the surcharge  But the fact is that the size of the subsidy the bank gets depends on whether or not they pay the surcharge; and the smaller the surcharge, the more the subsidy  The other element is that while this discussion is leading us toward credit rationing of some sort at the window, we're reacting to a public perception which is technically not the truth-- which is that the subsidy goes to the big banks There is a subsidy for all the banks but the biggest; the subsidy is for the ones under $500 million, item 1 The second thing is the way we administer the window If I understand it, in doing the rationing now, which we may  -45-    2/2-3/81  want to change as you say, in some sense liability managed institutions should not get in Maybe I'm making this too strong--  But you are sort of saying we should not have to be aware of what they are doing to qualify And we all have heard the horror story about the guy who comes in and admits that he's managing his liabilities, seeking to maximize his subsidy, and he's the one we throw out It's that kind of thing that I see as being--  One thing I think I see--but I don't have any research to prove it--is that the multibank holding companies seem to send in their subsidiaries, many of which qualify for the biggest subsidy of all, on a rotating basis As a banker, from a profit maximizing standpoint, that's the ideal thing to do if you're worried about your shareholders' interests That's another aspect to [discount window] administration these different games that people are definitely playing with us at the window That frustrates me so much about the present system that it leads me to question whether we don't have to modify this procedure significantly in order to get away from these games The alternative is some form of rationing at the window that at least is more honest than the present one  They can move anything they want They can make the loans or the deposits show up wherever they want  Yes, but try to track that in reality when you're talking about banks that have 30 or 40 subsidiaries and geniuses to  -46-    2/2-3/81  manage their balance sheets, which we don't We couldn't keep up with that, could we?  It's a Catch-22  Doesn't that get right into the same thing that Paul was talking about the logic of the system? Because, in effect, that's partially moving to trying to peg the rate to the market to the extent that those borrowings are a significant portion of the whole  -47-    2/2-3/81  amount of borrowing Once again it is attempting to go to a market determined rate at the discount window and then we're back into the box that Paul was talking about; we're trapped if we buy the current system of control  I'll take 90--  You do have the contemporaneous accounting on your list now?  From one meeting to the next? May I ask for a clarification? Are you saying that whenever we have a meeting, we state the monetary aggregate targets and then always have a proviso to the Desk that the Manager will tell Paul any time we're going to move 300 basis points plus or minus from where the funds rate was when we left the meeting? And that would call for consultation on the subject of whether we would want to let the rates go?    2/2-3/81  Since we meet on average every 5 to 6 weeks--I'm just trying to remember the history of the market [rate movements]-- that would have triggered a discussion on couple of occasions, right?  Well, if I may comment on Governor Partee's statement that the range ought to be widened It seems to me that if we're going to issue a report on changes in monetary policy for the next year compared to last year, and if one of the things we're going to say is that we are going to move faster against movements off the path on reserves, there has to be a logical symmetry in that we have to say something that is consistent with that on the other side Either widen the band or make a stronger statement that we will adjust right away  Well, you're right to be concerned about the problem it creates for the banks--especially for a large branch bank system--because I was involved [as a banker] in researching this when it was discussed as a possibility by the Fed some time ago We have to give them warning if we are going to do this  I know that But having said that, if we give them warning, there's no question that the banks can gear up to provide [the data] As to the theoretical arguments on things like the discount window and so on, there is disagreement among the theoreticians as to how much goes toward getting us out of the box that you and I were discussing earlier But there's no question about the direction To some extent it does get us out of the box Some people say a lot; some people say a little Therefore, given my concern about the absurdities of the discount window operations with thrifts thrown in and everything else that is happening in that area, I feel it's only logically consistent I am a strong advocate of moving, with proper notice to the banks, toward contemporaneous  -60-    2/2-3/81  reserve accounting but not overselling it, though, because I think you're right that if we oversell it, it could hurt us  Yes And a complication might arise if we're now allowing some of them to report quarterly Could that complicate it?  Okay  SPEAKER(?) Sure  Yes We need time just like the commercial banks  But the Fed did this in the late '60s, right?  Yes, but now it should be a lot easier to go back to it technically because more of the banks are moving toward being on line with their branches in terms of their EDP operations So it should be a lot less painful if we reinstate it now than it would have been with the same--  As I recall the theoretical discussion--some of the staff members may be able to enlighten me on this--one of the factors that keeps us from getting a big payoff for going to CRA is the difference in reserve requirements among different size banks Isn't it right that that is another source? And with the new law, that tends to smooth those differences Maybe that, too, would help reduce the noise that comes with moving to CRA  Isn't that right in terms of the theoretical arguments? Yes, but why doesn't CRA give an immediate linkage?  We assume this is with time for everybody to get their acts together?  Well, what's the alternative policy?  There is that perverse dynamics Are you asking whether, as the interest rate cycle evolves, bankers change the balance requirements? Is that the question? Sure they do  Oh, heavens That varies so much from bank to bank  -81-    2/2-3/81  For a long time, the Fed did a survey of lending [practices] and it supposedly covered that When you read the results of those surveys and talk to corporate lending officers and listen to the policies dictated to them by their senior managements, there's a vast [unintelligible] You learn nothing from the survey What you have to do, actually, is an audit of collected balances--not just what the bank says the corporate customer has to have but what it actually is getting out of the corporate customer I think it would show, as Paul suggested, that when things get tight the bankers try to come down on them harder But as for how much they do, I've never seen any good evidence for all the banks I know how it works in two or three banks that I'm familiar with, but not all of them  I don't really understand the notion that uncertainty is desirable I always thought when we were discussing volatility in long-term rates before that we said uncertainty compounds volatility; it is an economic cost It has to be either that uncertainty is bad or it's good I think it's bad  -84-    2/2-3/81  Well, maybe for a time we don't have to compile the data for the public  -85-    2/2-3/81  That's what you're asking? Is that what they're asking us? Do we want the Act changed?  I'll make a very brief comment We're more optimistic than your staff because we are more optimistic about the results of your preaching By the end of the year we're not outliers on any of these measures that have been tabulated here But we are on the lower end [of the range of forecasts] for both unemployment and inflation because we think there is a chance with the new Administration coming in that we will avert a recession during the first half of the year, contrary to the staff forecast That assumes that the Fed does its job on the monetary aggregates and further that eventually there is a change in spending and tax policy on stream that will have some favorable effects on the economy in real terms And we think that by the end of the year the economy won't be booming but will be going along reasonably well, below the long-term growth path but in a positive vein generating growth of about 3 percent on average in the last two quarters with a reasonable unemployment rate and a lower level of inflation than we have right now That [assumes] that we do what we say we're going to do on the aggregates and that people take seriously the need to reduce spending to keep the deficit under control And we are assuming that they will  -96-    2/2-3/81  They don't know  Even those banks that try to monitor it only have partial information about where the money going in [came from] I would say you are very right to be concerned about our vulnerability for surprises on the M-1B range adjusted, whichever one we choose We have done in depth what you are suggesting with some S&Ls and some banks We asked them what they expect The very limited feedback I get is essentially that the S&Ls are just delighted by how all their projections are being overrun; they are not sure how much of it is coming out of [banks] On their own internal accounts they can track some of the switches from one account to another, but on the net inflow of funds to NOWs they don't know exactly  This assumes what--that $13 or $16 billion out of $40 billion for the whole year is already behind us?  Looking at the numbers, my feeling is that the assumption that in one month we already have half of the full year's shift is where we are most vulnerable  I would come out as follows, which is basically where Fred Schultz came out First of all, I'd speak in terms of the unadjusted targets without all the [unintelligible] and I'd declare that we are going to make a further reduction in the targeted growth rates for both M-1A and M-1B as under alternative I I frankly am not fully convinced that the rest of the adjustments in [alternative I] that the staff suggested tentatively would have to be made are really valid On the face of it, they make it appear that we're not undertaking a reduction And given all the questions about it, I think Nancy's point [is valid] that we would be running the risk of running the economy into the wall I would make the opposite assumption looking at page 7, because I don't understand how the staff comes up with a reduction in the inflation rate and an increase in every interest rate, including the mortgage rate, as we go through the four quarters of the year Going from the present high level of real interest rates, that means that real rates get even higher That's why I think we have to take account of Nancy's concern, but not on the basis of the table on page 7 I'd be more inclined to think we might have better luck than that If we actually do reduce the inflation rate, by the fourth quarter I think the rates on page 7 would be lower than in the first quarter rather than higher based on the notion that interest rates reflect inflation So, to make me feel a little less worried about crashing the economy into the wall, I'd go with what Governor Schultz said about M2 and M3 and use 6 to 9 percent and 6-1/2 to 9-1/2 percent  Finally, with regard to the explanation, you obviously have to go with however you feel most comfortable rationalizing it I would consider one other alternative for explaining just how crucial this estimating procedure is and that would be a very simple form of sensitivity analysis I would run it something like this I'd say that in the first month of the year we had something like a $15 to $20 billion shift into NOWs Our best guess--and I would call it that--is  -126-    2/2-3/81  that this [total] will double over the rest of the year We could be off by a factor of over 100 percent in the growth of NOW accounts very easily In other words, instead of going to $40 billion, they could go to $60 billion or even to $80 billion That would mean that you, the public, and you, the Congress, will be seeing horrible M-1B numbers that could scare the heck out of you but not reflect a real change in what we're trying to do I'd put it that way and then take the best idea that I think has come up around the table--the idea that Presidents Mayo and Corrigan mentioned--that if something horrible like that were to happen, people would recognize that it would bring a big drop in M-1A and a big pop in M-1B and that we'd still on average be tightening If I had to explain it tomorrow, that's the way I'd do it But you have to do what you're comfortable with because you're the one who's going to be under the gun  I'd go with ""B"" and keeping the fed funds rate in a range of 14 to 20 percent  I think the volatility issue will be less of a problem for us if we don't have credit controls again The last time [the funds rate] went from 16 to 6 percent from top to bottom and then from 6 to 21 percent So, from peak to trough to peak, we had a 25-- "
1739,1981-03-31," Sure They want to keep the money in the bank but in the form of an account that has the lower reserve requirements That's why some of them, I'm told, are continuing the ATS approach, which one would have thought would have been outmoded  -26-    3/31/81  So, from the [market] I think what you are hearing here is--  I wanted to ask one question, in the same vein as John's about how some of the technical work was done, on this issue that has been raised by some of the money market gurus about the seasonal adjustment As I understand it, for the first quarter of the year it would not have made a lot of difference in the adjustments you made for December through March, but looking ahead to the next quarter of the year, there might be some problems with the big seasonal adjustment I would like to hear, Steve, how you factored that into your projections and whether we are facing the possibility of any big surprises just due to the fact that we haven't yet been able to develop an appropriate seasonal adjustment  How would you rationalize doing that?  It's on page 8  They're adjusted The unadjusted is on page 8  Do you know what they did? What's causing the confusion, I think, is that the staff switched what they put in parentheses and what they don't--  Well, after listening to all the discussion, I frankly am confused by the indicators we're getting on the real economy I've never been a great believer in trying to fine-tune the economy from one month or one quarter to the next, anyway I come out between ""B"" and ""C,"" where a number of other people have, with John Balles' reservation, however, that we ought to allow the lower end of the funds rate range to be at least somewhat lower than what the rate is today as we're sitting here I'd be inclined to go for a ""B-"" solution with a little more stringency in the control of the aggregates growth and a little more attention to M2 Although Nancy's argument about the unreliability of M2 also concerns me, I feel more nervous about the problems with M-1B than I do about the problems with M2 And looking at the growth rates that the staff has for M2 in these various [alternatives], I'd lean toward trying to come down on M2 a little harder than ""B"" with an in-between policy prescription somewhat like a number of others have expressed, except with the fed funds range having a lower low end that will allow some flexibility in the next few days so that if the futures market for the T-bills, for example, is right, we don't have to be on the phone with each other next week  Paul, the way I hear the sense of the Committee is this Whatever we want to argue about on M-1B, either 5-1/2 or 6 percent, even if we're hitting M-1B at 5-1/2 or 6 percent, the farther off M2 goes, the more we want to adjust I think that is what you're trying to say  You may get a chance  Are we leaving out M-1A altogether?  Yes "
1784,1981-05-06," Paul, this is Bill Ford in Atlanta I, too, want to say, if I'm reading you right, that I think this is a move toward trying to put across that we are deemphasizing adjustments in the interest rate or fine-tuning it That did create some confusion initially, but the message is getting through to so-called Fed watchers not to overinterpret every little tick or movement of the fed funds rate You might consider tacking on a sentence at the end, in light of the comments we just had on confusion about which days we mean, to underline further the fact that we are continuing to stress keeping the aggregates under control and deemphasizing the importance of these particular trigger points  That would be great That would make it clearer that we're moving in that direction and not paying a whole lot of attention to the particular point level of the fed funds rate    5/6/81 "
