,start_date,content
57,1987-08-18,thank mr chairman forecast chang littl last fomc_meet growth turn percent rang chang forecast_think closer percent level forecast realli growth tad percent differ greenbook minor think somewhat_higher growth optimist deficit pictur gut reaction given elect year difficult achiev meaning improv last_month mention sizabl differ opinion staff person consumpt expenditur staff adjust number think bit low side staff come littl closer forecast anyhow balanc mr chairman much differ staff_forecast growth far inflat concern deflat rise percent littl must give caus concern think hope low number saw price gain perman begin think think seem stuck trend inflat somewhat_higher earlier meet past coupl_month worri econom_activ fall short side forecast chang mind think perhap risk_side speaker indic revis earlier data higher activ half suggest appreci declin unemploy_rate probabl fluke kept think someth wrong number unemploy_rate done rate percent think aw close point pressur wage like emerg staff indic environ seem inflationari risk econom_activ turn higher rather lower fairli substanti much judgment expect build pretti significantli higher_inflat word district econom_activ sixth district_continu fairli good fact gain momentum weak area economi particularli louisiana begin show improv partial perhap primarili due increas_price oil exampl number activ rig louisiana mississippi coast area alabama highest year fairli good_news thing perhap interest note wherea month_ago peopl_talk around district report signific price_increas indic price raw materi exampl go time hear peopl fact abl pass price_increas custom signific chang report previous
101,1987-08-18,mr chairman go ordinarili favor slight tighten go reluct light dollar strength foreign_exchang_market given perhap think will chang littl go thought strength dollar temporari guess market prove right advanc given view economi potenti inflat particularli earli think_probabl move recogn uncertainti forecast want anyth dramat opt describ altern plu borrow million level impli will accept growth rang year_think pretti doubt abl bottom rang case unless pronounc eas_polici will accept lower intend growth certainli prefer eas_polici time far direct concern suggest tilt slightli toward firm keep asymmetr_direct enabl firm circumst requir variou claus staff indic bluebook stress indic inflationari_pressur gener busi activ downgrad dollar keep sentenc direct allow greater growth toler occur
215,1987-09-22,thing kind jump forecast time guess real export side show mark deceler trade deficit real net_export exampl go annual_rate billion third_quarter billion fourth_quarter forecast indic nearli much progress can tell dramat improv base basic export side diminut import combin
309,1987-09-22,thank mr chairman start region repeat last_month econom_condit sixth district realli boom seem strengthen report get director busi_peopl extrem posit point optimist fairli much across board exampl see increas evid improv tradeabl good area certainli textil get improv apparel product paper product chemic lot better might paper textil mill factori go flat moment area hear labor shortag particularli textil area bottleneck begin appear exampl report shipment carpet delay labor shortag point yet pressur wage labor seem move slower_growth area area pick far wage_pressur follow immedi labor shortag commerci structur side see excess suppli space absorb rapidli particularli true fast grow state georgia florida tennesse construct figur get absorpt get construct particularli hospit warehous oper rise mortgag_rate cut hous sector particularli multifamili area louisiana singl noth bad news coupl_year area begin good_news margin better news rig count oil ga support servic begin come line turn gener forecast forecast last half_year strengthen bit comparison month_ago consumpt seem pick somewhat anticip see invest respond higher plant util look ahead margin lower time_last_meet line greenbook_forecast differ staff_forecast area consumpt cours mention coupl time indic earlier quit level improv net_export staff see net pretti close think signific far forecast concern build forecast tighten monetari_polici appar staff price side pretti close greenbook_forecast togeth mr chairman seem forecast reason littl optimist agre risk upsid rather downsid respect question think_probabl ingredi sit inflationari_expect higher rate larg extent think real seem market_particip talk element irration market react reaction minor declin valu_dollar produc higher rate might call know assess realli talk peopl market sit atlanta comment say think valid reaction although factor involv true think polici implic upon go react perhap advers trade number probabl will good done work indic season factor present probabl present equal bad trade number gramm rudman fiscal_polici debat congress anyth think go reaction bond_market seem market look snippet bad news can find react rather tri find someth posit scenario
380,1987-09-22,mr chairman prefer maintain current stanc monetari_polici interpret formul somewhat tighten albeit fairli slight reason maintain current stanc moment indic realli evid inflat number importantli think earlier next sever week go number might produc volatil market linkag appar foreign_exchang_market bond_market bad trade number probabl go fall dollar will translat higher bond yield suggest point need tighten littl prefer wait time anyth differ fairli slight think formul borrow million center graviti probabl asymmetr_direct account think go happen need tighten
382,1987-09-22,ye tilt upward asymmetr_direct call fine tune
515,1987-11-03,mr chairman statist inform evalu economi sixth district prior reflect continu_improv district econom_activ seem good pretti_much across board echo ed boehn export seem increas get report better export perform difficult time_think assess impact region event coupl week_ago everyon talk busi usual although find littl hard believ sure busi re assess plan futur moment nobodi indic chang busi plan think realli say feel earli adopt wait attitud preliminari indic peopl might expect robust activ firm major talk fact repurchas stock cours christma sale go critic concern hear scatter report deposit move thrift institut bank reflect greater public confid fdic fslic thrift widespread movement someth note region bank littl impact weak equiti_market given loan portfolio rel strength region growth reflect stock declin much money center bank other think difficult come precis forecast nation_economi although think attempt order set polici_move forecast somewhat although think show littl greater strength greenbook matter great differ move forecast continu increas volatil market might note pass develop altern forecast comprehens other want place great_deal emphasi moment quarter experi quarter good better compar forecast model show much growth fourth_quarter other will continu develop model watch care gener think greenbook_forecast target
593,1987-11-03,mr chairman_agre entir analysi situat given uncertainti potenti addit instabl market_think altern correct altern polici short_term target feder_fund_rate percent worri borrow order messag across market critic time favor variant point foreign_exchang_market develop seem signific indic inflationari_pressur inclin move hierarchi express think_import keep languag relat frequent consult need let market know aggress activ involv whole situat prefer tilt direct toward_eas lead favor asymmetr_direct languag
1163,1988-02-09,go ask ted truman question governor seger rais respect real_growth abroad guess ted basic answer_question step basic export driven forecast countri germani franc itali particularli germani respons overtur fall short mean recess short growth pattern expect forecast seriou troubl guess add given weight trade japan canada appar carri lot expect fall short suppos countri expect forecast come
1179,1988-02-09,assess sixth district mr chairman conclud condit mix local contact get confirm thing see nation report heavi inventori_accumul particularli retail level indic wholesal consum good start use incent promot gener greater retail order hand manufactur talk report ad inventori strictli precautionari measur deliveri time lengthen capac pressur intensifi industri particularli true paper textil cours reflect improv tradeabl good area lot manufactur report uncertainti dollar caus hold busi_fix_invest capit expenditur got burn time dollar reluct lot expens busi_fix_invest moment lot manufactur report backlog six seven week order price spotti inform gener tendenc price_increas come marketplac agricultur begin good_news particularli strong demand cotton veget interestingli area sixth district grow rapidli begin slow particular find atlanta metropolitan area year report group boom kind situat partli construct sector begin declin true south florida grow quit part slowdown servic sector look nation_economi virtual differ staff_forecast slight differ nuanc compon basic essenti forecast_greenbook inflat_side roughli outlook price perhap littl pickup inflat staff toward end_year littl concern import_price might move littl quickli forecast indic look nation_economi forecast mr chairman guess conclud risk probabl downsid mayb strongli possibl heard chart_show consumpt turn around quickli anticip growth abroad heavi expect indic region contact district suggest capit expenditur quit_strong forecast shortfal think perhap risk token agre forecast go growth pick half_year_think term polici broader issu address concern overreact weak half take suffici account might happen half word concern extrapol sluggish activ hear right share view other spoken weight need given inflationari implic half_year
