,Date,content
7429,2003-12-09,"  Thank you, Mr Chairman  "
7430,2003-12-09,"  Thank you, Mr Chairman  You’ll find that we’re   fairly close to the center of gravity in this discussion  Let me start with the greater New York   region in the Second District, where we see growing signs of strength, most notably in the   financial and the business investment sectors  Early results from our forthcoming December   Empire Survey—I don’t think “Empire” refers to the imperial New York Fed—[laughter] show   widespread improvement in business conditions  A rising proportion of firms—higher than the   already high number in November—reported increases in employment and in the workweek    Notably, the December survey shows strong expectations for higher prices paid and received six   months ahead    The Securities Industry Association, as you may have read, projects that bonuses will be   up 20 percent from a year ago  The leaders of the financial community in New York generally   express growing confidence in the strength of the recovery, though they cite varying degrees of   concern about strategic or terrorism risk, about the caution induced by legal and corporate   governance accounting uncertainties, about the nation’s external imbalance, its fiscal deficit   trajectory, and about what one might call a modest erosion in the credibility premium that the   US financial system in some sense has enjoyed     For the US economy as a whole, we are encouraged by the breadth of the strength in   recent data and by signs, of course, that policy works  With consumer spending recently strong,   the initial signs of growth in employment, the strong response in capital spending, and low levels   of inventories, we feel more confident that the foundations have been laid for a sustained   expansion  Our forecast shows somewhat less confidence in the strength of consumption and in   the pace of employment growth than does the Greenbook, and we show a modestly higher   December 9, 2003 68 of 133    negative contribution from the external sector  But overall, we think the evidence supports the   view that the economy is growing at a reasonably healthy pace and will do so over the forecast   period at a strong enough level to begin to absorb the available slack   These factors and the initial signs regarding prices suggest a more balanced inflation   outlook  The extent of the remaining slack in the economy, the slow pace at which we expect it   to be absorbed, and the strength of productivity growth all suggest little basis for concern that   inflation will rise appreciably in the coming year  Yet the dollar’s decline, the run-up in   commodity prices, and the rise in some measures of inflation expectations suggest that the risk of   further declines in key price series has diminished     It’s important to note that we face a fair degree of uncertainty over many of the key   elements of this recovery  Consumption may decelerate more than we anticipate, as the force of   tax changes and monetary stimulus fade  The strength of underlying growth may surprise us still   and with that may come more modest job growth  The confidence necessary to sustain strong   business investment could still falter  Growth in Europe and Japan still looks very slow, even if   the downside risks have diminished  Emerging Asia is, of course, very strong, and there are   better numbers across most emerging markets  But many emerging economies remain very   vulnerable, with very large balance sheet exposures, weak institutions, and political systems very   open to populist pressure     The scale of dollar reserve accumulation and the exchange rate regimes that support that   demand for dollars seem unlikely to be sustained indefinitely  The combination of the sheer   magnitude of our external imbalance and the size of the gap in potential growth between the US   and other major economies will leave us exposed to considerable risk in financial markets, with   potential cliffs for the dollar and a sharper rise in interest rates  These risks and the troubling   December 9, 2003 69 of 133    fiscal trajectory mean that monetary policy will carry a greater burden for sustaining confidence   in US financial assets  The extent of the decline in credit spreads and the magnitude of   opportunities for the development of leveraged positions combined with the large scale of the   mortgage-backed market mean that we have to be attentive to the risks that will come from a   sustained period of low rates and to the forces that will be unleashed as its end approaches  This   requires careful attention, though it’s not clear what that really means for the policy judgments   ahead   On balance, we see the prospect of stronger real growth and a higher underlying rate of   potential growth, and we have greater confidence about a more benign inflation outlook  We’re   approaching a point at which we need to consider how to move to a more neutral, less   accommodating, policy stance  We will have time and perhaps reason to begin that discussion in   the New Year, probably sooner than we had thought would be necessary  I’ll wait for the   discussion on policy and our press statement to address those interesting questions  Thank you  "
7431,2003-12-09,"  I’m comfortable with both the policy recommendation and the   statement as crafted  I think the statement you’ve proposed is better than the alternatives  In my   view we’re at a point where it’s appropriate to dial back a bit the forward-looking signal we’re   sending  You’re proposing to do it in four different ways, and I think each of those is justified   and helpful  People say that there’s something of a paradox about policy and interest rates in   that, by the time we feel the need to talk about an exit strategy, it may be too late  I don’t think   one can make the case that we’re at that point yet, and I believe your recommended approach   gives us a little more flexibility as we confront the more difficult choices we’re going to face in   the first two quarters of next year  "
7490,2004-01-27,"  Let me just make a complicating observation, which is   that I’m not quite sure what we think we mean when we say we’re in favor of “gradual   evolution”  Many of you who have spoken today of gradual evolution have somewhat different   views about the future statement in terms of what the third paragraph should be  So I was just   going to ask this complicating question of you, Governor Ferguson  What does greater   flexibility in assessing the risks mean in terms of which direction you want to see flexibility?     Yes  I’m happy to associate myself with that   consensus     Coming new to this discussion, I have been more   moved by the arguments in favor of accelerating the release of the minutes than I am troubled by   the arguments against  But the arguments against are proliferating, and those arguments are   significant  Some of them I hadn’t thought through, and I believe they’re worth thinking about   carefully  My general sense is that we should try to get ourselves more comfortable than we are   now as a group with moving toward early release  Whatever ways we can get ourselves more   comfortable are worth investing in  I would offer the qualification, just to amplify what Don   said, that I doubt a dry run is going to tell us much about what’s really material to the choice   here  It won’t tell us anything about the market dynamics  It won’t tell us anything about how   the decision will affect the dynamics of the discussion  It won’t tell us anything about how hard   it is to get a consensus on the minutes if the differences of view become consequential  My   sense is that we should think through these two specific questions of whether it complicates an   intermeeting decision or reduces our discretion on intermeeting action  And we should explore a   bit Bill Poole’s question about whether there are discussions we would have in this room—on   subjects such as a major financial system issue—that we would not want to mention publicly    within six weeks much less three weeks or two weeks  I think those matters are worth exploring,   frankly, before we take this next step of going into a dry run  But just to end where I began, I   think it’s worth trying to see if we can get ourselves more comfortable with moving in this   direction because I suspect the returns are worth it     Why don’t we ask the barons of this place to explore a   bit some of these technical questions that haven’t been explored in detail in the paper?  Why   don’t we ask them to do that, and come back to us before we go through the mechanics of   launching a dry run?  I suggest that because I think those issues are more important, frankly, than   what we’re going to learn in a dry run       I have only the weakest of convictions on this issue  I   think Mike Moskow’s point is a very interesting one  If there are sensible changes that we could   all embrace in how we present these forecasts but we’re all against or uncomfortable with   elevating their importance, it may be a mistake to contemplate sensible changes  I have a   somewhat more open mind to the merits of thinking about some sensible changes even if we’re   going to retain the current relatively limited role of the forecasts in our thinking  So I’d say   those minor adjustments are worth thinking through a bit more  But I see no great benefit in   substantially raising the profile or the contribution of the forecasts—nor the time we invest in   them—as a guide to policy going forward  It may not be worth going through this, but I don’t   think there’s a case for increasing their frequency, and I don’t know how I come out on the   merits of separating them from the testimony itself  So I offer those weak convictions     The third sentence in the second paragraph, which is   the sentence about labor markets, now reads in the proposed text  “Although new hiring   remained subdued, other indicators show an improvement in the labor market”  I was just going   to suggest that we replace “show” with “suggest”   SPEAKER(?)  Yes, that’s a good idea     January 27-28, 2004 188 of 238   "
7491,2004-01-27,"  Thank you, Mr Chairman  Developments in the   Second District seem to be tracking those in the nation as a whole  We are strong where the   national economy is strong  The Empire survey shows very high levels of business confidence,   orders, shipments, and most things we measure, but the slope of the increase has flattened    Employment is still soft, perhaps a bit softer than it has been nationally  In our neighborhood,   however, inflation seems to be running somewhat ahead of the national numbers, and our survey   shows further increases in prices received and paid as well as higher expectations for both six   months out     Developments in the national economy since our last meeting support growing comfort in   the outlook  The expansion seems more broad-based, with strength continuing in household   January 27-28, 2004 150 of 238    spending and housing, and capital spending growing at reasonably rapid rates  Exports are   performing well, consumer and business confidence are at quite high levels, and business caution   has receded  The increased confidence in the sustainability of the expansion seems justified    Although we have a somewhat softer outlook for growth than the central tendency of the   forecasts around this table, we share the general expectation that the payroll number should   begin to show more rapid growth  The fall in claims, increasing part-time employment, and   surveys of enterprise plans support this view  With demand growth strong, it would be   surprising if we did not see more-rapid growth in hiring  Inflation, of course, is still very low  It   is hard to find evidence yet of a change to the trajectory of a gradual downward drift in the rate   of increase in core inflation    Looking outside the United States, demand looks stronger and the news is generally   encouraging  Still, the major economies are growing at rates substantially short of the US pace   Policy in Europe and Japan may be getting better, but it doesn’t look too impressive when judged   against the scale of the structural challenges  Fundamentals in emerging-market economies have   improved, although perhaps not to the extent implied by the very low spreads to Treasuries  The   broad consensus in favor of open trade policies seems more fragile these days despite the   strength and breadth of the global recovery    Overall, we believe that the US economy is likely to continue to expand at a pace   somewhat above our estimate of potential growth and will do so for the next several quarters    We believe that the range of uncertainty around this outlook has narrowed, but the probability of   a stronger outcome may now exceed that of a weaker outcome, and this is a good thing  We   expect inflation to stay low  There is some chance that inflation will decelerate further in the   near term, but we can afford to be less worried about this risk given the apparent strength in   January 27-28, 2004 151 of 238    demand  We now face a rising, if still small, probability that inflation will find its floor and   begin to move modestly higher  The critical question, of course, is whether this will happen   even if the apparent slack in the economy is absorbed only gradually   This is a reasonably encouraging outlook, but it is probably healthy to acknowledge the   sources of uncertainty and risk  The sources of uncertainty and risk are not new, but they are   compelling still  The apparent strength of productivity growth supports the view that the   microeconomic fundamentals of the US economy are exceptionally strong relative both to its   recent path and to the performance of other major economies  There is a lot, though, that we do   not know about these dynamics and what they mean for employment and inflation, given our   forecast for growth, and what in turn the implications of these dynamics are and how soon it will   be appropriate for us to adjust policy  Caution here argues for giving ourselves more flexibility   than our statement now provides, with a possibility that we may need to move sooner than we   had thought and than the market now expects    The scale of the broader imbalances in the economy—the low level of private savings,   the substantial deterioration of the structural fiscal position, and the size of the external   imbalance—remains a source of considerable risk  Even if the long-run sustainable level of US   growth is higher than conventionally thought, the factors necessary to bring these imbalances   down to more comfortable levels are not now in place, and they do not appear to be in prospect    The fact that the dollar decline has been so benign should not be too reassuring, given the forces   at work to slow it and to support official foreign demand for US fixed-income assets and given   the extent of the further adjustment in the dollar that may still be required  These risks don’t   alter the balance for monetary policy now, but they may suggest that we need to be more   January 27-28, 2004 152 of 238    attentive to the downside of giving the markets too much confidence that policy will remain on   hold indefinitely   And finally, of course, financial conditions are now very accommodative  Asset markets,   credit spreads, risk premiums, and measures of volatility have all moved a long way toward a   very benign view of the world  These factors make the fundamentals look better than they   probably are  They make us more vulnerable to the buildup of distortions in financial markets   that can only be unwound with some drama  They amplify the force provided by our already   exceptionally accommodative policy stance  This merits attention, and at the margin it probably   also reinforces the case for recalibrating our signal a bit to position us more comfortably to deal   with the possibility that we may see a case for moving policy before the end of the year  This is   not a call to arms or a call to action  This is meant just to be a case—to borrow yesterday’s   formulation—for a gentle, gradual evolution [laughter] in how we frame the forward-looking   signal in our statement  Thank you  "
7492,2004-01-27,  So do I  
7554,2004-03-16,"  Thank you, Mr Chairman  I’ll do this briskly    Economic developments in the Second District remain quite favorable  Business and consumer   confidence have weakened some, employment has fallen a bit, and in our Empire State survey   the forward-looking six-months-ahead expectations show somewhat diminished optimism, but   the numbers are still reasonably strong  Manufacturers report stronger pressure on input prices,   with particular concern in steel and energy, as many of you have said  Perhaps more   significantly, they are reporting higher prices received and expectations of more pricing power   ahead   The parts of the New York business and financial community with national and global   businesses continue to report a reasonably positive view of the outlook  They are a bit more   March 16, 2004 61 of 107    cautious than they have been, less because of concern about actual diminished growth in demand   or profits than because of uncertainty about the sustainability of the expansion if employment   growth fails to strengthen, the implications of the political calendar on the economic policy   debate, and renewed concerns about terrorism risks  Greater confidence in productivity growth   is not leaving people with as warm a feeling about the future as one might think is justified     In our view, the basic elements of the expansion appear to be on the same path as they   did at our last meeting  With powerful support from the forces of monetary policy,   accommodative financial conditions generally, and the structural acceleration of productivity   growth, we expect the economy to continue to expand at a reasonably healthy pace for the next   few quarters  Consumer spending may moderate a bit, but real income growth should continue   to support expenditures at a comfortable rate  We expect investment to continue to strengthen at   a quite rapid rate, supported by confidence in demand growth, competitive pressures to upgrade,   ample profit margins, and very favorable financial conditions  We’ve moved our forecast up a   bit, but we are somewhat lower in terms of GDP growth for 2004 and 2005 than is the   Greenbook  The main differences are in the expected path of consumption and a larger negative   contribution from net exports  We see consumer expenditures slowing somewhat because we   anticipate a gradual rise in the private saving rate—we are more optimistic about virtue  We are   less positive about impetus from asset prices, inflation, and interest rates  We also see   productivity growth staying at a more elevated level longer and falling less than does the Board’s   staff, and as a result we expect more-moderate employment growth  On balance, though, we   share the staff view that growth will continue at a level somewhat above what we consider to be   trend or potential   March 16, 2004 62 of 107    In our judgment, the core inflation numbers are likely to remain low, but we may now   have reached the point where the rate of increase will stop falling  Unit labor costs should start   to rise modestly as productivity growth moderates, but the increases should be quite modest for a   while  We suspect that the surveys on pricing pressure and a growing ability to pass on those   price increases mean something in terms of a diminished probability of further falls in inflation   On balance, we see the risks to this outlook for growth and inflation as quite close to   symmetric  Relative to our last meeting, the chances of a substantial upside surprise on output   growth seem diminished  And until we see employment growth strengthen and unit labor costs   turn, there will continue to be some chance of a further decline in core consumer price inflation    Even if—or when, I should say—those conditions materialize, we consider it unlikely that   inflation will accelerate over the forecast period to a range above our comfort level   So on this basis, we see monetary policy as appropriately calibrated to these conditions,   and we believe that could prove to be the case for some time  However, the Committee’s   success in convincing markets that it will be patient is contributing to conditions in financial   markets that could cause us and the macroeconomy—and even Don Kohn—[laughter] some   discomfort  I think we should be uncomfortable now with the extent to which expectations of   the turn in the fed funds rate have receded  With the overall risks close to balance, we have less   need for and face more risk in a communication signal that is still interpreted as designed to hold   interest rate expectations down well beyond the immediate policy horizon This is not an   encouragement that we act now to dial back that signal  But we need to consider thinking about   doing it soon, if only to increase our future room for maneuver  Thank you  "
7555,2004-03-16,"  Mr Chairman, I’m comfortable with your   recommendation both on policy and on the statement  I think it’s true that the anecdotal   information on prices is worse since our last meeting  But the numbers haven’t moved  And our   statement already reads that the risks on inflation are quite close to balance  “Almost equal” is   quite close  [Laughter]  On that basis, I’m comfortable with the suggestions you proposed  "
7605,2004-05-04,  Thank you  
7606,2004-05-04,"  Thank you, Mr Chairman  The balance of risks has   changed since our last meeting, and the changes seem largely favorable  The outlook for growth   seems stronger, with less downside risk  Inflation risks appear more balanced around a higher but   still quite moderate path   The economy of the Second District has continued to improve  The pace of the expansion   has increased  Where we were weaker earlier in the year, we are now stronger  There is less   caution in the commentary  Employment is increasing quite rapidly, and businesses report plans to   increase hiring further in the months ahead  We hear, as do others, lots of reports about skills   mismatches and difficulty in filling positions  Inflation in our region is higher than the national   average—about double—despite what seem to be higher levels of resource slack and a later onset of   recovery  Much of the rise in prices is due to housing, but business contacts in the District report   higher input prices and a greater ability to pass on these costs, on goods at least   For the nation, we continue to expect the economy to expand at a rate of roughly 4½ percent   this year even if monetary policy follows the path now reflected in market interest rates  The   fundamentals of an improving labor market, moderate compensation growth, and high reported   confidence levels seem likely to support a reasonably strong pace of growth in consumer spending    Investment spending seems likely to continue its rapid recent pace, supported by greater confidence   in demand growth, strong profit margins, and favorable financial positions  In contrast to the   picture at some points over the last few months, it’s hard to find evidence of actual or incipient   softness in demand  Although we forecast continued strong productivity growth, we expect the   pace to moderate and employment to expand at a rate somewhat above estimates of the underlying   rate of growth in the workforce  Overall, we continue to support a balanced risk assessment on   growth, with a path only moderately above what we consider to be potential     May 4, 2004 52 of 112       The inflation outlook has changed more significantly  The acceleration in inflation suggests   a more broad-based shift than simply the transitory effects of large changes in a few components of   the index  Surveys of establishments show a more generalized increase in the ability to pass on cost   increases  Unit labor costs seem likely to have shifted into positive territory in the first quarter—a   significant swing, even if the overall rate of increase seems only modestly positive  The TIPS   spreads show a significant rise in inflation expectations over the medium term and a very modest   rise—one could even say by some measures a small decline—over the longer term  These   developments do not, in our view, portend a significant risk of sustained acceleration in inflation in   the near term to levels inconsistent with our objective of price stability  We still believe that the size   of profit margins, the degree of slack remaining in the labor market, the fading effect of the decline   of the dollar, the recent surge in commodity and energy prices, and the pressures of competition will   work to contain the degree of acceleration in core consumer prices   Our forecast is for the core PCE to increase roughly 1½ percent in 2004  We are less   confident in that forecast, however, given the uncertainty we face about the path of productivity   growth, the size of the output gap, and the relationship between output and inflation in this   environment of transition  These developments alter the monetary policy calculation We need to   be more attentive now to the risk that a sustained increase in prices could materialize at an earlier   point than had seemed likely, and we can afford, of course, to be less concerned with the risk of an   unwelcome fall in the rate of inflation  The risks of being late compared with the risks of moving   too early are now more symmetric  We need to adjust our statement accordingly, to position us to   be ready to act soon if the numbers confirm the recent trend toward stronger employment growth   The financial markets seem to reflect a high degree of confidence in our capacity to contain   the risks of a significant acceleration of inflation  The stability in long-term expectations that seems   May 4, 2004 53 of 112       to be reflected in the term structure, however, can’t be separated from the substantial degree of   monetary policy tightening now priced in over the next twelve months  This is a sign of credibility    On balance, I think we should welcome the degree to which markets have pulled forward their   expectations of the timing of the first increase in rates  Thank you  "
