,start_date,content
17143,1998-05-19,ye mr chairman will read page bluebook oper paragraph shown implement polici immedi_futur committe seek condit reserv market consist maintain feder_fund_rate averag around percent context committe run object price_stabil sustain_econom_growth give care consider econom financi monetari develop somewhat_higher feder_fund_rate slightli lower feder_fund_rate might accept intermeet_period contempl reserv condit expect consist consider moder_growth come_month
18719,1999-10-05,ye mr chairman will read page bluebook promot committe run object price_stabil sustain_econom_growth committe immedi_futur seek condit reserv market consist maintain feder_fund_rate averag around percent view evid current avail committe believ prospect develop like warrant increas decreas feder_fund_rate oper object intermeet_period
18721,1999-10-05,chairman greenspan vice_chairman mcdonough presid_boehn governor ferguson governor gramlich governor kelley presid_mcteer governor meyer presid_moskow presid_stern ye ye ye ye ye ye ye ye ye ye
19856,2000-10-03,ye mr chairman will read page bluebook direct word feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist maintain feder_fund_rate averag around percent balanc_risk sentenc background run goal price_stabil sustain_econom_growth inform current avail committe believ risk weight mainli toward condit gener heighten inflat_pressur forese futur
20563,2001-05-15,ye mr chairman will read page bluebook direct word feder open_market committe seek monetari financi_condit will foster price_stabil promot sustain_growth output run object committe immedi_futur seek condit reserv market consist reduc feder_fund_rate averag around percent balanc_risk sentenc press statement background run goal price_stabil sustain_econom_growth inform current avail committe believ risk continu weight mainli toward condit gener econom_weak forese futur
20565,2001-05-15,chairman greenspan ye vice_chairman mcdonough ye governor ferguson ye governor gramlich ye presid_hoenig governor kelley ye governor meyer ye presid_minehan ye presid_moskow ye presid_pool ye
20592,2001-05-15,express opinion
20595,2001-05-15,okay chairman greenspan
20601,2001-05-15,vice_chairman mcdonough governor ferguson governor gramlich presid_hoenig governor kelley governor meyer
20604,2001-05-15,presid_minehan presid_moskow presid_pool presid_moskow remind peopl essenti thing end
20606,2001-05-15,vote six favor
