,Date,content
7,1976-03-29,"  Mr Chairman, suppose one took a very cold, hard, objective look at the  RPD experiment and said there never was one  The Committee was fooling itself from the  beginning, that any significant realistic experiment would have required much larger variations  in the federal funds rate than the Committee was ever willing to tolerate--     I would be inclined to suggest a minimal kind of explanation  I think  the explanation that you’re suggesting would be too revealing if it were written in up in a fairly  honest, candid fashion  "
31,1976-04-20,"  Thank you, Mr Chairman  Mr Zeisel will [begin] our comments this  morning with a review of recent economic developments     [Secretary's note This statement was not found in Committee records]       If I remember the numbers right, the index of industrial production on a  quarterly average basis did go up more than 7-1/2 percent [unintelligible]  What is puzzling, and  you are right in this connection, is that the rate of increase of industrial production slowed from  the fourth quarter to the first, whereas the rate of increase in real GNP increased from 5 to  7-1/2 percent  My best guess is that we may be suffering from some potential revision in the  industrial production numbers for March     There is a real possibility that, when we get the April employment  figures in, we will find that the March decline in the average length of the work week was a  statistical aberration, and this may then in turn [unintelligible] with revision in the March  production index  It is a puzzle, and these puzzles do occur on a quarterly basis not infrequently,  and it sometimes takes some time for them to be resolved     But that March estimate that we put up would be heavily based on the  man-hour figure     Governor, I think what you need to look at is the level of real GNP by  the end of the projection period because, while the rates of growth are quite different by the end  of this period, that is true just in the final part of the projection period  The level of real GNP  with the alternatives is not as large as the growth rate might suggest--that’s less than 1 percent  difference in real GNP by the end of this projection period     4/20/76 - 7 -             The model has no direct expectational effect built into it  I am inclined  to the view that, if we are talking about policy alternatives which differ by these amounts, we  might reasonably neglect expectational effects and reckon that this would be a probable  alternative course of rates that would emerge  I think that that assumption would become much  more questionable if we were talking about more divergent policy alternatives     That is correct     That’s correct     That’s the way we would wish it to be interpreted, particularly in view  of the considerable uncertainty we face as to the amount of money that is needed to finance any  given increase in gross national product  That makes an exercise of this sort all the more  difficult       4/20/76 - 8 -             And we don’t know that they are not, Governor Partee  That’s where  the source of the uncertainty lies     I’d be happy to, President Mayo  The impression has been gained  [from] the statistics in the newspaper that final sales rose relatively weakly in the first quarter  In  fact, that reflects the decline in net exports  If you take a look at private final sales excluding net  exports, they went up at a 79 percent annual rate in the first quarter, which is a very strong  increase  If you put in the government [purchases], the increase is not so large--on the order of  6 percent, but that’s still a good increase  I would not interpret these first-quarter results as  implying the necessity of radical changes in our forecast, but this is certainly not a weak report       I think that is the major lesson     I think that is the major thing that led to a stronger forecast, a stronger  first quarter than we had anticipated  But I would want to stress the fact that this would by no  means be suggestive of involuntary accumulation of inventories  We did not see a weak final  sales picture in the first quarter, and I would remind the Committee also that this is an estimate  based on two months of inventory, and not all the price data that are needed to evaluate the  inventory [unintelligible], so I think we ought to wait just a bit    I would also note in this connection that the thing that would concern me most in terms of  potential underestimation of expansive forces would be evidence that business attitudes toward  inventory accumulation have changed in a significant way  We are now [unintelligible] to build  up stocks to high levels, and in this connection the Redbook tells a very different story  It tells a  story of a business community that is still being very cautious       4/20/76 - 9 -             Let me say one thing about internal sources  As I interpret business  loan figures, I think we are still getting a very substantial improvement of corporate profits going  there  The fourth quarter numbers don’t show anything in that regard; they show profits leveling  out  But if you look at the statistics for the fourth quarter, what you find is that we had an  enormous shift in the statistical discrepancy in the GNP accounts, from a minus 3 to a plus 5   That means that product went up more than income did, and it may well be that subsequent  revisions of the numbers will indicate that we have had more growth [unintelligible] than we  know about     4/20/76 - 11 -             I would have to go back and look at the statistics much more closely   The weakness in business loan demand through the fourth quarter didn’t surprise us all that much  because inventories were still declining at that time  The weakness in the first quarter gets more  puzzling, but I don’t know whether or not this is an exception which is so outstanding as to be  without parallel     Yes, no question about that     Right     I have not studied their results in comparison with ours closely enough  to give you a good answer on that  Perhaps we ought to put out a memo on it and send it around  to the Committee     My guess is that the results of [money growth] alternatives on other  models would show less difference in nominal GNP  We tend to have quite high money  multipliers in our model relative to other models  So I think what you would find is that a  1 percent increase in M1 or a 1 percent decrease would have less effect on nominal GNP on, say,  the DRI model or the Chase econometrics model than it would on ours  But I would want to  look to be sure about that     We will be happy to send a memo around     After the first quarter, we are assuming an increase of productivity of  around 3 percent, 29 percent  Our first quarter number was quite low, and this is one reason  why we feel more comfortable that the numbers that Commerce has come up with in GNP are  now beginning to make more sense given the figures we have been looking at in terms of man- hours     But a 3 percent increase in productivity is about what you would expect, I think, if the rate  of real expansion is 5 to 5-1/4 percent  If we are in the process of revising up [the] rate of real  expansion, as I think we will be, this will have more optimistic implications for productivity   But I think one can’t discount the fact that the economy is stronger  You really can’t anticipate  that this improvement in productivity will work through to a lower rate of increase in prices   And I think you have to figure that shortage problems will begin to develop in particular  industries, and you will get particular price increases, which will mean a more rapid rate of  increase in the average price level     There’s an element of truth to the argument      If payroll taxes are not raised, that is one less [thing] pushing  [unintelligible] on the price level  But if you are talking about a more expansive fiscal policy  generally, other than that element, I don’t think you can argue it is going to be less inflationary      4/20/76 - 14 -             In a similar fashion, yes     Yes, it’s growing very rapidly  "
58,1976-05-18,"  Thank you, Mr Chairman     [Secretary's note This statement was not found in Committee records]     It should be out this afternoon     5/18/76 - 17 -           I think we underestimated in 1972--       That was put out only after we recognized the fact that our overall  index of capacity utilization in manufacturing was seriously misleading us  I was building up to  that  I think there were three elements in the picture  I think we tended to underestimate the  strength of domestic expansive forces in 1972-73  I think we underestimated seriously the  significance of the worldwide boom in economic activity in our own economy  And I think,  third, that we were not at all aware of the serious deficiencies in our index of capacity utilization  in manufacturing  We were led, as a consequence of the resulting shortages that developed and  our failure to perceive them, to [revise] our index--     Well, things were beginning to--     The overall index reached its peak rate of utilization in the second and  third quarter  In the second quarter, for major materials the index was at 934 percent, for the     5/18/76 - 19 -         third quarter about the same, 935  So we were moving into that area looking for signs of  shortages at a time when the index was very close to its peak      I [and] the research staff here would be very happy for any assistance  we could get from the Reserve Banks  We do have a paper in process which is designed to  assess what is likely to happen to rates of capacity utilization in the major materials industries if  roughly the consensus forecast is realized  I’m aware also that studies for other countries are  being undertaken under the auspices of the OECD, so we may get some better information from  that source     One thing I would point out, President Morris, is that the expansion that we are forecasting  as a staff, and our forecast is reasonably close to the consensus, is a lot weaker than the  expansion we had in 1972  In 1972 we had the strongest expansion for the second year of  recovery of any postwar upswing  Real GNP in the four quarters ending in the fourth quarter of  1972 rose by 73 percent  That’s an extraordinarily strong expansion  Of course, it did occur  after a relatively weak first year     What we are forecasting now is an increase in the second four quarters--that is, the four  quarters beginning with the second quarter of this year, ending with the second quarter of  1977--of around 5-1/4 percent  If in fact, our forecast underestimates significantly the expansive  forces in the economy, and we get up into the 7 percent range, then I think we are going to have  to reassess the meaning of the capacity constraint problem that we may face     Quite     That’s right  Well, we would hope that within a few months we will be  able to put out an expanded index of capacity utilization in the materials industry so we will not  only have measures of capacity utilization for major materials but for all materials       We are working and we hope to have, in the not too distant future, a  new and completely overhauled index through all of manufacturing  I think whether that index is  useful in telling us about problems of capacity utilization, I’ll [wait for] some experience with it  Mr  Chairman, I--     I would hope so     No, on the materials within a few months  Within six months, possibly,  we may have a--     Well, it’s quite possible     We have a good bit more industrial detail, too, than what is in the  published index that we look at--     I would certainly support it wholeheartedly, Mr Chairman  I think  qualitative input of the sort that you’re talking about is very valuable, and I would encourage the  Reserve Banks to submit to us whatever they can obtain by way of information from their  contacts      I think an appropriate place for that to be taken up might be in the  System Research Advisory Committee  We are not meeting today, but we will a month from  now, and perhaps we can get some thinking stimulated between now and then so that--     5/18/76 - 22 -           Indeed it is  We had major revisions of the inventory statistics coming  out in July 1974     What we are concerned about, as I indicated in my briefing, President  Balles, is that price pressures will begin to develop a little more strongly than we had anticipated   I don’t look for the serious problem to come from the agricultural side  I think the run-up in  farm and food prices is  a rebound from very low levels in agricultural prices  That’s not likely  to continue unless we get very unfavorable weather  The crop situation looks quite favorable,  generally speaking, and we think that, at the retail level, the trend of food prices is more likely to  be determined this year by wage costs than by what happens to the prices of raw agricultural  commodities     On the industrial side, the increase in wholesale commodity prices in April still looks  reasonably moderate  And we’re worried about the announced increases we’ve seen in the  metals area, particularly recently, but we think that if wage costs continue to rise at a rate which  boosts the unit cost of labor--it’s somewhere around the 5-1/2 percent annual rate--then an  increase in the general price level much above that would not be particularly likely  You will see  [greater increases in] individual commodities, but probably not in the overall indexes  So  something in the range of 5-1/2 to 6 percent still looks to us like the reasonable estimate of the  general rate of inflation between now and mid-1977      5/18/76 - 24 -           What we are assuming is a strong pickup [unintelligible] in  manufacturers  The projection we have at this point is for an increase, year over year, of  10-1/2 percent in spending for 1976  And by the middle of 1976, we figure that total business  fixed investment would be rising in a general range of 12 to 15 percent at annual rates in real  terms  [We see a] quite widespread increase in plant and equipment spending, and a particularly  large [increase] in manufacturing     At annual rates, yes  That’s not an unprecedented kind of expansion in  business fixed investment     By mid-’77  By mid-’77     It’s going to take some time to generate a head of steam  So that the  year-over-year increase we’re projecting--     Well, I think there are two things in our mind that will keep the rate of  general price advance relatively close to the increase in unit labor cost  One is the fact that we  think the outlook for food prices at the retail level is such that, on balance, retail food prices will  increase a little less than the rate of increase in prices generally  The other thing is that profit  margins already have improved rather substantially  And this is a stage of the cycle where we  often see profit margins begin to be trimmed And what we have worked out in terms of a  projection of corporate profits for the next four quarters, given an increase of overall prices only  a little above the rate of increase in unit labor cost, is a further increase in corporate profits  It’s  something like 20 to 25 percent  So it seems to fit as a consistent overall package, and we are led  to believe therefore, that this is a reasonable price projection     Now, I would say that, in looking at the staff’s record of price projections in the past, if I  were to make a claim that we are fairly accurate in this area, everybody in the room would know  it’s pure fantasy  But I would also remind you that the business community has been saying  since early last year that, as soon as the economy gets back into recovery, we’re very likely to get  right back into double-digit inflation  I don’t think the business community is a particularly good  forecaster of prices either     So far this year the performance on the wage side has been far better  than our expectations  And I’m a little hesitant to cite any numbers now, at the moment, because  the Teamsters settlement hasn’t got into the index yet In March and April, the rate of increase of  average hourly earnings was only 4 percent at annual rates  Now that’s way, way under what I  think is a likely expectation for the rest of the year  What we’ve been forecasting for the year as  a whole is an increase in average hourly earnings of around 7-3/4 percent  The experience so far  is much lower than that, but we think it will bounce back up again once the Teamsters  settlement--and the rubber settlement and the others to come in--get into the averages       I think that’s a fair comment  However, it’s difficult to tell exactly how  to take it into account when businesses thus far have given almost no evidence that, with regard  to either inventory policy or commitments in the fixed investment area, they’re acting in line  with an expectation of wildly increasing prices  All the reports we get are that businesses are  still playing their inventory policy very, very close to their chest, very cautiously     I know, but they picked up strongly in an environment of large  increases in consumer spending, and they’ve done so much later than they do in a cyclical  recovery     We’ve got the [unintelligible] of inventory accumulation     We have heard nothing here about 60-month terms; we’ve heard a good  bit about the move from 36 to 48 [months]     The proportion of over-36-month maturities is rising  There’s no  question about that      That’s Mr Fisher’s section     Oh yes, we’ll get this under way       Right, we did have two years of very strong increases in capacity in the  major materials industries relative to expansion of capacity elsewhere  These were in both ’73  and ’74  The projections for ’76 don’t show any unusual increase in [capacity in] the major     5/18/76 - 29 -         materials area relative to other industries, except a fairly broad-based kind of thing  So I think  that has alleviated the problem  But I think a greater factor tending to alleviate that problem of  shortages of industrial materials is the fact that we do not have the synchronous, tremendous  worldwide boom that we had then  If that should develop again, there is, I think, a serious  question relative to the adequacy of capacity--     It could, yes      I’m not a student of the economies of other countries, but I have the  feeling, from what I have generally understood, that economic policies being pursued by most of  the major industrial countries are much more conservative now than they were [earlier] And that  I think would tend to constitute--     Well, I think product markets are improving quite nicely, now, and [if]  our projection is realized, products are going to continue to improve  We are projecting a  continuing strong increase in consumer expenditures, around 5 percent, which is historically a  very good rate of increase in consumer spending  We are forecasting a substantial rise in  business fixed investment  A movement of inventory investment up to something like 1-1/4  percent of gross national product  If those kinds of markets materialize, I would think it would  be relatively easy for businesses to pass on their cost increases     I guess I would not interpret our projections quite the same way you do  Governor Wallich  I think if one looks back one finds historical precedent for the sort of  projection we’re making, that is, in the second year of recovery, normally speaking, the rate of  real GNP expansion slows substantially  A typical postwar recovery has something like a 7  percent [rise] in the first year--using very broad numbers--and drops back to the 3 to 4 percent  range in the second  Yet the second year is the year in which you have the biggest thrust from  business fixed investment    What we’re looking at now is a projection in which true business fixed investment is a  strong element, but we still have a very large expansion of personal consumption expenditures     5/18/76 - 32 -         going on  A rise of around 4-3/4 to 5 percent in real terms, the decline in the saving rate to  around 6-3/4 percent by the end of the projection period, and we have a good rate of inventory  investment continuing  The rate of inventory accumulation rises further, up to about 1-1/4  percent of GNP, as I mentioned earlier     The only sectors from which we are not getting a significant thrust are government, which  you mentioned; and we may still be underestimating state and local expenditures; we may have  misjudged fiscal policy; the housing sector, where I think a strong case can be made that the  further rise is likely to be moderate; and the net export picture  In this latter connection, I would  note that we have quite a strong increase in real exports plugged into our projections  I  remember that the real increase is on the order of something like 8 to 9 percent  But an  expanding economy also generates rising imports and that takes away the expansive thrust   [unintelligible]  I think this is a fairly typical--  "
85,1976-06-22,"  [Secretary's note This statement was not found in Committee records]     I have not heard any such comment  I mentioned one thing in  connection with this weakness in retail sales, which is that if you believe the weekly figures, we  do now seem to be coming out of that  The weekly figures have been untrustworthy in the past,  and I don’t want to make too much of it, but since about the middle of May, the weekly figures  have suggested a general upward course, and the auto sales figures have also improved  There  could be all sorts of reasons for that, including what President Baughman and I think, which is  that there just isn’t any evidence at this point that this is anything other than a very temporary  pause     Press reports in Washington have it that the level of its tourism in  Washington is actually below last year’s     Hotel occupancy is below last year’s     I think that’s a pretty good question, President Black  My own feeling  is that we could be on the high side in our estimated increase in plant and equipment  expenditures  Our estimated increase for the calendar year 1976 exceeds by a considerable  margin what is projected in the Commerce anticipation survey  We have felt justified in [that  estimate] for several reasons     One, our model suggests that the sort of accelerator effect we should be getting from past  increases in real consumer spending ought to be carrying through to the investment level in a  rather vigorous way  Two, business profits have been very good and are still moving up, and it  should induce some changes in planning  Third, new order figures have been unusually strong in  the past five months--a 16 percent increase since the first of this year     There are some signs of hesitancy  The expectations figures do not look all that strong in  the first quarter  The Commerce survey does not show a particularly [large] improvement in  spending plans from February to May  The construction contractors’ work figures are weak   And we are concerned also about this problem of potential divestiture in the oil industry     For the time being, I would want to stick with this kind of forecast on the general grounds  that past cyclical experience rather strongly indicates that once you get a process of strongly  advancing consumer spending under way, it does feed back to the investment level  But the next  few months of information on plant and equipment spending could cause us to change our minds     Well, what I said was, I don’t think we can realistically expect any  slowdown in the underlying rate of inflation--[although] I don’t think it’s impossible  What we  have been projecting is an increase in compensation per man-hour in the range of 8-1/2 percent  at annual rates  And an improvement in productivity of close to 3 percent, which would give us  about a 5-1/2 percent increase in unit labor costs     I think favorable surprises could come from several sources  For one thing, we have,  generally speaking, been overestimating the rate of increase in wage rates this year  The rate of  increase in wages has slowed more than we anticipated, and I think that the relatively favorable  price developments have been importantly responsible  But the light collective bargaining  schedule thus far has also been a factor, and maybe we are going to get better performance than  we had thought     But I think we would want to be conservative  I don’t think we can offer much hope for a  better wage rate performance than 8-1/2 percent in terms of compensation  We may get better  increases in productivity, but here again, our estimates seem to us realistic  A 3 percent rise is a  half  percent above the long-term increase in productivity  A third source, of course, could be  bumper crops, and again we can’t forecast that  It could happen, but I don’t think one can  realistically hold out much hope for them     Gee, I would have a hard time imagining that all foreign countries  taken together are going to do better than we do in terms of rate of inflation  Some perhaps  will--Germany might  I wouldn’t think that the world from which we import generally will show  lower increases in prices than we do       Well, I don’t think we have data relating specifically to GAF stores  If  you were to look at apparel prices, though, I don’t think you would see any significant evidence  of a longer-term slowdown in prices  The increase in apparel commodities during May was half  of 1 percent  And it [was] running about 2 or 3 tenths in previous months       I haven’t looked at that recently, Mr Chairman, and I haven’t--     From what we have heard--     From qualitative reports about the situation in retail stores, we could  see some price cutting  We’ve understood that nondurable goods inventories are sufficiently  high at the retail level as to generate some concern, and we have been told that there may be  some price concessions to help move some of this merchandise  They would presumably show  up in the June CPI     That’s a possibility, but from our discussions with people in the retail  industry, there just isn’t any doubt that sales overall slumped in April and stayed at relatively low  levels in May  They were quite discouraged, and they were looking at increases in inventories  that they found unacceptable     Yes, I would  The increase in starts in May was only a little over  2 percent  The permits figure was up around 5  What we are seeing is a smaller rate of rise in  the multifamily area than we had hoped for  The problems there are proving to be more deep- seated and more intransigent than we had hoped for  And we have trimmed down somewhat our  increase in projected housing starts over the remainder of this year, mainly in the multifamily  area       6/22/76 - 22 -           In the single-family area, I think we can look forward to some further gradual  improvement  But here the discouraging factor is that sales seem to have leveled out  We just  are not getting any further increases in sales in either new or existing homes through April,  which is as far as the data go, and we did check qualitatively to see what May changes might  have been  And generally speaking, the market doesn’t seem to have shown any further  improvement other than the normal seasonal rise  "
109,1976-07-19,"  [Secretary's note This statement was not found in Committee records]     Well, those are quite a few questions all wrapped up in one, Governor  Wallich  Let me try to answer in [unintelligible]  Obviously, we don’t really expect the rate of  real GNP to be 5 percent every quarter  And if it were to come out that way, no one would be  more amazed than the staff  It just doesn’t happen  I do think, though, that the situation we face  now could easily develop into a prolonged period of relatively steady expansion in real output    I have been struck by the similarities in many respects that this expansion [bears to] the  expansion of 1960-61  Let me recite for you what happened during that period  After the first  year of recovery, real GNP growth in the second year of recovery rose 6-1/2 percent; in the third  year of recovery, 3-1/4 percent; in the fourth year, 6 percent; the fifth year of recovery was 5  [percent]  Now that sort of pattern is one that I think would be unlikely to develop in the current  recovery if we have the continuation of relatively balanced expansion which seems to be going  on now     I do not regard a 5 percent growth rate after the first year of recovery as low  On the  contrary, if you look back at [unintelligible] experience, what you find is that the second year of  recovery typically finds the real GNP growth rate falling by about half, about 8 [percent] to 4  [percent]  Once you lose that tremendous thrust from the turnaround in inventory  investment--from deep liquidation to accumulation--it’s quite common for the growth rate to be  slow     Whether or not the potential for overrun is greater than the potential for an underrun of this  projection, I’m not at this juncture sure  We have projected a very sizable expansion of business  fixed investment for the period immediately ahead  For example, the projection we’re making  on plant and equipment expenditure year over year for 1977 is a little over 20 percent  That’s a  fairly heroic projection at this stage of the game, and I can easily see possibilities that plant and  equipment spending did not build up that kind of steam, so I think there are real possibilities for  an undershoot as well as for an overshoot     I would regard the 4-1/2 percent estimate that came up today and our  5 percent estimate as equivalent  We can’t come anything like that close to approximating what  is happening in the economy  I would remind you also that these figures are still preliminary   SPEAKER(?)  Oh sure     We do not have June inventory figures yet  The basic difference  between the actual figures and our projection is that inventory investment went down a little in  the second quarter rather than up a little as we had projected  I wouldn’t consider that as being  anything which would require a modification in any way     We’ve made only very, very minor adjustments in our projection of  business fixed investment  The news as I interpret it has been relatively neutral over the past  months  We had the new orders [data] a month ago, and I reported that, too, as I recall  I don’t  know that anything very decisive is coming one way or another, and it was not our intention to  make any significant modification of the business fixed investment projection     I think that the Greenbook statement had to do generally with the  improvement in the outlook over a longer period rather than the outlook over this past month     As I remember, Mr Chairman, the revision in our projection is very  minor     Pardon me?      7/19-20/76 - 27 -     The business fixed investment figures from the second quarter of 1972  through the first quarter of 1975 show increases this time of about a half a billion a quarter, at an  annual rate, lower than before  The [reason for the] downward revision there was basically that  the shipment figures that were coming in during the second quarter were slightly lower but  [unintelligible] off a bit     We did add more into business fixed investment in the second quarter of 1977, and then  continued fairly strong expansion in the latter half of that year  I don’t regard this as at all a  significant alteration  It still implies an increase in business fixed investment plant and  equipment expenditures year over year considerably exceeding that projected in the last  Commerce survey  I believe the figure we have is between 9 and 9-1/2 percent  And then a  year-over-year increase on a survey basis next year [unintelligible]     Well, I would repeat, Mr Chairman, that this is such a minor  adjustment in the projection of business fixed investment that I don’t consider it significant  I  think our projection for business fixed investment is in the same ball park it was last time     Now, as to why we use shipments  We have been looking very carefully at shipment  figures recently because the shipment figures in the fourth quarter and again in the first quarter of  this year were telling us things about business fixed investment which were in no other figures at  all  And I think in part this reflects the fact that the downturn this time was much sharper, and  we didn’t get the cancellations that I would have anticipated, given that retrenchment  [unintelligible]  But when these shipments began coming back again, we began recording this in  the business fixed investment projection     7/19-20/76 - 28 -     Well, the one thing that has disturbed us in our price projection is  whether or not it’s consistent with what’s been happening to individual materials prices  The  increases in industrial prices that I’m using here, the BLS [unintelligible] industrial price index,  and the movements of these industrial prices are just all over the lot, so [unintelligible] we’ve  seen increases much bigger in some previous upswings than we’ve seen recently     But I would say that the increases are beginning to be worrisomely large  Our view is that  these increases will be accompanied by a picture for unit labor costs which reflects what’s been  happening to compensation per man-hour as well as productivity and will keep unit labor costs  rising in a range of around 5 percent  Now, if you project a much larger increase in general price  levels than we have, and if unit labor costs stay in that range, what you get is a rise in corporate  profits [the size of] which we can’t believe  It’s much larger than is characteristic of the second  quarter of recovery  And that was a principal factor leading us to the judgment that prices would  stay about in line with the rise in labor costs       Yes, yes  We do think that the rate of wage increase so far this year  probably understates what will be going on for the year as a whole because this has been a period  in which we have had a relatively light calendar of collective bargaining settlements  And also  the timing of deferred adjustments under existing contracts is such that they tend to bunch in the  second half     It’s based heavily on past typical experience, [which is] that when you  have a strong run-up in final sales, particularly consumer expenses, it does induce businesses to  become more optimistic as time goes on  It’s based on a strong profit performance, which we  expect will continue; the results of our model point in this direction  We also think that the  Commerce survey, because of the way bias [unintelligible] to me, understated what has been  happening to business planning  The bias adjustment this time is negative--     Yes, the Commerce Department adjusts its raw figures on anticipated  plant and equipment spending for what they consider to be systematic biases that they see in the  data  This bias adjustment has a history to it, a very large movement over the course of the  years  In the early years of the 1970s, Commerce was adding several billion dollars to its  projected expenditures for plant and equipment to correct systematic bias  This year they’re  subtracting several million dollars     If they find certain industries underestimating their expenditures  regularly over a period of years, they will tend to adjust those expenditures upward  If they find  other industries systematically overestimating, their expenditures, they adjust those expenditures  downward     Yes, sir  That’s right  In this particular year, the bias is reducing  anticipated expenditures by a couple of percentage points  If you leave out that bias adjustment,  what you get is an anticipated increase of around 9 percent  And we think that--     I am not aware that they publish the unadjusted figures  I don’t think  the information is confidential, it is available to the public, but we get it over the telephone     They try to make no allowance for cyclical [unintelligible]  A  deliberate effort is made to avoid adjustment for the position of the cycle     I wouldn’t wish to say that a downward revision in our projection of  business fixed investment would lead to an abortion of the recovery  It certainly would weaken  it a great deal  And [it] would get [us] into several [other] areas  Our inventory projection is  conditioned on the hypothesis that once you get a buildup in business fixed investment going for  quite some time, it generates a rather large increase in materials and supplies in the durable  goods industries  Second, the induced consumption increase from the employment created by  rising business fixed investment is also an important element in keeping the growth of  [unintelligible] strong  So you’d have weakening in all three of these areas, but depending on  how much you adjusted the projections downward, [it] might or might not lead to an abortion of  the recovery     Well, President Kimbrel, I guess if I had to express my concern about  our overall projection of business fixed investment at this point, I would say that my concern lies  in the direction, as President Eastburn suggested, that maybe there really isn’t enough evidence  at this point to justify as strong a projection as we have     We are basing it very heavily on the fact that past experience indicates that once [you get]  a good increase in final sales capacity, utilization rates, and business profits under way, it does  carry through to a strengthening of business fixed investment--     I think that--     Well, my thought here, Mr Chairman, is that we’ve got strong order  figures for the first five months of the year; the figures on construction contract awards have  been notably weak, and we see no really significant [unintelligible] up there; and rising new  orders will carry you through for a couple of quarters but not much beyond that  We really have  to see some more basic signs of strengthening in the nonresidential construction area to be sure  that we are going to get this emerging pattern we have projected     No, no, our projections of federal expenditures for quite some time  have been well above the Administration projections  We have a federal outlays figure for fiscal  1977 of $410 billion; that compares with the congressional figure of $413 billion; and as I  remember, the official Administration figure is $394 billion  So, we have been well above the  Administration figures     It is a very moderate increase     That’s what it would seem ought to be implied     We don’t have an orders figure yet for June  The price increases in this  field have not yet been reflected in the new orders that we have at this point  The only way I can  think that the price factor would have gotten into this new orders figure is some anticipatory  volume we have heard of that would have raised new orders for primary metals somewhat  Now  so far as the weight is concerned, in durable goods industries, primary metals is about 9 billion  [unintelligible]      Yeah     We have had a good run-off in the primary metals industry, in part the  consequence of the fact that inventories of durable materials generally were run down, and now  we are at the stage of this cycle where that’s in the process of being reversed  Some of this is a  genuine increase [unintelligible]     7/19-20/76 - 34 -     It’s in the projection     Well, productivity estimates by the econometric model have been  considerably off for a long period  That is, if the model suggests that we ought to have a more  rapid [unintelligible] productivity, then we judgmentally believe it will occur  But it’s been off  for so long that even the modelers themselves don’t trust it     One of the long-standing characteristics of the FTC centers is that they  never performed any [unintelligible] to dig out of the banking data  Now the weekly reporting  banks are a long ways from the all-commercial-banking materials that we get  [Unintelligible]  estimates of what’s going on is banks from which we do not get recent reports and indeed from  which we don’t actually have good loan data except for Call Report dates  In general, what  happens is that the larger banks show much larger cyclical slants in business loans than do the  smaller banks  The smaller banks can have a more steady rise and are often experiencing very  substantial loan expansions when loan demands [elsewhere] are quite weak     7/19-20/76 - 35 -     Mr Chairman, may I just point out that in our own staff projection, we  have allowed some moderate increases in the multifamily starts area  I think that the Committee  should be aware that there are some negative considerations in the single-family area also  The  sales of existing houses have not risen since late last year  Sales of new houses, if anything, are  declining now  [Unintelligible]  We don’t have the underlying demand for single-family homes,  [that] I think [is needed] to send the single-family starts up to a very high level     Well, they are a relatively new series  I don’t know that we have any  basis for evaluating this series     That I don’t know  I don’t have any information on that     In our areas, community pressures of the quasi-governmental kind  operated on rent increases  That’s true in the Washington area--we’ll try to [obtain] as much  qualitative information as possible     I certainly would agree with the Chairman that the movement in the  surplus is small  The projected figure that we had for the second quarter--and I don’t know how  much revision will be necessary because of the statistics that came out this morning--but we had  a high projection of $5 billion, and we had a projected move to about a $4 billion surplus for the  fourth quarter of 1977  Now that’s not a large move  It’s in the right direction in the period in  which business activity is expanding       7/19-20/76 - 38 -   To turn to President Baughman’s question, I confess to being a traditionalist  That is, I  believe that, at this stage of the cycle, a larger deficit would have a stimulating effect on  economic activity  And I believe it would have an adverse effect on inflationary problems, that  is, it would tend to increase prices     That’s correct  And continuing that path beyond the second quarter of  next year     I would acknowledge that comment also, Mr Chairman  And I would  say that one of the chief problems we have had in developing our judgmental forecast is that we   have not been able to come to grips with the kinds of financial restraints that past experience  suggests should be developing with the growth rate of M1 at 5-3/4 percent  Now we have to  make some judgment as to how much further downward movement in the money demand  function will occur  And we take that number right off the wall; it’s that subjective  And I think  forecasters looking as far ahead as late 1977 can come to markedly different conclusions about  the economic [environment] that will emerge from maintaining a 5-3/4 percent growth rate in  M1     Pardon me?     Yeah, right, that is, the rate of increase in velocity tapers off just a trifle  because towards the latter part of the period both the rate of price increase and the rate of real  GNP growth are just a trifle less, but basically it’s a very large and continuing increase in income  velocity of M1 in the projections     Yes, they are     Yes, indeed  You see over the last year the rest of the increase in  income velocity on the order of 92 to 80 percent, but it’s not just a question of the extent to  which the income velocity of money goes [unintelligible] like that  What sort of financial  restraints have developed?  What does this mean for the future?  And I think that what you are  suggesting is that the kind of pressure on interest rates that we’re forecasting is much too  moderate--[you would] expect a much larger rise in interest rates, much more tightness to  develop in financial markets, a weaker pattern to housing, and so on  And that’s a possibility   But you see, that’s the sort of thing we’ve been forecasting repeatedly since the middle of 1975,  and we’ve been wrong     It's hard to say because the other forecasts of GNP that we have rarely  explicitly forecast M1  There are three forecasts that I've looked at for which we have statistics  all the way in terms of both M1 and real GNP  In general, the other two besides ours had a  slower increase in velocity than we did and somewhat higher increases in M1 than we had  projected     Yes, we are maintaining our traditional definition of M1 [unintelligible]  demand deposits  We are aware of the fact that a variety of changes are going on in the  economic system which are leading to economization of money balances so defined  We are  also aware, however, that merely redefining the stock of money to include the time and savings  deposits at commercial banks other than large denomination CDs does not solve the problem   There is economization of that concept of money going on, also, and what we are projecting in  terms of an increase in the income velocity of M2 is also high in terms of experience  We're  projecting a rise of somewhere around a 2-3/4 to 3 percent annual rate over the next six quarters,  whereas the trend rate of increase, as President Balles has suggested, would be close to zero  We  know no way to merely redefine money to get around this problem  Presumably there is a way,  if we only knew what it was, but we don't have the answer     We have a four-week average     Not to the best of my knowledge     I would remind you, Mr Chairman, that if you publish a 13-week  centered moving average, the centering of that period will be 6-1/2 weeks prior to the current  date, and I would be willing to bet my bottom dollar that market reaction to that would be one  huge yawn     The centering in terms of the location on the page, but anybody familiar  with statistics would know that that’s a 13-week moving average  The center of that is 6-1/2  weeks ago  "
