,start_date,content
16411,1997-11-12,thank mr chairman break remark comment overal polici stanc question time issu overal polici stanc becom persuad anyth present feder_fund_rate littl low side reason staff_forecast unemploy_rate_low_inflat heat heat slow rate hard observ heat direct clear believ monetari_polici stay ahead game case secondli opportun listen around reserv bank presid think support conclus know enough law averag realiz nation statist indic will reflect balanc reserv bank presid lot provid anecdot_evid necessarili appar aggreg statist point_think indic evid overh thirdli want refer calcul staff done taylor rule understand fit version rule suggest fund_rate bit low side let turn time find real quandari standpoint domest manag alon think proper cours rais fund_rate promptli know amount percentag_point whatev intern issu creep think consider number mention heard mention often number mention risk thing turn littl wors far might argu fund_rate_increas littl worri term concept will call intern citizenship tri unruffl stabil world currenc market unit_state rais short_term_rate time might pressur struggl currenc worri macroeconom point view term intern leadership respons consider defin consid difficult balanc act join fellow governor say think_probabl good time act though might favor action standpoint domest manag alon side delay bit direct someth intern event major reason come suggest thank
16448,1997-11-12,concur recommend mr chairman
16510,1997-12-16,thank mr chairman last_meet felt standpoint domest consider alon time rais fund_rate dissuad actual vote worrisom situat southeast asia favor chang month reason chang hand event southeast asia becom much worrisom last_month wors case scenario becom best guess scenario month wors case scenario gotten quit bad inde impact southeast asian crisi economi alreadi gener demand restraint anybodi want tighten think call moreov question will call intern leadership unit_state want take monetari action will drive dollar drive asian currenc present action reduc growth overal world demand present domest condit chang economi inflationari side nairu quit clear recent board revis capac_util figur show much product capac appar earlier evid respond survey feel much capac tight overal util_rate close histor averag clear state demand best measur labor_market statist capac statist inde capac statist seem explain price wage chang better present moreov lead indic price_increas commod_price gold price term structur spread remark quiescent refer economi staff right look weaken economi peer ahead wise tighten henc favor chang current polici sever speaker around_tabl use word flexibl think_good word present time frankli quit hard know predomin risk thank
16560,1997-12-16,symmetri intern standpoint domest standpoint thing give paus wait evid inflat given lag monetari_polici late think cost need keep mind conclud given current data economi intern situat symmetri logic cours action
16648,1998-02-03,thank mr chairman usual colleg campus demand econom cours econom_condit worsen guess glad switch career look forecast_inflat seem stabil percent rate arguabl close definit stabl price might endors given measur error price indic present level labor_forc util obvious far nairu far can tell greenbook right wind will taken final_demand among greenbook simul altern assumpt prefer forecast given stock_market declin seem possibl declin earn perfectli known alreadi capit stock_price crank lower stock_price slightli bullish forecast unemploy_rate_rise remain nairu littl closer summari present condit fairli close target price side output side mention relev risk upsid_risk unemploy low usual import phenomenon employ cost index fourth_quarter turn blip think sure cours must meet row combin comment reserv bank presid scare seem give tighter tone look nation statist downsid lot risk mention far commod_price reason behav gold price point term spread indic stabl price_inflat anticip turn util_rate terribl threaten far can tell lot volatil price exchang_rate asia seem hit bottom think lot report chang exchang_rate relat price go signific effect signific yet think_probabl will asian effect domest economi risk_inflat realli drop slightli lower level higher real_fund_rate non trivial factor lot risk_side hard add certainli direct view weight downsid littl bigger
16676,1998-02-03,can forgiven rooki question
16678,1998-02-03,bluebook rang percentag_point wide writ stone tablet somewher strike financi uncertainti institut chang occur financi_market hard pin relationship use curv whatev point width come
16680,1998-02-03,might laughter
16711,1998-02-03,wait somebodi someth agre laughter think governor rivlin got closest certainli altern want attract attent aggreg look chang somewher prefer direct deemphas rang absent might widen reflect clearli view great_deal uncertainti rang
16714,1998-02-03,ye law law write paragraph
16804,1998-02-03,mr chairman_support_recommend symmetri point risk larg either side differ hard figur difficult preemptiv right fine agre wait think tell risk clarifi act quit forc fact act sens increas burden act forc futur can figur risk soon number come last comment relat governor meyer suggest debat price_stabil target think alway good idea debat believ go hard product debat reason previou discuss indic probabl slightli differ notion mean price_stabil certainli differ oper notion look index index adjust rel price absolut price probabl alway desir disciplin discuss issu go hard issu resolv
16898,1998-03-31,thank mr chairman fourth meet previou felt rather confid advic afraid join cold feet crowd let comment greenbook_forecast polici strategi greenbook big chang forecast last_time note comment project sourc slowdown question think realli knew talk regard stock_market valu someth els alway troubl forecast stock_market declin sens stock_market trader know everyth know presum know earn forecast troubl assumpt effect can someth cannot mike_prell conveni done altern forecast assum stock_market declin forecast growth_real_gdp moder pace trend rate run econom_growth get trend mayb bit part slowdown staff baselin_forecast base assumpt stock_market declin look stock_market compar price earn ratio interest_rate ratio necessarili look line market declin sourc slowdown seem littl shaki third point forecast lot brought question core_inflat realli core alreadi lot posit suppli_shock measur_inflat heat littl speak though appar look cpi exclud food energi want comment polici strategi actual larri meyer talk reaction good_news point great low unemploy cannot overemphas relat inflat care know larri will repeat comment point polici strategi among think can oper basi feder_fund_rate target point target tri work other tri work feder_fund_rate replic respond econom event follow money standard follow money_growth standard somehow put asid suppli_shock veloc shock give much troubl interpret monetari_aggreg think perfectli possibl oper modifi money_growth standard rememb feder_fund_rate will bounc around risk follow fund_rate target can target rigid keep mind third polici strategi comment lag econom_condit great rivlin see best perform economi enough historian know certainli good can rememb look around world uniqu bless look ahead known lag monetari_polici conduct polici basi side door drive basi ahead look ahead must inflat_risk begin littl threaten aggreg_demand risk asia begin littl threaten last point relat someth surpris nobodi mention meet attend period desk call fed watch probabl time statist come fed watch fed go heart palpit set number will anyth meet meet reluct predict laughter
16964,1998-03-31,mr chairman will support move asymmetr_direct master fedspeak somebodi propos rais fed_fund_rate_basi_point support worri posit rigid fund_rate_basi_point big deal go fundament effect boom lot worker street think basi_point_increas justifi will support move asymmetr_direct think discuss releas direct earliest opportun agre chang procedur caus lot uncertainti turbul reason discuss issu soon possibl littl_better shape governor rivlin suggest preced announc asymmetr_direct today think prepar futur let thing issu believ mr chairman give polici speech read lot becam member board feel speak mayb naiv part think advantag get word sooner heat indic stand behind polici fomc stand behind polici view advantag get word sooner discuss propos earli date wish today accept cannot chang
16971,1998-03-31,slightli lower phrase order laughter
16973,1998-03-31,ye
17009,1998-05-19,point alon identifi bias cpi half bl taken percentag_point half identifi bias
17089,1998-05-19,thank mr chairman_think approach crunch time sever argument tighten sever argument sit tight larg tighten argument alreadi around_tabl let give argument side question asia seem think seem other asian situat worsen countri especi problemat differ way japan indonesia think spillov effect asian countri littl disturb met bigger impact unit_state felt last_time met secondli let talk littl price movement slight acceler_inflat_forecast expect slight acceler posit suppli_shock simpli wear will acceler greenbook mention shock side tobacco quit know interpret rise rent shock shock event shock side view basic messag price side face price movement seem quit minor worri bring third point nairu worri unemploy gap unemploy gap away greenbook_forecast gather comment gap away forecast person think gap will away futur econometrician reestim equat seem relationship shift time seri analysi good analyz kind shift let tabl uncertainti nairu begun think heard peopl mention strike compar earlier time firm need addit labor increasingli farm product countri labor condit tight countri especi product farm trend know obvious case demonstr rigor think possibl import let talk bubbl issu mention greenbook growth_slow wend within will call kohn cone stock_market cours price_index compar earn price ratio term real_interest_rate find equiti premium posit percentag_point none know equiti premium person find surpris equiti premium drop slightli reason thing financi innov done possibl averag peopl buy diversifi portfolio equiti upshot lower equiti premium along uneasi situat make polici tough call think uncertainti great enough strong argument hold steadi mean other note chang might move sharpli think cost upon cost worth bear thank
17121,1998-05-19,mr chairman_support part recommend reason other given let point side mention last_time focus fund_rate target fund_rate rigid mind can summar comment yogi berra year york yanke fall far behind lead team earli season get late earli year laughter think recogn polit year might harder chang later year mind perhap think hard next_meet support_recommend
17197,1998-06-30,differ question intrigu discuss question japan get forecast recal previou financi crisi countri whose sever judg tenth japan current financi crisi time suffici recognit problem lend institut ls case clean know japan bank problem situat think within year horizon final took act financi crisi think fact econom_condit seem prosper tokyo can littl mislead japanes yet start lose asset cours lost lot term real_estat valu start lose much term financi asset togeth look distanc fall thing right let forecast number struck chart japan gdp half rise percent annual_rate understand will big chang fiscal_polici strike realist forecast might pessimist asia scenario look rapid bounc
17264,1998-06-30,thank mr chairman level might seem meet earlier discuss brought subtl differ polici question expans proceed begin domest economi quarter unsustain rapid almost anyon definit inventori swing damp influenc stock_market net_export guess agreement greenbook growth_slow roughli sustain path argu polici_tighten help process along suppos comfort view polici sit let slowdown occur natur especi view surprisingli good perform inflat turn intern economi other will repeat gener rule polici tri stabil intern currenc valu best contribut world economi keep hous order inflat_rate_low stabl perhap zero stabl real output_growth healthi sustain asian crisi uniqu meet hear countri danger list last_time russia brazil time pakistan south africa next time will number countri perhap linchpin japan last_meet condit describ bleaker bleaker term japanes final consid close bank dispos asset seem rather relax schedul step necessari condit arrest downturn suffici condit short_run close bank like contractionari expansionari think almost inevit japan rebound will delay relat greenbook timet turn economi around probabl need larg perman tax_cut exactli item omit recent stimulu packag perhap beyond japanes economi yen probabl will fall reduc growth prospect rest_world includ unit_state ad roughli comfort present polici given incipi slowdown tighten probabl call countri intern might argu colleagu right seem minut ago tighten let yen depreci littl given asset situat inter countri link within asia rather danger stanc present time_think strong argument continu watch wait polici follow wait risk clarifi know final will
17307,1998-06-30,mr chairman_support_recommend alway think interest point analysi comment thing heard around_tabl asia word someth jordan impli yesterday bill pool impli combin reduct japanes price yen seem card tilt littl toward pessimist asia scenario peter hooper mention yesterday point heard much nairu meet let repeat record given slowdown believ card normal econometr uncertainti convinc nairu will month next point inflat underlin focu core_cpi time larg differ measur core_pce gdp deflat go thing studi tabl tabl think interest issu acceler seri differ level whole perhap worrisom level support view express al broaddu opportun rais feder_fund_rate becom convinc unemploy_rate nairu advantag opportun take probabl think bigger chang fund_rate_basi_point know opportun come along often lastli sympathi bob mcteer return symmetr_direct mull option end reject might consist current think basic ad uncertainti might lead symmetri know think understand littl econom situat want attract attent symmetri issu extent issu talk morn regard rang monetari_aggreg sit asymmetr_direct give thought idea shift symmetri bob mcteer rais thank
17348,1998-06-30,struggl issu everybodi know tent favor releas oper paragraph someth meet essenti reason bill pool gave time understand argument ed boehn mike kelley chairman_think system fundament broken care passion think governor rivlin good suggest endors group establish tri draft paragraph want laughter use univers professor speak central_banker speak particip outrag term compar advantag laughter think written better term suggest stern provid inform meet thought strike subject chairman press confer afternoon meet want suggest let rais issu intermedi step might consid take releas minut slightli instead slightli follow meet ask dinner last night bank england know consid possibl chairman indic reason conting languag minut fun thing occur morn chanc read minut care figur much believ much think minut moder rewritten difficult period tighten eas hero nobodi care much tighten hard circumst lot advantag give warn deed releas oper paragraph immedi meet possibl intermedi step releas whole minut littl next_meet
17447,1998-08-18,thank mr chairman expans clearli weaken real_gdp accord greenbook alreadi trend_growth_rate half_year fall shorter next half_year unemploy rise greenbook scenario depend stock_market rate unemploy arguabl close definit nairu fairli soon listen reserv bank presid hear much commentari month_ago use word slow neg psycholog posit etcetera let bring asia tabl asian forecast progress downgrad believ staff alreadi move fourth call pessimist forecast last_meet forecast process probabl complet present forecast ted truman comment earlier foreign growth weak will talk bit strategi polici believ conduct polici basi fund_rate oppos use indic monetari_aggreg gold number indic suggest problem fund_rate mention lot attent get focus becom difficult chang becom difficult chang adject use describ approach symmetri think remedi chang fund_rate world will use fact oper good driver appli steadi pressur ga pedal rather tri keep car go speed month_ago felt time rais fed_fund_rate bit think_time come perhap soon right thing lower fund_rate bit lower_rate need meet debat thing go believ confront issu rather soon staff document read prepar meet paragraph like best page bluebook justif lower fund_rate cannot question current stanc_polici much either real_interest_rate percent steadi inflat arguabl percent inflat unemploy reason close target valu mental version taylor rule polici roughli right point economi balanc jordan sens think term level feder_fund_rate hard argu far away mean signific harm wait bit move either direct herebi announc join small grow band think_probabl downsid upsid_risk present time
17473,1998-08-18,thank mr chairman will support altern move regim move fund_rate often randomli often laughter think look silli need look silli will exampl use ga pedal control speed car
17475,1998-08-18,highway hill direct cannot move fund_rate around certainli move symmetri claus around think_risk roughli symmetr definit support go symmetri
