,start_date,content
1,1987-08-18,assum approv thank mr prell
21,1987-08-18,governor seger
27,1987-08-18,think saudi self correct mechan maintain post barrel light arabian crude price spot price lift will fall go pay spot sort self correct mechan work begin think_reason cheat realli issu relev bring crude price barrel saudi demonstr can lock price_level
33,1987-08-18,presid guffey
40,1987-08-18,presid_stern
43,1987-08-18,presid_melzer
48,1987-08-18,governor heller
54,1987-08-18,presid black
56,1987-08-18,mr forrest
58,1987-08-18,presid keehn
60,1987-08-18,presid_parri
62,1987-08-18,presid boykin
66,1987-08-18,governor johnson
68,1987-08-18,governor angel
70,1987-08-18,presid_stern
72,1987-08-18,vice presid hendrick
74,1987-08-18,governor seger
78,1987-08-18,presid corrigan
80,1987-08-18,governor heller
82,1987-08-18,presid guffey
84,1987-08-18,presid_melzer
86,1987-08-18,governor kelley
88,1987-08-18,mr boehn comment time
90,1987-08-18,observ spent morn mention stock_market find quit interest think_import sens econom forc histori tell sometim work sometim conceiv time begin open capit_good market dull appropri expand rapid rate expand think order show mix bag mike mention export order see increas share total domest capit_invest market rememb figur order domest facil thing seem appear number real_term irrespect nomin trade figur share capit_invest come abroad increas dramat although begin taper will creat much stronger set order figur equip aggreg appropri number aggreg invest number littl concern look open area staff number show part think profit figur move fairli quickli abil pass price say margin open begin clear evid number area pick form potenti signific profit expans lead conclud run troubl monetari_aggreg level impress hope littl later look possibl turn veloc number stage think presumpt veloc will stay somewher area approxim staff_forecast wish think think potenti inflat_side nomin gnp side fairli low credit monetari_aggreg expans think will admit reason think mere project recent past think turn turn will possibl signific difficulti exchang_rate question though staff_forecast understand impli profit_margin import good flat low_level mean import_price good ship unit_state essenti reflect littl chang profit_margin think histori tell happen often either evid suggest level likelihood increas margin mean increas import_price rel exchang_rate conclud staff_forecast like forecast inclin suppos risk clearli upsid volum price last forecast like mike will come next time around
93,1987-08-18,case doubt think real world go influenc comment econom_outlook let move mr kohn
95,1987-08-18,thank break minut coffe_break
96,1987-08-18,sit dollar seem drop mayb adjourn awhil open floor gener polici discuss indic direct borrow requir tilt express vice_chairman start
98,1987-08-18,presid_boehn
100,1987-08-18,presid forrest
102,1987-08-18,rais point respect direct short period_time rais_question realli oper direct time actual someth like happen beyond period focus respect polici event view know rest read
105,1987-08-18,refer sentenc somewhat faster growth broader aggreg accept absenc indic worsen price_pressur substanti weak dollar given shortfal aggreg annual averag basic say go learn great_deal aggreg termin time frame direct appli quit certain direct oper signific short time frame
107,1987-08-18,oh aggreg
110,1987-08-18,meant presid_parri
112,1987-08-18,million borrow
114,1987-08-18,presid morri
117,1987-08-18,presid boykin
119,1987-08-18,presid keehn
121,1987-08-18,presid black
123,1987-08-18,governor heller
125,1987-08-18,presid_stern
127,1987-08-18,million
129,1987-08-18,governor seger
131,1987-08-18,vice presid hendrick
133,1987-08-18,presid_melzer
135,1987-08-18,governor kelley
137,1987-08-18,want borrow altern
140,1987-08-18,million
142,1987-08-18,presid guffey
144,1987-08-18,thank averag everybodi differ result averag vote member know typic result type activ
146,1987-08-18,will record fairli obviou unanim vote altern read mild mayb slightli mild major tilt languag desir move inflat busi expans languag dollar averag borrow requir amongst vote member shade million keep score opt million definit tilt basic view risk snuf expans stage mild tighten extraordinarili small view much know great_deal go happen fourth_quarter beyond find rather difficult perceiv set forc can bring expans follow lead time deliveri materi invest good short presuppos market basic tight inventori clear evid expand capit_invest market effect pretti_much full adjust consum expenditur think like result incom adjust tax bill element believ strictli trade issu think trade balanc emerg begin order impact basic raw materi steel aluminum extraordinari behavior textil industri surpris restrict join colleagu consid set uncertain thing think uncertain materi look uncertain eat word six_week tone frankli find realli inflationari yet evid wage data event come read everybodi els guess can structur languag suspect pretti_much grasp issu let describ oper paragraph read implement polici immedi_futur committe seek maintain exist degre pressur reserv posit know can either term somewhat greater reserv_restraint slightli greater reserv_restraint listen discuss read somewhat greater reserv_restraint slightli lesser reserv_restraint might accept depend indic inflationari_pressur strength busi expans behavior aggreg develop foreign_exchang_market know accept anyon suggest rephras think captur heard will accept revis
148,1987-08-18,frankli close vote
152,1987-08-18,can ask_question strength busi expans bottom list last_time read fairli strong consensu move object move inflationari_pressur sever good
153,1987-08-18,question realli get thing rel posit foreign_exchang_market behavior aggreg phrase move busi expans issu will leav sentenc last_time
156,1987-08-18,agreement issu growth_rate percent suggest go percent context reason far want split apart read data altern assum might want period approach expect consist growth period annual_rate around percent
158,1987-08-18,problem short time frame issu can difficult implement anyon els view
160,1987-08-18,thought mayb percent realli forecast like happen irrespect monetari_polici
164,1987-08-18,let ask_question judgment averag lead time monetari_polici aggreg
166,1987-08-18,let ask anybodi object percent upper limit object percent downsid
171,1987-08-18,leav alon mean
177,1987-08-18,percent accept everybodi gener view next sentenc
179,1987-08-18,gener view drop anybodi object strongli leav fund_rate
185,1987-08-18,narrow realli say target
187,1987-08-18,let ask quit got borrow target
190,1987-08-18,peopl good arithmet million
192,1987-08-18,know someth know answer_question point know convent averag thing can major convent
194,1987-08-18,averag figur million
208,1987-08-18,reread certain
212,1987-09-22,object approv mr prell
214,1987-09-22,thank mr prell question mr prell
218,1987-09-22,governor heller
221,1987-09-22,like show increas lead time deliveri materi word leav asid question pressur sign go someth natur capac expans got evid part compani difficulti maintain deliveri rel quick pace correct assum realli major chang slight increas
223,1987-09-22,presid_parri
230,1987-09-22,presid_boehn
235,1987-09-22,presid guffey
248,1987-09-22,presid black
250,1987-09-22,governor seger
259,1987-09-22,presid_boehn
261,1987-09-22,will hold minut presid_parri
264,1987-09-22,mr melzer
271,1987-09-22,governor johnson
279,1987-09-22,rais_question gnp demand number realli look recogn calcul number function fact use base period look fix weight gnp deflat versu gnp deflat tend pick differ mix essenti issu far base period larg extent deflat nomin gnp fix weight index roughli quit equival move base current year seem though get good_deal real_growth let case point fourth_quarter fourth_quarter chang year_next respect differ gnp deflat fix weight deflat respect assum nomin reduc real_growth problem sure model gener real implic nomin vice versa look issu word interpret
281,1987-09-22,let specif oil_price overal import_price much higher therefor rise oil import import side real gnp larger subtract base base guess realli ask restructur total system equal instead real gnp look context mr truman year oil import rise much effect gnp extent rise domest product oil energi measur dollar much subtract forecast higher oil import fourth_quarter fourth_quarter
282,1987-09-22,assum overal non oil import_price deflat significantli lower recal
284,1987-09-22,mean rel issu domest thing
286,1987-09-22,reason rais issu becom crucial question statist real evalu tri determin extent net_export crucial issu get signal industri_product index basic say anyth cut edg net_export figur much sharper speak much posit gnp number impli get extraordinari strength industri_product read
288,1987-09-22,build inventori export affect industri_product index show trade figur think implicit industri_product index stall rais seriou question hypothesi
290,1987-09-22,question mike gener comment request gener comment address question bother particularli think realli crucial outlook appreci hear view interpret rise term treasuri rate extent disaggreg rise_inflat premium expect instabl premium part perceiv real expect instabl premium mean expect bond price fluctuat dramat fact impos premium overal interest_rate strike much view view go depend substanti extent evalu variou compon fairli signific rise underli bond_rate_think presid_boehn want open
292,1987-09-22,thank presid_parri
294,1987-09-22,thank mr corrigan
296,1987-09-22,point implicit breakdown compon
298,1987-09-22,
300,1987-09-22,increment
302,1987-09-22,volatil therefor cannot volatil
304,1987-09-22,almost imposs tell time
306,1987-09-22,presid_stern
308,1987-09-22,presid forrest
310,1987-09-22,thank presid keehn
314,1987-09-22,cold roll oper import slab
316,1987-09-22,thank mr boykin
318,1987-09-22,presid black
320,1987-09-22,wish knew answer
322,1987-09-22,vice presid hendrick
324,1987-09-22,presid_melzer
326,1987-09-22,governor angel
328,1987-09-22,presid guffey
330,1987-09-22,vice presid eisenmeng
339,1987-09-22,governor heller
341,1987-09-22,governor seger
344,1987-09-22,thank governor let move don kohn
346,1987-09-22,thank much think almost dinner time let break coffe coffe_break
347,1987-09-22,better agenda gener discuss find probabl middl much listen point moment economi clearli quit_strong think order pattern variou element usual look fairli balanc certain extent outlook given far concret usual classic realiz grant mike kelley say someth differ alway someth differ someth look previou one anyth ident alway puzzlement noth unusu seem fairli good momentum main issu think governor angel mention yet evid actual inflat mean distinct expect indic number realli remark soft can anticip element labor tighten think_probabl quit correct expect wage acceler occur labor_cost run yet happen suggest tight like tighter yet trigger anyth think_time frame event will occur often somewhat difficult pin mean side quit conceiv week will sudden begin stori signific wage pattern emerg wall street journal will usual show front page real stori price profit inflat indic someth happen point can write stori moment number consequ far polici concern moment strike quit appropri outlook feel terribl strongli inclin start mere assum stay stay million borrow requir reason signific edg higher current littl doubt mind can noth extent accumul econom_activ occur think posit appropri place need phrase direct last_time tilt toward tight think moment probabl enough stay basic know will fit rest group love hear mr vice_chairman voic opinion
349,1987-09-22,
351,1987-09-22,presid boykin
353,1987-09-22,governor angel
355,1987-09-22,mr boehn
358,1987-09-22,governor heller
360,1987-09-22,time frame look real_term time
362,1987-09-22,word differenti rate german japanes rate time frame
367,1987-09-22,come significantli time realli question differenti although disagre know statement exchang_rate point
369,1987-09-22,presid_stern
371,1987-09-22,think will data qualit
373,1987-09-22,realli question evid emerg number begin show
375,1987-09-22,si keehn
377,1987-09-22,go look million prefer tilt upward
379,1987-09-22,presid forrest
381,1987-09-22,say million tilt upward
383,1987-09-22,must learn vocabulari sit meet
385,1987-09-22,abrog english languag time come seem presid_parri
387,1987-09-22,assumpt cours agre forecast governor seger
389,1987-09-22,governor kelley
391,1987-09-22,thank presid black
393,1987-09-22,thank governor johnson
395,1987-09-22,presid_melzer
397,1987-09-22,vice presid hendrick comment
399,1987-09-22,vice presid eisenmeng
401,1987-09-22,clear fairli strong consensu altern million borrow small support amongst vote member tilt toward someth stronger languag someth side person along vagu notion governor johnson issu fight world tri million mainten period futil endeavor fact give signal point governor seger rais earlier meet struck reason specif fight number read instruct given languag appar read implement polici immedi_futur committe seek maintain degre pressur reserv posit sought recent_week somewhat greater somewhat lesser reserv_restraint accept depend indic inflationari_pressur strength busi expans develop foreign_exchang_market behavior aggreg approach expect consist growth period annual_rate around percent percent respect expect continu_grow rel slowli chairman call committe consult appear manag domest oper reserv condit period next_meet like associ feder_fund_rate persist outsid rang percent
404,1987-09-22,symmetr_languag
409,1987-09-22,somewhat greater somewhat lesser reserv_restraint accept depend
411,1987-09-22,mean precis public choos precis
413,1987-09-22,mean aggreg
416,1987-09-22,word consist growth period annual_rate percent
418,1987-09-22,around mean number number
423,1987-09-22,oh around around say
426,1987-09-22,mean percent
428,1987-09-22,thought
435,1987-09-22,
437,1987-09-22,around percent around percent respect
439,1987-09-22,set rang realli mere plu minu percent
443,1987-09-22,ye interest issu percent came percent rang think realli big signal
445,1987-09-22,essenti say know think read perfectli think basic alreadi go anywher
450,1987-09-22,ye think gener languag action take basic indic noth meet
452,1987-09-22,hear discuss want
462,1987-11-03,separ move action manag taken meet settl motion specif request motion approv mr prell
465,1987-11-03,got confer board index post survey show problem read thing mike report differ
467,1987-11-03,presid_parri
470,1987-11-03,bob think rest issu movement import_price rate higher domest price import renew share import total domest_demand need effect interest question small number fact import_price estim much lower staff
472,1987-11-03,import comput price go probabl reason happen
474,1987-11-03,think rais terribl import question think_import right
481,1987-11-03,governor heller
494,1987-11-03,question
497,1987-11-03,fourth_quarter
499,1987-11-03,governor seger
504,1987-11-03,think point mr prell adventuresom rest
506,1987-11-03,anyon want open discuss around_tabl mr boykin
508,1987-11-03,presid_parri
510,1987-11-03,presid keehn
512,1987-11-03,presid_boehn
514,1987-11-03,presid forrest
516,1987-11-03,presid black
518,1987-11-03,presid_stern
520,1987-11-03,miss happen
524,1987-11-03,will hold
526,1987-11-03,presid_melzer
528,1987-11-03,vice_chairman corrigan
530,1987-11-03,governor angel
532,1987-11-03,presid morri
534,1987-11-03,governor heller
536,1987-11-03,anyon els
539,1987-11-03,governor kelley
541,1987-11-03,heard presid guffey hoskin either wish add bodi knowledg
543,1987-11-03,view time probabl advis break coffe assum gotten cold yet will come don kohn will brief monetari_polici coffe_break
544,1987-11-03,mr kohn
546,1987-11-03,question mr kohn mr stern
555,1987-11-03,question
558,1987-11-03,question don let start review think certain sens fortun last_coupl week chose suppli demand excess reserv system essenti endeavor target fund_rate obvious target fund_rate automat suppli demand reserv interest_rate context crucial come right rate_think fumbl retrospect look though came name slightli percent result think margin return toward normal relationship defin context reflect differenti yield spread basic flight crash qualiti seem occur point can polici impress littl choic think_import rememb number sequenti danger think utmost import effort direct call flight futur moment invest go longer_term countri word peopl buy longer_term bond buy stock yield bad exchang_rate soft fall face difficult imagin develop countri scenario led dramat collaps exchang_rate huge rise term bond_rate effect disappear term bond_market obvious condit stock_market fall away everyth implod short_run bill rate collaps crazi horribl event none think can happen type scenario forc preserv system move discount_rate point type problem histor monetari collaps alway creat far stage suspect lot nearer believ financi_market inher unstabl look variat volum price evalu process run stock run last_week suggest degre uncertainti especi degre uncertainti potenti foreign_exchang_market readili major endeavor shift portfolio dollar denomin secur denomin currenc obvious cannot success fact can power effect exchang_rate_think consequ potenti danger obvious cautiou move path toward stabl regular polici orient posit consequ real altern tri oper roughli along_line call altern stage hope situat continu stabil will abl gradual pull away fund_rate target allow suppli excess reserv fall declin demand point obvious will see close bill rate fund_rate spread presum will see longer_term corpor baa treasuri spread come junk bond will look almost saleabl goodli away normal anywher close normal relationship normal credit condit normal attitud market_think sens relief think anywher close sens stabil fact point drop dow far concern chang program trade differ type risk oper peopl hard stock_market go think_risk premium associ happen conceiv therefor retrospect whole thing turn remark bless must tell odd come cannot larg zero either event strang think polici problem polici seem automat continu can phase someth perman issu portray public issu write direct particular direct go disaggreg detail period misprint go read great great import mere wish appreci thought usual comment issu polici borrow recommend portray public larg specif formul direct take revis tent bluebook governor angel
560,1987-11-03,presid_boehn
562,1987-11-03,interpos interpret altern let tri certain deal differ current percept don want address issu want happen differ realli relat distinct want
566,1987-11-03,actual
568,1987-11-03,think moment
575,1987-11-03,think round question
578,1987-11-03,ed borrow number think think million number actual
580,1987-11-03,target fund_rate
582,1987-11-03,borrow assumpt deal sort market break away
584,1987-11-03,distinct want borrow want fund_rate
586,1987-11-03,point presid black
588,1987-11-03,presid_parri
590,1987-11-03,sorri languag
592,1987-11-03,presid forrest
594,1987-11-03,presid boykin
596,1987-11-03,presid_melzer
600,1987-11-03,norm tell adjust switch will note next polici record
618,1987-11-03,presid_stern
620,1987-11-03,inde
629,1987-11-03,ye problem though let focu re poll comment alreadi listen everybodi far everybodi lock fund_rate much narrow fund_rate stipul direct question decid process formul direct broad fund_rate rang consist specif borrow target much narrow fund_rate target publish much broader rang borrow side difficult encompass type fund_rate target hear around_tabl term percent percent choic
634,1987-11-03,exist
636,1987-11-03,ahead sure
649,1987-11-03,last phrase fund_rate rang
651,1987-11-03,okay will variat tabl presid morri
653,1987-11-03,presid keehn
655,1987-11-03,sorri last phrase
657,1987-11-03,okay governor heller
660,1987-11-03,oh differ sens depend target leav residu sens mean question suggest chang_polici want commun
666,1987-11-03,thing peg fund_rate desk thing sort take shot direct peg rate interest implic governor kelley
668,1987-11-03,corrigan languag
670,1987-11-03,governor johnson
672,1987-11-03,respond can without confer call governor seger
676,1987-11-03,roof fall noth choos altern
680,1987-11-03,presid guffey
682,1987-11-03,presid hoskin
684,1987-11-03,think can feel consensu surpris sens
686,1987-11-03,listen governor heller
688,1987-11-03,point point
692,1987-11-03,technic correct think past tens indic period point continu gain
694,1987-11-03,discuss continu gain discuss indic
696,1987-11-03,anybodi els feel strongli issu
698,1987-11-03,technic statement correct question read
701,1987-11-03,governor angel
705,1987-11-03,suggest might bad idea crucial direct think use xerox circul everyon chanc shot
707,1987-11-03,anybodi comment particular stage substant question fairli obviou consensu basic defin asymmetr_languag toward_eas everyon talk essenti percent fund_rate presum depict usual wider rang corrigan get rave review will use languag final let look certain talk set note
710,1987-11-03,million
728,1987-11-03,governor angel concern money_growth refer
732,1987-11-03,percent fund_rate rang prefer percent
