,Date,content
22,1987-08-18," It is a simple matter, however, to get that authority by wire if the need exists "
23,1987-08-18," Thank you, Mr Chairman Let me comment that I think our forecast parallels the forecast that appears in the Greenbook this time But a question, I guess to Mike With regard to the really sharp swing that you have between the third and fourth quarters in personal consumption expenditures, and the resulting buildup in inventories, which we have somewhat [unintelligible] for the period ahead, is that in your forecast totally as a result of the auto sales picture that you've described?   No other factors--   The other question I would pose has to do with your outlook on inflation and your rather sharp jump in the unit labor    8/18/87  cost that appears between the third and fourth quarters and continues on out through the projected period It's my impression, at least, that other than the autos that come up in September, the union-labor negotiations [calendar] is very thin, and we can't see where you're getting that kind of a jump in the output, the decrease in productivity, and so forth   Thank you, Mr Chairman I've already made comments with respect to our outlook and our general agreement with the Greenbook forecast I'd like to make this very brief, in view of the time The regional economy that we're experiencing in the Tenth District has some positive outlook to it in the sense that, as others have already commented, the agricultural sector is having and will have one of its best years, with this major rise in net farm income There has been a good crop The red meat industry is in very, very good shape As a result, there has been some uptick, or at least modest turnaround, in what had been falling agricultural land values One survey shows that from the first quarter to the second quarter, agricultural land values have increased about 1-1/2 percent; and that's to be contrasted with a long period of declining land values I would just note, however, that the sales that have translated into that greater land value number are one of two kinds 1) cash transactions in which neighboring producers are picking up depressed or troubled land ownership; or 2) the Farm Credit System is offering very attractive financing rates to move land off of their books in order to avoid any additional loss I would just note that, as a result of this, the margins in the production of red meat are very good at the moment However, the inventory is beginning to build, and we would expect that there would be little or no additional pressure on prices from the food sector as a result of the [uninteligible]--no real hope of increased commodity prices either in terms of crops or red meat Lastly, there is some optimism being generated in the energy sector There is some drilling now taking place; the rig count is up modestly from a month or two ago So, psychologically, given what we see, we would expect things to continue to improve but at a very slow rate In the commercial real estate area, we have overbuilding in Denver, Oklahoma City, and Tulsa, which is depressing that market; and those conditions, obviously, rose out of the depressed conditions of agriculture and energy that they depend on greatly We believe things are looking up, but we have a long upward pull to get back to better conditions than we have now "
24,1987-08-18," Thank you, Mr Chairman A good deal of comment has already been made about the growth--that it's perhaps a bit stronger than we were expecting last month But, I would just note that if you believe the forecast, and I think virtually everybody agrees with the Greenbook, you're only looking at 2-3/4 percent growth in the third and fourth quarters That doesn't seem to me to be overly expansive And, there is considerable uncertainty as to the inflation outlook, at least in my mind To be sure, prices are quite likely to be up, but as a result of feeding through on import prices; and I'm not at all sure that a bit tighter monetary policy is an appropriate prescription under those circumstances As a result, I would favor ""B"", with $500 million borrowing, until some additional evidence comes along I would note, in that respect, for those who believe that the aggregates are important and that there is some informational content in them, that they're growing at a very nominal rate now As a result, to further tighten at this point, in anticipation of some higher prices, seems to me to be inappropriate So I would go for ""B"" with a $500 million borrowing level until some more information surfaces that would lead us away from that Lastly, I would prefer to leave the language with respect to the dollar in the directive because, in my view, monetary policy has to act against a depreciation in the dollar that becomes fast, no matter what the cause And, as a result, I would leave it in, and I would even leave it at a fairly high level of visibility in the directive   The alternative is to state it in terms of about 5 percent for both "
76,1987-09-22," There is some comment in the press saying that the G-10 or the G-7 had adjusted their target levels from 140 or 160 to 13150 Is that rumor, or is that--? "
77,1987-09-22," Mr Chairman, I have a couple of questions for Mike with respect to the sections that caught my eye in the forecast You mentioned that a further decline in the dollar was assumed in your forecast As I remember, the Greenbook only made reference to a decline much like that projected in the last Greenbook Further, as I remember, that decline was 10 percent on an annual basis, and most of that had been completed in the first half of the year Am I correct, or is there further decline assumed?   My second question has to do with your assumption about rising interest rates in the fourth quarter To be very specific, do you have a level of interest rates in the fourth quarter that you assumed in this forecast?   In the first quarter?   My last question has to do with your comment about inflation picking up--I guess that's in 1988, if I read the Greenbook numbers correctly, because your forecast has it actually declining in the last quarter of this year, as measured by the fixed- weight index or the deflator itself    9/22/87   So is it fair to say, Mike, that inflation in the second half, and particularly in the last quarter and maybe even into the first quarter of 1988, is reasonably stable in your forecast?   Thank you, Mr Chairman I will try to be very brief in view of the coffee being outside! With respect to the Tenth District, we do see some very, very modest recovery Looking at various sectors of the economy, starting with agriculture commodity prices are up; red meat prices are very good; government transfer payments are outstanding; and, as a result, there is some comfort in the agricultural sector--or at least among those who are still in the sector Lastly, I would say that our most recent survey indicates that agricultural land prices have stabilized, and there is a modest uptick in those prices as well So, agriculture, from a very low level, has a good outlook for the rest of 1987 and quite likely in 1988, depending upon what the farm subsidy program will be in 1988 When you look at energy, the same is true from a very, very low base it looks a bit better In July, for example, there were 373 rigs working in the Tenth District as opposed to [unintelligible] in June That's not much of an uptick, to be sure, and it is only 20 percent of the level that was achieved in 1982, which was the peak of the energy boom So, it is still at a very low level [Unintelligible] supporting a bit Commercial real estate has been very depressed in Denver, Oklahoma City, and Tulsa--those areas that built on expectations [generated by] the energy and agricultural booms back in the early 1980s, inflationary expectations, [unintelligible] There is a very slow absorption rate of some very nice and new commercial structures In the Kansas City area there has been some damping in commercial construction, but nonetheless, it still looks very prosperous In some areas, there has been a bit of damping in residential starts and sales, but activity is still above a year ago throughout the District in the aggregate One last point that I would make with respect to economic activity in the District would be on the manufacturing sector the automobile industry is not working at full production and, as a matter of fact, there continue to be layoffs in plants, particularly in the Kansas City area, in the GM plants specifically There has been a bit of light at the end of the tunnel in the aircraft industry in the sense that sales most recently have been up in dollar volume but down in unit sales, largely because the sales are of jet aircraft as opposed to the smaller units  Let me just address, then, our view of the staff forecast They are a bit more bullish than we are We look for about 2-3/4  -27-    9/22/87  percent growth not only for the remainder of 1987 but into 1988 In trying to look at their forecast in relation to our numbers, I believe the difference is that they have a buildup in inventories in the fourth quarter that goes out into 1988 That may be the difference in their forecast and ours, but it is such a modest difference that I don't think there would be a lot to argue about To be perfectly honest, I hope their forecast occurs I don't feel there is much risk on the upside, however, of this getting away from us  Lastly, as to your question on long-term bond rates, I suspect it is a part of all three of the things that have been mentioned I guess I would come out on the side of giving more weight to the view that it is an increase in real rates necessary to attract funds to support this federal budget deficit as opposed to just inflationary expectations The uncertainty created by all of this largely accounts for it; how you disaggregate it, I don't know "
78,1987-09-22," Mr Chairman, I would support the proposition I would prefer, however, to drop back to the $500 million borrowing  -34-    9/22/87  level You said it doesn't take us much from where we are currently, but if, indeed, $100 million equates to about 1/4 percent [on the federal funds rate] you are looking at least at that amount more yet to take place that the market has not perceived And, since the market doesn't know we have been at $600 million, the $500 million seems more appropriate to me, and that would be my choice   But he hasn't been too well the last two maintenance periods, have you, Peter? "
133,1987-11-03," Well, Mr Chairman, I don't think that I can; so I will respectfully pass "
134,1987-11-03," Thank you, Mr Chairman I would join those who would opt for ""B"" with asymmetric language towards ease--that is, if ""B"" as it has been defined means a funds rate around 6-3/4 percent or a bit higher, and I think it clearly does I also would adopt the Corrigan language, particularly if I understood Jerry correctly, that he wants to delete from Variant I the language referring to relatively frequent consultations I think that highlights something that six weeks or eight weeks from now, when this is released, perhaps will have more meaning than we want to give to it On the federal funds rate range--although quite clearly we are targeting the federal funds rate within some very narrow range, it is under very unusual circumstances--to change that language in the last sentence from 5 to 9 percent to 4 to 8 percent is a bit meaningless and, in my view, unnecessary I'd leave it at the present range and keep it as broad at it is   I'd prefer just to maintain 5 to 9 percent "
187,1987-12-15," Thank you, Mr Chairman As to the fundamental question of whether to stay with the federal funds rate or go to a nonborrowed or a borrowed reserve target, I think I would be one of only three or four here who sat around this table when we targeted federal funds back in the 1970s And I can tell you that our experience was not very good, as everybody knows There was a lot of tugging and pulling to go an eighth of a point on the federal funds rate As a matter of fact, we even got to the point of setting a zone of indifference where the federal funds could move a quarter of a point between two established points And the fact is that the information that came from that procedure was well behind the facts and got us into trouble, in my view I think we have to move back to a procedure of targeting nonborrowed reserves Also, I would join Tom Melzer in his proposal to do it, first of all, as quickly as possible, and secondly, under the umbrella of uncertainty that surrounds the year-end I would opt for alternative (3) in the sense that we shouldn't totally ignore the federal funds rate over this next three- to four-week period But I think the focus should be on the borrowing level and--   No, no, I beg your pardon, I didn't I should not have said that; I meant a borrowing target And I'd do it under the umbrella, or the smokescreen, of the year-end uncertainty   That would be the zone of indifference   I can tell you, Frank, having had several of these special situations, that the market knows about as early as the Federal Reserve does that a bank is in for special borrowing They do discount it, in a sense, I think   Pardon me?  STERNLIGHT(?) When it gets to--   Before it gets to extended credit, it's fairly well known and the banks are fairly well identified But suggesting that we would actually--   Yes, the dollars--   Some of you don't   Could you speak up a little, Jerry, please?   I've forgotten what I was going to say Well, given the fact that we have to set growth targets for something under the Humphrey-Hawkins Act, what has come out of this paper, it seems to me at least, is that M2 is perhaps the best of what may be bad choices M1A may be about the same, but given the fact that M2 is better understood by the public and the markets, I would continue with M2 There's one other aspect--and I'm not quite sure that this is correct, but my recollection is that Canada has in recent years set a target over a longer horizon than one year I think perhaps it's a two-year target with a moving base and they use that merely for the purpose of determining whether they are above or below the trend line of growth that they were shooting for That has some attractiveness to me, and I think that may be what we should be doing with M2 over a longer-term horizon I think Canada abandoned that, simply because they determined that it was more important for them in current times to focus on exchange rates, relative to the dollar principally, rather than to hit a monetary target, however they defined it So, it seems to me that we are talking about two different things One is how we would manage monetary policy in the very short run through these intermediate periods; the other is what we should be focusing on, and that is a horizon, and probably for M2, over a one-year or two-year period   Sure  -32-    12/15-16/87   And, in the short run--   Because of deregulation?   I would just ask Sam How much do we have--I am talking about the System and the Exchange Stabilization Fund--as a cache of marks and yen that we can draw upon in the future without swap arrangements?   That means, if we were to continue [intervention purchases of dollars] for a very long period of time, we would have to use our swaps "
188,1987-12-15," Well, it's getting late, Mr Chairman I would just add to the optimism in a sense, particularly from the District perspective, although we are lagging the national recovery both in terms of employment gains as well as personal income gains Nonetheless, looking back from where we started, in energy, agriculture, aircraft, and so forth, things are looking much better That's particularly true in the agricultural area, where things such as agricultural real estate values actually have increased in the second quarter--very modestly to be sure, but nonetheless there is an increase Energy rig exploration is something in the neighborhood of 35 percent greater than a year ago However, given what's happening now with the potential fall in the oil prices, I'm not sure that will continue With regard to retail sales, the report that we have is  -68-    12/15-16/87  that they are modestly higher, some 5 percent higher, than the same time last year, with a lot of sales and discounting, which means volume should be moving through those retail elements As a result, I guess I would say we feel better than we did a year ago, and better than we did six months ago The clouds on the horizon might be a drop in energy prices as the result of OPEC's problems and/or a change in the agricultural subsidy provisions from the federal government, both of which would impact the Tenth District However, looking at 1988, the latter would suggest that it will be a fairly good year, given current commodity prices--if they hold up Agricultural exports are very encouraging to the people in our area Those are mostly government-subsidized exports, I might say, but the inventories that built up in the last couple of years are being worked off "
